Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Agglutinated,Elongated,Planispiral,Trochospiral,Tapered,Comments,File Data,Zone name,Zone name (short)
342-U1410A-8H-5-W 110/112-FORAM,342,U1410,A,8,8-5,H,5,W,110/112-FORAM,0,2,72.6,72.62,G [P21],P [A60],,,,,,,,,
342-U1410A-8H-6-W 110/112-FORAM,342,U1410,A,8,8-6,H,6,W,110/112-FORAM,0,2,74.1,74.12,G [P21],P [A60],,,,,,,,,
342-U1410A-9H-2-W 110/112-FORAM,342,U1410,A,9,9-2,H,2,W,110/112-FORAM,0,2,77.6,77.62,VG [P21],P [A60],,,,,,,,,
342-U1410A-9H-5-W 110/112-FORAM,342,U1410,A,9,9-5,H,5,W,110/112-FORAM,0,2,81.25,81.27,G [P21],P [A60],,,,,,,,,
342-U1410A-10H-2-W 45/47-FORAM,342,U1410,A,10,10-2,H,2,W,45/47-FORAM,0,2,85.45,85.47,G [P21],P [A60],,,,,,,,,
342-U1410A-10H-3-W 90/92-FORAM,342,U1410,A,10,10-3,H,3,W,90/92-FORAM,0,2,86.58,86.6,VG [P21],P [A60],,,,,,,,,
342-U1410A-10H-4-W 90/92-FORAM,342,U1410,A,10,10-4,H,4,W,90/92-FORAM,0,2,88.05,88.07,G [P21],P [A60],,,,,,,,,
342-U1410A-10H-5-W 90/92-FORAM,342,U1410,A,10,10-5,H,5,W,90/92-FORAM,0,2,89.15,89.17,G [P21],P [A60],,,,,,,,,
342-U1410A-10H-6-W 90/92-FORAM,342,U1410,A,10,10-6,H,6,W,90/92-FORAM,0,2,90.55,90.57,VG [P21],P [A60],,,,,,,,,
342-U1410A-10H-7-W 90/92-FORAM,342,U1410,A,10,10-7,H,7,W,90/92-FORAM,0,2,91.96,91.98,G [P21],P [A60],,,,,,,,,
342-U1410A-11H-2-W 100/102-FORAM,342,U1410,A,11,11-2,H,2,W,100/102-FORAM,0,2,96.5,96.52,VG [P21],P [A60],,,,,,,,,
342-U1410A-11H-5-W 105/107-FORAM,342,U1410,A,11,11-5,H,5,W,105/107-FORAM,0,2,101.05,101.07,VG [P21],P [A60],,,,,,,,,
342-U1410A-12H-2-W 100/102-FORAM,342,U1410,A,12,12-2,H,2,W,100/102-FORAM,0,2,106,106.02,G [P21],P [A60],,,,,,test appear brownish,,,
342-U1410A-12H-5-W 100/102-FORAM,342,U1410,A,12,12-5,H,5,W,100/102-FORAM,0,2,110.5,110.52,G [P21],P [A60],,,,,,test appear brownish,,,
342-U1410A-13H-2-W 100/102-FORAM,342,U1410,A,13,13-2,H,2,W,100/102-FORAM,0,2,114.47,114.49,VG [P21],P [A60],,,,,,,,,
342-U1410A-13H-5-W 100/102-FORAM,342,U1410,A,13,13-5,H,5,W,100/102-FORAM,0,2,118.97,118.99,VG [P21],P [A60],,,,,,,,,
342-U1410A-15H-2-W 58/60-FORAM,342,U1410,A,15,15-2,H,2,W,58/60-FORAM,0,2,134.06,134.08,VG [P21],P [A60],,,,,,,,,
342-U1410A-15H-4-W 60/62-FORAM,342,U1410,A,15,15-4,H,4,W,60/62-FORAM,0,2,137.08,137.1,VG [P21],P [A60],,,,,,,,,
342-U1410A-16H-2-W 120/122-FORAM,342,U1410,A,16,16-2,H,2,W,120/122-FORAM,0,2,144.2,144.22,G [P21],P [A60],,,,,,,,,
342-U1410A-16H-4-W 94/96-FORAM,342,U1410,A,16,16-4,H,4,W,94/96-FORAM,0,2,146.94,146.96,G [P21],P [A60],,,,,,,,,
342-U1410A-17X-2-W 110/112-FORAM,342,U1410,A,17,17-2,X,2,W,110/112-FORAM,0,2,153.6,153.62,VG [P21],P [A60],,,,,,,,,
342-U1410A-17X-4-W 120/122-FORAM,342,U1410,A,17,17-4,X,4,W,120/122-FORAM,0,2,156.7,156.72,VG [P21],P [A60],,,,,,,,,
342-U1410A-18X-2-W 100/102-FORAM,342,U1410,A,18,18-2,X,2,W,100/102-FORAM,0,2,163.1,163.12,G [P21],P [A60],,,,,,,,,
342-U1410A-18X-4-W 100/102-FORAM,342,U1410,A,18,18-4,X,4,W,100/102-FORAM,0,2,166.1,166.12,VG [P21],P [A60],,,,,,,,,
342-U1410A-18X-6-W 100/102-FORAM,342,U1410,A,18,18-6,X,6,W,100/102-FORAM,0,2,169.1,169.12,VG [P21],P [A60],,,,,,,,,
342-U1410A-19X-2-W 100/102-FORAM,342,U1410,A,19,19-2,X,2,W,100/102-FORAM,0,2,172.7,172.72,VG [P21],P [A60],,,,,,,,,
342-U1410A-19X-4-W 100/102-FORAM,342,U1410,A,19,19-4,X,4,W,100/102-FORAM,0,2,175.7,175.72,VG [P21],P [A60],,,,,,,,,
342-U1410A-20X-2-W 100/102-FORAM,342,U1410,A,20,20-2,X,2,W,100/102-FORAM,0,2,182.3,182.32,VG [P21],P [A60],,,,,,,,,
342-U1410A-20X-4-W 100/102-FORAM,342,U1410,A,20,20-4,X,4,W,100/102-FORAM,0,2,185.3,185.32,G [P21],P [A60],,,,,,,,,
342-U1410A-21X-2-W 100/102-FORAM,342,U1410,A,21,21-2,X,2,W,100/102-FORAM,0,2,191.04,191.06,VG [P21],P [A60],,,,,,,,,
342-U1410A-21X-4-W 100/102-FORAM,342,U1410,A,21,21-4,X,4,W,100/102-FORAM,0,2,194,194.02,VG [P21],P [A60],,,,,,,,,
342-U1410A-22X-2-W 100/102-FORAM,342,U1410,A,22,22-2,X,2,W,100/102-FORAM,0,2,201.5,201.52,G [P21],P [A60],,,,,,,,,
342-U1410A-22X-5-W 100/102-FORAM,342,U1410,A,22,22-5,X,5,W,100/102-FORAM,0,2,206,206.02,G [P21],P [A60],,,,,,,,,
342-U1410A-23X-2-W 67/69-FORAM,342,U1410,A,23,23-2,X,2,W,67/69-FORAM,0,2,210.67,210.69,G [P21],P [A60],,,,,,,,,
342-U1410A-23X-5-W 102/104-FORAM,342,U1410,A,23,23-5,X,5,W,102/104-FORAM,0,2,215.52,215.54,VG [P21],P [A60],,,,,,,,,
342-U1410A-24X-2-W 52/54-FORAM,342,U1410,A,24,24-2,X,2,W,52/54-FORAM,0,2,220.02,220.04,G [P21],P [A60],,,,,,,,,
342-U1410A-24X-5-W 37/38-FORAM,342,U1410,A,24,24-5,X,5,W,37/38-FORAM,0,1,224.37,224.38,G [P21],P [A60],,,,,,,,,
342-U1410A-25X-2-W 86/88-FORAM,342,U1410,A,25,25-2,X,2,W,86/88-FORAM,0,2,229.86,229.88,G [P21],P [A60],,,,,,,,,
342-U1410A-25X-4-W 13/15-FORAM,342,U1410,A,25,25-4,X,4,W,13/15-FORAM,0,2,232.13,232.15,M [P21],P [A60],,,,,,,,,
342-U1410A-26X-2-W 114/115-FORAM,342,U1410,A,26,26-2,X,2,W,114/115-FORAM,0,1,239.74,239.75,M [P21],P [A60],,,,,,,,,
342-U1410A-26X-5-W 97/98-FORAM,342,U1410,A,26,26-5,X,5,W,97/98-FORAM,0,1,244.07,244.08,M [P21],P [A60],,,,,,,,,
342-U1410A-27X-2-W 71/72-FORAM,342,U1410,A,27,27-2,X,2,W,71/72-FORAM,0,1,248.91,248.92,P [P21],P [A60],,,,,,,,,
342-U1410A-27X-5-W 12/13-FORAM,342,U1410,A,27,27-5,X,5,W,12/13-FORAM,0,1,252.82,252.83,P [P21],P [A60],,,,,,,,,
