Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Dictyococcites bisectus	Cyclicargolithus floridanus	Cyclicargolithus abisectus	Coccolithus pelagicus	Chiasmolithus altus	Discoaster deflandrei	Sphenolithus moriformis	Discoaster adamanteus	Calcidiscus leptoporus	Reticulofenestra gelida	Discoaster aulakos	Calcidiscus premacintyrei	Calcidiscus macintyrei	Helicosphaera ampliaperta	Discoaster formosus	Helicosphaera mediterranea	Discoaster variabilis	Dictyococcites hesslandii	Reticulofenestra perplexa	Reticulofenestra pseudoumbilica	Triquetrorhabdulus rugosus	Amaurolithus delicatus	Discoaster intercalaris	Amaurolithus ninae	Helicosphaera kamptneri	Reticulofenestra minuta	Ceratolithus acutus	Helicosphaera sellii	Discoaster surculus	Discoaster braarudii	Pseudoemiliania lacunosa	Gephyrocapsa > 4.5	Ceratolithus cristatus	Gephyrocapsa caribbeanica	Emiliania huxleyi	Comment
  IR	Late Pliocene    	                 	CN11b             	              	189	1170	A	  6	H	CC	   8.00	     49.0300	nannos   	Nannofossils                                 	A              	M                 	                       	                           	                          	A                    	                   	                     	                       	                     	                      	                       	                  	                         	C                     	                         	                   	                          	                     	                         	                         	                               	                          	                      	                       	                  	                       	                       	                   	F                   	                   	                    	F                       	                  	                      	                         	                 	       

  IR	Early Pliocene   	Early Pliocene   	CN11b             	              	189	1170	A	  7	H	CC	  10.00	     58.2500	nannos   	Nannofossils                                 	A              	M                 	                       	                           	                          	A                    	                   	                     	                       	                     	A                     	                       	                  	                         	C                     	                         	                   	                          	                     	                         	                         	F                              	                          	                      	                       	                  	                       	                       	                   	F                   	                   	                    	                        	                  	                      	                         	                 	       

  IR	Early Pliocene   	Late Miocene     	CN11b             	CN9           	189	1170	A	  8	H	CC	  16.00	     68.0700	nannos   	Nannofossils                                 	A              	M                 	                       	                           	                          	A                    	                   	                     	                       	                     	A                     	                       	                  	                         	F                     	                         	                   	                          	                     	                         	                         	C                              	                          	                      	                       	                  	                       	A                      	                   	                    	R                  	R                   	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	  9	H	CC	  15.00	     77.8600	nannos   	Nannofossils                                 	A              	M                 	                       	                           	                          	A                    	                   	                     	                       	                     	A                     	                       	                  	                         	C                     	                         	                   	                          	                     	                         	                         	F                              	                          	                      	                       	                  	                       	A                      	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 10	H	CC	  12.00	     87.4800	nannos   	Nannofossils                                 	A              	M                 	                       	                           	                          	A                    	                   	                     	                       	                     	A                     	                       	                  	                         	C                     	                         	                   	                          	                     	                         	                         	C                              	                          	                      	F                      	                  	F                      	A                      	                   	R                   	R                  	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 11	H	CC	  12.00	     96.8800	nannos   	Nannofossils                                 	A              	M                 	                       	                           	                          	A                    	                   	                     	                       	                     	A                     	                       	                  	                         	C                     	                         	                   	                          	                     	                         	                         	F                              	                          	                      	R                      	                  	                       	A                      	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	Early Pliocene   	Early Pliocene   	CN11b             	CN10c         	189	1170	A	 12	H	CC	  10.00	    106.4500	nannos   	Nannofossils                                 	A              	M                 	                       	                           	                          	A                    	                   	                     	                       	                     	A                     	                       	                  	                         	C                     	                         	                   	                          	                     	                         	                         	C                              	                          	                      	C                      	                  	R                      	C                      	R                  	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 13	H	CC	  12.00	    115.2400	nannos   	Nannofossils                                 	A              	M                 	                       	                           	                          	A                    	                   	                     	                       	                     	A                     	                       	                  	                         	C                     	                         	                   	                          	                     	                         	                         	                               	                          	                      	                       	                  	F                      	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 14	H	CC	  11.00	    123.7300	nannos   	Nannofossils                                 	A              	M                 	                       	                           	                          	A                    	                   	                     	                       	                     	A                     	                       	                  	                         	C                     	                         	                   	                          	                     	                         	                         	A                              	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	Early Pliocene   	Late Miocene     	CN10b             	CN9b          	189	1170	A	 15	H	CC	  12.00	    133.9400	nannos   	Nannofossils                                 	A              	M                 	                       	                           	                          	A                    	                   	                     	                       	                     	A                     	                       	                  	                         	C                     	                         	                   	                          	                     	                         	                         	                               	                          	                      	F                      	R                 	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 16	H	CC	  12.00	    143.7500	nannos   	Nannofossils                                 	A              	M                 	                       	                           	                          	                     	                   	                     	                       	                     	                      	                       	                  	                         	R                     	                         	                   	                          	                     	                         	                         	                               	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 17	H	CC	  21.00	    153.5700	nannos   	Nannofossils                                 	A              	M                 	                       	                           	                          	                     	                   	                     	                       	                     	                      	                       	                  	                         	                      	                         	                   	                          	                     	                         	                         	                               	                          	R                     	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 18	H	CC	  23.00	    163.7000	nannos   	Nannofossils                                 	A              	M                 	                       	                           	                          	                     	                   	                     	                       	                     	                      	                       	                  	                         	C                     	                         	                   	                          	                     	                         	                         	A                              	R                         	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 19	X	CC	   3.00	    167.1300	nannos   	Nannofossils                                 	A              	M                 	                       	                           	                          	                     	                   	                     	                       	                     	                      	                       	                  	                         	                      	                         	                   	                          	                     	                         	                         	A                              	R                         	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 20	X	CC	  21.00	    174.5400	nannos   	Nannofossils                                 	A              	M                 	                       	                           	                          	                     	                   	                     	                       	                     	                      	                       	                  	                         	C                     	                         	                   	                          	                     	                         	                         	A                              	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 21	X	CC	  11.00	    180.9100	nannos   	Nannofossils                                 	A              	M                 	                       	                           	                          	                     	                   	                     	                       	                     	                      	                       	                  	                         	                      	                         	                   	                          	                     	                         	                         	A                              	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 22	X	CC	  12.00	    192.0500	nannos   	Nannofossils                                 	A              	M                 	                       	                           	                          	                     	                   	                     	                       	                     	                      	                       	                  	                         	C                     	                         	                   	                          	                     	                         	                         	A                              	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 23	X	CC	  12.00	    201.1300	nannos   	Nannofossils                                 	A              	M                 	                       	                           	                          	                     	                   	                     	                       	                     	                      	                       	                  	                         	C                     	                         	                   	                          	                     	                         	                         	A                              	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 24	X	CC	  16.00	    210.3100	nannos   	Nannofossils                                 	A              	M                 	                       	                           	                          	                     	                   	                     	                       	                     	                      	                       	                  	                         	C                     	                         	                   	                          	                     	                         	                         	A                              	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 25	X	CC	  20.00	    220.3400	nannos   	Nannofossils                                 	A              	M                 	                       	                           	                          	                     	                   	                     	                       	                     	                      	                       	                  	                         	C                     	                         	                   	                          	                     	                         	                         	A                              	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 26	X	CC	  10.00	    227.5500	nannos   	Nannofossils                                 	A              	M                 	                       	                           	                          	                     	                   	                     	                       	                     	                      	                       	                  	                         	C                     	                         	                   	                          	                     	                         	                         	A                              	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 27	X	CC	  12.00	    239.3800	nannos   	Nannofossils                                 	A              	M                 	                       	                           	                          	                     	                   	                     	                       	                     	                      	                       	                  	                         	C                     	                         	                   	                          	                     	                         	                         	A                              	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 28	X	CC	  20.00	    250.7000	nannos   	Nannofossils                                 	A              	M                 	                       	R                          	                          	                     	                   	                     	                       	                     	                      	                       	                  	                         	F                     	                         	                   	                          	                     	                         	                         	A                              	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	Early Miocene    	                 	CN3               	              	189	1170	A	 29	X	CC	  10.00	    259.4400	nannos   	Nannofossils                                 	A              	M                 	                       	A                          	                          	A                    	                   	                     	                       	                     	C                     	A                      	                  	C                        	                      	                         	                   	                          	                     	R                        	C                        	                               	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 30	X	CC	   9.00	    270.2200	nannos   	Nannofossils                                 	A              	M                 	                       	C                          	                          	A                    	                   	                     	R                      	                     	A                     	C                      	                  	C                        	                      	F                        	                   	R                         	R                    	F                        	                         	                               	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 31	X	CC	  12.00	    281.7400	nannos   	Nannofossils                                 	A              	M                 	                       	A                          	                          	A                    	                   	                     	R                      	F                    	C                     	                       	                  	C                        	                      	F                        	R                  	R                         	                     	                         	                         	                               	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 32	X	CC	  15.00	    290.8900	nannos   	Nannofossils                                 	A              	M                 	                       	A                          	                          	A                    	                   	C                    	F                      	R                    	C                     	                       	                  	C                        	                      	R                        	R                  	                          	                     	                         	                         	                               	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 33	X	CC	  11.00	    299.6000	nannos   	Nannofossils                                 	A              	M                 	                       	C                          	                          	A                    	                   	                     	                       	                     	                      	                       	                  	C                        	F                     	                         	                   	                          	                     	                         	                         	                               	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 34	X	CC	  21.00	    310.3900	nannos   	Nannofossils                                 	A              	M                 	                       	C                          	                          	A                    	                   	                     	R                      	R                    	C                     	A                      	R                 	C                        	                      	                         	                   	                          	                     	                         	                         	                               	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	Early Miocene    	                 	CN2               	              	189	1170	A	 35	X	CC	  19.00	    318.4300	nannos   	Nannofossils                                 	A              	M                 	                       	A                          	                          	C                    	                   	                     	F                      	                     	C                     	A                      	                  	                         	                      	                         	                   	                          	                     	                         	                         	                               	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 36	X	CC	  16.00	    327.5200	nannos   	Nannofossils                                 	A              	M                 	                       	A                          	                          	A                    	                   	C                    	R                      	                     	R                     	                       	                  	                         	                      	                         	                   	                          	                     	                         	                         	                               	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 39	X	CC	  19.00	    356.5300	nannos   	Nannofossils                                 	A              	M                 	                       	C                          	                          	A                    	                   	C                    	C                      	C                    	                      	                       	                  	                         	                      	                         	                   	                          	                     	                         	                         	                               	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 40	X	CC	  25.00	    367.0300	nannos   	Nannofossils                                 	A              	M                 	                       	C                          	A                         	A                    	                   	                     	                       	                     	                      	                       	                  	                         	                      	                         	                   	                          	                     	                         	                         	                               	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 41	X	CC	  29.00	    376.5300	nannos   	Nannofossils                                 	A              	M                 	                       	A                          	A                         	A                    	                   	F                    	                       	                     	                      	                       	                  	                         	                      	                         	                   	                          	                     	                         	                         	                               	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 42	X	CC	  29.00	    387.1700	nannos   	Nannofossils                                 	A              	M                 	F                      	                           	                          	                     	                   	                     	                       	                     	                      	                       	                  	                         	                      	                         	                   	                          	                     	                         	                         	                               	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 43	X	CC	  14.00	    396.6300	nannos   	Nannofossils                                 	A              	M                 	C                      	                           	                          	                     	                   	                     	                       	                     	                      	                       	                  	                         	                      	                         	                   	                          	                     	                         	                         	                               	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 44	X	CC	  31.00	    405.8300	nannos   	Nannofossils                                 	A              	M                 	C                      	                           	                          	                     	C                  	                     	                       	                     	                      	                       	                  	                         	                      	                         	                   	                          	                     	                         	                         	                               	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 45	X	CC	  30.00	    410.0500	nannos   	Nannofossils                                 	A              	M                 	C                      	                           	                          	                     	C                  	                     	                       	                     	                      	                       	                  	                         	                      	                         	                   	                          	                     	                         	                         	                               	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 46	X	CC	  20.00	    421.8200	nannos   	Nannofossils                                 	A              	M                 	C                      	                           	                          	                     	C                  	                     	                       	                     	                      	                       	                  	                         	                      	                         	                   	                          	                     	                         	                         	                               	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 47	X	CC	  10.00	    430.9500	nannos   	Nannofossils                                 	A              	M                 	C                      	                           	                          	                     	C                  	                     	                       	                     	                      	                       	                  	                         	                      	                         	                   	                          	                     	                         	                         	                               	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 48	X	CC	  26.00	    435.2600	nannos   	Nannofossils                                 	A              	P                 	C                      	                           	                          	                     	C                  	                     	                       	                     	                      	                       	                  	                         	                      	                         	                   	                          	                     	                         	                         	                               	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 49	X	CC	  10.00	    450.2500	nannos   	Nannofossils                                 	A              	P                 	C                      	                           	                          	                     	C                  	                     	                       	                     	                      	                       	                  	                         	                      	                         	                   	                          	                     	                         	                         	                               	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	                 	                 	                  	              	189	1170	A	 50	X	CC	  22.00	    456.8200	nannos   	Nannofossils                                 	A              	P                 	C                      	                           	                          	                     	C                  	                     	                       	                     	                      	                       	                  	                         	                      	                         	                   	                          	                     	                         	                         	                               	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	Late Oligocene   	Early Oligocene  	CP19b             	CP17          	189	1170	A	 51	X	CC	  33.00	    459.3300	nannos   	Nannofossils                                 	A              	P                 	C                      	A                          	C                         	F                    	C                  	                     	                       	                     	                      	                       	                  	                         	                      	                         	                   	                          	                     	                         	                         	                               	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

  IR	Late Oligocene   	Early Oligocene  	CP19b             	CP17          	189	1170	A	 52	X	CC	  47.00	    464.2700	nannos   	Nannofossils                                 	A              	P                 	C                      	A                          	C                         	F                    	C                  	                     	                       	                     	                      	                       	                  	                         	                      	                         	                   	                          	                     	                         	                         	                               	                          	                      	                       	                  	                       	                       	                   	                    	                   	                    	                        	                  	                      	                         	                 	       

