Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina spp.,Stilostomella gracillima,Indeterminate ostracodes,Globocassidulina moluccensis,Uvigerina senticosa,Karreriella chapapotensis,Indeterminate sponge spicules,Indeterminate radiolarians,Indeterminate fish bone fragments,Cibicidoides dutemplei,Vulvulina spinosa,Gyroidinoides soldanii,Gyroidinoides altiformis,Cibicidoides micrus,Cibicidoides mundulus,Bulimina mexicana,Pullenia bulloides,Karreriella sp. 1,Bulimina jarvisi,Hoeglundina elegans,Sphaeroidina bulloides,Planulina rugosa,Anomalinoides semicribratus,Alabamina dissonata,Comment
  IR,                 ,                 ,                  ,              ,192,1184,A,  4,R,CC,   0.00,    163.1700,Sikora   ,Benthic Foraminifers                         ,C              ,VG                ,              ,                        ,R                       ,F                           ,                   ,F                        ,R                            ,R                         ,R                                ,                      ,R                ,R                     ,R                       ,                   ,                     ,T                ,T                 ,R                ,F               ,                   ,                      ,                ,                           ,                   ,early Miocene - most specimens indicate upper to middle slope but frequent B. jarvisi indicates no shallower than lower slope
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1184,A,  5,R, 1,  20.00,    163.5000,Sikora   ,Benthic Foraminifers                         ,F              ,VG                ,              ,                        ,                        ,R                           ,                   ,                         ,                             ,                          ,                                 ,                      ,                 ,                      ,                        ,                   ,                     ,T                ,                  ,                 ,                ,                   ,                      ,                ,                           ,                   ,Benthics given only cursory analysis in this sample
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1184,A,  5,R, 3,  20.00,    166.5000,Sikora   ,Benthic Foraminifers                         ,F              ,VG                ,              ,                        ,                        ,R                           ,                   ,                         ,R                            ,F                         ,                                 ,                      ,                 ,R                     ,                        ,                   ,T                    ,                 ,                  ,                 ,                ,                   ,                      ,                ,                           ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1184,A,  5,R,CC,   0.00,    167.7500,Sikora   ,Benthic Foraminifers                         ,F              ,VG                ,              ,F                       ,R                       ,R                           ,                   ,F                        ,T                            ,T                         ,R                                ,T                     ,F                ,T                     ,R                       ,T                  ,                     ,                 ,                  ,                 ,                ,                   ,                      ,                ,                           ,                   ,basal Miocene; influx of shallow-water spp. including nodosariids and Anomalinoides; influx of agglutinates; possible displacement of sediment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1184,A,  6,R,CC,   0.00,    178.7800,Sikora   ,Benthic Foraminifers                         ,R              ,VG                ,              ,T                       ,                        ,T                           ,T                  ,T                        ,R                            ,R                         ,T                                ,T                     ,                 ,                      ,                        ,                   ,                     ,                 ,                  ,                 ,                ,                   ,                      ,                ,                           ,                   ,basal Miocene
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,192,1184,A,  7,R,CC,   0.00,    190.7800,Sikora   ,Benthic Foraminifers                         ,R              ,VG                ,T             ,T                       ,R                       ,R                           ,                   ,                         ,                             ,                          ,                                 ,                      ,                 ,                      ,                        ,                   ,                     ,                 ,                  ,                 ,                ,                   ,                      ,                ,                           ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
