Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Toweius pertusus,Toweius callosus,Prinsius bisulcus,Placozygus sigmoides,Heliolithus kleinpellii,Fasciculithus tympaniformis,Fasciculithus clinatus,Ericsonia subpertusa,Ellipsolithus macellus,Discoaster mohleri,Cruciplacolithus tenuis,Cruciplacolithus californicus,Coccolithus pelagicus,Chiasmolithus consuetus,Chiasmolithus bidens,Toweius eminens,Markalius inversus,Heliolithus riedelii,Sphenolithus primus,Neococcolithes bukryi,Fasciculithus tonii,Discoaster nobilis,Discoaster cf. D. multiradiatus,Discoaster cf. D. mediosus,Tribrachiatus orthostylus,Toweius magnicrassus,Sphenolithus radians,Ericsonia formosa,Discoaster multiradiatus,Discoaster lodoensis,Discoaster kuepperi,Discoaster falcatus,Discoaster diastypus,Chiasmolithus expansus,Chiasmolithus danicus,Zygrhablithus bijugatus,Discoaster saipanensis/barbadensi,Discoaster barbadiensis,Chiasmolithus solitus,Chiasmolithus eograndis,Chiasmolithus grandis,Chiasmolithus extensus,Toweius gammation,Reticulofenestra pseudogammation,Neococcolithes dubius,Nannotetrina cristata,Discoaster sublodoensis,Cyclicargolithus floridanus,Coccolithus crassus,Sphenolithus furcatolithoides,Reticulofenestra dictyoda,Nannotetrina fulgens,Discoaster gemmifer,Dictyococcites spp.,Chiasmolithus spp.,Dictyococcites bisectus,Discoaster spp.,Discoaster bifax,Cyclicargolithus abisectus,Coccolithus eopelagicus,Chiasmolithus oamaruensis,Coronocyclus spp.,Calcidiscus macintyrei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,E,  4,R,CC,  11.00,    662.7800,Olafsson ,Nannofossils                                 ,A              ,M                 ,                ,                ,                 ,                    ,                       ,                           ,                      ,                    ,                      ,                  ,                       ,                             ,F                    ,                       ,                    ,               ,                  ,                    ,                   ,                     ,                   ,                  ,                               ,                          ,                         ,                    ,                    ,                 ,                        ,                    ,                   ,                   ,                    ,                      ,                     ,                       ,                                 ,                       ,                     ,                       ,                     ,                      ,                 ,                                ,                     ,                     ,                       ,                           ,                   ,                             ,                         ,                    ,                   ,                   ,                  ,F                      ,               ,                ,F                         ,                       ,                         ,                 ,                      ,from Leg 145 SR; Ch 39; Table 11; p 625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,E,  5,R,CC,  11.00,    674.9200,Olafsson ,Nannofossils                                 ,C              ,M                 ,                ,                ,                 ,                    ,                       ,                           ,                      ,                    ,                      ,                  ,                       ,                             ,R                    ,                       ,                    ,               ,                  ,                    ,                   ,                     ,                   ,                  ,                               ,                          ,                         ,                    ,                    ,                 ,                        ,                    ,                   ,                   ,                    ,                      ,                     ,                       ,                                 ,                       ,                     ,                       ,                     ,                      ,                 ,                                ,                     ,                     ,                       ,F                          ,                   ,                             ,                         ,                    ,                   ,                   ,                  ,R                      ,               ,                ,                          ,                       ,                         ,R                ,                      ,from Leg 145 SR; Ch 39; Table 11; p 625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,E,  6,R,CC,  15.00,    686.9700,Olafsson ,Nannofossils                                 ,A              ,M                 ,                ,                ,                 ,                    ,                       ,                           ,                      ,                    ,                      ,                  ,                       ,                             ,                     ,                       ,                    ,               ,                  ,                    ,                   ,                     ,                   ,                  ,                               ,                          ,                         ,                    ,                    ,                 ,                        ,                    ,                   ,                   ,                    ,                      ,                     ,                       ,                                 ,                       ,                     ,                       ,                     ,                      ,                 ,                                ,                     ,                     ,                       ,C                          ,                   ,                             ,                         ,                    ,                   ,F                  ,                  ,F                      ,               ,                ,F                         ,R                      ,R                        ,                 ,                      ,from Leg 145 SR; Ch 39; Table 11; p 625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,E,  7,R,CC,   4.00,    698.3200,Olafsson ,Nannofossils                                 ,A              ,G                 ,                ,                ,                 ,                    ,                       ,                           ,                      ,                    ,                      ,                  ,                       ,                             ,                     ,                       ,                    ,               ,                  ,                    ,                   ,                     ,                   ,                  ,                               ,                          ,                         ,                    ,                    ,                 ,                        ,                    ,                   ,                   ,                    ,                      ,                     ,                       ,                                 ,                       ,                     ,                       ,                     ,                      ,                 ,                                ,                     ,                     ,                       ,A                          ,                   ,                             ,                         ,                    ,                   ,                   ,                  ,F                      ,R              ,                ,F                         ,R                      ,                         ,                 ,                      ,from Leg 145 SR; Ch 39; Table 11; p 625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,E,  8,R,CC,   3.00,    700.9700,Olafsson ,Nannofossils                                 ,A              ,M                 ,                ,                ,                 ,                    ,                       ,                           ,                      ,                    ,                      ,                  ,                       ,                             ,                     ,                       ,                    ,               ,                  ,                    ,                   ,                     ,                   ,                  ,                               ,                          ,                         ,                    ,                    ,                 ,                        ,                    ,                   ,                   ,                    ,                      ,                     ,                       ,                                 ,                       ,                     ,                       ,                     ,                      ,                 ,                                ,                     ,                     ,                       ,C                          ,                   ,                             ,                         ,                    ,                   ,F                  ,                  ,F                      ,               ,                ,F                         ,                       ,                         ,                 ,                      ,from Leg 145 SR; Ch 39; Table 11; p 625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,E,  9,R,CC,  18.00,    711.3600,Olafsson ,Nannofossils                                 ,A              ,M                 ,                ,                ,                 ,                    ,                       ,                           ,                      ,                    ,                      ,                  ,                       ,                             ,F                    ,                       ,                    ,               ,                  ,                    ,                   ,                     ,                   ,                  ,                               ,                          ,                         ,                    ,                    ,                 ,                        ,                    ,                   ,                   ,                    ,                      ,                     ,                       ,R                                ,                       ,                     ,                       ,R                    ,                      ,                 ,                                ,                     ,                     ,                       ,C                          ,                   ,                             ,                         ,                    ,                   ,                   ,                  ,                       ,               ,?               ,F                         ,                       ,                         ,                 ,                      ,from Leg 145 SR; Ch 39; Table 11; p 625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,E, 10,R,CC,  27.00,    719.1700,Olafsson ,Nannofossils                                 ,A              ,P                 ,                ,                ,                 ,                    ,                       ,                           ,                      ,                    ,                      ,                  ,                       ,                             ,                     ,                       ,                    ,               ,                  ,                    ,                   ,                     ,                   ,                  ,                               ,                          ,                         ,                    ,                    ,                 ,                        ,                    ,                   ,                   ,                    ,                      ,                     ,                       ,                                 ,                       ,                     ,                       ,                     ,                      ,                 ,                                ,                     ,                     ,                       ,F                          ,                   ,                             ,                         ,                    ,                   ,                   ,                  ,                       ,R              ,                ,                          ,                       ,                         ,                 ,                      ,from Leg 145 SR; Ch 39; Table 11; p 625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,E, 11,R,CC,   9.00,    733.2300,Olafsson ,Nannofossils                                 ,A              ,P                 ,                ,                ,                 ,                    ,                       ,                           ,                      ,                    ,                      ,                  ,                       ,                             ,A                    ,                       ,                    ,               ,                  ,                    ,                   ,                     ,                   ,                  ,                               ,                          ,                         ,                    ,                    ,                 ,                        ,                    ,                   ,                   ,                    ,                      ,                     ,                       ,+                                ,                       ,R                    ,                       ,                     ,                      ,                 ,                                ,                     ,                     ,                       ,C                          ,                   ,                             ,                         ,                    ,R                  ,                   ,                  ,C                      ,               ,                ,                          ,                       ,                         ,                 ,                      ,from Leg 145 SR; Ch 39; Table 11; p 625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,E, 12,R, 6,  30.00,    746.4000,Olafsson ,Nannofossils                                 ,A              ,P                 ,                ,                ,                 ,                    ,                       ,                           ,                      ,                    ,                      ,                  ,                       ,                             ,                     ,                       ,                    ,               ,                  ,                    ,                   ,                     ,                   ,                  ,                               ,                          ,                         ,                    ,                    ,                 ,                        ,                    ,                   ,                   ,                    ,                      ,                     ,                       ,                                 ,                       ,                     ,                       ,                     ,                      ,                 ,                                ,                     ,                     ,                       ,A                          ,                   ,                             ,                         ,                    ,C                  ,+                  ,C                 ,                       ,               ,                ,                          ,                       ,                         ,                 ,                      ,from Leg 145 SR; Ch 39; Table 11; p 625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NP15a             ,              ,145, 883,E, 13,R,CC,  10.00,    755.6200,Beaufort ,Nannofossils                                 ,A              ,M                 ,                ,                ,                 ,                    ,                       ,                           ,                      ,                    ,                      ,                  ,                       ,                             ,                     ,                       ,                    ,               ,                  ,                    ,                   ,                     ,                   ,                  ,                               ,                          ,                         ,                    ,R                   ,A                ,                        ,R                   ,                   ,                   ,                    ,                      ,                     ,R                      ,C                                ,                       ,C                    ,                       ,                     ,                      ,                 ,C                               ,F                    ,R                    ,R                      ,                           ,                   ,cf                           ,A                        ,cf                  ,                   ,                   ,                  ,                       ,               ,                ,                          ,                       ,                         ,                 ,                      ,from Leg 145; Ch 40; Table 1; pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NP14b             ,              ,145, 883,E, 14,R,CC,  15.00,    759.5500,Beaufort ,Nannofossils                                 ,A              ,M                 ,                ,                ,                 ,                    ,                       ,                           ,                      ,                    ,                      ,                  ,                       ,                             ,C                    ,                       ,                    ,               ,                  ,                    ,                   ,                     ,                   ,                  ,                               ,                          ,                         ,F                   ,R                   ,                 ,                        ,R                   ,                   ,                   ,                    ,F                     ,                     ,C                      ,+                                ,R                      ,C                    ,                       ,                     ,                      ,R                ,C                               ,R                    ,R                    ,R                      ,A                          ,cf                 ,                             ,                         ,                    ,                   ,                   ,                  ,                       ,               ,                ,                          ,                       ,                         ,                 ,                      ,from Leg 145; Ch 40; Table 1; pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,E, 15,R,CC,  13.00,    772.5900,Olafsson ,Nannofossils                                 ,A              ,M                 ,                ,                ,                 ,                    ,                       ,                           ,                      ,                    ,                      ,                  ,                       ,                             ,A                    ,                       ,                    ,               ,                  ,                    ,                   ,                     ,                   ,                  ,                               ,                          ,                         ,                    ,                    ,                 ,                        ,R                   ,                   ,                   ,                    ,                      ,                     ,                       ,C                                ,                       ,+                    ,                       ,                     ,+                     ,                 ,                                ,                     ,                     ,                       ,                           ,                   ,                             ,                         ,                    ,                   ,                   ,                  ,                       ,               ,                ,                          ,                       ,                         ,                 ,                      ,from Leg 145 SR; Ch 39; Table 11; p 625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,E, 16,R,CC,  11.00,    781.8600,Olafsson ,Nannofossils                                 ,A              ,M                 ,                ,                ,                 ,                    ,                       ,                           ,                      ,                    ,                      ,                  ,                       ,                             ,+                    ,                       ,                    ,               ,                  ,                    ,                   ,                     ,                   ,                  ,                               ,                          ,                         ,                    ,                    ,                 ,                        ,A                   ,+                  ,                   ,                    ,                      ,                     ,                       ,+                                ,                       ,+                    ,                       ,+                    ,+                     ,                 ,                                ,                     ,                     ,                       ,                           ,                   ,                             ,                         ,                    ,                   ,                   ,                  ,                       ,               ,                ,                          ,                       ,                         ,                 ,                      ,from Leg 145 SR; Ch 39; Table 11; p 625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,E, 17,R,CC,  18.00,    790.6600,Olafsson ,Nannofossils                                 ,C              ,P                 ,                ,                ,                 ,                    ,                       ,                           ,                      ,                    ,                      ,                  ,                       ,                             ,C                    ,                       ,                    ,               ,                  ,                    ,                   ,                     ,                   ,                  ,                               ,                          ,                         ,                    ,                    ,                 ,                        ,C                   ,F                  ,                   ,                    ,                      ,                     ,                       ,                                 ,                       ,                     ,                       ,                     ,                      ,                 ,                                ,                     ,                     ,                       ,                           ,                   ,                             ,                         ,                    ,                   ,                   ,                  ,                       ,               ,                ,                          ,                       ,                         ,                 ,                      ,from Leg 145 SR; Ch 39; Table 11; p 625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NP12              ,NP13          ,145, 883,E, 18,R,CC,  10.00,    798.7300,Beaufort ,Nannofossils                                 ,C              ,P                 ,R               ,R               ,                 ,                    ,                       ,                           ,                      ,                    ,                      ,                  ,                       ,                             ,A                    ,                       ,                    ,               ,                  ,                    ,                   ,                     ,                   ,                  ,                               ,                          ,F                        ,F                   ,R                   ,C                ,                        ,C                   ,+                  ,                   ,                    ,                      ,                     ,F                      ,+                                ,R                      ,C                    ,R                      ,                     ,                      ,                 ,                                ,                     ,                     ,                       ,                           ,                   ,                             ,                         ,                    ,                   ,                   ,                  ,                       ,               ,                ,                          ,                       ,                         ,                 ,                      ,from Leg 145; Ch 40; Table 1; pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NP8               ,NP9           ,145, 883,E, 19,R, 1,   5.00,    807.5500,Beaufort ,Nannofossils                                 ,A              ,M                 ,F               ,F               ,                 ,                    ,                       ,F                          ,                      ,                    ,                      ,                  ,R                      ,                             ,C                    ,R                      ,R                   ,               ,                  ,                    ,                   ,R                    ,R                  ,                  ,                               ,                          ,R                        ,R                   ,R                   ,R                ,R                       ,R                   ,F                  ,R                  ,R                   ,R                     ,R                    ,                       ,                                 ,                       ,                     ,                       ,                     ,                      ,                 ,                                ,                     ,                     ,                       ,                           ,                   ,                             ,                         ,                    ,                   ,                   ,                  ,                       ,               ,                ,                          ,                       ,                         ,                 ,                      ,from Leg 145; Ch 40; Table 1; pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NP8               ,              ,145, 883,E, 19,R, 1,  16.00,    807.6600,Beaufort ,Nannofossils                                 ,A              ,M                 ,                ,                ,                 ,                    ,                       ,                           ,                      ,R                   ,                      ,R                 ,                       ,                             ,C                    ,R                      ,R                   ,R              ,                  ,R                   ,R                  ,                     ,                   ,R                 ,R                              ,R                         ,                         ,                    ,                    ,                 ,                        ,                    ,                   ,                   ,                    ,                      ,                     ,                       ,                                 ,                       ,                     ,                       ,                     ,                      ,                 ,                                ,                     ,                     ,                       ,                           ,                   ,                             ,                         ,                    ,                   ,                   ,                  ,                       ,               ,                ,                          ,                       ,                         ,                 ,                      ,from Leg 145; Ch 40; Table 1; pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NP8               ,              ,145, 883,E, 19,R, 1,  20.00,    807.7000,Beaufort ,Nannofossils                                 ,A              ,M                 ,                ,                ,                 ,                    ,                       ,F                          ,                      ,R                   ,                      ,R                 ,                       ,R                            ,C                    ,                       ,                    ,               ,                  ,                    ,R                  ,R                    ,R                  ,R                 ,                               ,                          ,                         ,                    ,                    ,                 ,                        ,                    ,                   ,                   ,                    ,                      ,                     ,                       ,                                 ,                       ,                     ,                       ,                     ,                      ,                 ,                                ,                     ,                     ,                       ,                           ,                   ,                             ,                         ,                    ,                   ,                   ,                  ,                       ,               ,                ,                          ,                       ,                         ,                 ,                      ,from Leg 145; Ch 40; Table 1; pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NP8               ,              ,145, 883,E, 19,R, 1,  75.00,    808.2500,Beaufort ,Nannofossils                                 ,C              ,P                 ,                ,                ,R                ,C                   ,                       ,R                          ,                      ,R                   ,R                     ,F                 ,F                      ,R                            ,C                    ,F                      ,                    ,R              ,R                 ,R                   ,                   ,                     ,                   ,                  ,                               ,                          ,                         ,                    ,                    ,                 ,                        ,                    ,                   ,                   ,                    ,                      ,                     ,                       ,                                 ,                       ,                     ,                       ,                     ,                      ,                 ,                                ,                     ,                     ,                       ,                           ,                   ,                             ,                         ,                    ,                   ,                   ,                  ,                       ,               ,                ,                          ,                       ,                         ,                 ,                      ,from Leg 145; Ch 40; Table 1; pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NP7               ,              ,145, 883,E, 19,R, 1, 113.00,    808.6300,Beaufort ,Nannofossils                                 ,A              ,M                 ,R               ,cf              ,R                ,C                   ,C                      ,C                          ,R                     ,R                   ,R                     ,R                 ,R                      ,R                            ,C                    ,F                      ,F                   ,               ,                  ,                    ,                   ,                     ,                   ,                  ,                               ,                          ,                         ,                    ,                    ,                 ,                        ,                    ,                   ,                   ,                    ,                      ,                     ,                       ,                                 ,                       ,                     ,                       ,                     ,                      ,                 ,                                ,                     ,                     ,                       ,                           ,                   ,                             ,                         ,                    ,                   ,                   ,                  ,                       ,               ,                ,                          ,                       ,                         ,                 ,                      ,from Leg 145; Ch 40; Table 1; pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
