Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Micula decussata	Eiffellithus turriseiffelii	Cretarhabdus crenulatus	Tranolithus phacelosus	Prediscosphaera cretacea	Parhabdolithus embergeri	Nannoconus truitti	Nannoconus regularis	Manivitella pemmatoidea	Glaukolithus compactus	Reinhardtites anthophorus	Prediscosphaera cf. ponticula	Placozygus fibuliformis	Lithraphidites carniolensis	Gartnerago obliquum	Gartnerago aff. obliquum (<6 microns)	Eprolithus floralis	Cribrosphaerella ehrenbergii	Chiastozygus litterarius	Stoverius coronatus	Microrhabdulus decoratus	Lucianorhabdus cayeuxii	Nannoconus multicadus	Lithastrinus cf. moratus	Rucinolithus hayi	Haqius circumradiatus	Eiffellithus eximius	Arkhangelskiella cymbiformis	Kamptnerius magnificus	Ahmuellerella octoradiata	Vekshinella stradnerii	Rhagodiscus reniformis	Aspidolithus parcus parcus	Aspidolithus parcus constrictus	Calculites obscurus	Reinhardtites levis	Pervilithus varius	Biscutum constans	Quadrum gothicum	Ceratolithoides aculeus	Quadrum trifidum	Gephyrorhabdus cf. coronadventis	Prediscosphaera honjoi	Rhagodiscus angustus	Vekshinella angusta	Prediscosphaera spinosa	Chiastozygus platyrhethus	Micula praemurus	Lithraphidites quadratus	Micula murus	Coccolithus pelagicus	Toweius gammation	Neococcolithes dubius	Helicosphaera salebrosa	Ericsonia formosa	Discoaster barbadiensis	Clausicoccus fenestratus	Chiasmolithus bidens	Campylosphaera eodela	Calcidiscus protoannulus	Zygrhablithus bijugatus	Sphenolithus spiniger	Sphenolithus predistentus	Sphenolithus moriformis	Sphenolithus intercalaris	Reticulofenestra umbilica	Reticulofenestra hillae	Reticulofenestra dictyoda	Helicosphaera compacta	Discoaster tanii tanii	Discoaster tanii nodifer	Discoaster saipanensis	Discoaster deflandrei	Dictyococcites scrippsae	Dictyococcites bisectus	Cyclicargolithus floridanus	Cribrocentrum reticulatum	Cribrocentrum coenurum	Coccolithus eopelagicus	Chiasmolithus solitus	Chiasmolithus grandis	Bramletteius serraculoides	Sphenolithus obtusus	Lanternithus minutus	Chiasmolithus nitidus	Cruciplacolithus tarquinius	Campylosphaera dela	Sphenolithus furcatolithoides	Helicosphaera euphratis	Helicosphaera bramlettei	Helicosphaera wilcoxonii	Sphenolithus radians	Sphenolithus celsus	Reticulofenestra callida	Chiasmolithus oamaruensis	Chiasmolithus expansus	Discoaster tanii ornatus	Chiasmolithus medius	Comment

  SR	Middle Eocene    	                 	CP14b             	              	160	 967	E	  4	R	 3	 126.00	    142.3900	Staerker 	Nannofossils                                 	               	                  	                    	                	                           	                       	                      	                        	                        	                  	                    	                       	                      	                         	                             	                       	                           	                   	                                     	                   	                            	                        	                   	                        	                       	                     	                        	                 	                     	                    	                            	                      	                         	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	C                    	                 	                     	                       	A                	C                      	                        	                    	                     	F                       	A                      	                     	                         	C                      	C                        	C                        	                       	A                        	C                     	F                     	F                       	A                     	F                    	                        	C                      	C                          	C                        	C                     	C                      	                     	F                    	                          	                    	F                   	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Middle Eocene    	                 	CP14b             	              	160	 967	E	  5	R	 1	  33.00	    148.3300	Staerker 	Nannofossils                                 	               	                  	                    	                	                           	                       	                      	                        	                        	                  	                    	                       	                      	                         	                             	                       	                           	                   	                                     	                   	                            	                        	                   	                        	                       	                     	                        	                 	                     	                    	                            	                      	                         	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	A                    	                 	R                    	                       	A                	A                      	                        	                    	                     	A                       	A                      	                     	                         	C                      	                         	C                        	                       	A                        	F                     	F                     	F                       	A                     	C                    	C                       	C                      	C                          	C                        	F                     	A                      	                     	C                    	F                         	                    	R                   	                     	                           	                   	                             	                       	                        	                        	F                   	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Middle Eocene    	                 	CP14b             	              	160	 967	E	  5	R	 1	 111.00	    149.1100	Staerker 	Nannofossils                                 	               	                  	                    	                	                           	                       	                      	                        	                        	                  	                    	                       	                      	                         	                             	                       	                           	                   	                                     	                   	                            	                        	                   	                        	                       	                     	                        	                 	                     	                    	                            	                      	                         	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	A                    	                 	                     	                       	A                	A                      	R                       	                    	                     	C                       	A                      	                     	                         	A                      	                         	A                        	                       	A                        	R                     	F                     	C                       	A                     	C                    	C                       	A                      	C                          	C                        	F                     	C                      	                     	F                    	F                         	                    	F                   	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Middle Eocene    	                 	CP14b             	              	160	 967	E	  5	R	 2	  10.00	    149.5400	Staerker 	Nannofossils                                 	               	                  	                    	                	                           	                       	                      	                        	                        	                  	                    	                       	                      	                         	                             	                       	                           	                   	                                     	                   	                            	                        	                   	                        	                       	                     	                        	                 	                     	                    	                            	                      	                         	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	A                    	                 	                     	                       	A                	C                      	                        	                    	                     	C                       	A                      	                     	                         	C                      	                         	C                        	                       	A                        	R                     	F                     	F                       	C                     	C                    	F                       	A                      	C                          	C                        	C                     	C                      	                     	F                    	F                         	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Middle Eocene    	                 	CP14b             	              	160	 967	E	  5	R	 2	 107.00	    150.5100	Staerker 	Nannofossils                                 	               	                  	                    	                	                           	                       	                      	                        	                        	                  	                    	                       	                      	                         	                             	                       	                           	                   	                                     	                   	                            	                        	                   	                        	                       	                     	                        	                 	                     	                    	                            	                      	                         	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	A                    	                 	                     	                       	C                	C                      	                        	                    	                     	A                       	A                      	                     	                         	C                      	                         	F                        	                       	A                        	                      	F                     	F                       	C                     	F                    	                        	A                      	C                          	C                        	F                     	C                      	                     	F                    	                          	                    	R                   	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Middle Eocene    	                 	CP14a             	              	160	 967	E	  5	R	 3	  17.00	    151.0700	Staerker 	Nannofossils                                 	               	                  	                    	                	                           	                       	                      	                        	                        	                  	                    	                       	                      	                         	                             	                       	                           	                   	                                     	                   	                            	                        	                   	                        	                       	                     	                        	                 	                     	                    	                            	                      	                         	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	A                    	                 	R                    	                       	C                	C                      	F                       	                    	                     	A                       	A                      	                     	                         	C                      	                         	F                        	                       	C                        	F                     	F                     	                        	C                     	F                    	F                       	C                      	A                          	                         	C                     	C                      	R                    	F                    	F                         	                    	R                   	                     	                           	R                  	                             	                       	                        	R                       	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Middle Eocene    	                 	CP14a             	              	160	 967	E	  5	R	 3	 117.00	    152.0700	Staerker 	Nannofossils                                 	               	                  	                    	                	                           	                       	                      	                        	                        	                  	                    	                       	                      	                         	                             	                       	                           	                   	                                     	                   	                            	                        	                   	                        	                       	                     	                        	                 	                     	                    	                            	                      	                         	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	A                    	                 	R                    	                       	A                	F                      	                        	                    	                     	A                       	A                      	                     	                         	A                      	                         	F                        	                       	C                        	                      	R                     	F                       	F                     	                     	F                       	C                      	A                          	                         	C                     	C                      	                     	F                    	F                         	                    	F                   	                     	                           	R                  	                             	                       	                        	R                       	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Middle Eocene    	                 	CP14a             	              	160	 967	E	  5	R	 4	 101.00	    153.2200	Staerker 	Nannofossils                                 	               	                  	                    	                	                           	                       	                      	                        	                        	                  	                    	                       	                      	                         	                             	                       	                           	                   	                                     	                   	                            	                        	                   	                        	                       	                     	                        	                 	                     	                    	                            	                      	                         	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	A                    	                 	                     	                       	A                	C                      	                        	                    	                     	C                       	A                      	                     	                         	A                      	                         	F                        	                       	C                        	F                     	F                     	F                       	C                     	F                    	                        	C                      	A                          	                         	F                     	F                      	                     	R                    	F                         	F                   	C                   	                     	                           	                   	R                            	F                      	F                       	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4
