Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Micula decussata	Eiffellithus turriseiffelii	Cretarhabdus crenulatus	Tranolithus phacelosus	Prediscosphaera cretacea	Parhabdolithus embergeri	Nannoconus truitti	Nannoconus regularis	Manivitella pemmatoidea	Glaukolithus compactus	Reinhardtites anthophorus	Prediscosphaera cf. ponticula	Placozygus fibuliformis	Lithraphidites carniolensis	Gartnerago obliquum	Gartnerago aff. obliquum (<6 microns)	Eprolithus floralis	Cribrosphaerella ehrenbergii	Chiastozygus litterarius	Stoverius coronatus	Microrhabdulus decoratus	Lucianorhabdus cayeuxii	Nannoconus multicadus	Lithastrinus cf. moratus	Rucinolithus hayi	Haqius circumradiatus	Eiffellithus eximius	Arkhangelskiella cymbiformis	Kamptnerius magnificus	Ahmuellerella octoradiata	Vekshinella stradnerii	Rhagodiscus reniformis	Aspidolithus parcus parcus	Aspidolithus parcus constrictus	Calculites obscurus	Reinhardtites levis	Pervilithus varius	Biscutum constans	Quadrum gothicum	Ceratolithoides aculeus	Quadrum trifidum	Gephyrorhabdus cf. coronadventis	Prediscosphaera honjoi	Rhagodiscus angustus	Vekshinella angusta	Prediscosphaera spinosa	Chiastozygus platyrhethus	Micula praemurus	Lithraphidites quadratus	Micula murus	Coccolithus pelagicus	Toweius gammation	Neococcolithes dubius	Helicosphaera salebrosa	Ericsonia formosa	Discoaster barbadiensis	Clausicoccus fenestratus	Chiasmolithus bidens	Campylosphaera eodela	Calcidiscus protoannulus	Zygrhablithus bijugatus	Sphenolithus spiniger	Sphenolithus predistentus	Sphenolithus moriformis	Sphenolithus intercalaris	Reticulofenestra umbilica	Reticulofenestra hillae	Reticulofenestra dictyoda	Helicosphaera compacta	Discoaster tanii tanii	Discoaster tanii nodifer	Discoaster saipanensis	Discoaster deflandrei	Dictyococcites scrippsae	Dictyococcites bisectus	Cyclicargolithus floridanus	Cribrocentrum reticulatum	Cribrocentrum coenurum	Coccolithus eopelagicus	Chiasmolithus solitus	Chiasmolithus grandis	Bramletteius serraculoides	Sphenolithus obtusus	Lanternithus minutus	Chiasmolithus nitidus	Cruciplacolithus tarquinius	Campylosphaera dela	Sphenolithus furcatolithoides	Helicosphaera euphratis	Helicosphaera bramlettei	Helicosphaera wilcoxonii	Sphenolithus radians	Sphenolithus celsus	Reticulofenestra callida	Chiasmolithus oamaruensis	Chiasmolithus expansus	Discoaster tanii ornatus	Chiasmolithus medius	Comment

  SR	Maestrichtian    	                 	NC21B             	              	160	 967	E	 11	R	 3	  65.00	    208.4800	Staerker 	Nannofossils                                 	               	                  	A                   	C               	C                          	C                      	                      	A                       	F                       	                  	                    	                       	F                     	                         	                             	A                      	R                          	C                  	F                                    	                   	A                           	                        	                   	C                       	                       	                     	                        	                 	                     	                    	C                           	F                     	F                        	                      	                      	                          	                               	                   	                   	                  	F                	                	F                      	                	                                	                      	                    	                   	R                      	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC21B             	              	160	 967	E	 12	R	 1	 130.00	    216.7000	Staerker 	Nannofossils                                 	               	                  	A                   	C               	C                          	A                      	                      	C                       	C                       	                  	                    	                       	C                     	                         	                             	C                      	                           	C                  	F                                    	                   	A                           	                        	                   	C                       	                       	                     	                        	                 	                     	                    	C                           	                      	F                        	R                     	                      	                          	                               	                   	                   	                  	F                	                	R                      	                	                                	                      	                    	                   	R                      	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC21B             	              	160	 967	E	 12	R	 3	  54.00	    218.7000	Staerker 	Nannofossils                                 	               	                  	A                   	C               	C                          	C                      	R                     	C                       	F                       	                  	                    	F                      	F                     	                         	                             	C                      	R                          	C                  	F                                    	                   	A                           	                        	                   	C                       	                       	                     	                        	                 	                     	                    	C                           	F                     	F                        	F                     	                      	                          	                               	                   	                   	R                 	R                	                	                       	                	                                	                      	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC21B             	              	160	 967	E	 12	R	 3	  90.00	    219.0600	Staerker 	Nannofossils                                 	               	                  	C                   	C               	C                          	A                      	F                     	C                       	F                       	                  	                    	                       	C                     	                         	F                            	A                      	                           	C                  	F                                    	                   	A                           	R                       	                   	F                       	                       	                     	                        	                 	R                    	                    	C                           	                      	C                        	F                     	                      	                          	                               	                   	                   	R                 	R                	                	                       	                	R                               	                      	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC21B             	              	160	 967	E	 12	R	 4	  11.00	    219.6100	Staerker 	Nannofossils                                 	               	                  	C                   	C               	F                          	C                      	F                     	C                       	F                       	                  	                    	R                      	C                     	                         	                             	A                      	                           	F                  	C                                    	                   	A                           	F                       	                   	F                       	R                      	                     	                        	                 	R                    	                    	A                           	                      	C                        	                      	                      	                          	                               	                   	                   	                  	F                	                	                       	                	                                	                      	                    	                   	R                      	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC21B             	              	160	 967	E	 13	R	 1	 108.00	    226.1800	Staerker 	Nannofossils                                 	               	                  	A                   	C               	C                          	                       	F                     	A                       	R                       	                  	                    	R                      	C                     	                         	                             	A                      	R                          	                   	C                                    	                   	A                           	                        	                   	A                       	                       	                     	                        	                 	                     	                    	A                           	                      	C                        	                      	                      	                          	                               	                   	                   	F                 	F                	                	R                      	                	                                	                      	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC21B             	              	160	 967	E	 13	R	 2	 112.00	    227.6600	Staerker 	Nannofossils                                 	               	                  	C                   	C               	C                          	                       	F                     	C                       	R                       	                  	                    	                       	C                     	                         	                             	A                      	R                          	                   	                                     	                   	A                           	                        	                   	C                       	                       	                     	                        	                 	                     	                    	C                           	                      	F                        	                      	                      	                          	                               	                   	                   	                  	                 	                	                       	                	                                	                      	                    	                   	F                      	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC21B             	              	160	 967	E	 13	R	 3	   1.00	    227.9400	Staerker 	Nannofossils                                 	               	                  	A                   	C               	C                          	                       	R                     	F                       	                        	                  	                    	F                      	C                     	                         	                             	A                      	F                          	                   	F                                    	                   	A                           	                        	                   	C                       	                       	                     	                        	                 	R                    	                    	C                           	                      	F                        	                      	R                     	                          	                               	                   	                   	R                 	F                	                	F                      	                	                                	F                     	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC21B             	              	160	 967	E	 14	R	 1	  78.00	    235.4800	Staerker 	Nannofossils                                 	               	                  	C                   	C               	A                          	                       	R                     	C                       	F                       	                  	                    	R                      	C                     	                         	R                            	A                      	F                          	                   	F                                    	                   	A                           	R                       	                   	C                       	                       	                     	                        	                 	R                    	                    	A                           	                      	R                        	                      	                      	                          	                               	                   	                   	F                 	F                	                	R                      	                	R                               	F                     	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC21B             	              	160	 967	E	 14	R	 1	 106.00	    235.7600	Staerker 	Nannofossils                                 	               	                  	C                   	C               	C                          	                       	R                     	C                       	R                       	                  	                    	R                      	C                     	                         	F                            	C                      	F                          	                   	R                                    	                   	A                           	R                       	                   	C                       	F                      	                     	                        	                 	R                    	                    	A                           	                      	F                        	                      	R                     	                          	                               	                   	                   	R                 	F                	                	F                      	                	F                               	                      	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC21B             	              	160	 967	E	 14	R	 2	  11.00	    236.3100	Staerker 	Nannofossils                                 	               	                  	C                   	C               	C                          	                       	C                     	C                       	F                       	                  	                    	R                      	C                     	                         	                             	C                      	F                          	R                  	F                                    	                   	A                           	F                       	                   	C                       	                       	                     	                        	                 	R                    	                    	A                           	                      	F                        	                      	                      	                          	                               	                   	                   	R                 	F                	                	C                      	                	                                	                      	R                   	F                  	R                      	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC20              	              	160	 967	E	 14	R	 2	 140.00	    237.6000	Staerker 	Nannofossils                                 	               	                  	C                   	C               	F                          	                       	F                     	C                       	R                       	                  	                    	R                      	C                     	                         	                             	C                      	F                          	F                  	F                                    	                   	A                           	F                       	                   	C                       	R                      	                     	                        	                 	R                    	                    	C                           	                      	C                        	                      	F                     	                          	F                              	                   	F                  	F                 	R                	                	F                      	R               	R                               	                      	R                   	F                  	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC20              	              	160	 967	E	 14	R	 3	  24.00	    237.9400	Staerker 	Nannofossils                                 	               	                  	C                   	C               	F                          	                       	F                     	C                       	R                       	                  	                    	R                      	C                     	                         	                             	C                      	F                          	R                  	F                                    	                   	A                           	F                       	                   	C                       	R                      	                     	                        	                 	                     	                    	C                           	                      	R                        	                      	                      	                          	R                              	                   	F                  	                  	                 	F               	                       	F               	                                	                      	                    	F                  	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC20              	              	160	 967	E	 15	R	 1	  62.00	    244.9200	Staerker 	Nannofossils                                 	               	                  	A                   	C               	C                          	                       	F                     	C                       	F                       	                  	                    	F                      	C                     	                         	                             	C                      	F                          	                   	F                                    	                   	A                           	                        	                   	C                       	                       	                     	                        	                 	                     	                    	C                           	                      	R                        	R                     	                      	                          	                               	                   	C                  	                  	R                	F               	R                      	F               	                                	                      	                    	R                  	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC20              	              	160	 967	E	 15	R	 1	 107.00	    245.3700	Staerker 	Nannofossils                                 	               	                  	A                   	F               	C                          	                       	F                     	C                       	F                       	                  	                    	                       	C                     	                         	                             	C                      	F                          	                   	F                                    	                   	A                           	                        	                   	C                       	                       	                     	                        	                 	                     	                    	C                           	                      	R                        	R                     	                      	                          	R                              	                   	C                  	F                 	                 	F               	                       	F               	                                	                      	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC20              	              	160	 967	E	 15	R	 2	   4.00	    245.7700	Staerker 	Nannofossils                                 	               	                  	A                   	F               	C                          	                       	F                     	C                       	F                       	                  	                    	F                      	C                     	                         	                             	C                      	F                          	                   	F                                    	                   	A                           	                        	                   	C                       	                       	                     	                        	                 	                     	                    	C                           	                      	R                        	F                     	                      	                          	F                              	                   	F                  	F                 	                 	F               	                       	F               	                                	                      	R                   	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC20              	              	160	 967	E	 15	R	 2	 127.00	    247.0000	Staerker 	Nannofossils                                 	               	                  	A                   	F               	C                          	                       	R                     	C                       	F                       	                  	                    	R                      	C                     	                         	                             	C                      	F                          	                   	F                                    	                   	A                           	                        	                   	F                       	R                      	                     	                        	                 	                     	                    	C                           	                      	R                        	F                     	                      	                          	R                              	                   	F                  	F                 	F                	F               	R                      	F               	                                	R                     	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4

  SR	Maestrichtian    	                 	NC20              	              	160	 967	E	 15	R	 3	  32.00	    247.5500	Staerker 	Nannofossils                                 	               	                  	A                   	F               	F                          	                       	C                     	C                       	R                       	                  	                    	R                      	C                     	                         	                             	C                      	F                          	R                  	                                     	                   	A                           	                        	                   	F                       	                       	                     	                        	                 	                     	                    	C                           	                      	F                        	F                     	                      	                          	                               	                   	F                  	F                 	                 	F               	F                      	F               	                                	                      	                    	                   	                       	                         	                	                        	            	                     	                 	                     	                       	                 	                       	                        	                    	                     	                        	                       	                     	                         	                       	                         	                         	                       	                         	                      	                      	                        	                      	                     	                        	                       	                           	                         	                      	                       	                     	                     	                          	                    	                    	                     	                           	                   	                             	                       	                        	                        	                    	                   	                        	                         	                      	                        	                    	from Leg 160SR Ch 31 Tables 2-4
