Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Xanthiopyxis spp.,Trochosira spinosa,Thalassiosira nansenii/media convexa transitional,Stictodiscus aff. kittonianus,Stephanopyxis spp.,Stephanogonia polycantha,Stellarima spp.,Sceptroneis tenue,Sceptroneis spp.,Sceptroneis praecaducea,Sceptroneis grunowii,Rocella praenitida,Pyxilla oligocaenica var. tenuis,Pyxilla oligocaenica,Pterotheca spp.,Pseudotriceratium radiosoreticulatum,Pseudopyxilla spp.,Pseudopodosira bella,Paralia sulcata,Paralia crenulata,Macrora spp.,Hemiaulus spp.,Hemiaulus polycystinorum,Hemiaulus hostilis,Grunowiella gemmata,Grammatophora spp.,Goniothecium decoratum,Freshwater diatoms,Eurossia irregularis,Drepanotheca bivittata,Distephanosira architecturalis,Cymatosira spp.,Cymatosira praecompacta,Craspedodiscus moelleri,Coscinodiscus spp.,Cocconeis spp.,Chaetoceros? setae?,Chaetoceros spp. and similar spores,Cestodiscus sp. B,Cavitatus jouseanus,Biddulphia spp.,Azpeitia tuberculata var. atlantica,Azpeitia oligocenica,Asteromphalus oligocenicus,Actinoptychus undulatus,Actinoptychus thumii,Actinoptychus senarius,Rhizosolenia oligocaenica,Rhaphoneis aff. amphiceros,Pseudopodosira spp.,Melosira ignota,Hyalodiscus spp.,Diploneis spp.,Delphineis spp.,Cestodiscus pulchellus var. novazelandica,Rhizosolenia spp.,Rhizosolenia pokrovskajae,Detonia? sp. A,Sceptroneis humuncia var. rondipora,Sceptroneis fennerae,Rhaphoneis spp.,Mastogloia spp.,Hyalodiscus subtilus,Eunotogramma spp.,Endictya spp.,Craspedodiscus sp. A,Cestodiscus sp. A,Arachnoidiscus sp.,Rhizosolenia sp. A,Fragilaria sp. A,Fragilaria miocenica,Trinacria excavata,Triceratium favus,Rhabdonema sp.,Pleurosigma planktonica,Goniothecium odontella,Cestodiscus pulchellus,Cymatosira compacta,Actinoptychus spp.,Skeletonema utriculosa,Solium exculptum,Rouxia sp. A,Eurossia irregularis var. incurvatus,Cyclotella sp. A,Actinoptychus splendens,Thalassiosira nansenii,Tetracyclus sp.,Rhaphoneis angulata,Clavicula polymorpha,Anaulus spp.,Trinacria simulacrum,Trinacria cornuta,Odontotropis carinata,Neodelphineis pelagica,Coscinodiscus radiatus,Asterolampra sp.,Sceptroneis talwanii,Rhaphoneis elongata,Odontella spp.,Isthmia sp.,Actinoptychus irregularis,Triceratium inconspicuum var. trilobata,Glyphodiscus sp.,Detonia? sp. B,Coscinodiscus marginatus,Aulacodiscus sp.,Asteromphalus flabellatus,Sceptroneis pupa/grunowii transitional forms,Riedelia claviger,Goniothecium coronatum,Asteromphalus? aff. symmetricus?,Licmophora sp.,Sceptroneis vermiformis,Rutilaria areolata,Tumulopsis fogedi,Sceptroneis pupa,Rhizosolenia oligocaenica var. styliforma,Kannoa sp.,Hemiaulus danicus,Rhizosolenia oligocaenica var. A,Lithodesmium rotunda,Triceratium schultzii,Sheshukovia spp.,Coscinodiscus bulliens,Pseudostictodiscus picus,Sceptroneis propinqua,Hemiaulus kittonii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,Late Oligocene   ,S. fennerae       ,              ,151, 908,A, 23,X, 5,   2.00,    212.3200,Scherer  ,Diatoms                                      ,A              ,G                 ,C                ,R                 ,                                                 ,                             ,C                 ,                        ,R              ,C                ,A               ,A                      ,F                   ,R                 ,R                               ,R                   ,C              ,F                                   ,C                 ,R                   ,C              ,C                ,            ,R             ,                        ,                  ,R                  ,F                 ,C                     ,R                 ,                    ,                      ,                              ,               ,                       ,                       ,R                 ,R             ,C                  ,A                                  ,F                ,F                  ,R              ,F                                  ,R                   ,                          ,R                      ,                    ,                      ,F                        ,F                         ,                   ,F              ,                ,              ,               ,                                         ,                   ,C                          ,                ,F                                  ,R                   ,               ,               ,                    ,                 ,             ,                    ,R                ,                  ,R                   ,                  ,                      ,                  ,                 ,              ,                       ,F                     ,                      ,                   ,F                 ,                        ,                ,            ,                                    ,                ,                       ,F                     ,               ,                   ,                    ,R           ,                    ,r                ,                     ,                      ,                      ,                ,                    ,                   ,              ,           ,                         ,r                                      ,                ,                ,                        ,                ,                         ,                                            ,                 ,R                     ,                                ,              ,                       ,                  ,                 ,                ,F                                        ,          ,                 ,                                ,                    ,R                    ,r               ,r                     ,                        ,                     ,                  ,from Leg 151SR; Ch 5; Fig. 2; Table 3&4; pp. 77-83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,Late Oligocene   ,S. fennerae       ,              ,151, 908,A, 23,X,CC,  42.00,    215.3200,Scherer  ,Diatoms                                      ,A              ,G                 ,C                ,F                 ,                                                 ,                             ,C                 ,                        ,F              ,F                ,A               ,A                      ,R                   ,                  ,                                ,                    ,C              ,R                                   ,A                 ,F                   ,F              ,C                ,            ,R             ,                        ,                  ,R                  ,F                 ,C                     ,F                 ,R                   ,                      ,                              ,               ,                       ,                       ,R                 ,R             ,C                  ,A                                  ,F                ,F                  ,               ,F                                  ,R                   ,R                         ,F                      ,                    ,                      ,F                        ,F                         ,R                  ,R              ,                ,R             ,               ,                                         ,                   ,R                          ,R               ,                                   ,R                   ,               ,               ,                    ,                 ,             ,                    ,R                ,                  ,R                   ,                  ,                      ,                  ,R                ,              ,                       ,R                     ,                      ,R                  ,                  ,                        ,r               ,            ,                                    ,                ,                       ,F                     ,               ,                   ,                    ,R           ,                    ,                 ,                     ,                      ,                      ,                ,                    ,                   ,              ,           ,                         ,                                       ,                ,                ,                        ,                ,                         ,F                                           ,                 ,                      ,                                ,              ,                       ,                  ,                 ,                ,                                         ,          ,                 ,                                ,                    ,                     ,                ,                      ,                        ,                     ,                  ,from Leg 151SR; Ch 5; Fig. 2; Table 3&4; pp. 77-83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,Late Oligocene   ,S. fennerae       ,              ,151, 908,A, 24,X, 4,  90.00,    221.4000,Scherer  ,Diatoms                                      ,A              ,G                 ,C                ,R                 ,                                                 ,                             ,C                 ,                        ,R              ,F                ,C               ,C                      ,F                   ,R                 ,                                ,                    ,C              ,                                    ,C                 ,R                   ,F              ,C                ,            ,              ,                        ,                  ,                   ,C                 ,C                     ,F                 ,R                   ,                      ,R                             ,               ,                       ,                       ,R                 ,R             ,C                  ,A                                  ,F                ,R                  ,               ,                                   ,R                   ,R                         ,F                      ,                    ,R                     ,F                        ,R                         ,R                  ,R              ,                ,              ,               ,                                         ,F                  ,R                          ,R               ,R                                  ,                    ,               ,               ,R                   ,                 ,             ,                    ,                 ,                  ,                    ,                  ,                      ,                  ,R                ,              ,                       ,R                     ,R                     ,R                  ,                  ,                        ,                ,            ,R                                   ,                ,                       ,F                     ,               ,                   ,                    ,R           ,                    ,                 ,                     ,                      ,                      ,                ,                    ,                   ,              ,           ,                         ,                                       ,                ,                ,                        ,                ,                         ,F                                           ,                 ,                      ,                                ,              ,                       ,                  ,                 ,                ,                                         ,          ,                 ,R                               ,R                   ,                     ,                ,                      ,                        ,                     ,                  ,from Leg 151SR; Ch 5; Fig. 2; Table 3&4; pp. 77-83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,Late Oligocene   ,S. fennerae       ,              ,151, 908,A, 24,X,CC,   0.00,    225.4100,Scherer  ,Diatoms                                      ,A              ,G                 ,C                ,R                 ,                                                 ,                             ,C                 ,R                       ,R              ,F                ,C               ,C                      ,R                   ,                  ,R                               ,R                   ,C              ,F                                   ,C                 ,R                   ,C              ,F                ,            ,              ,R                       ,                  ,                   ,F                 ,C                     ,F                 ,R                   ,                      ,                              ,               ,                       ,                       ,R                 ,F             ,A                  ,A                                  ,R                ,R                  ,               ,R                                  ,R                   ,                          ,F                      ,                    ,R                     ,F                        ,R                         ,                   ,               ,                ,R             ,               ,R                                        ,                   ,                           ,                ,C                                  ,F                   ,R              ,               ,F                   ,                 ,             ,                    ,R                ,                  ,                    ,                  ,                      ,R                 ,                 ,              ,                       ,R                     ,                      ,                   ,                  ,                        ,                ,            ,                                    ,                ,                       ,R                     ,               ,                   ,R                   ,            ,                    ,                 ,                     ,R                     ,R                     ,                ,                    ,                   ,R             ,           ,                         ,                                       ,                ,                ,R                       ,                ,                         ,F                                           ,                 ,R                     ,                                ,              ,                       ,                  ,R                ,R               ,R                                        ,F         ,R                ,                                ,                    ,                     ,                ,                      ,                        ,                     ,                  ,from Leg 151SR; Ch 5; Fig. 2; Table 3&4; pp. 77-83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,Late Oligocene   ,S. fennerae       ,              ,151, 908,A, 25,X, 3,  90.00,    229.5000,Scherer  ,Diatoms                                      ,C              ,M                 ,C                ,F                 ,                                                 ,                             ,C                 ,R                       ,R              ,F                ,F               ,C                      ,R                   ,                  ,                                ,                    ,C              ,R                                   ,C                 ,R                   ,F              ,F                ,            ,R             ,                        ,R                 ,                   ,F                 ,F                     ,R                 ,R                   ,                      ,R                             ,               ,                       ,                       ,R                 ,R             ,F                  ,A                                  ,R                ,                   ,R              ,R                                  ,R                   ,                          ,R                      ,                    ,R                     ,F                        ,                          ,F                  ,R              ,                ,R             ,               ,                                         ,F                  ,                           ,R               ,F                                  ,F                   ,               ,               ,                    ,R                ,R            ,                    ,                 ,                  ,R                   ,                  ,                      ,R                 ,                 ,              ,R                      ,R                     ,                      ,                   ,                  ,                        ,                ,            ,R                                   ,                ,R                      ,R                     ,               ,                   ,                    ,            ,r                   ,                 ,                     ,                      ,                      ,                ,                    ,                   ,              ,           ,                         ,                                       ,                ,                ,                        ,                ,                         ,                                            ,                 ,                      ,                                ,              ,R                      ,R                 ,                 ,                ,                                         ,          ,                 ,                                ,                    ,                     ,                ,                      ,                        ,                     ,                  ,from Leg 151SR; Ch 5; Fig. 2; Table 3&4; pp. 77-83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,Late Oligocene   ,S. fennerae       ,              ,151, 908,A, 26,X, 3,  90.00,    239.1000,Scherer  ,Diatoms                                      ,A              ,G                 ,C                ,F                 ,                                                 ,                             ,C                 ,                        ,R              ,F                ,R               ,C                      ,                    ,                  ,                                ,                    ,C              ,                                    ,C                 ,F                   ,F              ,F                ,            ,              ,                        ,                  ,R                  ,F                 ,F                     ,R                 ,R                   ,                      ,                              ,               ,                       ,                       ,R                 ,R             ,C                  ,A                                  ,R                ,R                  ,               ,                                   ,C                   ,                          ,R                      ,R                   ,R                     ,R                        ,R                         ,F                  ,F              ,                ,R             ,               ,                                         ,F                  ,                           ,                ,                                   ,                    ,               ,               ,                    ,                 ,             ,                    ,                 ,                  ,                    ,                  ,                      ,                  ,                 ,              ,                       ,                      ,                      ,                   ,                  ,                        ,                ,            ,                                    ,                ,                       ,                      ,               ,                   ,R                   ,            ,                    ,                 ,                     ,                      ,                      ,                ,                    ,                   ,              ,           ,                         ,                                       ,                ,                ,                        ,                ,                         ,                                            ,                 ,                      ,                                ,R             ,                       ,                  ,                 ,                ,                                         ,          ,                 ,                                ,                    ,                     ,                ,                      ,                        ,                     ,                  ,from Leg 151SR; Ch 5; Fig. 2; Table 3&4; pp. 77-83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,Late Oligocene   ,S. fennerae       ,              ,151, 908,A, 27,X, 5,  44.00,    251.3400,Scherer  ,Diatoms                                      ,A              ,M                 ,C                ,F                 ,                                                 ,                             ,A                 ,R                       ,R              ,F                ,C               ,F                      ,F                   ,F                 ,R                               ,R                   ,F              ,R                                   ,                  ,F                   ,C              ,C                ,            ,R             ,                        ,R                 ,                   ,F                 ,C                     ,R                 ,F                   ,R                     ,                              ,               ,                       ,                       ,                  ,F             ,F                  ,A                                  ,R                ,R                  ,               ,F                                  ,F                   ,R                         ,F                      ,                    ,R                     ,F                        ,R                         ,F                  ,               ,                ,R             ,R              ,                                         ,F                  ,R                          ,                ,C                                  ,R                   ,               ,               ,                    ,                 ,             ,                    ,                 ,                  ,R                   ,                  ,                      ,R                 ,                 ,              ,                       ,F                     ,                      ,                   ,                  ,                        ,                ,            ,R                                   ,                ,                       ,R                     ,               ,                   ,                    ,            ,                    ,                 ,                     ,                      ,                      ,                ,                    ,                   ,              ,           ,R                        ,                                       ,                ,                ,                        ,                ,F                        ,                                            ,R                ,R                     ,R                               ,              ,                       ,                  ,                 ,                ,                                         ,          ,                 ,                                ,                    ,                     ,                ,                      ,                        ,                     ,                  ,from Leg 151SR; Ch 5; Fig. 2; Table 3&4; pp. 77-83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,Late Oligocene   ,S. fennerae       ,              ,151, 908,A, 28,X, 5,  87.00,    261.4700,Scherer  ,Diatoms                                      ,C              ,M                 ,A                ,F                 ,                                                 ,                             ,C                 ,F                       ,R              ,F                ,C               ,F                      ,                    ,                  ,                                ,                    ,F              ,                                    ,C                 ,F                   ,C              ,C                ,            ,              ,                        ,R                 ,R                  ,F                 ,F                     ,R                 ,F                   ,                      ,                              ,               ,                       ,                       ,R                 ,R             ,F                  ,A                                  ,                 ,F                  ,               ,                                   ,F                   ,                          ,F                      ,                    ,R                     ,F                        ,R                         ,C                  ,R              ,R               ,R             ,               ,                                         ,F                  ,R                          ,                ,                                   ,R                   ,               ,               ,                    ,                 ,R            ,                    ,R                ,                  ,R                   ,                  ,                      ,                  ,R                ,              ,                       ,                      ,                      ,                   ,                  ,                        ,                ,            ,R                                   ,                ,                       ,                      ,               ,                   ,                    ,            ,r                   ,                 ,                     ,                      ,                      ,                ,                    ,                   ,              ,           ,                         ,                                       ,                ,                ,R                       ,                ,R                        ,R                                           ,R                ,R                     ,                                ,              ,                       ,                  ,                 ,                ,                                         ,          ,                 ,                                ,                    ,                     ,                ,                      ,                        ,                     ,                  ,from Leg 151SR; Ch 5; Fig. 2; Table 3&4; pp. 77-83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,Late Oligocene   ,S. fennerae       ,              ,151, 908,A, 29,X, 5, 122.00,    271.4200,Scherer  ,Diatoms                                      ,A              ,G                 ,C                ,F                 ,R                                                ,                             ,C                 ,F                       ,R              ,F                ,C               ,F                      ,R                   ,F                 ,R                               ,R                   ,F              ,R                                   ,C                 ,F                   ,C              ,C                ,            ,F             ,                        ,R                 ,R                  ,F                 ,C                     ,R                 ,F                   ,                      ,                              ,               ,                       ,                       ,F                 ,F             ,C                  ,A                                  ,F                ,F                  ,R              ,                                   ,F                   ,F                         ,R                      ,R                   ,F                     ,F                        ,R                         ,R                  ,F              ,R               ,              ,               ,                                         ,F                  ,R                          ,C               ,F                                  ,R                   ,               ,R              ,R                   ,                 ,F            ,                    ,F                ,                  ,F                   ,                  ,                      ,                  ,R                ,              ,                       ,R                     ,                      ,F                  ,                  ,R                       ,r               ,            ,                                    ,                ,                       ,F                     ,               ,                   ,                    ,R           ,r                   ,                 ,                     ,                      ,                      ,                ,R                   ,                   ,              ,           ,                         ,                                       ,                ,                ,R                       ,R               ,R                        ,                                            ,                 ,                      ,                                ,              ,                       ,                  ,                 ,                ,                                         ,          ,                 ,                                ,                    ,                     ,                ,                      ,                        ,                     ,                  ,from Leg 151SR; Ch 5; Fig. 2; Table 3&4; pp. 77-83
