Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Haplophragmoides spp.	Globobulimina pacifica	Calcareous spp. (indeterminate)	Uvigerina subperegrina	Oridorsalis umbonatus	Melonis pompilioides	Martinottiella communis	Gyroidina spp.	Gyroidina soldanii rotundimargo	Cibicides spp.	Cassidulina norcrossi	Bulimina subcalva	Buccella tenerrima	Agglutinated spp. (indeterminate)	Uvigerina senticosa	Uvigerina hootsi	Pullenia bulloides	Plectofrondicularia sp.	Nodosaria spp.	Gyroidina soldanii altiformis	Fissurina spp.	Eponides sp.	Stilostomella spp.	Nodosaria spp. (costate forms)	Dentalina spp.	Cibicidoides spp.	Cibicidoides mckannai	Bulimina exilis	Bulimina barbata	Pyrgo sp.	Melonis barleeanus	Epistominella sp.	Epistominella pacifica	Cibicidoides wuellerstorfi	Cassidulina californica	Buliminella curta	Bulimina striata mexicana	Bulimina sp.	Bolivina argentea	Valvulineria araucana	Uvigerina peregrina	Uvigerina hispida	Quinqueloculina sp.	Hoeglundina elegans	Cassidulina translucens	Valvulineria spp.	Uvigerina sp.	Eponides healdi	Uvigerina garzaensis	Tritaxilina colei	Trifarina hannai	Plectofrondicularia californica	Lenticulina texana	Lenticulina spp.	Gyroidina orbicularis planata	Eponides minima	Cyclammina sp.	Cibicides sp.	Cibicides perlucida	Chilostomella ovoidea	Cassidulina globosa	Bulimina microcostata	Bulimina jacksonensis welcomensis	Buccella oregonensis	Anomalina sp.	Lagena spp.	Nonionella turgida digitata	Globocassidulina subglobosa	Bulimina subacuminata	Globobulimina affinis	Bolivina spissa	Sphaeroidina bulloides	Buliminella subfusiformis	Silicosigmoilina sp.	Nonionella labradorica	Cassidulina spp.	Glandulina laevigata	Triloculina sp.	Nonionella globosa	Cassidulinoides bradyi	Nonionella miocenica	Fursenkoina sp.	Cassidulina carinata	Bolivina spp.	Tosaia hanzawai	Fursenkoina bradyi	Elphidium spp.	Eggerella bradyi	Chilostomella oolina	Bulimina aculeata	Bolivina translucens	Uvigerina dirupta	Laticarinina pauperata	Cassidulina limbata	Comment

  SR	                 	                 	                  	              	146	 892	D	  4	X	 1	  99.00	     28.4900	Zellers  	Benthic Foraminifers                         	               	M                 	                     	                      	                               	                      	                     	                    	F                      	              	                               	              	                     	                 	                  	                                 	                   	                	                  	                       	              	                             	              	            	                  	                              	              	                 	                     	               	                	         	                  	                 	                      	                          	                       	                 	                         	            	                 	                     	                   	                 	                   	                   	                       	                 	             	               	                    	                 	                	                               	                  	                	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	           	                           	                           	                     	                     	               	                      	                         	F                   	                      	                	                    	               	                  	                      	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	  4	X	CC	  37.00	     31.2700	Zellers  	Benthic Foraminifers                         	               	M                 	                     	R                     	R                              	S                     	R                    	                    	R                      	              	                               	S             	                     	                 	                  	                                 	                   	                	                  	                       	S             	                             	              	            	R                 	R                             	R             	                 	                     	R              	                	         	S                 	                 	F                     	S                         	                       	                 	R                        	            	                 	S                    	                   	                 	                   	                   	R                      	S                	             	               	                    	                 	                	                               	                  	                	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	           	S                          	                           	R                    	S                    	               	                      	                         	                    	S                     	                	                    	               	S                 	S                     	S                   	R              	R                   	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	  5	X	 1	  17.00	     37.1700	Zellers  	Benthic Foraminifers                         	               	M                 	                     	R                     	S                              	                      	R                    	                    	R                      	              	                               	              	F                    	                 	                  	                                 	                   	                	                  	F                      	R             	                             	              	            	R                 	F                             	R             	                 	                     	R              	                	         	                  	                 	F                     	R                         	                       	                 	R                        	            	                 	                     	                   	                 	                   	                   	S                      	                 	             	               	                    	                 	                	                               	                  	                	                             	               	              	             	                   	R                    	                   	                     	                                 	                    	             	R          	                           	                           	R                    	                     	               	                      	                         	                    	                      	                	S                   	R              	S                 	R                     	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	  5	X	 2	  64.00	     39.1400	Zellers  	Benthic Foraminifers                         	               	G                 	                     	R                     	                               	                      	                     	                    	                       	              	                               	              	                     	                 	C                 	                                 	                   	C               	                  	R                      	F             	                             	S             	            	                  	S                             	R             	                 	                     	S              	S               	         	                  	                 	F                     	                          	                       	                 	                         	S           	                 	                     	                   	R                	                   	                   	                       	                 	             	S              	                    	                 	                	                               	                  	                	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	S          	                           	                           	                     	                     	C              	S                     	A                        	                    	F                     	S               	R                   	               	                  	                      	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	  5	X	 2	 132.00	     39.8200	Zellers  	Benthic Foraminifers                         	               	G                 	                     	                      	                               	                      	                     	                    	                       	              	                               	              	                     	                 	F                 	                                 	                   	C               	                  	S                      	              	                             	R             	            	                  	                              	S             	                 	                     	               	                	         	                  	                 	R                     	S                         	                       	                 	                         	            	                 	                     	                   	                 	                   	                   	                       	                 	             	               	                    	                 	                	                               	                  	S               	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	           	                           	                           	                     	S                    	R              	                      	C                        	                    	F                     	                	S                   	               	                  	                      	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	  5	X	 3	 138.00	     41.3800	Zellers  	Benthic Foraminifers                         	               	M                 	                     	S                     	                               	                      	                     	                    	R                      	              	                               	              	                     	                 	R                 	                                 	                   	R               	R                 	S                      	              	R                            	              	S           	                  	                              	              	                 	R                    	               	                	         	S                 	                 	S                     	                          	                       	                 	                         	            	                 	                     	                   	                 	                   	                   	                       	                 	             	S              	                    	                 	                	                               	                  	                	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	S          	                           	                           	                     	                     	R              	                      	                         	S                   	R                     	S               	                    	               	                  	                      	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	  5	X	CC	  14.00	     43.1000	Zellers  	Benthic Foraminifers                         	               	M                 	                     	                      	                               	R                     	                     	                    	S                      	              	                               	              	                     	                 	R                 	                                 	                   	                	                  	                       	              	                             	              	            	                  	                              	              	                 	                     	               	                	         	                  	                 	                      	                          	                       	                 	                         	            	                 	                     	                   	                 	                   	                   	                       	                 	             	               	                    	                 	                	                               	                  	                	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	           	                           	                           	                     	                     	               	                      	                         	                    	                      	                	                    	               	                  	                      	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	  6	X	 2	  64.00	     48.6400	Zellers  	Benthic Foraminifers                         	               	M                 	                     	                      	                               	S                     	                     	                    	R                      	              	                               	              	                     	                 	                  	                                 	                   	R               	                  	                       	              	                             	              	            	                  	                              	              	                 	                     	               	                	         	                  	                 	                      	                          	                       	                 	                         	            	                 	                     	                   	                 	                   	                   	                       	                 	             	               	                    	                 	                	                               	                  	                	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	           	                           	S                          	                     	                     	S              	                      	                         	F                   	                      	                	                    	               	                  	                      	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	  6	X	CC	  15.00	     53.4900	Zellers  	Benthic Foraminifers                         	               	M                 	                     	                      	                               	                      	                     	                    	                       	              	                               	R             	                     	                 	                  	                                 	                   	S               	                  	                       	S             	                             	              	            	                  	                              	              	                 	                     	               	                	         	                  	                 	                      	                          	                       	                 	                         	            	                 	                     	                   	                 	                   	                   	                       	                 	             	               	                    	                 	                	                               	                  	                	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	           	                           	                           	                     	                     	               	                      	                         	                    	                      	                	                    	               	                  	                      	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	  7	X	 4	 140.00	     59.6600	Zellers  	Benthic Foraminifers                         	               	G                 	                     	                      	                               	R                     	                     	                    	R                      	              	                               	R             	                     	                 	R                 	                                 	                   	F               	R                 	S                      	              	R                            	R             	R           	                  	                              	R             	                 	                     	               	                	         	                  	                 	R                     	R                         	                       	                 	                         	            	                 	                     	                   	                 	                   	                   	S                      	                 	             	R              	                    	                 	                	                               	                  	                	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	           	                           	F                          	                     	                     	A              	S                     	S                        	                    	                      	                	                    	               	                  	                      	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	  7	X	CC	  17.00	     61.5800	Zellers  	Benthic Foraminifers                         	               	M                 	                     	F                     	                               	                      	                     	                    	C                      	              	R                              	              	R                    	                 	                  	                                 	S                  	                	                  	                       	S             	R                            	S             	            	                  	                              	R             	                 	                     	               	                	         	                  	                 	                      	                          	                       	                 	                         	            	                 	                     	                   	                 	                   	                   	                       	                 	R            	               	                    	                 	                	                               	                  	S               	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	           	                           	                           	                     	S                    	S              	                      	                         	                    	                      	                	                    	               	                  	                      	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	  8	X	 2	  73.00	     63.7300	Zellers  	Benthic Foraminifers                         	               	G                 	                     	R                     	R                              	R                     	R                    	                    	                       	              	S                              	              	                     	R                	                  	                                 	                   	                	                  	S                      	R             	                             	              	            	R                 	                              	R             	                 	                     	               	R               	S        	F                 	                 	                      	S                         	                       	                 	                         	            	                 	S                    	R                  	R                	                   	                   	                       	                 	S            	S              	                    	                 	                	                               	                  	                	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	           	                           	S                          	R                    	                     	               	                      	                         	                    	                      	                	                    	               	                  	                      	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	  9	X	 4	  27.00	     72.8600	Zellers  	Benthic Foraminifers                         	               	P                 	                     	                      	                               	S                     	                     	                    	                       	              	S                              	              	                     	R                	                  	                                 	                   	                	                  	                       	S             	                             	              	            	S                 	                              	R             	                 	                     	               	                	         	                  	                 	                      	                          	                       	                 	                         	            	                 	                     	S                  	                 	                   	                   	                       	                 	             	               	                    	                 	                	                               	                  	                	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	           	S                          	                           	                     	                     	               	                      	                         	                    	                      	                	                    	               	                  	                      	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	  9	X	CC	  61.00	     75.9400	Zellers  	Benthic Foraminifers                         	               	M                 	                     	                      	R                              	                      	                     	                    	S                      	              	                               	              	                     	F                	                  	                                 	S                  	                	                  	                       	S             	R                            	              	            	                  	                              	R             	                 	                     	               	S               	S        	                  	R                	                      	                          	                       	                 	R                        	            	                 	                     	                   	                 	                   	                   	                       	                 	             	               	                    	                 	                	                               	                  	                	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	R          	                           	                           	                     	                     	               	                      	                         	                    	                      	                	                    	               	                  	                      	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	 10	X	 6	  63.00	    106.9200	Zellers  	Benthic Foraminifers                         	               	M                 	R                    	                      	F                              	S                     	                     	                    	                       	R             	                               	              	                     	                 	                  	R                                	                   	                	                  	                       	R             	                             	S             	            	                  	S                             	S             	                 	                     	               	                	         	                  	                 	                      	                          	                       	                 	                         	            	                 	                     	                   	                 	S                  	                   	                       	                 	             	               	R                   	S                	S               	S                              	R                 	R               	S                            	S              	S             	S            	C                  	S                    	S                  	R                    	S                                	R                   	S            	           	                           	                           	                     	                     	               	                      	                         	                    	                      	                	                    	               	                  	                      	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	 10	X	CC	  39.00	    110.6500	Zellers  	Benthic Foraminifers                         	               	P                 	                     	                      	S                              	                      	                     	                    	S                      	              	                               	              	                     	                 	                  	                                 	                   	                	                  	                       	              	                             	              	            	                  	                              	              	                 	                     	               	                	         	                  	                 	                      	                          	                       	                 	                         	            	                 	                     	                   	                 	                   	                   	                       	                 	             	               	                    	                 	                	                               	                  	                	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	           	                           	                           	                     	                     	               	                      	                         	                    	                      	                	                    	               	                  	                      	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	 11	X	 2	  38.00	    111.3800	Zellers  	Benthic Foraminifers                         	               	M                 	                     	                      	                               	S                     	R                    	R                   	                       	              	                               	R             	                     	F                	                  	                                 	F                  	                	                  	S                      	R             	                             	              	            	                  	                              	S             	                 	                     	               	                	         	R                 	                 	                      	                          	                       	                 	R                        	S           	                 	                     	                   	                 	                   	                   	                       	                 	R            	S              	                    	                 	                	                               	                  	                	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	           	                           	                           	                     	                     	               	                      	                         	                    	                      	                	                    	               	                  	                      	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	 11	X	CC	  30.00	    113.0700	Zellers  	Benthic Foraminifers                         	               	M                 	                     	R                     	                               	                      	                     	R                   	                       	              	R                              	              	                     	                 	                  	                                 	R                  	                	                  	                       	R             	                             	S             	            	                  	                              	R             	                 	S                    	               	                	         	S                 	                 	                      	                          	                       	                 	                         	            	                 	                     	                   	                 	                   	                   	                       	S                	             	               	                    	                 	                	                               	                  	                	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	           	                           	                           	                     	                     	               	                      	                         	                    	                      	                	                    	               	                  	                      	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	 12	X	 2	  85.00	    121.3500	Zellers  	Benthic Foraminifers                         	               	G                 	                     	R                     	                               	                      	R                    	R                   	                       	              	S                              	R             	                     	R                	                  	                                 	C                  	                	S                 	                       	R             	                             	S             	            	R                 	                              	S             	                 	S                    	S              	                	S        	R                 	                 	S                     	                          	                       	                 	                         	            	                 	S                    	R                  	S                	S                  	S                  	S                      	                 	             	               	                    	                 	                	                               	                  	                	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	           	                           	                           	                     	                     	               	                      	                         	                    	                      	                	                    	               	                  	                      	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	 12	X	CC	  13.00	    124.7600	Zellers  	Benthic Foraminifers                         	               	P                 	                     	                      	S                              	                      	                     	                    	                       	              	                               	              	                     	                 	                  	                                 	                   	                	                  	                       	S             	                             	              	            	                  	                              	S             	                 	                     	               	                	         	                  	                 	                      	                          	                       	                 	                         	            	                 	                     	                   	                 	                   	                   	                       	                 	             	               	                    	                 	                	                               	                  	                	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	           	                           	                           	                     	                     	               	                      	                         	                    	                      	                	                    	               	                  	                      	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	 13	X	CC	  24.00	    128.7400	Zellers  	Benthic Foraminifers                         	               	G                 	                     	                      	                               	                      	                     	                    	                       	              	                               	              	                     	                 	                  	                                 	                   	                	                  	                       	              	                             	              	            	                  	                              	R             	                 	                     	               	                	         	                  	                 	                      	                          	                       	                 	                         	            	                 	                     	                   	                 	                   	                   	                       	                 	             	               	                    	                 	                	                               	                  	                	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	           	                           	                           	                     	                     	               	                      	                         	                    	                      	                	                    	               	                  	                      	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	 14	X	CC	  32.00	    140.0600	Zellers  	Benthic Foraminifers                         	               	G                 	                     	S                     	                               	                      	S                    	                    	S                      	              	R                              	              	                     	                 	                  	                                 	                   	                	                  	S                      	S             	                             	              	S           	S                 	R                             	R             	                 	                     	               	                	S        	R                 	S                	R                     	R                         	S                      	S                	R                        	S           	S                	                     	                   	                 	                   	                   	                       	                 	             	               	                    	                 	                	                               	                  	                	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	           	                           	                           	                     	                     	               	                      	                         	                    	                      	                	                    	               	                  	                      	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	 15	X	 1	  35.00	    147.8500	Zellers  	Benthic Foraminifers                         	               	M                 	                     	                      	S                              	                      	                     	                    	                       	              	                               	              	                     	                 	                  	                                 	                   	                	                  	                       	              	                             	              	            	                  	                              	              	                 	                     	               	                	         	                  	                 	                      	                          	                       	                 	                         	            	                 	                     	                   	                 	                   	                   	                       	                 	             	               	                    	                 	                	                               	                  	                	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	           	                           	                           	                     	                     	               	                      	                         	                    	                      	                	                    	               	                  	                      	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	 15	X	 3	  65.00	    151.1500	Zellers  	Benthic Foraminifers                         	               	M                 	                     	                      	                               	                      	                     	                    	                       	              	                               	              	                     	                 	                  	                                 	R                  	                	R                 	                       	S             	                             	S             	            	R                 	F                             	S             	S                	S                    	S              	S               	         	                  	                 	                      	                          	                       	                 	                         	            	                 	                     	                   	                 	                   	                   	                       	                 	             	               	                    	                 	                	                               	                  	                	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	           	                           	                           	                     	                     	               	                      	                         	                    	                      	                	                    	               	                  	                      	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	 15	X	CC	  33.00	    152.5100	Zellers  	Benthic Foraminifers                         	               	M                 	                     	                      	S                              	R                     	                     	                    	                       	              	                               	              	                     	R                	                  	                                 	R                  	S               	R                 	R                      	R             	S                            	R             	S           	                  	                              	              	                 	                     	               	                	         	                  	                 	                      	                          	                       	                 	                         	            	                 	                     	                   	                 	                   	                   	                       	                 	             	               	                    	                 	                	                               	                  	                	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	           	                           	                           	                     	                     	               	                      	                         	                    	                      	                	                    	               	                  	                      	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	 16	X	 2	  66.00	    158.6900	Zellers  	Benthic Foraminifers                         	               	P                 	                     	                      	                               	                      	                     	                    	                       	              	                               	              	                     	                 	                  	S                                	                   	                	                  	                       	              	                             	              	            	                  	                              	              	                 	                     	               	                	         	                  	                 	                      	                          	                       	                 	                         	            	                 	                     	                   	                 	                   	                   	                       	                 	             	               	                    	                 	                	                               	                  	                	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	           	                           	                           	                     	                     	               	                      	                         	                    	                      	                	                    	               	                  	                      	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	 16	X	 4	   6.00	    161.0700	Zellers  	Benthic Foraminifers                         	               	M                 	                     	                      	                               	F                     	S                    	R                   	S                      	S             	S                              	S             	R                    	S                	R                 	                                 	                   	                	                  	                       	              	                             	              	            	                  	                              	              	                 	                     	               	                	         	                  	                 	                      	                          	                       	                 	                         	            	                 	                     	                   	                 	                   	                   	                       	                 	             	               	                    	                 	                	                               	                  	                	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	           	                           	                           	                     	                     	               	                      	                         	                    	                      	                	                    	               	                  	                      	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

  SR	                 	                 	                  	              	146	 892	D	 16	X	CC	  30.00	    164.4300	Zellers  	Benthic Foraminifers                         	               	P                 	S                    	S                     	S                              	                      	                     	                    	                       	              	                               	              	                     	                 	                  	                                 	                   	                	                  	                       	              	                             	              	            	                  	                              	              	                 	                     	               	                	         	                  	                 	                      	                          	                       	                 	                         	            	                 	                     	                   	                 	                   	                   	                       	                 	             	               	                    	                 	                	                               	                  	                	                             	               	              	             	                   	                     	                   	                     	                                 	                    	             	           	                           	                           	                     	                     	               	                      	                         	                    	                      	                	                    	               	                  	                      	                    	               	                    	             	               	                  	              	                	                    	                 	                    	                 	                      	                   	from Leg 146 SR; Ch 5; Table 6; pp. 108-110

