Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pulleniatina obliquiloculata	Globorotalia tumida	Globorotalia tosaensis	Sphaeroidinella dehiscens	Pulleniatina praecursor	Globorotalia menardii	Orbulina universa	Neogloboquadrina humerosa	Globorotalia scitula	Globorotalia crassaformis	Globigerinoides trilobus	Globigerinoides quadrilobatus	Globigerinita glutinata	Orbulina suturalis	Globigerinoides ruber	Globigerinoides sacculifer	Globorotalia truncatulinoides	Globigerinoides fistulosus	Globorotalia crassula	Globigerinoides conglobatus	Zeaglobigerina rubescens	Globorotalia crassaformis hessi	Neogloboquadrina dutertrei	Globorotalia ungulata	Bolliella calida	Bolliella adamsi	Globorotalia fimbriata	Globorotalia cavernula	Globigerinella siphonifera	Globigerinella praesiphonifera	Globigerinella obesa	Comment
  IR	                 	Pliocene         	                  	              	180	1108	B	 17	R	 2	  72.00	    150.7900	Perembo  	Planktonic Foraminifers                      	A              	VG                	D                           	D                  	                      	D                        	                       	D                    	                 	                         	                    	                         	                        	                             	                       	F                 	                     	                          	                             	                          	F                    	                           	                        	                               	                          	                     	                	                	                      	                      	                          	                              	                    	       

  IR	                 	Late Pliocene    	                  	              	180	1108	B	 17	R	CC	  17.00	    150.9900	Perembo  	Planktonic Foraminifers                      	               	                  	A                           	A                  	                      	A                        	                       	A                    	                 	A                        	                    	F                        	                        	D                            	                       	                  	D                    	A                         	R                            	R                         	                     	                           	                        	                               	                          	                     	                	                	                      	                      	                          	                              	                    	       

  IR	                 	Pliocene         	                  	              	180	1108	B	 18	R	 1	  99.00	    159.5900	Perembo  	Planktonic Foraminifers                      	A              	VG                	D                           	D                  	F                     	D                        	                       	D                    	                 	D                        	                    	D                        	                        	                             	                       	F                 	                     	                          	F                            	F                         	                     	                           	                        	                               	                          	                     	                	                	                      	                      	                          	                              	                    	       

  IR	                 	Pliocene         	                  	              	180	1108	B	 19	R	 1	  38.00	    168.6800	Perembo  	Planktonic Foraminifers                      	A              	VG                	D                           	D                  	                      	D                        	F                      	A                    	                 	                         	                    	D                        	                        	                             	                       	F                 	                     	F                         	                             	                          	                     	                           	                        	                               	                          	                     	                	                	                      	                      	                          	                              	                    	       

  IR	                 	Pliocene         	                  	              	180	1108	B	 20	R	CC	  19.00	    180.7400	Resig    	Planktonic Foraminifers                      	R              	P                 	                            	R                  	                      	                         	R                      	                     	                 	R                        	                    	                         	                        	                             	                       	                  	                     	R                         	                             	                          	                     	                           	                        	                               	                          	                     	                	                	                      	                      	                          	                              	                    	       

  IR	                 	Pliocene         	                  	N21           	180	1108	B	 24	R	CC	  14.00	    220.8800	Perembo  	Planktonic Foraminifers                      	F              	M                 	F                           	A                  	F                     	D                        	                       	                     	                 	                         	                    	                         	                        	                             	                       	                  	                     	                          	                             	                          	                     	                           	                        	                               	                          	                     	                	                	                      	                      	                          	                              	                    	       

  IR	                 	Pliocene         	                  	N21           	180	1108	B	 25	R	CC	  19.00	    229.0700	Perembo  	Planktonic Foraminifers                      	C              	M                 	                            	A                  	                      	D                        	                       	A                    	                 	                         	                    	                         	                        	                             	                       	R                 	                     	                          	                             	                          	                     	                           	                        	                               	                          	                     	                	                	                      	                      	                          	                              	                    	       

  IR	                 	Late Pliocene    	                  	N21           	180	1108	B	 26	R	CC	   0.00	    239.9500	Perembo  	Planktonic Foraminifers                      	C              	M                 	A                           	F                  	F                     	A                        	                       	A                    	                 	                         	                    	                         	                        	                             	                       	                  	                     	                          	                             	                          	                     	                           	                        	                               	                          	                     	                	                	                      	                      	                          	                              	                    	       

  IR	                 	Late Pliocene    	                  	N21           	180	1108	B	 27	R	CC	   0.00	    253.6300	Perembo  	Planktonic Foraminifers                      	C              	M                 	A                           	                   	F                     	A                        	                       	                     	                 	                         	                    	                         	                        	                             	                       	                  	                     	                          	                             	                          	                     	                           	                        	                               	                          	                     	                	                	                      	                      	                          	                              	                    	       

  IR	                 	Late Pliocene    	                  	N21           	180	1108	B	 28	R	CC	  16.00	    259.1600	Perembo  	Planktonic Foraminifers                      	C              	M                 	A                           	F                  	F                     	A                        	                       	                     	                 	                         	                    	                         	                        	                             	                       	                  	                     	                          	                             	                          	                     	                           	                        	                               	                          	                     	                	                	                      	                      	                          	                              	                    	       

  IR	                 	Late Pliocene    	                  	N21           	180	1108	B	 29	R	CC	   7.00	    269.8300	Perembo  	Planktonic Foraminifers                      	C              	P                 	                            	F                  	                      	A                        	                       	                     	                 	                         	                    	                         	                        	                             	                       	                  	                     	                          	                             	                          	                     	                           	                        	                               	                          	                     	                	                	                      	                      	                          	                              	                    	       

  IR	                 	Pliocene         	                  	              	180	1108	B	 30	R	CC	  10.00	    281.2200	Resig    	Planktonic Foraminifers                      	F              	M                 	F                           	R                  	R                     	R                        	                       	R                    	                 	R                        	                    	R                        	F                       	R                            	                       	                  	F                    	                          	                             	                          	                     	                           	                        	                               	                          	                     	                	                	                      	                      	                          	                              	                    	       

  IR	                 	Pliocene         	                  	              	180	1108	B	 32	R	CC	  20.00	    299.1800	Resig    	Planktonic Foraminifers                      	F              	M                 	R                           	R                  	F                     	                         	                       	R                    	                 	                         	                    	R                        	F                       	F                            	                       	                  	F                    	                          	                             	                          	                     	                           	                        	                               	                          	                     	                	                	                      	                      	                          	                              	                    	       

  IR	                 	Pliocene         	                  	              	180	1108	B	 33	R	CC	  23.00	    307.5500	Resig    	Planktonic Foraminifers                      	F              	M                 	                            	R                  	                      	F                        	F                      	R                    	                 	                         	                    	R                        	                        	                             	                       	                  	                     	                          	                             	                          	                     	                           	                        	                               	                          	                     	                	                	                      	                      	                          	                              	                    	       

  IR	                 	Pliocene         	                  	              	180	1108	B	 34	R	CC	  13.00	    318.0000	Resig    	Planktonic Foraminifers                      	R              	P                 	                            	                   	                      	R                        	                       	R                    	                 	                         	                    	                         	                        	R                            	                       	                  	                     	                          	                             	                          	                     	                           	                        	                               	                          	                     	                	                	                      	                      	                          	                              	                    	       

  IR	                 	Pliocene         	                  	              	180	1108	B	 35	R	CC	  20.00	    326.4900	Resig    	Planktonic Foraminifers                      	R              	P                 	R                           	                   	                      	R                        	                       	R                    	                 	                         	                    	                         	                        	R                            	                       	                  	                     	                          	                             	                          	                     	                           	                        	                               	                          	                     	                	                	                      	                      	                          	                              	                    	       

  IR	                 	Late Pliocene    	                  	              	180	1108	B	 37	R	CC	  18.00	    345.2500	Perembo  	Planktonic Foraminifers                      	R              	P                 	R                           	                   	                      	R                        	                       	R                    	                 	                         	                    	                         	                        	                             	                       	                  	                     	                          	                             	                          	                     	                           	                        	                               	                          	                     	                	                	                      	                      	                          	                              	                    	       

  IR	                 	Late Pliocene    	                  	              	180	1108	B	 39	R	CC	  22.00	    362.3900	Perembo  	Planktonic Foraminifers                      	F              	P                 	F                           	R                  	                      	F                        	                       	                     	                 	                         	                    	                         	                        	                             	                       	                  	                     	                          	                             	                          	                     	                           	                        	                               	                          	                     	                	                	                      	                      	                          	                              	                    	       

  IR	                 	Early Pliocene   	                  	N20           	180	1108	B	 40	R	CC	  20.00	    371.7200	Perembo  	Planktonic Foraminifers                      	A              	G                 	D                           	A                  	                      	A                        	R                      	A                    	                 	                         	                    	A                        	                        	                             	                       	R                 	                     	                          	                             	                          	                     	                           	                        	                               	                          	                     	                	                	                      	                      	                          	                              	                    	       

  IR	                 	                 	                  	              	180	1108	B	 41	R	CC	  15.00	    382.8600	Resig    	Planktonic Foraminifers                      	R              	P                 	                            	R                  	                      	                         	R                      	R                    	                 	R                        	                    	                         	                        	R                            	R                      	                  	                     	                          	                             	                          	                     	                           	                        	                               	                          	                     	                	                	                      	                      	                          	                              	                    	       

  IR	                 	Pliocene         	                  	              	180	1108	B	 44	R	CC	  16.00	    409.6900	Resig    	Planktonic Foraminifers                      	F              	G                 	F                           	R                  	R                     	F                        	                       	F                    	F                	R                        	R                   	R                        	F                       	                             	                       	                  	                     	                          	                             	                          	                     	                           	                        	                               	                          	                     	                	                	                      	                      	                          	                              	                    	       

  IR	                 	Pliocene         	                  	              	180	1108	B	 46	R	CC	  17.00	    429.1000	Resig    	Planktonic Foraminifers                      	R              	P                 	                            	                   	R                     	R                        	R                      	R                    	                 	                         	                    	                         	                        	                             	                       	                  	                     	                          	                             	                          	                     	                           	                        	                               	                          	                     	                	                	                      	                      	                          	                              	                    	       

  IR	                 	Pliocene         	                  	              	180	1108	B	 51	R	 1	  49.00	    475.9900	Perembo  	Planktonic Foraminifers                      	F              	M                 	F                           	F                  	F                     	                         	                       	                     	                 	                         	                    	                         	                        	                             	                       	                  	                     	                          	                             	                          	                     	                           	                        	                               	                          	                     	                	                	                      	                      	                          	                              	                    	       

