Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinella dehiscens	Pulleniatina obliquiloculata	Orbulina universa	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma	Neogloboquadrina dutertrei	Menardella menardii	Hastigerina siphonifera	Globorotaloides hexagona	Globorotalia tumida	Globorotalia truncatulinoides	Globorotalia scitula	Globorotalia hirsuta	Globorotalia crassaformis hessi	Globorotalia crassaformis	Globorotalia conglomerata	Globorotalia aequilaterus	Globoconella inflata	Globigerinoides trilobus	Globigerinoides sacculifer	Globigerinoides ruber (pink)	Globigerinoides ruber	Globigerinoides quadrilobatus	Globigerinoides immaturus	Globigerinita glutinata	Globigerina quinqueloba	Globigerina bulloides	Beella digitata	Comment
  IR	                 	                 	                  	              	175	1078	B	  6	H	CC	  33.00	     53.5600	Christensen	Planktonic Foraminifers                      	F              	G                 	                         	                            	A11              	1                                      	7                          	6                         	                   	3                      	                        	2                  	                             	                    	                    	                               	1                        	                         	                         	4                   	                        	2                         	A13                         	D24                  	                             	                         	                       	                       	                     	               	low pf: benthic foram ration dont' see the Bolivina flolod that is repsent in 5H- instead it is a U peregrina flood No sand grains.

  IR	                 	                 	                  	              	175	1078	B	  7	H	CC	  48.00	     64.8600	Christensen	Planktonic Foraminifers                      	C              	G                 	1                        	                            	A20              	                                       	                           	                          	1                  	3                      	                        	                   	                             	                    	                    	                               	6                        	                         	                         	                    	                        	4                         	A23                         	A25                  	                             	                         	                       	                       	7                    	               	more planktonics than in 10H and in 6H.  There is a mxi of peregrina and Bolivina spp.  Many large shel frags.

  IR	                 	                 	                  	              	175	1078	B	  8	H	CC	  28.00	     74.7700	Christensen	Planktonic Foraminifers                      	               	                  	                         	                            	D33              	1                                      	4                          	                          	                   	2                      	                        	                   	                             	                    	                    	                               	4                        	                         	                         	A7                  	1                       	                          	2                           	A6                   	                             	                         	                       	                       	4                    	               	       

  IR	                 	                 	                  	              	175	1078	B	  9	H	CC	   0.00	     83.1500	Christensen	Planktonic Foraminifers                      	               	                  	                         	                            	D8               	1                                      	A4                         	                          	                   	1                      	                        	                   	                             	                    	                    	                               	1                        	                         	                         	2                   	2                       	                          	                            	A5                   	                             	                         	                       	                       	2                    	               	few Bolivina; many Uvigerina

  IR	                 	                 	                  	              	175	1078	B	 10	H	CC	  29.00	     89.4900	Christensen	Planktonic Foraminifers                      	               	                  	                         	                            	D18              	                                       	2                          	                          	                   	1                      	                        	                   	                             	                    	                    	                               	                         	                         	                         	A6                  	                        	3                         	                            	A9                   	                             	                         	                       	                       	A8                   	               	Bolivina flood

  IR	                 	                 	                  	              	175	1078	B	 11	H	CC	  36.00	    101.9800	Christensen	Planktonic Foraminifers                      	               	                  	                         	                            	A12              	                                       	5                          	4                         	                   	                       	                        	1                  	                             	                    	                    	                               	2                        	                         	                         	A8                  	                        	A17                       	2                           	A12                  	                             	                         	                       	                       	4                    	               	       

  IR	                 	                 	                  	              	175	1078	B	 12	H	CC	  21.00	    108.9800	Christensen	Planktonic Foraminifers                      	R              	G                 	-                        	-                           	5                	-                                      	6                          	-                         	-                  	2                      	-                       	1                  	-                            	-                   	-                   	-                              	-                        	-                        	-                        	-                   	                        	2                         	-                           	1                    	                             	                         	-                      	-                      	3                    	-              	low % Bolivina.  very few bugs

  IR	                 	                 	                  	              	175	1078	B	 13	H	 6	  51.00	    117.3000	Christensen	Planktonic Foraminifers                      	R              	M                 	                         	                            	D15              	                                       	D19                        	                          	                   	                       	                        	                   	                             	                    	                    	                               	A4                       	                         	                         	                    	                        	1                         	                            	1                    	                             	                         	                       	                       	                     	               	       

  IR	                 	                 	                  	              	175	1078	B	 14	H	CC	  63.00	    127.8500	Christensen	Planktonic Foraminifers                      	F              	M                 	-                        	-                           	A4               	-                                      	A4                         	1                         	1                  	3                      	-                       	-                  	-                            	-                   	-                   	-                              	A7                       	-                        	-                        	-                   	-                       	-                         	A4                          	A7                   	-                            	-                        	-                      	-                      	2                    	-              	large pieces fo sample that didn't break down make it hard to pick; seems as if it were silicified

