Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinellopsis seminulina,Orbulina universa,Neogloboquadrina acostaensis (dextral),Globorotaloides hexagona,Globorotalia scitula,Globorotalia limbata,Globoquadrina venezuelana,Globoquadrina baroemoenensis,Globigerinoides trilobus,Globigerinoides obliquus obliquus,Globigerinella aequilateralis,Globigerina nepenthes,Sphaeroidinellopsis kochi,Globigerinita glutinata,Sphaeroidinellopsis paenedehiscens,Neogloboquadrina humerosa,Neogloboquadrina continuosa,Globorotalia plesiotumida,Globigerinoides obliquus extremus,Globigerina bulloides,Globorotalia margaritae,Globorotalia crassaformis crassaformis,Globigerinoides sacculifer,Globoquadrina dehiscens,Candeina nitida,Beella digitata,Neogloboquadrina pachyderma (dextral),Globorotalia miocenica,Globigerinoides conglobatus,Globigerina decoraperta,Globorotalia puncticulata,Globorotalia multicamerata,Globoquadrina altispira,Globorotalia exilis,Pulleniatina praecursor,Globorotalia menardii,Pulleniatina primalis,Neogloboquadrina dutertrei,Globorotalia tumida tumida,Globigerinoides ruber (white),Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,Globigerinoides sp. cf. G. fistulosus,Globorotalia pertenuis,Globigerinoides fistulosus,Globigerinella calida,Neogloboquadrina pseudopima,Globorotalia crassula,Globigerina falconensis,Globorotalia crassaformis viola,Globorotalia crassaformis hessi,Globorotalia truncatulinoides,Globigerinoides ruber (pink),Globorotalia tumida flexuosa,Globorotalia inflata,Globigerinoides tenellus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL6               ,              ,108, 667,A,  3,H,CC,  13.00,     20.2800,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,R                             ,R                ,                                      ,R                       ,R                   ,R                   ,                         ,                            ,F                       ,R                                ,R                            ,                     ,                         ,F                      ,                                  ,F                        ,                           ,                         ,F                                ,R                    ,                       ,R                                     ,F                         ,                       ,               ,               ,R                                    ,R                     ,R                          ,F                      ,R                        ,                          ,R                      ,R                  ,                       ,                     ,                     ,R                         ,                          ,C                            ,R                        ,R                           ,                                     ,                      ,                          ,                     ,R                          ,R                    ,                       ,                               ,                               ,R                            ,                            ,                            ,                    ,                        ,sample with a large number of reworked species from ODP Leg 108 SR Chapter 5 Table 16 p 90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL6               ,              ,108, 667,A,  4,H, 5, 110.00,     27.4000,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,R                ,                                      ,                        ,                    ,                    ,                         ,                            ,C                       ,R                                ,                             ,                     ,                         ,R                      ,                                  ,                         ,                           ,                         ,                                 ,                     ,                       ,                                      ,F                         ,                       ,               ,               ,R                                    ,                      ,R                          ,                       ,                         ,                          ,                       ,                   ,                       ,F                    ,                     ,F                         ,R                         ,C                            ,R                        ,R                           ,P                                    ,                      ,                          ,R                    ,                           ,                     ,                       ,                               ,R                              ,                             ,                            ,                            ,                    ,                        ,from ODP Leg 108 SR Chapter 5 Table 16 p 90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL5               ,              ,108, 667,A,  4,H,CC,  10.00,     29.2200,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,R                ,                                      ,R                       ,R                   ,R                   ,                         ,                            ,C                       ,R                                ,R                            ,                     ,                         ,F                      ,                                  ,R                        ,                           ,                         ,R                                ,R                    ,                       ,R                                     ,F                         ,                       ,R              ,R              ,                                     ,R                     ,R                          ,R                      ,R                        ,R                         ,                       ,R                  ,                       ,                     ,                     ,R                         ,R                         ,A                            ,R                        ,R                           ,                                     ,                      ,                          ,                     ,R                          ,R                    ,R                      ,R                              ,                               ,                             ,                            ,                            ,                    ,                        ,from ODP Leg 108 SR Chapter 5 Table 16 p 90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL5               ,              ,108, 667,A,  5,H,CC,  16.00,     38.7000,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,R                ,                                      ,                        ,R                   ,                    ,                         ,                            ,F                       ,R                                ,R                            ,                     ,                         ,F                      ,                                  ,F                        ,                           ,                         ,F                                ,F                    ,                       ,R                                     ,F                         ,                       ,               ,R              ,                                     ,C                     ,R                          ,R                      ,                         ,                          ,                       ,R                  ,                       ,                     ,                     ,                          ,                          ,C                            ,R                        ,                            ,P                                    ,R                     ,R                         ,                     ,F                          ,R                    ,R                      ,                               ,                               ,                             ,                            ,                            ,                    ,                        ,from ODP Leg 108 SR Chapter 5 Table 16 p 90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL5               ,              ,108, 667,A,  6,H, 1, 125.00,     40.5500,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,R                ,                                      ,                        ,R                   ,                    ,                         ,                            ,C                       ,R                                ,R                            ,                     ,                         ,R                      ,                                  ,F                        ,                           ,                         ,F                                ,                     ,                       ,R                                     ,F                         ,                       ,               ,R              ,R                                    ,C                     ,R                          ,F                      ,R                        ,                          ,                       ,F                  ,                       ,                     ,                     ,                          ,                          ,C                            ,R                        ,                            ,                                     ,R                     ,F                         ,R                    ,                           ,                     ,                       ,                               ,                               ,                             ,                            ,                            ,                    ,                        ,from ODP Leg 108 SR Chapter 5 Table 16 p 90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL3               ,              ,108, 667,A,  6,H, 3, 125.00,     43.5500,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,F                             ,R                ,                                      ,R                       ,R                   ,R                   ,                         ,                            ,C                       ,F                                ,R                            ,                     ,                         ,R                      ,                                  ,F                        ,                           ,                         ,F                                ,R                    ,                       ,R                                     ,C                         ,                       ,R              ,               ,                                     ,F                     ,                           ,F                      ,R                        ,                          ,                       ,                   ,                       ,                     ,                     ,R                         ,                          ,F                            ,R                        ,                            ,                                     ,                      ,                          ,                     ,                           ,                     ,                       ,                               ,                               ,                             ,                            ,                            ,                    ,                        ,from ODP Leg 108 SR Chapter 5 Table 16 p 90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL3               ,              ,108, 667,A,  6,H,CC,  11.00,     47.9000,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,F                             ,R                ,R                                     ,R                       ,R                   ,F                   ,                         ,                            ,F                       ,F                                ,F                            ,                     ,                         ,F                      ,                                  ,R                        ,                           ,                         ,F                                ,R                    ,                       ,R                                     ,F                         ,                       ,R              ,               ,R                                    ,F                     ,R                          ,R                      ,R                        ,R                         ,R                      ,R                  ,R                      ,                     ,                     ,                          ,                          ,R                            ,R                        ,R                           ,P                                    ,                      ,                          ,                     ,                           ,                     ,                       ,                               ,                               ,                             ,                            ,                            ,                    ,                        ,from ODP Leg 108 SR Chapter 5 Table 16 p 90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL3               ,              ,108, 667,A,  7,H, 3, 109.00,     52.8900,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,F                             ,R                ,                                      ,R                       ,R                   ,F                   ,R                        ,                            ,C                       ,C                                ,R                            ,                     ,                         ,F                      ,                                  ,R                        ,                           ,                         ,C                                ,R                    ,                       ,R                                     ,C                         ,                       ,R              ,R              ,                                     ,F                     ,R                          ,                       ,                         ,R                         ,R                      ,                   ,                       ,                     ,                     ,                          ,                          ,                             ,                         ,                            ,                                     ,                      ,                          ,                     ,                           ,                     ,                       ,                               ,                               ,                             ,                            ,                            ,                    ,                        ,from ODP Leg 108 SR Chapter 5 Table 16 p 90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL2               ,              ,108, 667,A,  7,H, 5, 109.00,     55.8900,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,F                             ,R                ,R                                     ,R                       ,R                   ,F                   ,R                        ,                            ,F                       ,C                                ,R                            ,                     ,                         ,F                      ,R                                 ,R                        ,                           ,                         ,C                                ,R                    ,R                      ,R                                     ,F                         ,                       ,               ,R              ,R                                    ,R                     ,R                          ,R                      ,                         ,                          ,                       ,                   ,R                      ,                     ,                     ,R                         ,R                         ,                             ,R                        ,                            ,                                     ,                      ,                          ,                     ,                           ,                     ,                       ,                               ,                               ,                             ,                            ,                            ,                    ,                        ,from ODP Leg 108 SR Chapter 5 Table 16 p 90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL2               ,              ,108, 667,A,  7,H,CC,  10.00,     56.8200,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,R                             ,R                ,                                      ,R                       ,                    ,F                   ,R                        ,                            ,C                       ,F                                ,R                            ,                     ,                         ,R                      ,                                  ,R                        ,                           ,                         ,F                                ,R                    ,R                      ,R                                     ,F                         ,                       ,R              ,R              ,R                                    ,F                     ,R                          ,R                      ,                         ,                          ,                       ,                   ,R                      ,                     ,R                    ,R                         ,R                         ,R                            ,                         ,                            ,                                     ,                      ,                          ,                     ,                           ,                     ,                       ,                               ,                               ,                             ,                            ,                            ,                    ,                        ,from ODP Leg 108 SR Chapter 5 Table 16 p 90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL2               ,              ,108, 667,A,  8,H, 3, 108.00,     62.3800,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,R                             ,R                ,                                      ,R                       ,R                   ,F                   ,                         ,                            ,R                       ,C                                ,R                            ,                     ,R                        ,R                      ,R                                 ,R                        ,                           ,                         ,R                                ,R                    ,R                      ,R                                     ,R                         ,                       ,R              ,               ,R                                    ,R                     ,R                          ,R                      ,                         ,R                         ,R                      ,                   ,R                      ,R                    ,                     ,                          ,                          ,                             ,                         ,                            ,                                     ,                      ,                          ,                     ,                           ,                     ,                       ,                               ,                               ,                             ,                            ,                            ,                    ,                        ,from ODP Leg 108 SR Chapter 5 Table 16 p 90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL1               ,              ,108, 667,A,  8,H, 5, 108.00,     65.3800,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,R                             ,R                ,                                      ,R                       ,R                   ,R                   ,                         ,                            ,F                       ,F                                ,R                            ,R                    ,R                        ,F                      ,R                                 ,R                        ,                           ,                         ,C                                ,R                    ,R                      ,R                                     ,F                         ,                       ,R              ,               ,R                                    ,C                     ,R                          ,F                      ,R                        ,                          ,                       ,F                  ,                       ,                     ,                     ,                          ,                          ,                             ,                         ,                            ,                                     ,                      ,                          ,                     ,                           ,                     ,                       ,                               ,                               ,                             ,                            ,                            ,                    ,                        ,from ODP Leg 108 SR Chapter 5 Table 16 p 90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL1               ,              ,108, 667,A,  8,H,CC,  13.00,     66.4000,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,F                             ,R                ,                                      ,R                       ,R                   ,F                   ,                         ,                            ,C                       ,R                                ,R                            ,R                    ,R                        ,R                      ,                                  ,R                        ,                           ,                         ,C                                ,R                    ,R                      ,R                                     ,F                         ,                       ,               ,               ,                                     ,R                     ,R                          ,C                      ,R                        ,R                         ,R                      ,                   ,                       ,                     ,                     ,                          ,                          ,                             ,                         ,                            ,                                     ,                      ,                          ,                     ,                           ,                     ,                       ,                               ,                               ,                             ,                            ,                            ,                    ,                        ,from ODP Leg 108 SR Chapter 5 Table 16 p 90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,PL1               ,              ,108, 667,A,  9,H,CC,  12.00,     76.1200,Weaver   ,Planktonic Foraminifers                      ,A              ,M                 ,R                             ,R                ,                                      ,                        ,                    ,F                   ,R                        ,                            ,C                       ,                                 ,R                            ,F                    ,                         ,R                      ,                                  ,F                        ,                           ,                         ,F                                ,F                    ,R                      ,                                      ,F                         ,                       ,R              ,R              ,R                                    ,R                     ,R                          ,R                      ,                         ,                          ,                       ,                   ,                       ,                     ,                     ,                          ,                          ,                             ,                         ,                            ,                                     ,                      ,                          ,                     ,                           ,                     ,                       ,                               ,                               ,                             ,                            ,                            ,                    ,                        ,from ODP Leg 108 SR Chapter 5 Table 16 p 90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,M13               ,              ,108, 667,A, 10,H,CC,  11.00,     85.4700,Weaver   ,Planktonic Foraminifers                      ,A              ,M                 ,F                             ,R                ,                                      ,R                       ,R                   ,F                   ,R                        ,                            ,C                       ,F                                ,R                            ,F                    ,                         ,R                      ,                                  ,                         ,                           ,                         ,F                                ,R                    ,R                      ,                                      ,C                         ,R                      ,R              ,R              ,                                     ,                      ,                           ,                       ,                         ,                          ,                       ,                   ,                       ,                     ,                     ,                          ,                          ,                             ,                         ,                            ,                                     ,                      ,                          ,                     ,                           ,                     ,                       ,                               ,                               ,                             ,                            ,                            ,                    ,                        ,from ODP Leg 108 SR Chapter 5 Table 16 p 90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,M13               ,              ,108, 667,A, 11,H,CC,  13.00,     94.6200,Weaver   ,Planktonic Foraminifers                      ,C              ,P                 ,A                             ,R                ,                                      ,                        ,                    ,R                   ,R                        ,                            ,F                       ,R                                ,                             ,F                    ,                         ,                       ,R                                 ,R                        ,R                          ,                         ,F                                ,R                    ,R                      ,R                                     ,R                         ,                       ,               ,               ,                                     ,                      ,                           ,                       ,                         ,                          ,                       ,                   ,                       ,                     ,                     ,                          ,                          ,                             ,                         ,                            ,                                     ,                      ,                          ,                     ,                           ,                     ,                       ,                               ,                               ,                             ,                            ,                            ,                    ,                        ,from ODP Leg 108 SR Chapter 5 Table 16 p 90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,M11               ,              ,108, 667,A, 12,H,CC,  15.00,    104.1900,Weaver   ,Planktonic Foraminifers                      ,A              ,M                 ,F                             ,R                ,C                                     ,R                       ,R                   ,R                   ,                         ,                            ,R                       ,F                                ,R                            ,F                    ,                         ,R                      ,R                                 ,R                        ,F                          ,R                        ,R                                ,R                    ,                       ,                                      ,                          ,                       ,               ,               ,                                     ,                      ,                           ,                       ,                         ,                          ,                       ,                   ,                       ,                     ,                     ,                          ,                          ,                             ,                         ,                            ,                                     ,                      ,                          ,                     ,                           ,                     ,                       ,                               ,                               ,                             ,                            ,                            ,                    ,                        ,from ODP Leg 108 SR Chapter 5 Table 16 p 90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,M11               ,              ,108, 667,A, 13,H,CC,  16.00,    114.8600,Weaver   ,Planktonic Foraminifers                      ,A              ,M                 ,R                             ,R                ,R                                     ,R                       ,R                   ,F                   ,R                        ,R                           ,F                       ,F                                ,R                            ,F                    ,R                        ,R                      ,                                  ,                         ,                           ,                         ,                                 ,                     ,                       ,                                      ,                          ,                       ,               ,               ,                                     ,                      ,                           ,                       ,                         ,                          ,                       ,                   ,                       ,                     ,                     ,                          ,                          ,                             ,                         ,                            ,                                     ,                      ,                          ,                     ,                           ,                     ,                       ,                               ,                               ,                             ,                            ,                            ,                    ,                        ,from ODP Leg 108 SR Chapter 5 Table 16 p 90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,M11               ,              ,108, 667,A, 14,H,CC,  11.00,    124.2900,Weaver   ,Planktonic Foraminifers                      ,A              ,M                 ,C                             ,R                ,R                                     ,R                       ,R                   ,R                   ,F                        ,R                           ,F                       ,F                                ,R                            ,R                    ,                         ,                       ,                                  ,                         ,                           ,                         ,                                 ,                     ,                       ,                                      ,                          ,                       ,               ,               ,                                     ,                      ,                           ,                       ,                         ,                          ,                       ,                   ,                       ,                     ,                     ,                          ,                          ,                             ,                         ,                            ,                                     ,                      ,                          ,                     ,                           ,                     ,                       ,                               ,                               ,                             ,                            ,                            ,                    ,                        ,from ODP Leg 108 SR Chapter 5 Table 16 p 90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
