Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data
341-U1419E-11H-CC-A,0,14,61.9,62.04,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,10Y 4/1 (dark greenish gray),slight [DB86],1,,,,,,,,,,,,,,,,,
341-U1419E-11H-CC-A,14,18,62.04,62.08,,,,,,,,,,,,,,,,,,,,,,PAL sample,,,,,
341-U1419E-12H-1-A,0,150,61.4,62.9,,mud [Leg210],,mud ,,,,N 4 (dark gray),slight [DB86],1,present [A79],18,,,,,,,,,,clayey mud with few black mottles; subtle color variations,,,,,
341-U1419E-12H-2-A,0,96,62.9,63.86,,mud [Leg210],,mud ,,,,10Y 4/1 (dark greenish gray),,,present [A79],13,,,,,,,shell fragment,,,clayey mud with few black mottles; subtle color variations; shell fragments @ 65 cm; muddy sand patch @ 50 cm,,,,,
341-U1419E-12H-2-A,96,150,63.86,64.4,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,N 4 (dark gray),,,present [A79],4,,,,,,,,,,mud with very fine sand and silt laminae (0.8 cm) between 117 - 131 cm; sharp boundaries,,,,,
341-U1419E-12H-3-A,0,56,64.4,64.96,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,N 4 (dark gray),,,present [A79],3,,,,,,,,,,mud with very fine sand and silt laminae (0.8 cm),,,,,
341-U1419E-12H-3-A,56,150,64.96,65.9,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 3 (very dark gray),,,,,,,,,,,,,,mud interbedded with silt (sometimes very fine sand); sharp lower boundaries,,,,,
341-U1419E-12H-4-A,0,119,65.9,67.09,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 3 (very dark gray),,,present [A79],4,,,,,,,,,,0-119 cm mud-silt mix (suck in),,,,,
341-U1419E-12H-4-A,119,150,67.09,67.4,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 3 (very dark gray),,,,,,,,,,,,,,,,,,,
341-U1419E-12H-5-A,0,109,67.4,68.49,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 3 (very dark gray),,,,,,,,,,,,,,35-109 cm mud-silt mix (suck in),,,,,
341-U1419E-12H-CC-A,0,18,68.49,68.67,,interbedded silt(stone) and mud(stone) [McKW53],,interbedded silt(stone) and mud(stone) ,,,,N 3 (very dark gray),,,,,,,,,,,,,,mud-silt mix (suck in),,,,,
341-U1419E-12H-CC-A,18,23,68.67,68.72,,,,,,,,,,,,,,,,,,,,,,PAL sample,,,,,
341-U1419E-13H-1-A,0,142,69,70.42,sandy,clast-rich diamict [M89m],,sandy clast-rich diamict ,,,,N 4 (dark gray),,,,,,,,,,,,,,"clasts: granules, pebbles (up to 3 cm) of siltstone, sandstone, granitoids, greenstone, quartz; the entire section is probably disturbed due to suck in (maybe only the lower part is affected)",,,,,
341-U1419E-13H-2-A,0,146,70.42,71.88,sandy,clast-rich diamict [M89m],with mud [Leg339],sandy clast-rich diamict  with mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,diamict interstratified with lighter mud beds (with diatoms!!!); lithology of pebbles as in Section 1,,,,,
341-U1419E-13H-3-A,0,125,71.88,73.13,sandy,clast-rich diamict [M89m],with mud [Leg339],sandy clast-rich diamict  with mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,diamict slightly interstratified with lighter mud beds (with diatoms!!!); lithology of pebbles as in Section 1,,,,,
341-U1419E-13H-4-A,0,22,73.13,73.35,sandy,clast-rich diamict [M89m],with mud [Leg339],sandy clast-rich diamict  with mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,
341-U1419E-13H-4-A,22,61,73.35,73.74,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,
341-U1419E-13H-4-A,61,69,73.74,73.82,sandy,clast-rich diamict [M89m],with mud [Leg339],sandy clast-rich diamict  with mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,
341-U1419E-13H-CC-A,0,19,73.82,74.01,sandy,clast-rich diamict [M89m],with mud [Leg339],sandy clast-rich diamict  with mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,
341-U1419E-13H-CC-A,19,24,74.01,74.06,,,,,,,,,,,,,,,,,,,,,,PAL sample,,,,,
341-U1419E-14H-1-A,0,142,73.7,75.12,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 3 (very dark gray),,,,,,,,,,,,,,"contains dispersed laminae of dark grey (N 4) mud with fewer and smaller clasts in some intervals; clast lithologies: siltst 12, sandst 2, granite 2, rhyolite 1; ",,,,,
341-U1419E-14H-2-A,0,146,75.12,76.58,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 3 (very dark gray),,,,,,,,,,,,,,"contains dispersed laminae of dark grey (N 4) mud with fewer and smaller clasts in some intervals; clast lithologies: chert 5, siltst 8, quarzite 1, sandst 5, argillite 4, basalt 3, vein qtz 1",,,,,
341-U1419E-14H-3-A,0,79,76.58,77.37,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),none [DB86],0,present [A79],,,,,,,,,,,"clasts include: siltstone, sandstone, granitoid, volcanics (basalt), argillite, mudstone, rhyolite; up to 2.5 cm",,,,,
341-U1419E-14H-3-A,79,115,77.37,77.73,,diatom ooze [Leg339],with dispersed clasts,diatom ooze  with dispersed clasts,,,,10Y 4/1 (dark greenish gray),none [DB86],0,present [A79],6,,,,,,,,,,"clasts include: sandstone, siltstone, quartz;
up to 1cm",,,,,
341-U1419E-14H-4-A,0,82,77.73,78.55,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,10Y 4/1 (dark greenish gray),none [DB86],0,present [A79],14,,,,,,,,,,"clasts include: granitoid, siltstone, quartz, sandstone, metasiltstone;
clast with rind @ 54cm",,,,,
341-U1419E-14H-CC-A,0,11,78.55,78.66,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,10Y 4/1 (dark greenish gray),none [DB86],0,present [A79],1,,,,,,,,,,1cm siltstone @ 8cm,,,,,
341-U1419E-14H-CC-A,11,16,78.66,78.71,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,
341-U1419E-15H-1-A,0,145,78.4,79.85,,mud [Leg210],,mud ,,,,10Y 4/1 (dark greenish gray),,,present [A79],2,,,,,,,,,,very fine mud,,,,,
341-U1419E-15H-2-A,0,117,79.85,81.02,,mud [Leg210],,mud ,,,,10Y 4/1 (dark greenish gray),,,present [A79],10,,,,,,,shell fragment,,,very fine mud; few black mottles; shell fragment @ 48 cm; silty mud patches @ 100 to 110 cm; color changes (from 10Y 4/1 to N 4),,,,,
341-U1419E-15H-3-A,0,40,81.02,81.42,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],2,,,,,,,,,,very fine mud,,,,,
341-U1419E-15H-3-A,40,68,81.42,81.7,,mud [Leg210],,mud ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,,,
341-U1419E-15H-CC-A,0,15,81.7,81.85,,mud [Leg210],,mud ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,,,
341-U1419E-15H-CC-A,15,21,81.85,81.91,,,,,,,,,,,,,,,,,,,,,,PAl sample,,,,,
341-U1419E-16H-1-A,0,34,83.1,83.44,,mud [Leg210],,mud ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,clayey mud; subtle color changes,,,,,
341-U1419E-16H-1-A,34,42,83.44,83.52,,,,,,,,,,,,,,,,,,,,,,void,,,,,
341-U1419E-16H-1-A,42,126,83.52,84.36,,mud [Leg210],,mud ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,clayey mud; subtle color changes,,,,,
341-U1419E-17H-1-A,0,80,87.8,88.6,,mud [Leg210],,mud ,,,,10Y 4/1 (dark greenish gray),moderate [DB86],2,present [A79],3,,,,,,,shell fragment,,,"clayey mud with few black mottles; shell fragments @ 72, 79, 81 cm",,,,,
341-U1419E-17H-1-A,80,114,88.6,88.94,,diatom ooze [Leg339],with volcanic ash [Leg339],diatom ooze  with volcanic ash ,trace amount,1,,10Y 3/1 (very dark greenish gray),moderate [DB86],2,,,,,,,,,,,,,,,,,
341-U1419E-17H-1-A,114,142,88.94,89.22,,mud [Leg210],,mud ,,,,10Y 4/1 (dark greenish gray),moderate [DB86],2,present [A79],3,,,,,,,,,,clayey mud with few black mottles; black siltstone (4x3 cm) @ 135-140 cm (in WH),,,,,
341-U1419E-17H-2-A,0,49,89.22,89.71,,mud [Leg210],,mud ,,,,10Y 4/1 (dark greenish gray),moderate [DB86],2,present [A79],7,,,,,,,,,,mud with few black mottles; color changes (10Y 4/1 to 10Y 3/1),,,,,
341-U1419E-17H-2-A,49,142,89.71,90.64,silty,mud [Leg210],,silty mud ,,,,10Y 4/1 (dark greenish gray),,,present [A79],14,,,,,,,,,,silty mud; color changes towards more N 4 at the bottom; with cottage cheese structure,,,,,
341-U1419E-17H-3-A,0,60,90.64,91.24,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,present [A79],9,,,,,,,,,,4 cm black siltstone @ 9-12 cm (in WH),,,,,
341-U1419E-17H-3-A,60,127,91.24,91.91,,clast-rich diamict [M89m],,clast-rich diamict ,,,,N 3 (very dark gray),,,,,,,,,,,,,,many granules and pebbles (1-2 cm) of various lithologies,,,,,
341-U1419E-17H-4-A,0,66,91.91,92.57,,clast-rich diamict [M89m],,clast-rich diamict ,,,,N 3 (very dark gray),,,,,,,,,,,,,,with granules and outsized pebbles (2-3 cm),,,,,
341-U1419E-17H-CC-A,0,25,92.57,92.82,,clast-rich diamict [M89m],,clast-rich diamict ,,,,N 3 (very dark gray),,,,,,,,,,,,,,with granules and pebbles (1-2 cm),,,,,
341-U1419E-17H-CC-A,25,30,92.82,92.87,,,,,,,,,,,,,,,,,,,,,,PAL sample,,,,,
341-U1419E-18H-1-A,0,136,92.5,93.86,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 3 (very dark gray),,,,,,,,,,,,,,"clast lithologies siltst 11, granite 8, basalt 1, sandst 8,, argillite 1, chert 2, gniess 1, gabbro 1",,,,,
341-U1419E-18H-CC-A,0,22,93.86,94.08,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 3 (very dark gray),,,,,,,,,,,,,,"clast lithologies: siltst 2, sandst 4, basalt 1, argillite 1",,,,,
341-U1419E-18H-CC-A,22,27,94.08,94.13,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,
341-U1419E-19H-1-A,0,146,94.1,95.56,,mud [Leg210],with abundant clasts,mud  with abundant clasts,,,,N 4 (dark gray),none [DB86],0,present [A79],,,,,,,,,,,"clasts include: siltstone, granitoid, argillite, volcanic, sandstone, quartz;
up to 5.5cm",,,,,
341-U1419E-19H-2-A,0,142,95.56,96.98,,mud [Leg210],with abundant clasts,mud  with abundant clasts,,,,N 4 (dark gray),none [DB86],0,present [A79],,,,,,,,,,,"clasts include: volcanic (basalt), siltstone, sandstone, quartz, argillite;
up to 3cm",,,,,
341-U1419E-19H-3-A,0,105,96.98,98.03,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),none [DB86],0,present [A79],,,,,,,,,,,"clasts include: siltstone, rhyolite, argillite, quartz, volcanic, granitoid;
up to 3cm",,,,,
341-U1419E-19H-4-A,0,51,98.03,98.54,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),none [DB86],0,present [A79],,,,,,,,,,,"clasts include: granitoid, siltstone, sandstone, mudstone;
up to 2.5cm",,,,,
341-U1419E-19H-CC-A,0,30,98.54,98.84,,mud [Leg210],with common clasts,mud  with common clasts,,,,N 4 (dark gray),none [DB86],0,present [A79],,,,,,,,,,,"clasts include: siltstone, granitoid, volcanic, sandstone, quartz",,,,,
341-U1419E-19H-CC-A,30,35,98.84,98.89,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,
