Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithification,MAJ Lith. Prefix,MAJ Lith. Principal name,Texture Rank,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],"FACIES (neritic, hemipelagic, pelagic)",MAJ lith color (simple),Fossil,Sedimentary structure,Diagenetic structure,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data
356-U1459A-6F-3-A,80,85,34.79,34.84,unlithified [Leg194],foraminifer rich,wackestone [E&K72; D62],2,with glauconite [2014],foraminifer rich wackestone with glauconite,hemipelagic,light greenish gray,foraminifera (small benthic),,,,,,,,Large (up to 2 cm long) irregular pebbles.,,,
356-U1459A-6F-CC-A,0,10,34.84,34.94,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,light gray,bivalve,,,,,,,,"Unlithified light gray packstone with bivalve, foraminifera (small benthic). Hemipelagic.",,,
356-U1459A-6F-CC-A,0,10,34.84,34.94,,,,,,,,,foraminifera (small benthic),,,,,,,,,,,
356-U1459A-7F-1-A,0,5,34.9,34.95,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,pelagic,light gray,,,,,,,sharp,sub-horizontal,May have settled in the liner during core extrusion.,,,
356-U1459A-7F-1-A,5,33,34.95,35.23,unlithified [Leg194],,grainstone [E&K72; D62],4,,grainstone,neritic,light gray,foraminifera (small benthic),,,,,,,,Graded from fine to coarse (top to bottom). Sorting probably due to coring.,,,
356-U1459A-7F-CC-A,0,8,35.23,35.31,unlithified [Leg194],,grainstone [E&K72; D62],4,,grainstone,neritic,creamy gray,,,,,,,,,Coarse sand to gravel. Probably a continuation of sorting from the section above and due to drilling disturbance.,,,
356-U1459A-9F-1-A,0,53,42.1,42.63,unlithified [Leg194],echinoderm rich,packstone [E&K72; D62],3,with bivalves,echinoderm rich packstone with bivalves,neritic,creamy gray,bivalve,,,,,,,inclined,Unlithified creamy gray packstone with bivalves and echinoderms. Neritic.,,,
356-U1459A-9F-1-A,0,53,42.1,42.63,,,,,,,,,echinoderm,,,,,,,,Unlithified gravel rich in echinoderms. Also noted crustacean skeleton.,,,
356-U1459A-9F-1-A,53,83,42.63,42.93,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,neritic,gray,,,,,,,gradational,horizontal,Possible hard layer laying over mud and fractured during coring.,,,
356-U1459A-9F-1-A,83,150,42.93,43.6,unlithified [Leg194],,mudstone [E&K72; D62],1,with glauconite [2014],mudstone with glauconite,hemipelagic,creamy gray,,,,,,,,,Scattered lenses and a 15 mm lamina enriched with glauconite.,,,
356-U1459A-9F-2-A,0,145,43.6,45.05,unlithified [Leg194],,mudstone [E&K72; D62],1,with glauconite [2014],mudstone with glauconite,hemipelagic,creamy gray,,,,,,,,,Scattered lenses of glauconite,,,
356-U1459A-9F-3-A,0,117,45.1,46.27,unlithified [Leg194],,mudstone [E&K72; D62],1,with glauconite [2014],mudstone with glauconite,hemipelagic,creamy gray,bivalve,,,,,,,,Scattered lenses of glauconite. Rare bivalve shell fragment. Incipient nodule forming near the base of the section.,,,
356-U1459A-9F-CC-A,0,8,46.27,46.35,unlithified [Leg194],,mudstone [E&K72; D62],1,with glauconite [2014],mudstone with glauconite,hemipelagic,creamy gray,,,,,,,sharp,inclined,Mudstone contains scattered glauconite.,,,
356-U1459A-9F-CC-A,8,19,46.35,46.46,unlithified [Leg194],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,light brown,bryozoa,,,,,,,,Ligher brown mud at base could be due to drilling disturbance.,,,
356-U1459A-10F-1-A,0,150,46.8,48.3,unlithified [Leg194],,packstone [E&K72; D62],3,with glauconite [2014],packstone with glauconite,hemipelagic,creamy gray,echinoderm,,,,,,,,Contains gravel clasts and scattered glauconite lenses,,,
356-U1459A-10F-2-A,0,7,48.3,48.37,,,,,,,,,,,,,,,,,Void,,,
356-U1459A-10F-2-A,7,69,48.37,48.99,unlithified [Leg194],,packstone [E&K72; D62],3,with skeletal carbonate,packstone with skeletal carbonate,neritic,dark gray,bivalve,,,,,,,,"Unlithified, sandy gravel containing echinoderm and bivalve fragments. Moderately fractured during core extrusion and processing.",,,
356-U1459A-10F-2-A,7,69,48.37,48.99,,,,,,,,,echinoderm,,,,,,,,,,,
356-U1459A-10F-2-A,69,71,48.99,49.01,lithified [B84],,packstone [E&K72; D62],3,,packstone,hemipelagic,creamy gray,,,,,,,,,Interval of cementation.,,,
356-U1459A-10F-2-A,71,151,49.01,49.81,unlithified [Leg194],,packstone [E&K72; D62],3,with glauconite [2014],packstone with glauconite,hemipelagic,light greenish gray,,,,,,,,,"Packstone with scattered lenses of glauconite. Moderately cemented intervals (pale beige color), whereas the green glauconite intervals are less cemented.",,,
356-U1459A-10F-2-A,71,151,49.01,49.81,,,,,,,,,,,,,,,,,Packstone with scattered lenses of glauconite with moderately cemented intervals (pale beige color. Whereas the green glauconite intervals are less cemented.,,,
356-U1459A-10F-3-A,0,103,49.81,50.84,unlithified [Leg194],,packstone [E&K72; D62],3,with glauconite [2014],packstone with glauconite,hemipelagic,creamy gray,,,,,,,,,Contains scattered lenses and zones of glauconite. Slightly cemented nodules scattered throughout the section. No visible macroscopic fossils.,,,
356-U1459A-10F-4-A,0,49,50.84,51.33,unlithified [Leg194],,packstone [E&K72; D62],3,with glauconite [2014],packstone with glauconite,hemipelagic,creamy gray,,,,,,,,,Unlithified Packstone with scattered glauconite. Slightly cemeneted pockets towards the base.,,,
356-U1459A-10F-CC-A,0,9,51.33,51.42,unlithified [Leg194],,packstone [E&K72; D62],3,with glauconite [2014],packstone with glauconite,hemipelagic,gray,,,,,,,,,Very disturbed,,,
356-U1459A-11F-1-A,0,52,51.5,52.02,unlithified [Leg194],glauconite rich,packstone [E&K72; D62],3,,glauconite rich packstone,neritic,creamy gray,,,,,,,,,Macrofossils are not observed.,,,
356-U1459A-11F-1-A,52,132,52.02,52.82,unlithified [Leg194],echinoderm rich,packstone [E&K72; D62],3,,echinoderm rich packstone,neritic,creamy gray,echinoderm,,,,,,,,It contains gastropods and sand dollar fragments,,,
356-U1459A-11F-1-A,52,132,52.02,52.82,,,,,,,,,gastropod,,,,,,,,It contains echinoderm and gastropods and sand dollar fragments,,,
356-U1459A-11F-1-A,132,150,52.82,53,unlithified [Leg194],glauconite rich,packstone [E&K72; D62],3,,glauconite rich packstone,neritic,creamy gray,,,,,,,,,The base of the section is very soupy.,,,
356-U1459A-11F-2-A,0,78,53,53.78,unlithified [Leg194],glauconite rich,packstone [E&K72; D62],3,,glauconite rich packstone,neritic,creamy gray,gastropod,,,,,,,,From 39-78 large cm lithified patches,,,
356-U1459A-11F-CC-A,0,13,53.78,53.91,unlithified [Leg194],echinoderm rich,floatstone [E&K72; D62],5,,echinoderm rich floatstone,neritic,creamy gray,coralline algae,,,,,,,,Composed of gravel size partly cemented clasts. A cm-size fragment of a encrusting coralline algea that has been altered.,,,
356-U1459A-11F-CC-A,0,13,53.78,53.91,,,,,,,,,echinoderm,,,,,,,,Composed of gravel size partly cemented clasts. A cm-size fragment of a encrusting coralline algae that has been altered.,,,
356-U1459A-11F-CC-A,13,18,53.91,53.96,,,,,,,,,,,,,,,,,Composed of gravel size partly cemented clasts.,,,
356-U1459A-12F-1-A,0,150,56.2,57.7,partially lithified,,packstone [E&K72; D62],3,with glauconite [2014],packstone with glauconite,hemipelagic,creamy gray,bryozoa,,,,,,,,Partly lithified packstone with glauconite. It has been fractured during coring.,,,
356-U1459A-12F-1-A,0,150,56.2,57.7,,,,,,,,,echinoderm,,,,,,,,,,,
356-U1459A-12F-1-A,0,150,56.2,57.7,,,,,,,,,echinoderm,,,,,,,,,,,
356-U1459A-12F-1-A,0,150,56.2,57.7,,,,,,,,,gastropod,,,,,,,,,,,
356-U1459A-12F-2-A,0,145,57.7,59.15,unlithified [Leg194],,packstone [E&K72; D62],3,with gastropods,packstone with gastropods,hemipelagic,creamy gray,gastropod,,,,,,,,"Unlithified pack with glauconite and intervals of partly lithified gravel size sediment. Contains echinoderms (sand dollar), bryozoan and brachiopod fragments.",,,
356-U1459A-12F-2-A,0,145,57.7,59.15,,,,,,,,,brachiopod,,,,,,,,,,,
356-U1459A-12F-2-A,0,145,57.7,59.15,,,,,,,,,bryozoa,,,,,,,,,,,
356-U1459A-12F-2-A,0,145,57.7,59.15,,,,,,,,,echinoderm,,,,,,,,,,,
356-U1459A-12F-2-A,0,145,57.7,59.15,,,,,,,,,echinoderm,,,,,,,,,,,
356-U1459A-12F-3-A,0,146,59.2,60.66,unlithified [Leg194],,packstone [E&K72; D62],3,with gastropods,packstone with gastropods,hemipelagic,creamy gray,brachiopod,,,,,,,,"Unlithified packstone with glauconite, rare fossils. Intervals of incipient lithification occur throughout the section.",,,
356-U1459A-12F-3-A,0,146,59.2,60.66,,,,,,,,,gastropod,,,,,,,,,,,
356-U1459A-13F-1-A,0,76,60.9,61.66,partially lithified,,grainstone [E&K72; D62],4,with glauconite [2014],grainstone with glauconite,hemipelagic,creamy gray,brachiopod,,,,,,,,"Unlithified and partly weakly lithified grainstone with glauconite. Intervals occur in which there is partial, weak cementation. Brachiopod shell near the bottom of the section.",,,
356-U1459A-13F-1-A,76,150,61.66,62.4,unlithified [Leg194],,grainstone [E&K72; D62],4,with glauconite [2014],grainstone with glauconite,hemipelagic,beige,brachiopod,,,,,,,,Unlithified beige grainstone with glauconite contains a brachiopod. Hemipelagic.,,,
356-U1459A-13F-2-A,0,109,62.4,63.49,unlithified [Leg194],,grainstone [E&K72; D62],4,with glauconite [2014],grainstone with glauconite,hemipelagic,creamy gray,,,,,,,,,"At 7 cm, a flat, low-density, 5 cm long, shale-looking fragment was sent for thin section. Unlithified and slightly lithified intervals throughout the section. Glauconite zones occur scattered throughout the section. There is a gradation in the color of glauconite to darker gray.",,,
356-U1459A-13F-2-A,0,109,62.4,63.49,,,,,,,,,,,,,,,,,"At 7 cm a flat, low-density, 5 cm long, shale-looking fragment. Was sent for thin section. Unlithified and slightly lithified intervals throughout the Section.",,,
356-U1459A-13F-2-A,109,150,63.49,63.9,partially lithified,,grainstone [E&K72; D62],4,with glauconite [2014],grainstone with glauconite,hemipelagic,light greenish gray,,,,,,,,,Partialy lithified light greenish gray grainstone with glauconite.,,,
356-U1459A-13F-2-A,109,150,63.49,63.9,,,,,,,,creamy gray,,,,,,,,,,,,
356-U1459A-13F-3-A,0,40,63.9,64.3,unlithified [Leg194],glauconite rich,grainstone [E&K72; D62],4,,glauconite rich grainstone,hemipelagic,dark grayish green,,,,,,,,,Unlithified dark grayish green glauconite rich grainstone. Hemipelagic.,,,
356-U1459A-13F-3-A,40,64,64.3,64.54,partially lithified,glauconite rich,grainstone [E&K72; D62],4,,glauconite rich grainstone,hemipelagic,dark grayish green,,,,,,,,,Partially lithfied dark grayish green glauconite rich grainstone. Hemipelagic.,,,
356-U1459A-13F-3-A,64,145,64.54,65.35,unlithified [Leg194],,grainstone [E&K72; D62],4,with glauconite [2014],grainstone with glauconite,hemipelagic,cream,,,,,,,,,Unlithified grainstone with glauconite rich patches.,,,
356-U1459A-13F-CC-A,0,14,65.35,65.49,unlithified [Leg194],,grainstone [E&K72; D62],4,,grainstone,hemipelagic,light brown,,,,,,,,,Unlithified light brown grainstone. Hemipelagic,,,
356-U1459A-14F-1-A,0,115,65.6,66.75,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with glauconite [2014],skeletal packstone with glauconite,hemipelagic,beige,foraminifera (small benthic),,,,absent [B06],0,gradational,horizontal,Contains gravel clasts and glauconite lenses,,,
356-U1459A-14F-1-A,115,150,66.75,67.1,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with glauconite [2014],skeletal packstone with glauconite,hemipelagic,creamy gray,foraminifera (small benthic),,,,absent [B06],0,,,Unlithified beige skeletal grainstone with glauconite with foraminifera (small benthic). Hemipelagic.,,,
356-U1459A-14F-2-A,0,42,67.1,67.52,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with glauconite [2014],skeletal packstone with glauconite,hemipelagic,creamy gray,foraminifera (small benthic),,,,absent [B06],0,gradational,horizontal,Contains scattered lenses of glauconite,,,
356-U1459A-14F-2-A,42,145,67.52,68.55,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with glauconite [2014],skeletal packstone with glauconite,hemipelagic,beige,foraminifera (small benthic),,,,absent [B06],0,,,Unlithified beige skeletal packstone with glauconite with foraminifera (small benthic). Hemipelagic.,,,
356-U1459A-14F-3-A,0,111,68.6,69.71,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with glauconite [2014],skeletal packstone with glauconite,hemipelagic,beige,foraminifera (small benthic),,,,absent [B06],0,,,Unlithified beige skeletal packstone with glauconite with foraminifera (small benthic). Hemipelagic.,,,
356-U1459A-14F-4-A,0,70,69.71,70.41,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with glauconite [2014],skeletal packstone with glauconite,hemipelagic,beige,foraminifera (small benthic),,,,absent [B06],0,,,Unlithified beige skeletal packstone with glauconite with foraminifera (small benthic). Hemipelagic.,,,
356-U1459A-14F-CC-A,0,8,70.41,70.49,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,with glauconite [2014],skeletal packstone with glauconite,hemipelagic,beige,foraminifera (small benthic),,,,absent [B06],0,sharp,horizontal,Unlithified beige skeletal packstone with glauconite with foraminifera (small benthic). Hemipelagic.,,,
356-U1459A-14F-CC-A,8,26,70.49,70.67,unlithified [Leg194],skeletal,grainstone [E&K72; D62],4,with glauconite [2014],skeletal grainstone with glauconite,hemipelagic,creamy gray,foraminifera (small benthic),grading (reverse),,,absent [B06],0,,,Unlithified creamy gray skeletal grainstone with glauconite and foraminifera (small benthic). Reverse grading. Hemipelagic.,,,
