Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data
353-U1444A-1H-5-A,0,19,6,6.19,,silty,clay,,silty clay,silty clay,clay,,dark green,GLEY 1 4/10Y (dark greenish gray),planar,sharp,horizontal,thin bed,normally graded,,,,,,,,Succession of 2 thin beds normally graded from silt to clay. The silty layers are darker (iron sulphides? or rather charcols and wood remains?).,,,
353-U1444A-1H-5-A,19,72,6.19,6.72,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 3/10Y (very dark greenish gray),irregular,,,,non-graded,,,,,,,,,,,
353-U1444A-1H-5-A,72,92,6.72,6.92,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-1H-CC-A,0,18,6.92,7.1,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 3/10Y (very dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-2H-1-A,0,30,7.1,7.4,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 3/10Y (very dark greenish gray),irregular,,,,non-graded,,,,,,,,,,,
353-U1444A-2H-1-A,30,96,7.4,8.06,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),irregular,,,,non-graded,,,,,,,,"Some color variations are observed in the interval, varying from gray to dark gray. Interval present lots of black mottling (iron sulphides? or rather charcols and wood remains?).",,,
353-U1444A-2H-1-A,96,150,8.06,8.6,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 3/10Y (very dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-2H-2-A,0,45,8.6,9.05,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 3/10Y (very dark greenish gray),erosive,,,,non-graded,,,,,,,,,,,
353-U1444A-2H-2-A,45,150,9.05,10.1,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,medium bed,normally graded,,,,,,,,"Succession of 6 medium beds (10-20 cm) normally graded from silt to clay. The silty layers at the bottom of each bed are slightly darker (iron sulphides? or rather charcols and wood remains?). The clays above do not show any structures, and look like hemipelagic deposits.",,,
353-U1444A-2H-3-A,0,49,10.1,10.59,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 3/10Y (very dark greenish gray),irregular,,,,non-graded,,,,,,,,,,,
353-U1444A-2H-3-A,49,60,10.59,10.7,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),irregular,,,,non-graded,,,,,,,,,,,
353-U1444A-2H-3-A,60,69,10.7,10.79,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 3/10Y (very dark greenish gray),irregular,,,,non-graded,,,,,,,,,,,
353-U1444A-2H-3-A,69,106,10.79,11.16,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),irregular,,,medium bed,normally graded,,,,,,,,"Succession of 4 medium beds (10-20 cm) normally graded from silt to clay. The silty layers at the bottom of each bed are slightly darker (iron sulphides? or rather charcols and wood remains?). The clays above do not show any structures, and look like hemipelagic deposits.",,,
353-U1444A-2H-3-A,106,137,11.16,11.47,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 3/10Y (very dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-2H-4-A,0,32,11.47,11.79,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 3/10Y (very dark greenish gray),irregular,,,,non-graded,,,,,,,,,,,
353-U1444A-2H-4-A,32,57,11.79,12.04,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),irregular,,,thin bed,normally graded,,,,,,,,"Succession of 4 thin beds (5-10 cm) normally graded from silt to clay. The silty layers at the bottom of each bed are slightly darker (iron sulphides? or rather charcols and wood remains?). The clays above do not show any structures, and look like hemipelagic deposits.",,,
353-U1444A-2H-4-A,57,133,12.04,12.8,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 3/10Y (very dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-2H-5-A,0,150,12.8,14.3,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 3/10Y (very dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-2H-6-A,0,139,14.3,15.69,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 3/10Y (very dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-3H-1-A,0,23,16.6,16.83,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),irregular,,,,non-graded,,,,,,,,,,,
353-U1444A-3H-1-A,23,50,16.83,17.1,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 3/10Y (very dark greenish gray),irregular,,,,non-graded,,,,,,,,,,,
353-U1444A-3H-1-A,50,56,17.1,17.16,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),irregular,,,,non-graded,,,,,,,,,,,
353-U1444A-3H-1-A,56,91,17.16,17.51,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 3/10Y (very dark greenish gray),irregular,,,,non-graded,,,,,,,,,,,
353-U1444A-3H-1-A,91,133,17.51,17.93,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),irregular,,,thin bed,normally graded,,,,,,,,Succession of 9 thin beds (5-10 cm) normally graded from silt to clay. The silty layers at the bottom of each bed are slightly darker (iron sulphides? or rather charcols and wood remains?). The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-3H-1-A,133,150,17.93,18.1,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 3/10Y (very dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-3H-2-A,0,9,18.1,18.19,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),irregular,,,very thin bed,normally graded,,,,,,,,Succession of 2 very thin beds normally graded from silt to clay. The silty layers at the bottom of each bed are slightly darker (iron sulphides? or rather charcols and wood remains). The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-3H-2-A,9,43,18.19,18.53,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 3/10Y (very dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-3H-2-A,43,68,18.53,18.78,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),irregular,,,thin bed,normally graded,,,,,,,,Succession of 4 thin beds normally graded from silt to clay. The silty layers at the bottom of each bed are slightly darker (iron sulphides? or rather charcols and wood remains). The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-3H-2-A,68,135,18.78,19.45,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),irregular,,,medium bed,normally graded,,,,,,,,Succession of 6 medium beds normally graded from sand to clay. The silty layers between sand and clay of each bed are slightly darker (iron sulphides? or rather charcols and wood remains). The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-3H-2-A,135,150,19.45,19.6,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-3H-3-A,0,74,19.6,20.34,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,medium bed,normally graded,,,,,,,,Succession of 4 medium beds normally graded from sand to clay. The silty layers between sand and clay of each bed are slightly darker (iron sulphides? or rather charcols and wood remains). The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-3H-3-A,74,150,20.34,21.1,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-3H-4-A,0,43,21.1,21.53,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-3H-4-A,43,123,21.53,22.33,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,thick bed,normally graded,,,,,,,,Succession of 3 thick beds normally graded from sand to clay. The silty layers between sand and clay of each bed are slightly darker (iron sulphides? or rather charcols and wood remains). The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-3H-4-A,123,133,22.33,22.43,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,thin bed,normally graded,,,,,,,,Succession of 2 thin beds normally graded from silt to clay. The silty layers at the bottom of each bed are slightly darker (iron sulphides? or rather charcols and wood remains). The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-3H-5-A,0,25,22.43,22.68,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,thin bed,normally graded,,,,,,,,Succession of 6 thin beds normally graded from sandy silt to clay. The silty layers between sand and clay of each bed are slightly darker (iron sulphides? or rather charcols and wood remains). The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-3H-5-A,25,138,22.68,23.81,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,thick bed,normally graded,,,,,,,,Succession of 3 thick beds normally graded from sandy silt to clay. The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-3H-6-A,0,150,23.81,25.31,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,thick bed,normally graded,,,,,,,,Succession of 3 thick beds normally graded from sandy silt to clay. The silty layer between sand and clay of each bed are slightly darker (iron sulphides? or rather charcols and wood remains) at 76-77 cm. The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-3H-7-A,0,71,25.31,26.02,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,thick bed,normally graded,,,,,,,,Succession of 3 thick beds normally graded from sandy silt to clay. The silty layer between sand and clay of each bed are slightly darker (iron sulphides? or rather charcols and wood remains) at 76-77 cm. The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-3H-CC-A,0,22,26.02,26.24,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-4H-1-A,0,119,26.1,27.29,,sandy,silt,with clay,sandy silt,sandy silt with clay,silt with clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-4H-1-A,119,150,27.29,27.6,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-4H-2-A,0,34,27.6,27.94,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,thin bed,normally graded,,,,,,,,Succession of 8 thin beds normally graded from sandy silt to clay. The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-4H-2-A,34,67,27.94,28.27,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,very thin bed,normally graded,,,,,,,,Succession of 12 very thin beds normally graded from silt to clay. The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-4H-2-A,67,129,28.27,28.89,,sandy,silt,with clay,sandy silt,sandy silt with clay,silt with clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,thick bed,normally graded,,,,,,,,One thick bed normally graded from sandy silt to clay. The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-4H-2-A,129,150,28.89,29.1,,sandy,silt,with clay,sandy silt,sandy silt with clay,silt with clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,medium bed,normally graded,,,,,,,,One medium bed normally graded from sandy silt to clay. The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-4H-3-A,0,19,29.1,29.29,,sandy,silt,,sandy silt,sandy silt,silt,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-4H-3-A,19,112,29.29,30.22,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,thick bed,normally graded,,,,,,,,Succession of 2 thick beds normally graded from sandy silt to clay. The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-4H-3-A,112,150,30.22,30.6,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,medium bed,normally graded,,,,,,,,Succession of 2 medium beds normally graded from sandy silt to clay. The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-4H-4-A,0,13,30.6,30.73,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,medium bed,normally graded,,,,,,,,One medium bed normally graded from sandy silt to clay. The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-4H-4-A,13,61,30.73,31.21,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,thin bed,normally graded,,,,,,,,Succession of 5 to 6 thin beds normally graded from silt to clay. Silt layers are rich in glauconite (transported from the continent). The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-4H-4-A,61,150,31.21,32.1,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,medium bed,normally graded,,,,,,,,Succession of 7 very thin to medium beds normally graded from sandy silt to clay. The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-4H-5-A,0,150,32.1,33.6,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,thick bed,normally graded,,,,,,,,Succession of 4 medium to thick beds normally graded from sandy silt to clay. The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-4H-6-A,0,78,33.6,34.38,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,medium bed,normally graded,,,,,,,,Succession of 4 medium to thick beds normally graded from sandy silt to clay. The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-4H-6-A,78,114,34.38,34.74,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,thin bed,normally graded,,,,,,,,"Succession of 4 to 6 thin beds normally graded from silt to clay with mottling. The silty layers at the bottom of each bed are slightly darker (iron sulphides? or rather charcols and wood remains?). The clays above do not show any structures, and look like hemipelagic deposits.",,,
353-U1444A-4H-6-A,114,150,34.74,35.1,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,medium bed,normally graded,,,,,,,,Succession of 4 medium beds normally graded from sandy silt to clay. The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-4H-7-A,0,54,35.1,35.64,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,medium bed,normally graded,,,,,,,,Succession of 4 thin to medium beds normally graded from sandy silt to clay. The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-4H-CC-A,0,21,35.64,35.85,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-5H-1-A,0,86,35.6,36.46,,sandy,silt,,sandy silt,sandy silt,silt,,dark gray,GLEY 1 4/10Y (dark greenish gray),irregular,,,,non-graded,,,,,,,,,,,
353-U1444A-5H-1-A,86,150,36.46,37.1,,sandy,silt,with clay,sandy silt,sandy silt with clay,silt with clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,medium bed,normally graded,,,,,,,,Succession of 5 thin to medium beds normally graded from sand to clay. The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-5H-2-A,0,150,37.1,38.6,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,thick bed,normally graded,,,,,,,,Succession of 2 thick beds normally graded from sandy silt to clay. The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-5H-3-A,0,14,38.6,38.74,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,thick bed,normally graded,,,,,,,,,,,
353-U1444A-5H-3-A,14,22,38.74,38.82,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,thin bed,normally graded,,,,,,,,One medium bed normally graded from sandy silt to clay. The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-5H-3-A,22,82,38.82,39.42,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,thick bed,normally graded,,,,,,,,One thick bed normally graded from sandy silt to clay. The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-5H-3-A,82,111,39.42,39.71,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,thick bed,normally graded,,,,,,,,Succession of 3 thick beds normally graded from sandy silt to clay. The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-5H-3-A,111,150,39.71,40.1,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,thick bed,normally graded,,,,,,,,One thick bed normally graded from sandy silt to clay. The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-5H-4-A,0,56,40.1,40.66,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,thin bed,normally graded,,,,,,,,Succession of 9 thin to very thin beds normally graded from sandy silt to clay. The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-5H-4-A,56,150,40.66,41.6,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,medium bed,normally graded,,,,,,,,Succession of 4 thick beds normally graded from sandy silt to clay. The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-5H-5-A,0,150,41.6,43.1,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,thick bed,normally graded,,,,,,,,Succession of 2 thick beds normally graded from sandy silt to clay. The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-5H-6-A,0,6,43.1,43.16,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-5H-6-A,6,12,43.16,43.22,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,thin bed,normally graded,,,,,,,,Succession of 2 thiin beds normally graded from sandy silt to clay. The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-5H-6-A,12,150,43.22,44.6,,silty,clay,with sand,silty clay,silty clay with sand,clay with sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,very thick bed,normally graded,,,,,,,,One very thick bed normally graded from sandy silt to clay. The clays above do not show any structures and look like hemipelagic deposits.,,,
353-U1444A-5H-7-A,0,63,44.6,45.23,,,sand,,sand,sand,sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-5H-CC-A,0,15,45.23,45.38,,,sand,,sand,sand,sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-6H-1-A,0,150,45.1,46.6,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-6H-2-A,0,150,46.6,48.1,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-6H-3-A,0,150,48.1,49.6,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-6H-4-A,0,147,49.6,51.07,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-6H-4-A,147,150,51.07,51.1,,silty,clay,,silty clay,silty clay,clay,,gray,GLEY 1 5/N (gray),,,,,non-graded,,,,mottling,,,,,,,
353-U1444A-6H-5-A,0,150,51.1,52.6,,silty,clay,,silty clay,silty clay,clay,,gray,GLEY 1 5/N (gray),,,,thick bed,non-graded,,,,mottling,,,,Green bands and foraminifer rich turbidite type band (G. menardii) . Thin to thick beds.,,,
353-U1444A-6H-6-A,0,65,52.6,53.25,,silty,sand,,silty sand,silty sand,sand,,gray,GLEY 1 5/N (gray),,,,,non-graded,,,,mottling,,,,,,,
353-U1444A-6H-6-A,65,150,53.25,54.1,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-6H-7-A,0,61,54.1,54.71,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-6H-CC-A,0,22,54.71,54.93,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-7H-1-A,0,23,54.6,54.83,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,thick bed,normally graded,,,,,,,,,,,
353-U1444A-7H-1-A,23,150,54.83,56.1,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-7H-2-A,0,150,56.1,57.6,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,thick bed,normally graded,,,,mottling,,,,Three thick beds,,,
353-U1444A-7H-3-A,0,80,57.6,58.4,,silty,clay,,silty clay,silty clay,clay,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,thick bed,normally graded,,,,mottling,,,,Black band at 42-44 cm - SANDY SILT with plant debris with iron oxides/magnetite.,,,
353-U1444A-7H-3-A,80,150,58.4,59.1,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-7H-4-A,0,150,59.1,60.6,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,,non-graded,,,,,,,,,,,
353-U1444A-7H-5-A,0,150,60.6,62.1,,silty,sand,,silty sand,silty sand,sand,,dark gray,GLEY 1 4/10Y (dark greenish gray),,,,,non-graded,,,,,,,,,,,
