Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ticinella primula,Ticinella madecassiana,Globigerinelloides bentonensis,Globigerinelloides caseyi,Whiteinella baltica,Heterohelix moremani,Hedbergella planispira,Hedbergella delrioensis,Heterohelix globulosa,Whiteinella inornata,Whiteinella archaeocretacea,Marginotruncana pseudolinneiana,Dicarinella concavata,Dicarinella canaliculata,Clavihedbergella simplex,Rugoglobigerina rugosa,Globotruncanella pschadae,Globotruncana ventricosa,Globotruncana esnehensis,Globotruncana aegyptiaca,Contusotruncana fornicata,Pseudoguembelina costulata,Globotruncanita conica,Globotruncana linneiana,Archaeoglobigerina blowi,Globotruncanella havanensis,Globotruncanella citae,Globotruncana arca,Abathomphalus intermedius,Rugoglobigerina rotundata,Racemiguembelina fructicosa,Pseudotextularia elegans,Globotruncanita stuarti,Rugoglobigerina hexacamerata,Pseudoguembelina palpebra,Gansserina gansseri,Contusotruncana contusa,Rugoglobigerina scotti,Abathomphalus mayaroensis,Praemurica uncinata,Praemurica inconstans,Parasubbotina pseudobulloides,Morozovella praeangulata,Subbotina velascoensis,Subbotina triangularis,Morozovella velascoensis,Morozovella pasionensis,Morozovella occlusa,Globanomalina pseudomenardii,Acarinina nitida,Subbotina triloculinoides,Morozovella subbotinae,Morozovella apanthesma,Morozovella aequa,Morozovella acuta,Acarinina soldadoensis,Acarinina coalingensis,Chiloguembelina wilcoxensis,Pseudohastigerina micra,Acarinina wilcoxensis,Acarinina quetra,Morozovella gracilis,Morozovella marginodentata,Subbotina patagonica,Muricoglobigerina senni,Turborotalia pomeroli,Turborotalia cerroazulensis,Subbotina boweri,Morozovella spinulosa,Morozovella aragonensis,Igorina broedermanni,Guembelitrioides higginsi,Globigerinatheka mexicana,Acarinina bullbrooki,Morozovella lehneri,Acarinina rohri,Globigerinatheka kugleri,Globigerinatheka index,Acarinina topilensis,Orbulinoides beckmanni,Clavigerinella eocanica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1260,B,  5,R,CC,   9.00,     78.5800,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                 ,                      ,                              ,                         ,                   ,                    ,                      ,                       ,                     ,                    ,                           ,                               ,                     ,                        ,                        ,                      ,                         ,                        ,                        ,                        ,                         ,                          ,                      ,                       ,                        ,                           ,                      ,                  ,                         ,                         ,                           ,                        ,                       ,                            ,                         ,                   ,                       ,                      ,                         ,                   ,                     ,                             ,                        ,                      ,                      ,                        ,                       ,                   ,                            ,                ,                         ,                      ,                      ,                 ,                 ,                      ,                      ,                           ,                       ,                     ,                ,                    ,                          ,                    ,P                      ,P                    ,                           ,                ,                     ,                       ,                    ,                         ,P                        ,                    ,P                  ,P              ,P                       ,                      ,P                   ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1260,B,  6,R,CC,   0.00,     88.0300,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                 ,                      ,                              ,                         ,                   ,                    ,                      ,                       ,                     ,                    ,                           ,                               ,                     ,                        ,                        ,                      ,                         ,                        ,                        ,                        ,                         ,                          ,                      ,                       ,                        ,                           ,                      ,                  ,                         ,                         ,                           ,                        ,                       ,                            ,                         ,                   ,                       ,                      ,                         ,                   ,                     ,                             ,                        ,                      ,                      ,                        ,                       ,                   ,                            ,                ,                         ,                      ,                      ,                 ,                 ,                      ,                      ,                           ,                       ,                     ,                ,                    ,                          ,                    ,P                      ,P                    ,                           ,                ,                     ,                       ,                    ,                         ,P                        ,P                   ,P                  ,P              ,P                       ,                      ,                    ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1260,B,  7,R,CC,   0.00,     95.1000,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                 ,                      ,                              ,                         ,                   ,                    ,                      ,                       ,                     ,                    ,                           ,                               ,                     ,                        ,                        ,                      ,                         ,                        ,                        ,                        ,                         ,                          ,                      ,                       ,                        ,                           ,                      ,                  ,                         ,                         ,                           ,                        ,                       ,                            ,                         ,                   ,                       ,                      ,                         ,                   ,                     ,                             ,                        ,                      ,                      ,                        ,                       ,                   ,                            ,                ,                         ,                      ,                      ,                 ,                 ,                      ,                      ,                           ,                       ,                     ,                ,                    ,                          ,                    ,                       ,P                    ,                           ,                ,                     ,                       ,                    ,P                        ,P                        ,                    ,P                  ,P              ,                        ,                      ,                    ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1260,B,  8,R,CC,   7.00,    107.4300,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                 ,                      ,                              ,                         ,                   ,                    ,                      ,                       ,                     ,                    ,                           ,                               ,                     ,                        ,                        ,                      ,                         ,                        ,                        ,                        ,                         ,                          ,                      ,                       ,                        ,                           ,                      ,                  ,                         ,                         ,                           ,                        ,                       ,                            ,                         ,                   ,                       ,                      ,                         ,                   ,                     ,                             ,                        ,                      ,                      ,                        ,                       ,                   ,                            ,                ,                         ,                      ,                      ,                 ,                 ,                      ,                      ,                           ,                       ,                     ,                ,                    ,                          ,                    ,P                      ,P                    ,                           ,                ,                     ,                       ,P                   ,P                        ,P                        ,                    ,P                  ,P              ,P                       ,P                     ,                    ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1260,B,  9,R,CC,   8.00,    117.2300,forams   ,Planktonic Foraminifers                      ,F              ,P                 ,                 ,                      ,                              ,                         ,                   ,                    ,                      ,                       ,                     ,                    ,                           ,                               ,                     ,                        ,                        ,                      ,                         ,                        ,                        ,                        ,                         ,                          ,                      ,                       ,                        ,                           ,                      ,                  ,                         ,                         ,                           ,                        ,                       ,                            ,                         ,                   ,                       ,                      ,                         ,                   ,                     ,                             ,                        ,                      ,                      ,                        ,                       ,                   ,                            ,                ,                         ,                      ,                      ,                 ,                 ,                      ,                      ,                           ,                       ,                     ,                ,                    ,                          ,                    ,P                      ,P                    ,                           ,                ,P                    ,                       ,P                   ,                         ,                         ,                    ,                   ,P              ,P                       ,                      ,                    ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1260,B, 10,R,CC,  17.00,    126.2800,forams   ,Planktonic Foraminifers                      ,F              ,P                 ,                 ,                      ,                              ,                         ,                   ,                    ,                      ,                       ,                     ,                    ,                           ,                               ,                     ,                        ,                        ,                      ,                         ,                        ,                        ,                        ,                         ,                          ,                      ,                       ,                        ,                           ,                      ,                  ,                         ,                         ,                           ,                        ,                       ,                            ,                         ,                   ,                       ,                      ,                         ,                   ,                     ,                             ,                        ,                      ,                      ,                        ,                       ,                   ,                            ,                ,                         ,                      ,                      ,                 ,                 ,                      ,                      ,                           ,                       ,                     ,                ,                    ,                          ,                    ,P                      ,P                    ,                           ,                ,                     ,P                      ,P                   ,                         ,P                        ,                    ,P                  ,P              ,                        ,                      ,                    ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1260,B, 11,R,CC,   9.00,    135.4500,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                 ,                      ,                              ,                         ,                   ,                    ,                      ,                       ,                     ,                    ,                           ,                               ,                     ,                        ,                        ,                      ,                         ,                        ,                        ,                        ,                         ,                          ,                      ,                       ,                        ,                           ,                      ,                  ,                         ,                         ,                           ,                        ,                       ,                            ,                         ,                   ,                       ,                      ,                         ,                   ,                     ,                             ,                        ,                      ,                      ,                        ,                       ,                   ,                            ,                ,                         ,                      ,                      ,                 ,                 ,                      ,                      ,                           ,                       ,                     ,                ,                    ,                          ,                    ,P                      ,P                    ,P                          ,P               ,P                    ,P                      ,P                   ,P                        ,P                        ,P                   ,                   ,               ,                        ,                      ,                    ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1260,B, 12,R,CC,  19.00,    243.4900,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                 ,                      ,                              ,                         ,                   ,                    ,                      ,                       ,                     ,                    ,                           ,                               ,                     ,                        ,                        ,                      ,                         ,                        ,                        ,                        ,                         ,                          ,                      ,                       ,                        ,                           ,                      ,                  ,                         ,                         ,                           ,                        ,                       ,                            ,                         ,                   ,                       ,                      ,                         ,                   ,                     ,                             ,                        ,                      ,                      ,                        ,                       ,                   ,                            ,                ,                         ,P                     ,                      ,                 ,                 ,                      ,                      ,                           ,P                      ,P                    ,P               ,                    ,P                         ,P                   ,P                      ,                     ,                           ,                ,                     ,                       ,                    ,                         ,                         ,                    ,                   ,               ,                        ,                      ,                    ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1260,B, 13,R,CC,  19.00,    251.5100,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                 ,                      ,                              ,                         ,                   ,                    ,                      ,                       ,                     ,                    ,                           ,                               ,                     ,                        ,                        ,                      ,                         ,                        ,                        ,                        ,                         ,                          ,                      ,                       ,                        ,                           ,                      ,                  ,                         ,                         ,                           ,                        ,                       ,                            ,                         ,                   ,                       ,                      ,                         ,                   ,                     ,                             ,                        ,                      ,                      ,                        ,                       ,                   ,                            ,                ,                         ,P                     ,                      ,                 ,                 ,P                     ,                      ,P                          ,                       ,P                    ,                ,                    ,P                         ,                    ,                       ,                     ,                           ,                ,                     ,                       ,                    ,                         ,                         ,                    ,                   ,               ,                        ,                      ,                    ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1260,B, 14,R,CC,   8.00,    256.3900,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                 ,                      ,                              ,                         ,                   ,                    ,                      ,                       ,                     ,                    ,                           ,                               ,                     ,                        ,                        ,                      ,                         ,                        ,                        ,                        ,                         ,                          ,                      ,                       ,                        ,                           ,                      ,                  ,                         ,                         ,                           ,                        ,                       ,                            ,                         ,                   ,                       ,                      ,                         ,                   ,                     ,                             ,                        ,                      ,                      ,                        ,                       ,                   ,                            ,                ,                         ,P                     ,                      ,                 ,                 ,P                     ,                      ,P                          ,P                      ,                     ,                ,P                   ,                          ,                    ,                       ,                     ,                           ,                ,                     ,                       ,                    ,                         ,                         ,                    ,                   ,               ,                        ,                      ,                    ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1260,B, 15,R,CC,   0.00,    264.9400,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                 ,                      ,                              ,                         ,                   ,                    ,                      ,                       ,                     ,                    ,                           ,                               ,                     ,                        ,                        ,                      ,                         ,                        ,                        ,                        ,                         ,                          ,                      ,                       ,                        ,                           ,                      ,                  ,                         ,                         ,                           ,                        ,                       ,                            ,                         ,                   ,                       ,                      ,                         ,                   ,                     ,                             ,                        ,                      ,P                     ,                        ,                       ,                   ,                            ,                ,                         ,P                     ,                      ,                 ,                 ,                      ,                      ,P                          ,P                      ,P                    ,P               ,                    ,                          ,                    ,                       ,                     ,                           ,                ,                     ,                       ,                    ,                         ,                         ,                    ,                   ,               ,                        ,                      ,                    ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1260,B, 16,R,CC,   0.00,    269.8900,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,                 ,                      ,                              ,                         ,                   ,                    ,                      ,                       ,                     ,                    ,                           ,                               ,                     ,                        ,                        ,                      ,                         ,                        ,                        ,                        ,                         ,                          ,                      ,                       ,                        ,                           ,                      ,                  ,                         ,                         ,                           ,                        ,                       ,                            ,                         ,                   ,                       ,                      ,                         ,                   ,                     ,                             ,                        ,                      ,P                     ,                        ,                       ,                   ,                            ,                ,                         ,P                     ,                      ,                 ,                 ,P                     ,                      ,P                          ,                       ,                     ,                ,                    ,                          ,                    ,                       ,                     ,                           ,                ,                     ,                       ,                    ,                         ,                         ,                    ,                   ,               ,                        ,                      ,                    ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1260,B, 17,R,CC,  16.00,    280.8100,forams   ,Planktonic Foraminifers                      ,F              ,P                 ,                 ,                      ,                              ,                         ,                   ,                    ,                      ,                       ,                     ,                    ,                           ,                               ,                     ,                        ,                        ,                      ,                         ,                        ,                        ,                        ,                         ,                          ,                      ,                       ,                        ,                           ,                      ,                  ,                         ,                         ,                           ,                        ,                       ,                            ,                         ,                   ,                       ,                      ,                         ,                   ,                     ,                             ,                        ,                      ,                      ,                        ,                       ,                   ,                            ,                ,                         ,                      ,                      ,P                ,P                ,                      ,P                     ,                           ,                       ,                     ,                ,                    ,                          ,                    ,                       ,                     ,                           ,                ,                     ,                       ,                    ,                         ,                         ,                    ,                   ,               ,                        ,                      ,                    ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1260,B, 19,R,CC,  26.00,    293.9300,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                 ,                      ,                              ,                         ,                   ,                    ,                      ,                       ,                     ,                    ,                           ,                               ,                     ,                        ,                        ,                      ,                         ,                        ,                        ,                        ,                         ,                          ,                      ,                       ,                        ,                           ,                      ,                  ,                         ,                         ,                           ,                        ,                       ,                            ,                         ,                   ,                       ,                      ,                         ,                   ,                     ,                             ,                        ,P                     ,P                     ,P                       ,                       ,P                  ,                            ,                ,P                        ,P                     ,                      ,P                ,                 ,                      ,                      ,                           ,                       ,                     ,                ,                    ,                          ,                    ,                       ,                     ,                           ,                ,                     ,                       ,                    ,                         ,                         ,                    ,                   ,               ,                        ,                      ,                    ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1260,B, 20,R,CC,  14.00,    309.3100,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                 ,                      ,                              ,                         ,                   ,                    ,                      ,                       ,                     ,                    ,                           ,                               ,                     ,                        ,                        ,                      ,                         ,                        ,                        ,                        ,                         ,                          ,                      ,                       ,                        ,                           ,                      ,                  ,                         ,                         ,                           ,                        ,                       ,                            ,                         ,                   ,                       ,                      ,                         ,                   ,                     ,                             ,                        ,P                     ,P                     ,P                       ,P                      ,                   ,P                           ,                ,P                        ,P                     ,P                     ,P                ,P                ,P                     ,                      ,                           ,                       ,                     ,                ,                    ,                          ,                    ,                       ,                     ,                           ,                ,                     ,                       ,                    ,                         ,                         ,                    ,                   ,               ,                        ,                      ,                    ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1260,B, 21,R,CC,  16.00,    319.2200,forams   ,Planktonic Foraminifers                      ,A              ,P                 ,                 ,                      ,                              ,                         ,                   ,                    ,                      ,                       ,                     ,                    ,                           ,                               ,                     ,                        ,                        ,                      ,                         ,                        ,                        ,                        ,                         ,                          ,                      ,                       ,                        ,                           ,                      ,                  ,                         ,                         ,                           ,                        ,                       ,                            ,                         ,                   ,                       ,                      ,                         ,                   ,                     ,                             ,                        ,P                     ,P                     ,P                       ,P                      ,P                  ,P                           ,P               ,                         ,                      ,                      ,                 ,                 ,                      ,                      ,                           ,                       ,                     ,                ,                    ,                          ,                    ,                       ,                     ,                           ,                ,                     ,                       ,                    ,                         ,                         ,                    ,                   ,               ,                        ,                      ,                    ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1260,B, 22,R,CC,  17.00,    328.5000,forams   ,Planktonic Foraminifers                      ,A              ,P                 ,                 ,                      ,                              ,                         ,                   ,                    ,                      ,                       ,                     ,                    ,                           ,                               ,                     ,                        ,                        ,                      ,                         ,                        ,                        ,                        ,                         ,                          ,                      ,                       ,                        ,                           ,                      ,                  ,                         ,                         ,                           ,                        ,                       ,                            ,                         ,                   ,                       ,                      ,                         ,P                  ,P                    ,P                            ,P                       ,                      ,                      ,                        ,                       ,                   ,                            ,                ,                         ,                      ,                      ,                 ,                 ,                      ,                      ,                           ,                       ,                     ,                ,                    ,                          ,                    ,                       ,                     ,                           ,                ,                     ,                       ,                    ,                         ,                         ,                    ,                   ,               ,                        ,                      ,                    ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1260,B, 23,R,CC,  28.00,    338.5600,forams   ,Planktonic Foraminifers                      ,A              ,M                 ,                 ,                      ,                              ,                         ,                   ,                    ,                      ,                       ,                     ,                    ,                           ,                               ,                     ,                        ,                        ,P                     ,                         ,                        ,                        ,                        ,                         ,                          ,                      ,                       ,                        ,                           ,                      ,                  ,                         ,P                        ,                           ,P                       ,P                      ,                            ,                         ,                   ,P                      ,P                     ,P                        ,                   ,                     ,                             ,                        ,                      ,                      ,                        ,                       ,                   ,                            ,                ,                         ,                      ,                      ,                 ,                 ,                      ,                      ,                           ,                       ,                     ,                ,                    ,                          ,                    ,                       ,                     ,                           ,                ,                     ,                       ,                    ,                         ,                         ,                    ,                   ,               ,                        ,                      ,                    ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1260,B, 24,R,CC,   3.00,    344.0600,forams   ,Planktonic Foraminifers                      ,A              ,P                 ,                 ,                      ,                              ,                         ,                   ,                    ,                      ,                       ,P                    ,                    ,                           ,                               ,                     ,                        ,                        ,P                     ,                         ,                        ,                        ,                        ,                         ,                          ,                      ,                       ,                        ,                           ,                      ,P                 ,P                        ,                         ,                           ,P                       ,                       ,P                           ,P                        ,P                  ,P                      ,                      ,                         ,                   ,                     ,                             ,                        ,                      ,                      ,                        ,                       ,                   ,                            ,                ,                         ,                      ,                      ,                 ,                 ,                      ,                      ,                           ,                       ,                     ,                ,                    ,                          ,                    ,                       ,                     ,                           ,                ,                     ,                       ,                    ,                         ,                         ,                    ,                   ,               ,                        ,                      ,                    ,                      ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
