Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra spp. (small - medium)	Pseudoemiliania lacunosa	Florisphaera profunda	Discoaster pentaradiatus	Discoaster brouweri	Calcidiscus macintyrei	Helicosphaera carteri	Discoaster variabilis	Discoaster surculus	Coccolithus pelagicus	Ceratolithus cristatus	Calcidiscus leptoporus	Sphenolithus abies/neoabies	Reticulofenestra pseudoumbilicus	Discoaster asymmetricus	Gephyrocapsa spp. (small)	Umbilicosphaera sibogae	Thorosphaera flabellata	Syracosphaera pulchra	Rhabdosphaera clavigera	Pontosphaera spp.	Gephyrocapsa margerelii	Gephyrocapsa oceanica	Reticulofenestra asanoi	Scapholithus fossilis	Helicosphaera hyalina	Gephyrocapsa caribbeanica	Syracosphaera spp.	Oolithotus antillarum	Helicosphaera wallichii	Helicosphaera pavimentum	Helicosphaera inversa	Umbellosphaera irregularis	Emiliania huxleyi	Umbellosphaera tenuis	Discosphaera tubifera	Comment
  IR	Pleistocene      	Pleistocene      	NN21A             	NN21A         	184	1145	A	  6	H	CC	   0.00	     48.3300	nannos   	Nannofossils                                 	A              	G                 	F                                     	                        	A                    	                        	                   	                      	F                    	                     	                   	R                    	R                     	F                     	                           	                                	                       	A                        	F                      	                       	F                    	F                      	                 	F                      	A                    	                       	R                    	                     	C                        	                  	F                    	R                      	                        	                     	R                         	F                	                     	                     	       

  IR	Pleistocene      	Pleistocene      	NN20              	NN20          	184	1145	A	  7	H	CC	  36.00	     58.7600	nannos   	Nannofossils                                 	A              	G                 	C                                     	                        	A                    	                        	                   	                      	F                    	                     	                   	                     	R                     	C                     	                           	                                	                       	A                        	F                      	R                      	F                    	F                      	R                	F                      	A                    	R                      	R                    	R                    	C                        	R                 	F                    	R                      	R                       	                     	R                         	                 	                     	                     	       

  IR	Pleistocene      	Pleistocene      	NN20              	NN20          	184	1145	A	  8	H	CC	  19.00	     67.7800	nannos   	Nannofossils                                 	A              	G                 	C                                     	                        	A                    	                        	                   	                      	F                    	                     	                   	R                    	                      	C                     	                           	                                	                       	A                        	F                      	F                      	F                    	F                      	                 	C                      	A                    	                       	F                    	                     	A                        	                  	R                    	R                      	R                       	                     	R                         	                 	                     	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1145	A	  9	H	CC	  29.00	     77.9200	nannos   	Nannofossils                                 	A              	G                 	F                                     	C                       	D                    	                        	                   	                      	F                    	                     	                   	                     	R                     	C                     	                           	                                	                       	A                        	C                      	                       	C                    	F                      	R                	                       	A                    	                       	R                    	F                    	                         	R                 	F                    	R                      	F                       	R                    	                          	                 	                     	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1145	A	 10	H	CC	   0.00	     86.5400	nannos   	Nannofossils                                 	C              	P                 	                                      	F                       	A                    	                        	                   	                      	R                    	                     	                   	                     	R                     	F                     	                           	                                	                       	C                        	F                      	                       	R                    	                       	                 	                       	C                    	R                      	                     	                     	                         	                  	                     	                       	                        	                     	                          	                 	                     	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1145	A	 11	H	CC	  42.00	     97.0000	nannos   	Nannofossils                                 	C              	M                 	F                                     	A                       	A                    	R                       	R                  	                      	R                    	                     	                   	                     	R                     	F                     	R                          	                                	                       	C                        	R                      	R                      	R                    	F                      	R                	F                      	F                    	R                      	R                    	R                    	C                        	                  	                     	                       	                        	                     	                          	                 	                     	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1145	A	 12	H	CC	  14.00	    105.3000	nannos   	Nannofossils                                 	C              	P                 	                                      	A                       	C                    	                        	                   	                      	R                    	                     	                   	                     	                      	F                     	                           	                                	                       	F                        	                       	                       	                     	                       	                 	                       	F                    	R                      	                     	                     	                         	                  	                     	                       	                        	                     	                          	                 	                     	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1145	A	 13	H	CC	  26.00	    115.8800	nannos   	Nannofossils                                 	C              	M                 	F                                     	A                       	A                    	R                       	R                  	R                     	R                    	                     	                   	                     	R                     	R                     	R                          	R                               	                       	C                        	R                      	                       	                     	                       	R                	                       	F                    	R                      	                     	                     	                         	                  	                     	                       	                        	                     	                          	                 	                     	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1145	A	 14	H	CC	   0.00	    124.3100	nannos   	Nannofossils                                 	C              	M                 	R                                     	A                       	A                    	                        	                   	                      	R                    	                     	                   	                     	R                     	R                     	                           	                                	                       	C                        	R                      	R                      	                     	R                      	R                	                       	F                    	                       	                     	                     	                         	                  	                     	                       	                        	                     	                          	                 	                     	                     	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1145	A	 15	X	CC	  54.00	    129.1900	nannos   	Nannofossils                                 	C              	M                 	R                                     	A                       	A                    	                        	                   	                      	R                    	                     	                   	                     	R                     	R                     	                           	                                	                       	C                        	R                      	R                      	R                    	R                      	R                	F                      	C                    	                       	                     	                     	                         	                  	                     	                       	                        	                     	                          	                 	                     	                     	       

  IR	Pleistocene      	Pleistocene      	NN19a             	NN19a         	184	1145	A	 16	X	CC	  28.00	    139.9000	nannos   	Nannofossils                                 	A              	M                 	F                                     	A                       	A                    	R                       	R                  	C                     	F                    	                     	                   	                     	R                     	F                     	R                          	                                	                       	A                        	R                      	R                      	F                    	C                      	F                	F                      	                     	                       	                     	                     	                         	                  	                     	                       	                        	                     	                          	                 	                     	                     	       

  IR	Pleistocene      	Pleistocene      	NN19a             	NN19a         	184	1145	A	 17	X	CC	  44.00	    144.2600	nannos   	Nannofossils                                 	A              	M                 	F                                     	A                       	C                    	R                       	R                  	F                     	F                    	                     	                   	R                    	R                     	F                     	                           	                                	                       	D                        	R                      	R                      	F                    	F                      	F                	                       	                     	                       	                     	                     	                         	                  	                     	                       	                        	                     	                          	                 	                     	                     	       

  IR	                 	                 	                  	              	184	1145	A	 18	X	CC	  31.00	    161.4100	nannos   	Nannofossils                                 	C              	P                 	F                                     	A                       	F                    	                        	R                  	C                     	                     	R                    	                   	R                    	R                     	F                     	                           	R                               	                       	F                        	                       	                       	                     	                       	                 	                       	                     	                       	                     	                     	                         	                  	                     	                       	                        	                     	                          	                 	                     	                     	       

  IR	Late Pliocene    	Late Pliocene    	NN18              	NN18          	184	1145	A	 19	X	CC	  36.00	    171.3600	nannos   	Nannofossils                                 	C              	M                 	F                                     	A                       	F                    	R                       	C                  	C                     	                     	R                    	                   	R                    	R                     	                      	R                          	R                               	R                      	                         	                       	                       	                     	                       	                 	                       	                     	                       	                     	                     	                         	                  	                     	                       	                        	                     	                          	                 	                     	                     	       

  IR	Late Pliocene    	Late Pliocene    	NN17              	NN17          	184	1145	A	 20	X	CC	  46.00	    180.8400	nannos   	Nannofossils                                 	A              	M                 	C                                     	A                       	C                    	A                       	C                  	C                     	                     	R                    	F                  	                     	F                     	R                     	R                          	R                               	                       	                         	                       	                       	                     	                       	                 	                       	                     	                       	                     	                     	                         	                  	                     	                       	                        	                     	                          	                 	                     	                     	       

  IR	Late Pliocene    	Late Pliocene    	NN16              	NN16          	184	1145	A	 21	X	CC	  19.00	    190.3900	nannos   	Nannofossils                                 	A              	G                 	C                                     	A                       	C                    	A                       	C                  	C                     	R                    	R                    	R                  	R                    	R                     	R                     	                           	                                	                       	                         	                       	                       	                     	                       	                 	                       	                     	                       	                     	                     	                         	                  	                     	                       	                        	                     	                          	                 	                     	                     	       

  IR	Late Pliocene    	Late Pliocene    	NN16              	NN16          	184	1145	A	 22	X	CC	  43.00	    199.8700	nannos   	Nannofossils                                 	C              	P                 	C                                     	R                       	C                    	A                       	C                  	R                     	                     	                     	                   	                     	                      	                      	                           	                                	                       	                         	                       	                       	                     	                       	                 	                       	                     	                       	                     	                     	                         	                  	                     	                       	                        	                     	                          	                 	                     	                     	       

