Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Triquetrorhabdulus rugosus,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus compactus,Reticulofenestra sp. (small),Reticulofenestra pseudoumbilica,Pontosphaera multipora,Helicosphaera carteri,Helicosphaera ampliaperta,Discoaster variabilis,Discoaster kugleri,Discoaster deflandrei,Dictyococcites perplexus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Dictyococcites productus,Sphenolithus abies,Discoaster sp.,Calcidiscus leptoporus,Discoaster sanmiguelensis,Triquetrorhabdulus carinatus,Discoaster exilis,Discoaster adamanteus,Discoaster stellulus,Calcidiscus macintyrei,Discoaster brouweri,Braarudosphaera bigelowii,Sphenolithus neoabies,Sphenolithus umbrellus,Pontosphaera distincta,Gephyrocapsa sp. (small),Gephyrocapsa caribbeanica,Gephyrocapsa oceanica,Pseudoemiliania lacunosa,Coccolithus streckerii,Pontosphaera sp.,Coccolithus sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN14a             ,              ,127, 797,B,  3,H, 7,  14.00,     24.5400,Rahman   ,Nannofossils                                 ,A              ,G                 ,                          ,                       ,                          ,                      ,A                           ,                               ,                      ,                     ,                         ,                     ,                  ,                     ,                        ,                           ,M                    ,                        ,                        ,                  ,              ,                      ,                         ,                            ,                 ,                     ,                    ,                      ,                   ,R                        ,                     ,                      ,                      ,                        ,R                        ,F                    ,R                       ,R                     ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN14a             ,              ,127, 797,B,  3,H,CC,  21.00,     25.1800,Rahman   ,Nannofossils                                 ,M              ,P                 ,                          ,                       ,                          ,                      ,F                           ,                               ,                      ,                     ,                         ,                     ,                  ,                     ,                        ,                           ,M                    ,                        ,                        ,                  ,              ,                      ,                         ,                            ,                 ,                     ,                    ,                      ,                   ,                         ,                     ,                      ,                      ,R                       ,R                        ,F                    ,T                       ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN14a             ,              ,127, 797,B,  4,H, 4,  26.00,     29.6600,Rahman   ,Nannofossils                                 ,C              ,M                 ,                          ,                       ,                          ,                      ,M                           ,                               ,                      ,F                    ,                         ,                     ,                  ,                     ,                        ,                           ,C                    ,                        ,                        ,                  ,              ,R                     ,                         ,                            ,                 ,                     ,                    ,                      ,                   ,                         ,                     ,                      ,                      ,                        ,C                        ,M                    ,R                       ,M                     ,                ,R              ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN14a             ,              ,127, 797,B,  4,H,CC,  19.00,     34.6100,Rahman   ,Nannofossils                                 ,A              ,G                 ,                          ,                       ,                          ,                      ,C                           ,                               ,                      ,                     ,                         ,                     ,                  ,                     ,                        ,                           ,A                    ,                        ,                        ,                  ,              ,                      ,                         ,                            ,                 ,                     ,                    ,                      ,                   ,                         ,                     ,                      ,                      ,C                       ,M                        ,C                    ,R                       ,M                     ,R               ,M              ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN14a             ,              ,127, 797,B,  5,H, 4,  26.00,     39.1600,Rahman   ,Nannofossils                                 ,A              ,G                 ,                          ,                       ,                          ,                      ,A                           ,                               ,                      ,R                    ,                         ,                     ,                  ,                     ,                        ,                           ,C                    ,                        ,                        ,                  ,              ,R                     ,                         ,                            ,                 ,                     ,                    ,                      ,                   ,                         ,                     ,                      ,                      ,M                       ,R                        ,C                    ,                        ,F                     ,F               ,M              ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN14a             ,              ,127, 797,B,  5,H, 7,  26.00,     43.6600,Rahman   ,Nannofossils                                 ,C              ,M                 ,                          ,                       ,                          ,                      ,M                           ,                               ,                      ,                     ,                         ,                     ,                  ,                     ,                        ,                           ,C                    ,                        ,                        ,                  ,              ,F                     ,                         ,                            ,                 ,                     ,                    ,                      ,                   ,                         ,                     ,                      ,                      ,F                       ,R                        ,F                    ,F                       ,                      ,                ,               ,Rare reworked taxa; from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN14a             ,              ,127, 797,B,  5,H,CC,  24.00,     44.2300,Rahman   ,Nannofossils                                 ,A              ,G                 ,                          ,                       ,                          ,                      ,A                           ,                               ,                      ,                     ,                         ,                     ,                  ,                     ,                        ,                           ,M                    ,                        ,                        ,                  ,              ,F                     ,                         ,                            ,                 ,                     ,                    ,                      ,                   ,                         ,                     ,                      ,R                     ,A                       ,M                        ,F                    ,R                       ,R                     ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN14a             ,              ,127, 797,B,  8,H, 2,  27.00,     64.6700,Rahman   ,Nannofossils                                 ,C              ,M                 ,                          ,                       ,                          ,                      ,R                           ,                               ,                      ,R                    ,                         ,                     ,                  ,                     ,                        ,                           ,F                    ,                        ,                        ,                  ,              ,F                     ,                         ,                            ,                 ,                     ,                    ,                      ,                   ,                         ,                     ,                      ,                      ,R                       ,C                        ,                     ,T                       ,R                     ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN14a             ,              ,127, 797,B,  8,H, 6,  26.00,     70.6600,Rahman   ,Nannofossils                                 ,C              ,M                 ,                          ,                       ,                          ,                      ,F                           ,                               ,                      ,R                    ,                         ,                     ,                  ,                     ,                        ,                           ,C                    ,                        ,                        ,                  ,              ,                      ,                         ,                            ,                 ,                     ,                    ,                      ,                   ,F                        ,                     ,                      ,                      ,R                       ,C                        ,R                    ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN13b             ,              ,127, 797,B,  8,H,CC,  21.00,     72.7200,Rahman   ,Nannofossils                                 ,F              ,G                 ,                          ,                       ,                          ,                      ,R                           ,                               ,                      ,                     ,                         ,                     ,                  ,                     ,                        ,                           ,R                    ,                        ,F                       ,                  ,              ,R                     ,                         ,                            ,                 ,                     ,                    ,                      ,                   ,                         ,                     ,                      ,                      ,R                       ,F                        ,                     ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN13b             ,              ,127, 797,B,  9,H, 5,  29.00,     78.6900,Rahman   ,Nannofossils                                 ,M              ,M                 ,                          ,                       ,                          ,                      ,                            ,                               ,                      ,                     ,                         ,                     ,                  ,                     ,                        ,                           ,M                    ,                        ,                        ,                  ,              ,F                     ,                         ,                            ,                 ,                     ,                    ,                      ,                   ,                         ,                     ,                      ,                      ,                        ,                         ,                     ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN13b             ,              ,127, 797,B,  9,H,CC,  20.00,     82.3100,Rahman   ,Nannofossils                                 ,R              ,G                 ,                          ,                       ,                          ,                      ,                            ,                               ,                      ,                     ,                         ,                     ,                  ,                     ,                        ,                           ,R                    ,                        ,                        ,                  ,              ,R                     ,                         ,                            ,                 ,                     ,                    ,                      ,                   ,                         ,                     ,                      ,                      ,R                       ,                         ,                     ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN13b             ,              ,127, 797,B, 14,H, 1,  26.00,    120.1600,Rahman   ,Nannofossils                                 ,M              ,M                 ,                          ,                       ,                          ,                      ,M                           ,                               ,                      ,                     ,                         ,                     ,                  ,                     ,                        ,                           ,R                    ,                        ,                        ,                  ,              ,                      ,                         ,                            ,                 ,                     ,                    ,                      ,                   ,                         ,                     ,                      ,                      ,                        ,R                        ,                     ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN13b             ,              ,127, 797,B, 14,H,CC,  46.00,    128.6100,Rahman   ,Nannofossils                                 ,M              ,P                 ,                          ,                       ,                          ,                      ,F                           ,                               ,                      ,                     ,                         ,                     ,                  ,                     ,                        ,                           ,F                    ,                        ,R                       ,                  ,              ,                      ,                         ,                            ,                 ,                     ,                    ,                      ,                   ,                         ,                     ,                      ,                      ,R                       ,R                        ,                     ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN5a              ,              ,127, 797,B, 40,X, 1,  26.00,    369.5600,Rahman   ,Nannofossils                                 ,M              ,M                 ,                          ,                       ,                          ,                      ,M                           ,M                              ,                      ,                     ,                         ,                     ,                  ,                     ,F                       ,F                          ,F                    ,                        ,F                       ,                  ,R             ,R                     ,                         ,                            ,                 ,                     ,                    ,R                     ,R                  ,                         ,R                    ,                      ,                      ,                        ,                         ,                     ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN5a              ,              ,127, 797,B, 40,X, 2,  21.00,    370.1700,Rahman   ,Nannofossils                                 ,M              ,M                 ,                          ,                       ,                          ,                      ,                            ,M                              ,                      ,                     ,                         ,R                    ,                  ,                     ,R                       ,                           ,F                    ,                        ,                        ,                  ,              ,                      ,R                        ,                            ,                 ,R                    ,                    ,                      ,                   ,                         ,M                    ,                      ,                      ,                        ,                         ,                     ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN5a              ,              ,127, 797,B, 40,X, 2,  68.00,    370.6400,Rahman   ,Nannofossils                                 ,M              ,M                 ,                          ,                       ,                          ,                      ,F                           ,M                              ,                      ,                     ,                         ,                     ,                  ,                     ,R                       ,F                          ,R                    ,                        ,                        ,                  ,              ,                      ,                         ,                            ,R                ,                     ,                    ,                      ,                   ,                         ,                     ,                      ,                      ,                        ,                         ,                     ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN5a              ,              ,127, 797,B, 40,X,CC,  33.00,    371.5700,Rahman   ,Nannofossils                                 ,F              ,M                 ,                          ,                       ,                          ,                      ,F                           ,R                              ,                      ,                     ,                         ,                     ,                  ,                     ,F                       ,R                          ,F                    ,                        ,                        ,                  ,              ,R                     ,                         ,                            ,                 ,                     ,                    ,                      ,                   ,                         ,R                    ,                      ,                      ,                        ,                         ,                     ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN5a              ,              ,127, 797,B, 41,X, 1,  96.00,    379.9600,Rahman   ,Nannofossils                                 ,F              ,P                 ,                          ,                       ,                          ,                      ,                            ,R                              ,                      ,                     ,                         ,                     ,                  ,                     ,                        ,                           ,R                    ,                        ,                        ,                  ,              ,                      ,                         ,                            ,                 ,                     ,                    ,                      ,                   ,                         ,                     ,                      ,                      ,                        ,                         ,                     ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,              ,127, 797,B, 41,X, 2,  20.00,    380.7000,Rahman   ,Nannofossils                                 ,C              ,M                 ,                          ,                       ,F                         ,                      ,M                           ,C                              ,                      ,R                    ,                         ,R                    ,                  ,                     ,F                       ,M                          ,C                    ,                        ,F                       ,                  ,              ,                      ,                         ,                            ,                 ,                     ,                    ,R                     ,R                  ,                         ,                     ,                      ,R                     ,                        ,                         ,                     ,                        ,                      ,                ,               ,Rare reworked taxa; from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,              ,127, 797,B, 41,X,CC,  18.00,    381.1600,Rahman   ,Nannofossils                                 ,R              ,P                 ,                          ,                       ,                          ,                      ,R                           ,R                              ,                      ,                     ,                         ,                     ,                  ,                     ,                        ,R                          ,R                    ,                        ,                        ,                  ,              ,                      ,                         ,                            ,                 ,                     ,                    ,                      ,                   ,                         ,                     ,                      ,                      ,                        ,                         ,                     ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,              ,127, 797,B, 46,X,CC,  34.00,    428.7300,Rahman   ,Nannofossils                                 ,R              ,P                 ,                          ,                       ,R                         ,                      ,                            ,                               ,                      ,                     ,                         ,                     ,                  ,R                    ,                        ,                           ,R                    ,                        ,                        ,                  ,R             ,                      ,R                        ,                            ,                 ,R                    ,                    ,R                     ,                   ,                         ,                     ,R                     ,                      ,                        ,                         ,                     ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,              ,127, 797,B, 47,X, 2,  45.00,    438.1500,Rahman   ,Nannofossils                                 ,R              ,P                 ,                          ,                       ,R                         ,                      ,R                           ,                               ,                      ,                     ,                         ,                     ,                  ,                     ,                        ,                           ,R                    ,                        ,                        ,                  ,R             ,                      ,R                        ,                            ,                 ,                     ,                    ,                      ,                   ,                         ,                     ,                      ,                      ,                        ,                         ,                     ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,              ,127, 797,B, 47,X, 2, 134.00,    439.0400,Rahman   ,Nannofossils                                 ,M              ,M                 ,R                         ,                       ,F                         ,                      ,F                           ,F                              ,                      ,R                    ,                         ,R                    ,R                 ,R                    ,                        ,M                          ,M                    ,R                       ,                        ,                  ,R             ,                      ,R                        ,                            ,R                ,R                    ,R                   ,R                     ,                   ,                         ,R                    ,                      ,                      ,                        ,                         ,                     ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,              ,127, 797,B, 47,X, 6,  41.00,    444.1100,Rahman   ,Nannofossils                                 ,F              ,P                 ,                          ,                       ,                          ,                      ,                            ,                               ,                      ,                     ,                         ,R                    ,                  ,                     ,                        ,                           ,R                    ,                        ,                        ,                  ,R             ,                      ,R                        ,                            ,                 ,                     ,R                   ,                      ,                   ,                         ,                     ,                      ,                      ,                        ,                         ,                     ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,              ,127, 797,B, 47,X, 6,  45.00,    444.1500,Rahman   ,Nannofossils                                 ,M              ,P                 ,R                         ,R                      ,R                         ,                      ,                            ,                               ,                      ,R                    ,                         ,R                    ,R                 ,F                    ,                        ,R                          ,F                    ,R                       ,                        ,R                 ,R             ,                      ,R                        ,                            ,                 ,                     ,                    ,R                     ,R                  ,R                        ,                     ,                      ,                      ,                        ,                         ,                     ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,              ,127, 797,B, 47,X,CC,  11.00,    444.4000,Rahman   ,Nannofossils                                 ,M              ,M                 ,                          ,R                      ,R                         ,                      ,F                           ,                               ,                      ,                     ,                         ,R                    ,R                 ,R                    ,R                       ,R                          ,M                    ,R                       ,                        ,                  ,              ,R                     ,R                        ,                            ,                 ,R                    ,                    ,R                     ,                   ,                         ,                     ,                      ,                      ,                        ,                         ,                     ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,              ,127, 797,B, 48,X, 1,  33.00,    446.2300,Rahman   ,Nannofossils                                 ,F              ,P                 ,                          ,                       ,                          ,                      ,                            ,                               ,                      ,                     ,                         ,                     ,                  ,                     ,                        ,R                          ,R                    ,                        ,                        ,                  ,              ,R                     ,R                        ,                            ,                 ,R                    ,R                   ,                      ,R                  ,                         ,                     ,                      ,                      ,                        ,                         ,                     ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,              ,127, 797,B, 48,X, 2,   9.00,    447.4900,Rahman   ,Nannofossils                                 ,M              ,M                 ,                          ,                       ,R                         ,                      ,                            ,                               ,                      ,R                    ,                         ,R                    ,R                 ,                     ,R                       ,R                          ,R                    ,                        ,                        ,                  ,R             ,R                     ,R                        ,                            ,                 ,R                    ,R                   ,R                     ,R                  ,                         ,                     ,                      ,                      ,                        ,                         ,                     ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,              ,127, 797,B, 48,X, 2,  49.00,    447.8900,Rahman   ,Nannofossils                                 ,M              ,M                 ,                          ,                       ,R                         ,                      ,F                           ,                               ,                      ,R                    ,                         ,R                    ,R                 ,R                    ,R                       ,F                          ,R                    ,R                       ,                        ,                  ,              ,                      ,F                        ,                            ,R                ,                     ,                    ,R                     ,R                  ,                         ,                     ,                      ,                      ,                        ,                         ,                     ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,              ,127, 797,B, 48,X, 2, 108.00,    448.4800,Rahman   ,Nannofossils                                 ,M              ,P                 ,                          ,                       ,                          ,                      ,                            ,                               ,                      ,                     ,                         ,M                    ,R                 ,                     ,                        ,F                          ,R                    ,R                       ,                        ,                  ,R             ,                      ,F                        ,                            ,                 ,R                    ,R                   ,R                     ,                   ,                         ,                     ,                      ,                      ,                        ,                         ,                     ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,              ,127, 797,B, 48,X, 2, 149.00,    448.8900,Rahman   ,Nannofossils                                 ,F              ,M                 ,                          ,                       ,                          ,                      ,R                           ,                               ,                      ,                     ,                         ,R                    ,R                 ,R                    ,                        ,R                          ,                     ,R                       ,                        ,                  ,R             ,                      ,R                        ,R                           ,R                ,R                    ,                    ,                      ,                   ,                         ,                     ,                      ,                      ,                        ,                         ,                     ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN3               ,              ,127, 797,B, 51,X, 3,  25.00,    478.1500,Rahman   ,Nannofossils                                 ,M              ,P                 ,                          ,                       ,R                         ,                      ,R                           ,                               ,                      ,                     ,                         ,                     ,T                 ,                     ,R                       ,                           ,M                    ,F                       ,R                       ,                  ,              ,                      ,                         ,                            ,                 ,                     ,                    ,                      ,                   ,                         ,                     ,                      ,                      ,                        ,                         ,                     ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN3               ,              ,127, 797,B, 51,X, 4, 100.00,    480.4000,Rahman   ,Nannofossils                                 ,M              ,M                 ,                          ,                       ,R                         ,                      ,                            ,                               ,                      ,R                    ,                         ,R                    ,                  ,R                    ,R                       ,R                          ,R                    ,F                       ,                        ,                  ,              ,                      ,R                        ,                            ,                 ,                     ,                    ,                      ,                   ,                         ,                     ,                      ,                      ,                        ,                         ,                     ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN3               ,              ,127, 797,B, 51,X, 5,  25.00,    481.1500,Rahman   ,Nannofossils                                 ,C              ,P                 ,                          ,                       ,R                         ,                      ,F                           ,R                              ,                      ,                     ,                         ,R                    ,                  ,R                    ,R                       ,R                          ,R                    ,R                       ,R                       ,R                 ,R             ,R                     ,                         ,                            ,                 ,                     ,                    ,                      ,                   ,                         ,                     ,                      ,                      ,                        ,                         ,                     ,                        ,                      ,                ,               ,from ODP Legs 127&128 SR Chapter 11 Table 5 p 177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
