Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Guexella nudata,Tricolocapsa sp. aff. T.(?) fusiformis,Tricolocapsa conexa,Stichocapsa robusta,Ristola altissima,Protunuma turbo,Parvicingula dhimenaesis,Hsuum maxwelli,Hsuum brevicostatum,Haliodictya(?) hojnosi,Eucyrtidiellum unumaense,Dictyomitrella(?) kamoensis,Archaeodictyomitra(?) amabilis,Acanthocircus suboblongus,Stylocapsa tecta,Theocapsomma cordis,Stylocapsa oblongula,Dicolocapsa conoformis,Stylocapsa catenarum,Stichocapsa sp. P,Paronaella mulleri,Mirifusus fragilis,Eucyrtidiellum nodosum,Podobursa helvetica,Emiluvia chica,Williriedellum sp. A,Stylocapsa(?) spiralis,Tetratrabs zealis,Stichocapsa doryspheroides,Gongylothorax sakawaensis,Andromeda sp. M,Zhamoidellum mikamense,Eucyrtidiellum ptyctum,Cyrtocapsa sp. A,Tricolocapsa yaoi,Perispyridium ordinarium,Gongylothorax sp. aff. G. favosus,Emiluvia hopsoni,Cinguloturris carpatica,Solenotryma(?) ichikawai,Spongocapsula palmerae,Acaeniotyle diaphorogona,Pseudodictyomitra (?) sp. D,Mirifusus guadalupensis,Eucyrtidiellum sp. P,Crucella theokaftensis,Protunuma japonicus,Pseudodictyomitra primitiva,Foremanella diamphidia,Napora pyramidalis,Protovallupus spp.,Spongocapsula sp. A,Mesovallupus guadalupensis,Vallupus hopsoni,Mirifusus mediodilatatus,Pseudodictyomitra carpatica,Parvicingula boesii,Archaeodictyomitra apiarium,Sethocapsa uterculus,Xitus spicularius,Thanarla pulchra,Sethocapsa cetia,Podocapsa amphitreptera,Podobursa triacantha,Parvicingula cosmoconica,Archaeodictyomitra pseudoscalaris,Archaeodictyomitra excellens,Alievium helenae,Acanthocircus trizonalis,Archaeodictyomitra brouweri var. alpha,Acanthocircus dicranacanthos,Syringocapsa agolarium,Acaeniotyle umbilicata,Cecrops septemporatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Valanginian      ,                 ,P. carpatica      ,NP2           ,129, 801,B, 16,R, 1,  37.00,    337.5700,Matsuoka ,Radiolarians                                 ,A              ,P                 ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,                        ,                                 ,                ,                       ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,+                   ,                 ,                ,                ,                       ,+                   ,                        ,                                 ,                            ,                ,                        ,                                      ,+                           ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Valanginian      ,                 ,P. carpatica      ,NP2           ,129, 801,B, 16,R, 1,  52.00,    337.7200,Matsuoka ,Radiolarians                                 ,A              ,P-M               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,                        ,                                 ,                ,                       ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,+                          ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,+               ,                        ,+                                     ,+                           ,                      ,+                     ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Valanginian      ,                 ,P. carpatica      ,NP2           ,129, 801,B, 17,R, 1,  22.00,    346.8200,Matsuoka ,Radiolarians                                 ,A              ,P-M               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,                        ,                                 ,                ,                       ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,+                          ,                   ,+                          ,+                   ,                 ,+               ,                ,                       ,                    ,                        ,+                                ,+                           ,+               ,+                       ,                                      ,+                           ,+                     ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Valanginian      ,                 ,P. carpatica      ,NP2           ,129, 801,B, 17,R, 1,  40.00,    347.0000,Matsuoka ,Radiolarians                                 ,A              ,P-M               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,                        ,                                 ,                ,                       ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,+                   ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,+                                     ,+                           ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Valanginian      ,                 ,P. carpatica      ,NP2           ,129, 801,B, 18,R, 1,   7.00,    355.8700,Matsuoka ,Radiolarians                                 ,A              ,P-M               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,                        ,                                 ,                ,                       ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,+                       ,+                          ,+                  ,                           ,+                   ,                 ,+               ,                ,                       ,                    ,                        ,+                                ,+                           ,+               ,+                       ,+                                     ,+                           ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Valanginian      ,                 ,P. carpatica      ,NP2           ,129, 801,B, 18,R, 1,  34.00,    356.1400,Matsuoka ,Radiolarians                                 ,A              ,P-M               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,                        ,                                 ,                ,                       ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,+                          ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,+                                ,+                           ,                ,                        ,+                                     ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Valanginian      ,                 ,P. carpatica      ,NP2           ,129, 801,B, 18,R,CC,   0.00,    356.2600,Matsuoka ,Radiolarians                                 ,A              ,M-G               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,                        ,                                 ,                ,                       ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,+                     ,                  ,                  ,                   ,                          ,                ,+                       ,+                          ,+                  ,                           ,+                   ,+                ,+               ,+               ,+                      ,+                   ,+                       ,+                                ,+                           ,+               ,+                       ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Valanginian      ,                 ,P. carpatica      ,NP2           ,129, 801,B, 19,R,CC,   0.00,    365.5900,Matsuoka ,Radiolarians                                 ,A              ,P-M               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,                        ,                                 ,                ,                       ,                        ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,                           ,                      ,                  ,                  ,                   ,                          ,                ,                        ,+                          ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Valanginian      ,                 ,P. carpatica      ,NP2           ,129, 801,B, 20,R, 1,   7.00,    374.5700,Matsuoka ,Radiolarians                                 ,A              ,M                 ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,                        ,                                 ,                ,                       ,+                       ,                      ,                        ,                           ,                       ,+                   ,                      ,                   ,+                          ,                      ,+                 ,                  ,+                  ,                          ,                ,                        ,+                          ,                   ,+                          ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Valanginian      ,                 ,P. carpatica      ,NP2           ,129, 801,B, 20,R, 1,  16.00,    374.6600,Matsuoka ,Radiolarians                                 ,C              ,P-M               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,+                     ,                      ,                ,                 ,                        ,                                 ,                ,                       ,+                       ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,+                          ,                      ,+                 ,                  ,                   ,                          ,                ,                        ,                           ,                   ,                           ,+                   ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Valanginian      ,                 ,P. carpatica      ,NP2           ,129, 801,B, 20,R,CC,   0.00,    374.7800,Matsuoka ,Radiolarians                                 ,C              ,P-M               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,+                     ,                      ,                ,                 ,                        ,                                 ,                ,                       ,+                       ,                      ,+                       ,                           ,                       ,+                   ,                      ,                   ,                           ,                      ,+                 ,                  ,                   ,                          ,+               ,+                       ,+                          ,+                  ,+                          ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Tithonian        ,                 ,P. primitiva      ,NP1           ,129, 801,B, 21,R, 1,   1.00,    383.7100,Matsuoka ,Radiolarians                                 ,C              ,P-M               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,+                     ,                      ,                ,                 ,                        ,                                 ,                ,                       ,+                       ,                      ,                        ,                           ,                       ,+                   ,                      ,                   ,+                          ,                      ,                  ,                  ,+                  ,                          ,+               ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Tithonian        ,                 ,P. primitiva      ,NP1           ,129, 801,B, 21,R, 1,  13.00,    383.8300,Matsuoka ,Radiolarians                                 ,C              ,P-M               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,                      ,                      ,                ,                 ,                        ,                                 ,                ,                       ,+                       ,                      ,                        ,                           ,                       ,+                   ,                      ,                   ,+                          ,                      ,                  ,                  ,+                  ,                          ,+               ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Tithonian        ,                 ,P. primitiva      ,NP1           ,129, 801,B, 21,R,CC,   0.00,    383.9200,Matsuoka ,Radiolarians                                 ,C              ,M                 ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,+                     ,                      ,                ,                 ,                        ,                                 ,                ,+                      ,+                       ,                      ,                        ,+                          ,                       ,+                   ,                      ,                   ,+                          ,                      ,                  ,                  ,+                  ,                          ,                ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Tithonian        ,                 ,P. primitiva      ,NP1           ,129, 801,B, 22,R,CC,   0.00,    389.8000,Matsuoka ,Radiolarians                                 ,C              ,M                 ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,+                     ,                      ,                ,                 ,                        ,                                 ,                ,                       ,+                       ,                      ,                        ,                           ,                       ,+                   ,                      ,                   ,+                          ,                      ,+                 ,                  ,+                  ,                          ,+               ,+                       ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Tithonian        ,                 ,P. primitiva      ,NP1           ,129, 801,B, 22,R,CC,   4.00,    389.8400,Matsuoka ,Radiolarians                                 ,A              ,P-M               ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,+                     ,                      ,                ,                 ,                        ,                                 ,                ,                       ,+                       ,                      ,                        ,                           ,                       ,                    ,                      ,                   ,+                          ,+                     ,                  ,                  ,                   ,                          ,+               ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Tithonian        ,                 ,P. primitiva      ,NP1           ,129, 801,B, 23,R,CC,   7.00,    395.9700,Matsuoka ,Radiolarians                                 ,A              ,M                 ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,+                     ,                      ,                ,                 ,                        ,                                 ,                ,+                      ,+                       ,                      ,+                       ,+                          ,                       ,+                   ,                      ,                   ,+                          ,                      ,+                 ,                  ,+                  ,+                         ,+               ,+                       ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Tithonian        ,                 ,P. primitiva      ,NP1           ,129, 801,B, 23,R,CC,  14.00,    396.0400,Matsuoka ,Radiolarians                                 ,A              ,M                 ,               ,                                      ,                   ,                   ,                 ,               ,                        ,              ,                   ,                      ,                        ,                           ,                              ,                         ,                ,                   ,                    ,                      ,                    ,                 ,                  ,                  ,                      ,                   ,              ,                    ,                      ,                 ,                          ,                         ,               ,+                     ,                      ,                ,                 ,                        ,                                 ,                ,+                      ,+                       ,                      ,                        ,+                          ,                       ,+                   ,                      ,                   ,                           ,+                     ,                  ,                  ,+                  ,+                         ,+               ,                        ,                           ,                   ,                           ,                    ,                 ,                ,                ,                       ,                    ,                        ,                                 ,                            ,                ,                        ,                                      ,                            ,                      ,                      ,                     ,from ODP Leg 129 SR Chapter 10 Figure 2 p 205 & Table 2 pp 212-215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
