Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Coccolithus pelagicus,Gephyrocapsa Group 1,Gephyrocapsa oceanica,Gephyrocapsa Group 3,Calcidiscus leptoporus,Pontosphaera sp.,Emiliania huxleyi,Gephyrocapsa Group 2,Gephyrocapsa Group 4,Reticulofenestra sp.,Pontosphaera japonica,Gephyrocapsa caribbeanica,Coccolithus crassipons,Braarudosphaera bigelowii,Syracosphaera pulchra,Emiliania pujosae,Comment
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 857,C,  2,R, 2,  50.00,     58.5000,Mao      ,Nannofossils                                 ,C              ,M                 ,F                    ,C                   ,                     ,                    ,                      ,                ,F                ,                    ,                    ,                    ,                     ,                         ,                      ,R                        ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21A             ,              ,139, 857,C,  2,R, 2,  67.00,     58.6700,Mao      ,Nannofossils                                 ,C              ,P                 ,F                    ,                    ,C                    ,                    ,                      ,                ,F                ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21A             ,              ,139, 857,C,  2,R,CC,   8.00,     58.8500,Mao      ,Nannofossils                                 ,C              ,P                 ,R                    ,                    ,C                    ,                    ,                      ,                ,F                ,                    ,                    ,                    ,                     ,R                        ,                      ,R                        ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 857,C,  3,R, 1,  98.00,     67.4800,Mao      ,Nannofossils                                 ,C              ,P                 ,F                    ,C                   ,                     ,                    ,                      ,                ,R                ,F                   ,                    ,                    ,                     ,                         ,R                     ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 857,C,  3,R, 2,  93.00,     68.9300,Mao      ,Nannofossils                                 ,C              ,M                 ,R                    ,C                   ,                     ,                    ,                      ,                ,F                ,R                   ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21A             ,              ,139, 857,C,  3,R, 3,  12.00,     69.6200,Mao      ,Nannofossils                                 ,C              ,P                 ,F                    ,                    ,F                    ,                    ,                      ,                ,R                ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 857,C,  3,R, 3,  47.00,     69.9700,Mao      ,Nannofossils                                 ,C              ,M                 ,R                    ,C                   ,                     ,                    ,                      ,                ,R                ,R                   ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21A             ,              ,139, 857,C,  4,R,CC,   3.00,     76.1300,Mao      ,Nannofossils                                 ,F              ,P                 ,F                    ,                    ,F                    ,                    ,                      ,                ,R                ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21A             ,              ,139, 857,C,  5,R, 1,  24.00,     82.3400,Mao      ,Nannofossils                                 ,F              ,P                 ,R                    ,                    ,F                    ,                    ,                      ,                ,R                ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 857,C,  5,R, 1,  31.00,     82.4100,Mao      ,Nannofossils                                 ,R              ,VP                ,                     ,R                   ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21A             ,              ,139, 857,C,  5,R,CC,   0.00,     82.6400,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,R                    ,                    ,                      ,                ,R                ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 857,C,  6,R, 1, 119.00,     87.3900,Mao      ,Nannofossils                                 ,F              ,P                 ,R                    ,F                   ,                     ,R                   ,                      ,                ,                 ,F                   ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21A             ,              ,139, 857,C,  6,R, 2,  86.00,     88.5600,Mao      ,Nannofossils                                 ,F              ,P                 ,F                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 857,C,  6,R, 2,  94.00,     88.6400,Mao      ,Nannofossils                                 ,F              ,P                 ,F                    ,R                   ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21A             ,              ,139, 857,C,  7,R,CC,   7.00,     95.2700,Mao      ,Nannofossils                                 ,F              ,P                 ,                     ,                    ,F                    ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21A             ,              ,139, 857,C,  8,R,CC,  10.00,    105.0000,Mao      ,Nannofossils                                 ,F              ,P                 ,R                    ,                    ,R                    ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 857,C,  9,R, 1, 100.00,    115.5000,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,R                   ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21A             ,              ,139, 857,C,  9,R,CC,  13.00,    115.7900,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,R                    ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 857,C, 10,R, 1,   3.00,    124.1300,Mao      ,Nannofossils                                 ,R              ,M                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21A             ,              ,139, 857,C, 10,R, 1,  33.00,    124.4300,Mao      ,Nannofossils                                 ,F              ,P                 ,R                    ,                    ,F                    ,                    ,                      ,                ,F                ,                    ,                    ,                    ,R                    ,R                        ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21A             ,              ,139, 857,C, 10,R,CC,  12.00,    125.0600,Mao      ,Nannofossils                                 ,F              ,M                 ,R                    ,                    ,                     ,                    ,                      ,                ,R                ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 857,C, 11,R, 1,  12.00,    133.9200,Mao      ,Nannofossils                                 ,F              ,M                 ,R                    ,F                   ,                     ,R                   ,                      ,                ,F                ,F                   ,                    ,R                   ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21A             ,              ,139, 857,C, 11,R, 1,  52.00,    134.3200,Mao      ,Nannofossils                                 ,F              ,P                 ,R                    ,                    ,R                    ,                    ,                      ,                ,R                ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 857,C, 11,R, 1,  86.00,    134.6600,Mao      ,Nannofossils                                 ,F              ,P                 ,R                    ,R                   ,                     ,                    ,                      ,                ,R                ,F                   ,                    ,R                   ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21A             ,              ,139, 857,C, 11,R,CC,  21.00,    135.5300,Mao      ,Nannofossils                                 ,F              ,P                 ,R                    ,                    ,R                    ,                    ,                      ,                ,R                ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 857,C, 12,R, 1, 100.00,    144.5000,Mao      ,Nannofossils                                 ,F              ,P                 ,R                    ,R                   ,                     ,                    ,                      ,                ,                 ,                    ,R                   ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21A             ,              ,139, 857,C, 12,R, 2,  31.00,    145.3100,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,R                    ,                    ,                      ,                ,R                ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,"R,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 857,C, 12,R, 2,  63.00,    145.6300,Mao      ,Nannofossils                                 ,R              ,P                 ,                     ,R                   ,                     ,R                   ,                      ,                ,R                ,R                   ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21A             ,              ,139, 857,C, 12,R,CC,   0.00,    146.1500,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,R                    ,                    ,                      ,                ,R                ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 13,R, 1,  76.00,    153.8600,Mao      ,Nannofossils                                 ,R              ,M                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 13,R, 2,  55.00,    155.1500,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,R               ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 13,R, 3,  36.00,    156.4600,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,R                   ,R                     ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,NN9               ,NN21          ,139, 857,C, 13,R,CC,  12.00,    157.3100,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 14,R, 1,  24.00,    163.0400,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,NN9               ,NN21          ,139, 857,C, 14,R,CC,  16.00,    166.0700,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 15,R, 1,  27.00,    172.7700,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,NN9               ,NN21          ,139, 857,C, 15,R, 1, 120.00,    173.7000,Mao      ,Nannofossils                                 ,R              ,                  ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 15,R, 2,  29.00,    174.2900,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 15,R, 3,  40.00,    175.9000,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,NN9               ,NN21          ,139, 857,C, 16,R,CC,   8.00,    182.9900,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,NN9               ,NN21          ,139, 857,C, 17,R,CC,  10.00,    195.5200,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,R                    ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 18,R, 1,  92.00,    202.5200,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,NN9               ,NN21          ,139, 857,C, 18,R,CC,  17.00,    205.0000,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,R                    ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 19,R,CC,  23.00,    214.2300,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 21,R, 1,  88.00,    231.4800,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 21,R,CC,   9.00,    234.7000,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 26,R, 1,  60.00,    275.1000,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 26,R,CC,  10.00,    276.3300,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 28,R, 1, 112.00,    294.9200,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 28,R, 2,  16.00,    295.4600,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 28,R, 3,  19.00,    296.9900,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 29,R, 1,  45.00,    303.8500,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 30,R, 3,   7.00,    316.1700,Mao      ,Nannofossils                                 ,F              ,VP                ,F                    ,R                   ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 30,R, 3,  60.00,    316.7000,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 30,R,CC,  16.00,    317.7600,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 32,R,CC,  14.00,    331.9600,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,139, 857,C, 33,R, 2,  63.00,    334.5300,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,from ODP Leg 139 SR; Chapter 5; Table 8; p. 69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C, 33,R,CC,  12.00,    336.6200,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                     ,                    ,                      ,                ,                 ,                    ,                    ,                    ,                     ,                         ,                      ,                         ,                     ,                 ,",from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
