Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group	Group Abundance	Group Preservation	Globigerinoides trilobus	Globigerinoides quadrilobatus	Globigerinoides obliquus	Globigerinella siphonifera	Orbulina universa	Dentoglobigerina globosa	Globigerinoides extremus	Sphaeroidinellopsis subdehiscens	Neogloboquadrina humerosa	Globorotalia menardii	Globigerinoides conglobatus	Pulleniatina primalis	Globigerinoides sacculifer	Dentoglobigerina altispira	Globorotalia tumida	Neogloboquadrina acostaensis	Globorotalia tumida flexuosa	Globorotalia scitula	Globorotalia margaritae	Sphaeroidinellopsis seminulina	Sphaeroidinellopsis paenedehiscens	Sphaeroidinella dehiscens	Pulleniatina spectabilis	Pulleniatina obliquiloculata	Pulleniatina praecursor	Globorotalia crassaformis	Globigerinoides ruber	Sphaeroidinella dehiscens s.l.	Globorotalia tosaensis	Comment
IR		Pliocene			180	1109	D	15	R	CC	20.00	492.0800	Resig	Planktonic Foraminifers	A	VG	A	A			R	F	A	F	F	F			F	F			F			R		F			F	R	A			
																																														
IR		Pliocene			180	1109	D	16	R	CC	37.00	501.9800	Resig	Planktonic Foraminifers	C	VG	A	A				A	A	F	A	F			A	A		F	F					R			F	F	A			
																																														
IR		Pliocene			180	1109	D	17	R	CC	0.00	511.7500	Resig	Planktonic Foraminifers	C	M	A	A			R		F	R	A	F			F		F		F		R	R	R				F	R	A			
																																														
IR		Pliocene			180	1109	D	18	R	CC	36.00	522.6600	Resig	Planktonic Foraminifers	A	VG	A	A				F	A	F	A	F	R		A	F	F	A	F		R		F					R				
																																														
IR		Pliocene		N20	180	1109	D	19	R	CC	40.00	529.2100	Perembo	Planktonic Foraminifers	A	VG									A					A	A		A				F			A	A	F	A			
																																														
IR		Pliocene		N20	180	1109	D	20	R	CC	21.00	539.1300	Perembo	Planktonic Foraminifers	C	VG									A	A					A		F				F	R		R	R	R				
																																														
IR		Pliocene			180	1109	D	21	R	CC	17.00	551.3900	Perembo	Planktonic Foraminifers	A	VG								A	A	A				A	A		A				A	F			F					
																																														
IR		Pliocene			180	1109	D	22	R	CC	0.00	555.6400	Perembo	Planktonic Foraminifers	A	VG									A	A					A		A		R		F	A		F	A					
																																														
IR		Pliocene			180	1109	D	23	R	CC	0.00	562.7100	Perembo	Planktonic Foraminifers	A	VG								A		A		F			A		A				A			F	A					
																																														
IR		Pliocene			180	1109	D	24	R	CC	47.00	571.6600	Perembo	Planktonic Foraminifers	A	VG								A	A	A					A		A		F	F	A	A	R	F						
																																														
IR		Pliocene			180	1109	D	25	R	CC	0.00	578.4200	Resig	Planktonic Foraminifers	F	P	F		R				R		F	R		F	R	F						R										
																																														
IR		Pliocene			180	1109	D	26	R	CC	5.00	588.2000	Resig	Planktonic Foraminifers	A	M	A		A	R	R	A	A	R	A	F		F	A	A	F	F	F	R	F											
																																														
IR		Pliocene			180	1109	D	27	R	CC	14.00	593.9200	Resig	Planktonic Foraminifers	R	P	R																													
																																														
IR		Pliocene			180	1109	D	28	R	CC	10.00	600.5400	Resig	Planktonic Foraminifers	F	P	F														R															
																																														
IR		Pliocene			180	1109	D	29	R	CC	13.00	612.3900	Resig	Planktonic Foraminifers	R	P	R		R			R			R			R			R															
																																														
IR		Pliocene			180	1109	D	30	R	CC	13.00	619.5300	Resig	Planktonic Foraminifers	F	P	F		R		R	R	F			R		R	R	R																
																																														
IR		Pliocene			180	1109	D	31	R	CC	0.00	630.7700	Resig	Planktonic Foraminifers	F	P	F	F		R	R	R	F	R	F	R	R																			
																																														
IR		Pliocene			180	1109	D	32	R	CC	0.00	640.4200	Resig	Planktonic Foraminifers	R	P	R			R	R		R																							
																																														
IR		Pliocene			180	1109	D	33	R	CC	0.00	647.7900	Resig	Planktonic Foraminifers	R	P	R			R	R	R																								
																																														
IR		Pliocene			180	1109	D	34	R	CC	31.00	664.2900	Resig	Planktonic Foraminifers	F	P	R	R	R	R																										
																																														
