Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus moriformis	Reticulofenestra coenura	Pontosphaera spp.	Helicosphaera intermedia	Dictyococcites bisectus	Cyclicargolithus floridanus	Coccolithus pelagicus	Chiasmolithus spp.	Zygrhablithus bijugatus	Rhabdosphaera tenuis	Reticulofenestra umbilica	Reticulofenestra reticulata	Lanternithus minutus	Discoaster tanii	Discoaster saipanensis	Discoaster germanicus	Coccolithus formosus	Clausicoccus subdistichus	Chiasmolithus oamaruensis	Chiasmolithus modestus	Braarudosphaera bigelowii	Reticulofenestra samodurovii	Reticulofenestra spp.	Blackites spinosus	Isthmolithus recurvus	Chiasmolithus altus	Reticulofenestra haqii	Reticulofenestra daviesii	Micrantholithus flos	Helicosphaera recta	Cyclicargolithus abisectus	Coronocyclus nitescens	Triquetrorhabdulus carinatus	Sphenolithus distentus	Discoaster deflandrei	Sphenolithus predistentus	Helicosphaera bramlettei	Amaurolithus primus	Sphenolithus dissimilis	Sphenolithus capricornutus	Coccolithus miopelagicus	Sphenolithus calyculus	Discoaster calculosus	Helicosphaera ampliaperta	Sphenolithus conicus	Discoaster formosus	Sphenolithus belemnos	Helicosphaera perch-nielseniae	Sphenolithus heteromorphus	Discoaster variabilis	Calcidiscus premacintyrei	Reticulofenestra pseudoumbilica	Triquetrorhabdulus rugosus	Calcidiscus macintyrei	Helicosphaera sellii	Discoaster loeblichii	Discoaster surculus	Discoaster mendomobensis	Discoaster intercalaris	Discoaster pentaradiatus	Discoaster challengeri	Discoaster blackstockae	Amaurolithus delicatus	Discoaster asymmetricus	Ceratolithus acutus	Pseudoemiliania lacunosa	Gephyrocapsa spp. (small)	Comment

  IR	                 	                 	                  	              	189	1168	A	  5	H	CC	  38.00	     45.9600	nannos   	Nannofossils                                 	               	                  	                       	                        	                 	                        	                       	                           	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	                          	                     	                         	                               	                          	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	R                      	                   	R                       	                         	       

  IR	                 	Early Pliocene   	CN11b             	CN11          	189	1168	A	  6	H	CC	  26.00	     55.2400	nannos   	Nannofossils                                 	A              	VG                	                       	                        	                 	                        	                       	                           	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	                          	                     	                         	A                              	                          	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	                  	              	189	1168	A	  7	H	CC	  24.00	     64.9300	nannos   	Nannofossils                                 	A              	VG                	                       	                        	                 	                        	                       	                           	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	                          	                     	                         	                               	                          	A                     	F                   	                     	                   	                        	                       	                        	                      	                       	F                     	                       	                   	A                       	                         	       

  IR	                 	Early Pliocene   	CN11              	CN10b         	189	1168	A	  8	H	CC	   8.00	     73.5800	nannos   	Nannofossils                                 	A              	VG                	                       	                        	                 	                        	                       	                           	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	+                  	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	                          	                     	                         	C                              	                          	A                     	C                   	                     	R                  	                        	                       	C                       	                      	                       	                      	                       	R                  	                        	                         	       

  IR	                 	Early Pliocene   	CN10c             	CN10b         	189	1168	A	  9	H	CC	  27.00	     82.9800	nannos   	Nannofossils                                 	A              	VG                	                       	                        	                 	                        	                       	                           	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	                          	C                    	                         	A                              	                          	A                     	F                   	                     	                   	                        	                       	R                       	                      	                       	R                     	F                      	C                  	                        	                         	       

  IR	                 	                 	CN10a             	CN9b          	189	1168	A	 10	H	CC	  30.00	     93.4100	nannos   	Nannofossils                                 	A              	VG                	                       	                        	                 	                        	                       	                           	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	                          	A                    	                         	A                              	                          	A                     	C                   	                     	                   	                        	C                      	F                       	                      	                       	F                     	                       	                   	                        	                         	       

  IR	                 	                 	                  	              	189	1168	A	 11	H	CC	  18.00	    102.5900	nannos   	Nannofossils                                 	A              	VG                	                       	                        	                 	                        	                       	                           	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	                          	A                    	                         	A                              	                          	                      	C                   	                     	F                  	                        	C                      	C                       	                      	F                      	C                     	                       	                   	                        	                         	       

  IR	                 	Late Miocene     	CN9b              	CN9b          	189	1168	A	 12	H	CC	  35.00	    112.0600	nannos   	Nannofossils                                 	A              	VG                	                       	                        	                 	                        	                       	                           	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	F                  	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	                          	C                    	                         	A                              	                          	C                     	                    	C                    	                   	                        	                       	C                       	F                     	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	CN9b              	CN9a          	189	1168	A	 13	X	CC	  15.00	    115.9500	nannos   	Nannofossils                                 	A              	VG                	                       	                        	                 	                        	                       	                           	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	F                  	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	                          	A                    	                         	A                              	                          	                      	                    	C                    	F                  	F                       	C                      	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	CN9a              	CN8           	189	1168	A	 14	X	CC	  25.00	    125.8100	nannos   	Nannofossils                                 	A              	VG                	                       	                        	                 	                        	                       	                           	A                    	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	                          	A                    	                         	A                              	                          	A                     	F                   	C                    	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	                  	              	189	1168	A	 15	X	CC	  12.00	    132.8900	nannos   	Nannofossils                                 	               	                  	                       	                        	                 	                        	                       	                           	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	                          	                     	                         	                               	F                         	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	                  	              	189	1168	A	 16	X	CC	  15.00	    144.8600	nannos   	Nannofossils                                 	               	                  	                       	                        	                 	                        	                       	                           	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	                          	                     	                         	                               	F                         	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	                  	              	189	1168	A	 17	X	CC	  17.00	    154.3100	nannos   	Nannofossils                                 	               	                  	                       	                        	                 	                        	                       	                           	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	                          	                     	C                        	A                              	R                         	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	                  	              	189	1168	A	 18	X	CC	  29.00	    164.8800	nannos   	Nannofossils                                 	               	                  	                       	                        	                 	                        	                       	                           	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	                          	                     	C                        	A                              	R                         	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	                  	              	189	1168	A	 19	X	CC	  16.00	    175.2300	nannos   	Nannofossils                                 	               	                  	                       	                        	                 	                        	                       	                           	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	                          	                     	                         	A                              	R                         	C                     	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	                  	              	189	1168	A	 20	X	CC	  25.00	    184.2000	nannos   	Nannofossils                                 	               	                  	                       	                        	                 	                        	                       	                           	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	                          	                     	                         	A                              	R                         	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	                  	              	189	1168	A	 21	X	CC	  17.00	    194.6200	nannos   	Nannofossils                                 	               	                  	                       	                        	                 	                        	                       	                           	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	                          	                     	                         	A                              	                          	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	Middle Miocene   	CN5a              	CN5a          	189	1168	A	 22	X	CC	  29.00	    205.1100	nannos   	Nannofossils                                 	               	                  	                       	                        	                 	                        	                       	F                          	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	                          	                     	                         	                               	                          	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	                  	              	189	1168	A	 23	X	CC	  22.00	    214.6900	nannos   	Nannofossils                                 	               	                  	                       	                        	                 	                        	                       	F                          	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	                          	                     	                         	                               	                          	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	                  	              	189	1168	A	 24	X	CC	  21.00	    224.2700	nannos   	Nannofossils                                 	               	                  	                       	                        	                 	                        	                       	F                          	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	                          	                     	R                        	A                              	                          	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	Middle Miocene   	                  	              	189	1168	A	 25	X	CC	  21.00	    233.1200	nannos   	Nannofossils                                 	               	                  	                       	                        	                 	                        	                       	F                          	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	                          	                     	R                        	A                              	                          	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	Early Miocene    	CN4               	CN3           	189	1168	A	 26	X	CC	  26.00	    243.5300	nannos   	Nannofossils                                 	               	                  	                       	                        	                 	                        	                       	C                          	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	R                         	                     	F                        	                               	                          	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	                  	              	189	1168	A	 27	X	CC	  39.00	    253.2800	nannos   	Nannofossils                                 	               	                  	                       	                        	                 	                        	                       	C                          	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	R                         	                     	F                        	                               	                          	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	                  	              	189	1168	A	 28	X	CC	  44.00	    260.2900	nannos   	Nannofossils                                 	               	                  	                       	                        	                 	                        	                       	C                          	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	R                         	                     	R                        	                               	                          	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	                  	              	189	1168	A	 29	X	CC	  32.00	    272.3400	nannos   	Nannofossils                                 	               	                  	C                      	                        	                 	                        	                       	C                          	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	R                         	A                    	F                        	                               	                          	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	                  	              	189	1168	A	 30	X	CC	   6.00	    281.4800	nannos   	Nannofossils                                 	A              	VG                	C                      	                        	                 	                        	                       	A                          	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	A                    	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	C                         	A                    	                         	                               	                          	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	Early Miocene    	CN3               	CN3           	189	1168	A	 31	X	CC	  30.00	    291.5900	nannos   	Nannofossils                                 	A              	VG                	C                      	                        	                 	                        	                       	A                          	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	A                    	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	C                         	A                    	                         	                               	                          	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	Early Miocene    	CN2               	CN2           	189	1168	A	 32	X	CC	   0.00	    300.5800	nannos   	Nannofossils                                 	A              	VG                	C                      	                        	                 	                        	                       	C                          	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	F                     	                            	                      	C                    	                         	                        	                   	                       	                          	                        	                      	F                    	F                        	                    	                   	R                    	R                             	                          	                     	                         	                               	                          	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	                  	              	189	1168	A	 33	X	CC	  32.00	    309.9700	nannos   	Nannofossils                                 	A              	VG                	C                      	                        	R                	R                       	                       	C                          	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	C                    	                         	                        	                   	                       	                          	                        	                      	R                    	                         	                    	                   	F                    	                              	                          	                     	                         	                               	                          	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	Early Miocene    	CN1               	CN1           	189	1168	A	 34	X	CC	   0.00	    319.4500	nannos   	Nannofossils                                 	A              	VG                	                       	                        	                 	                        	                       	A                          	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	F                  	                     	                              	                          	                     	                         	                               	                          	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	                  	              	189	1168	A	 35	X	CC	  39.00	    328.8200	nannos   	Nannofossils                                 	A              	VG                	R                      	                        	                 	                        	                       	A                          	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	A                    	                         	                        	                   	                       	                          	                        	                      	                     	R                        	                    	                   	                     	                              	                          	                     	                         	                               	                          	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	                  	              	189	1168	A	 36	X	CC	  35.00	    339.0200	nannos   	Nannofossils                                 	A              	VG                	C                      	                        	                 	R                       	                       	A                          	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	C                    	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	                          	                     	                         	                               	                          	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	                  	              	189	1168	A	 37	X	CC	  29.00	    348.5900	nannos   	Nannofossils                                 	A              	VG                	R                      	                        	R                	                        	                       	A                          	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	                     	                         	                        	                   	                       	                          	F                       	                      	                     	                         	R                   	                   	                     	                              	                          	                     	                         	                               	                          	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	                  	              	189	1168	A	 38	X	CC	  50.00	    357.8700	nannos   	Nannofossils                                 	A              	VG                	A                      	                        	                 	                        	                       	C                          	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	F                    	                         	                        	                   	                       	                          	A                       	                      	                     	                         	                    	                   	                     	                              	                          	                     	                         	                               	                          	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	                  	              	189	1168	A	 39	X	CC	  29.00	    367.4800	nannos   	Nannofossils                                 	A              	VG                	C                      	                        	R                	                        	                       	A                          	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	                          	                      	                            	                      	A                    	                         	                        	                   	                       	                          	C                       	                      	R                    	R                        	                    	                   	                     	                              	                          	                     	                         	                               	                          	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	                  	              	189	1168	A	 40	X	CC	  46.00	    376.5400	nannos   	Nannofossils                                 	A              	VG                	C                      	                        	                 	                        	                       	A                          	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	C                         	F                     	                            	                      	F                    	                         	                        	                   	                       	                          	A                       	                      	R                    	                         	                    	                   	                     	                              	                          	                     	                         	                               	                          	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	                  	              	189	1168	A	 41	X	CC	  50.00	    387.0700	nannos   	Nannofossils                                 	A              	VG                	C                      	                        	F                	F                       	                       	A                          	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	A                         	                      	                            	                      	C                    	                         	                        	                   	                       	                          	                        	R                     	                     	                         	                    	                   	                     	                              	                          	                     	                         	                               	                          	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	                  	              	189	1168	A	 42	X	CC	  32.00	    396.6100	nannos   	Nannofossils                                 	A              	VG                	C                      	                        	F                	R                       	                       	A                          	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	F                         	                      	                            	                      	C                    	                         	                        	                   	                       	                          	F                       	                      	                     	                         	                    	                   	                     	                              	                          	                     	                         	                               	                          	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	                  	              	189	1168	A	 43	X	CC	  34.00	    406.0100	nannos   	Nannofossils                                 	A              	VG                	C                      	                        	F                	F                       	                       	                           	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	C                         	                      	                            	                      	C                    	                         	                        	                   	                       	                          	F                       	                      	                     	                         	                    	                   	                     	                              	                          	                     	                         	                               	                          	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

  IR	                 	                 	                  	              	189	1168	A	 44	X	CC	  32.00	    415.4700	nannos   	Nannofossils                                 	A              	VG                	                       	                        	                 	                        	                       	A                          	                     	                  	                       	                    	                         	                           	                    	                	                      	                     	                    	                         	                         	                      	                         	                            	                     	                  	                     	                   	                      	                         	                    	                   	C                         	                      	                            	                      	                     	                         	                        	                   	                       	                          	                        	                      	                     	                         	                    	                   	                     	                              	                          	                     	                         	                               	                          	                      	                    	                     	                   	                        	                       	                        	                      	                       	                      	                       	                   	                        	                         	       

