Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Circulodinium distinctum	Operculodinium centrocarpum	Deflandrea phosphoritica group	Spiniferites ramosus	Cribroperidinium giuseppei	Systematophora placacantha	Pyxidinopsis waipawaensis	Lejeunecysta spp.	Diphyes ficusoides	Impagidinium dispertitum	Hystrichokolpoma rigaudiae	Distatodinium ellipticum	Thalassiphora pelagica	Wetzeliella spp. (pars.)	Operculodinium israelianum	Lingulodinium machaerophorum	Hystrichostrogylon spp.	Glaphyrocysta intricata	Eocladopyxis sp.	Apteodinium australiense	Dapsilidinium pseudocolligerum	Cannosphaeropsis sp.	Reticulatosphaera actinocoronata	Nematosphaeropsis labyrinthea	Impagidinium cf. I. aculeatum	Impagidinium aculeatum	Operculodinium longispinigerum	Impagidinium velorum	Impagidinium sphaericum	Impagidinium patulum	Apteodinium spiridoides	Pentadinium laticinctum	Operculodinium psilatum	Operculodinium echigoense	Cerebrocysta sp. A	Spiniferites mirabilis	Pyxidinopsis fairhavenensis	Achomosphaera spp. (pars.)	Impagidinium paradoxum	Achomosphaera andalousiensis	Spiniferites membranaceus	Invertocysta tabulata	Impagidinium strialatum	Spiniferites pseudofurcatus	Wetzeliella articulata	Tectatodinium pellitum	Brigantedinium spp.	Amiculosphaera umbracula	Echinidinium spp.	Corrudinium harlandii	Bitectatodinium tepikiense	Ataxiodinium spp.	Spiniferites hyperacanthus	Spiniferites bentorii	Impagidinium? pallidum	Spiniferites pachyderma	Polysphaeridium zoharyi	Comment

  IR	                 	                 	                  	              	189	1168	A	  5	H	CC	  38.00	     45.9600	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	R              	G                 	                        	                           	                              	7                   	                          	                          	                         	1                	                  	                        	                          	                        	                      	                        	                          	                            	                       	                       	                	                        	                              	                    	                                	                             	                             	6                     	                              	                    	                       	2                   	                       	                       	                       	                         	                  	1                     	                           	                          	2                     	                            	1                        	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	  6	H	CC	  26.00	     55.2400	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	C              	G                 	                        	28                         	                              	8                   	                          	                          	                         	                 	                  	                        	                          	                        	                      	                        	                          	1                           	                       	                       	                	                        	                              	                    	                                	6                            	                             	2                     	                              	                    	                       	1                   	                       	                       	                       	                         	                  	1                     	                           	                          	                      	                            	                         	1                    	                       	1                          	1                     	1                     	1                  	1                       	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	  7	H	CC	  24.00	     64.9300	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	R              	G                 	                        	                           	                              	1                   	                          	                          	                         	                 	                  	                        	                          	                        	                      	                        	                          	                            	                       	                       	                	                        	                              	                    	                                	                             	                             	1                     	                              	                    	                       	                    	                       	                       	                       	                         	                  	                      	                           	                          	                      	                            	                         	                     	                       	1                          	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	  8	H	CC	   8.00	     73.5800	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	A              	G                 	                        	                           	                              	2                   	                          	                          	                         	                 	                  	                        	                          	                        	                      	                        	+                         	                            	                       	                       	                	                        	                              	                    	                                	                             	                             	1                     	                              	                    	14                     	5                   	                       	                       	                       	110                      	                  	                      	                           	                          	                      	                            	                         	1                    	1                      	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	  9	H	CC	  27.00	     82.9800	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	F              	G                 	                        	                           	                              	4                   	                          	                          	                         	                 	                  	                        	                          	                        	                      	                        	+                         	                            	                       	                       	                	                        	                              	                    	                                	                             	                             	3                     	                              	                    	2                      	1                   	                       	                       	                       	18                       	                  	                      	                           	                          	                      	                            	                         	1                    	1                      	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	 10	H	CC	  30.00	     93.4100	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	C              	G                 	                        	                           	                              	50                  	                          	                          	                         	                 	                  	                        	                          	                        	                      	                        	+                         	2                           	                       	                       	                	                        	                              	                    	                                	7                            	                             	1                     	                              	                    	2                      	5                   	                       	                       	                       	45                       	                  	3                     	                           	                          	1                     	1                           	2                        	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	 11	H	CC	  18.00	    102.5900	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                        	                           	                              	+                   	                          	                          	                         	                 	                  	                        	                          	                        	                      	                        	                          	                            	                       	                       	                	                        	                              	                    	                                	                             	                             	                      	                              	                    	                       	                    	                       	                       	                       	                         	                  	+                     	                           	                          	                      	                            	                         	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	 14	X	CC	  25.00	    125.8100	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	F              	G                 	                        	                           	                              	20                  	                          	                          	                         	                 	                  	                        	                          	                        	                      	                        	                          	                            	                       	                       	                	                        	                              	                    	                                	4                            	                             	                      	                              	                    	                       	                    	                       	                       	                       	                         	+                 	2                     	                           	3                         	1                     	1                           	                         	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	 34	X	CC	   0.00	    319.4500	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	C              	G                 	                        	2                          	                              	50                  	                          	                          	                         	                 	                  	                        	                          	                        	                      	                        	                          	                            	                       	                       	                	                        	2                             	                    	                                	2                            	                             	                      	46                            	                    	7                      	                    	                       	                       	                       	                         	7                 	1                     	8                          	3                         	                      	                            	                         	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	 38	X	CC	  50.00	    357.8700	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	T              	M                 	                        	                           	                              	1                   	                          	                          	                         	                 	                  	                        	                          	                        	                      	                        	                          	                            	                       	                       	                	                        	                              	                    	                                	                             	                             	                      	1                             	                    	                       	                    	                       	                       	                       	                         	1                 	                      	                           	                          	                      	                            	                         	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	 42	X	CC	  32.00	    396.6100	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	F              	G                 	                        	1                          	                              	17                  	                          	                          	                         	                 	                  	                        	                          	                        	                      	                        	                          	2                           	                       	                       	                	                        	1                             	                    	5                               	                             	                             	                      	                              	                    	1                      	                    	1                      	1                      	3                      	1                        	                  	                      	                           	                          	                      	                            	                         	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	 46	X	CC	  37.00	    435.1000	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	C              	G                 	                        	4                          	                              	43                  	                          	                          	                         	                 	                  	1                       	                          	                        	                      	                        	                          	                            	                       	12                     	                	2                       	                              	                    	5                               	                             	1                            	                      	2                             	1                   	1                      	1                   	1                      	                       	                       	                         	                  	                      	                           	                          	                      	                            	                         	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	 50	X	CC	  43.00	    472.7000	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	C              	G                 	                        	8                          	                              	34                  	                          	                          	                         	                 	                  	                        	                          	                        	                      	                        	                          	                            	                       	                       	                	                        	                              	                    	1                               	2                            	1                            	1                     	                              	                    	                       	                    	                       	                       	                       	                         	                  	                      	                           	                          	                      	                            	                         	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	 54	X	CC	  30.00	    511.7400	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	C              	G                 	                        	6                          	                              	53                  	                          	40                        	                         	                 	                  	                        	2                         	                        	                      	                        	                          	                            	                       	1                      	                	                        	2                             	                    	2                               	                             	                             	                      	                              	                    	                       	                    	                       	                       	                       	                         	                  	                      	                           	                          	                      	                            	                         	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	 58	X	CC	  45.00	    550.5900	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	T              	M                 	                        	                           	                              	1                   	                          	1                         	                         	                 	                  	                        	                          	                        	                      	                        	                          	                            	                       	                       	                	                        	                              	                    	                                	                             	                             	                      	                              	                    	                       	                    	                       	                       	                       	                         	                  	                      	                           	                          	                      	                            	                         	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	 62	X	CC	  32.00	    587.2200	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	F              	G                 	                        	3                          	                              	34                  	                          	                          	                         	                 	                  	1                       	1                         	                        	                      	                        	                          	                            	                       	                       	                	                        	1                             	                    	4                               	                             	                             	                      	                              	                    	                       	                    	                       	                       	                       	                         	                  	                      	                           	                          	                      	                            	                         	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	 66	X	CC	  34.00	    625.4900	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	F              	M                 	                        	55                         	                              	4                   	                          	2                         	                         	                 	                  	                        	1                         	                        	                      	                        	                          	                            	                       	                       	                	                        	                              	                    	                                	                             	                             	                      	                              	                    	                       	                    	                       	                       	                       	                         	                  	                      	                           	                          	                      	                            	                         	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	 70	X	CC	  36.00	    661.5000	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	A              	G                 	                        	12                         	                              	92                  	                          	3                         	                         	                 	                  	                        	2                         	                        	80                    	                        	                          	                            	8                      	23                     	3               	2                       	17                            	5                   	                                	                             	                             	                      	                              	                    	                       	                    	                       	                       	                       	                         	                  	                      	                           	                          	                      	                            	                         	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	 74	X	CC	  32.00	    702.3400	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	C              	G                 	                        	15                         	                              	24                  	                          	1                         	                         	3                	                  	1                       	30                        	1                       	                      	3                       	3                         	1                           	3                      	1                      	17              	5                       	                              	                    	                                	                             	                             	                      	                              	                    	                       	                    	                       	                       	                       	                         	                  	                      	                           	                          	                      	                            	                         	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	 75	X	CC	  27.00	    713.9900	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	T              	P                 	                        	6                          	                              	8                   	                          	1                         	                         	2                	                  	                        	                          	                        	1                     	                        	                          	                            	                       	                       	                	                        	                              	                    	                                	                             	                             	                      	                              	                    	                       	                    	                       	                       	                       	                         	                  	                      	                           	                          	                      	                            	                         	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	 78	X	CC	  43.00	    743.1800	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	T              	P                 	                        	1                          	                              	1                   	                          	                          	                         	                 	                  	                        	                          	                        	                      	                        	                          	                            	                       	                       	                	                        	                              	                    	                                	                             	                             	                      	                              	                    	                       	                    	                       	                       	                       	                         	                  	                      	                           	                          	                      	                            	                         	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	 79	X	CC	  34.00	    752.5300	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	F              	M                 	                        	2                          	1                             	24                  	                          	33                        	                         	                 	                  	1                       	2                         	1                       	                      	                        	                          	                            	                       	                       	                	                        	                              	                    	                                	                             	                             	                      	                              	                    	                       	                    	                       	                       	                       	                         	                  	                      	                           	                          	                      	                            	                         	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	 80	X	CC	  34.00	    761.9900	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	T              	P                 	                        	1                          	                              	1                   	                          	                          	                         	                 	                  	                        	                          	                        	                      	                        	                          	                            	                       	                       	                	                        	                              	                    	                                	                             	                             	                      	                              	                    	                       	                    	                       	                       	                       	                         	                  	                      	                           	                          	                      	                            	                         	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	 81	X	CC	  24.00	    771.8200	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	T              	P                 	                        	1                          	                              	1                   	                          	                          	                         	                 	                  	                        	                          	                        	                      	                        	                          	                            	                       	                       	                	                        	                              	                    	                                	                             	                             	                      	                              	                    	                       	                    	                       	                       	                       	                         	                  	                      	                           	                          	                      	                            	                         	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	 82	X	CC	  33.00	    781.0000	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	F              	M                 	                        	15                         	                              	4                   	1                         	13                        	2                        	1                	1                 	                        	                          	                        	                      	                        	                          	                            	                       	                       	                	                        	                              	                    	                                	                             	                             	                      	                              	                    	                       	                    	                       	                       	                       	                         	                  	                      	                           	                          	                      	                            	                         	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	 83	X	CC	  35.00	    790.8700	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	T              	P                 	                        	+                          	                              	1                   	                          	                          	                         	                 	                  	                        	                          	                        	                      	                        	                          	                            	                       	                       	                	                        	                              	                    	                                	                             	                             	                      	                              	                    	                       	                    	                       	                       	                       	                         	                  	                      	                           	                          	                      	                            	                         	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	 84	X	CC	  31.00	    799.5200	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	B              	P                 	                        	+                          	                              	+                   	                          	                          	                         	                 	                  	                        	                          	                        	                      	                        	                          	                            	                       	                       	                	                        	                              	                    	                                	                             	                             	                      	                              	                    	                       	                    	                       	                       	                       	                         	                  	                      	                           	                          	                      	                            	                         	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	 85	X	CC	  25.00	    808.9700	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	T              	P                 	                        	4                          	1                             	1                   	2                         	                          	                         	                 	                  	                        	                          	                        	                      	                        	                          	                            	                       	                       	                	                        	                              	                    	                                	                             	                             	                      	                              	                    	                       	                    	                       	                       	                       	                         	                  	                      	                           	                          	                      	                            	                         	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	 86	X	CC	  37.00	    818.3300	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	T              	P                 	                        	1                          	3                             	                    	                          	                          	                         	                 	                  	                        	                          	                        	                      	                        	                          	                            	                       	                       	                	                        	                              	                    	                                	                             	                             	                      	                              	                    	                       	                    	                       	                       	                       	                         	                  	                      	                           	                          	                      	                            	                         	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	 87	X	CC	  22.00	    828.3600	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	T              	P                 	                        	                           	5                             	                    	                          	                          	                         	                 	                  	                        	                          	                        	                      	                        	                          	                            	                       	                       	                	                        	                              	                    	                                	                             	                             	                      	                              	                    	                       	                    	                       	                       	                       	                         	                  	                      	                           	                          	                      	                            	                         	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	 92	X	CC	  33.00	    871.0800	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	T              	P                 	                        	1                          	                              	                    	                          	                          	                         	                 	                  	                        	                          	                        	                      	                        	                          	                            	                       	                       	                	                        	                              	                    	                                	                             	                             	                      	                              	                    	                       	                    	                       	                       	                       	                         	                  	                      	                           	                          	                      	                            	                         	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

  IR	                 	                 	                  	              	189	1168	A	 94	X	CC	  33.00	    878.1400	dinos    	Dinoflagellates/Acritarchs/Prasinophytes     	T              	P                 	1                       	                           	                              	                    	                          	                          	                         	                 	                  	                        	                          	                        	                      	                        	                          	                            	                       	                       	                	                        	                              	                    	                                	                             	                             	                      	                              	                    	                       	                    	                       	                       	                       	                         	                  	                      	                           	                          	                      	                            	                         	                     	                       	                           	                      	                      	                   	                        	                 	                     	                          	                 	                          	                     	                      	                       	                       	       

