Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Praeorbulina sicana	Globorotaloides variabilis	Globorotaloides suteri	Globorotalia mayeri	Globorotalia archeomenardii	Globoquadrina venezuelana	Globoquadrina dehiscens	Globoquadrina baroemoenensis	Globigerinoides quadrilobatus s.l.	Globigerinoides obliquus s.l.	Dentoglobigerina altispira altispira	Clavatorella bermudezi	Praeorbulina glomerosa curva	Globorotalia praescitula	Globorotalia peripheroronda	Globigerinoides ruber s.l.	Praeorbulina glomerosa glomerosa	Globigerinatella insueta	Globoturborotalita nepenthes	Globoquadrina praedehiscens	Dentoglobigerina altispira globosa	Praeorbulina glomerosa circularis	Sphaeroidinellopsis disjuncta	Globorotaloides hexagona	Orbulina suturalis	Globorotalia peripheroacuta	Sphaeroidinellopsis seminulina	Globorotalia praemenardii	Sphaeroidinellopsis kochi	Globorotalia praefohsi	Globorotalia fohsi fohsi	Globorotalia scitula	Orbulina universa	Globorotalia fohsi lobata	Globigerinella siphonifera	Globorotalia menardii	Globorotalia fohsi robusta	Neogloboquadrina acostaensis	Globorotalia plesiotumida	Globorotalia limbata	Globorotalia tumida	Globigerinoides diminutus	Comment

  SR	Late Miocene     	                 	N17               	              	138	 846	B	 23	X	CC	  18.00	    216.2300	Vincent  	Planktonic Foraminifers                      	               	P                 	                   	                          	                      	                   	                           	                         	                       	                            	+                                 	+                            	                                    	                      	                            	                        	                           	                          	                                	                        	+                           	+                          	T                                 	                                 	                             	                        	T                 	                           	A                             	                         	+                        	                      	                        	                    	T                	                         	                          	+                    	                          	                            	+                        	                    	T                  	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Late Miocene     	                 	N17               	              	138	 846	B	 24	X	CC	  21.00	    225.7500	Vincent  	Planktonic Foraminifers                      	C              	M                 	                   	                          	                      	                   	                           	+                        	                       	+                           	+                                 	+                            	T                                   	                      	                            	                        	                           	                          	                                	                        	                            	                           	                                  	                                 	                             	T                       	                  	                           	+                             	                         	                         	                      	                        	T                   	+                	                         	                          	+                    	                          	+                           	+                        	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Late Miocene     	                 	N17               	              	138	 846	B	 25	X	CC	  18.00	    232.2800	Vincent  	Planktonic Foraminifers                      	R              	P                 	                   	                          	                      	                   	                           	+                        	                       	                            	+                                 	+                            	                                    	                      	                            	                        	                           	                          	                                	                        	                            	                           	                                  	                                 	                             	                        	                  	                           	+                             	                         	                         	                      	                        	                    	+                	                         	                          	T                    	                          	+                           	+                        	+                   	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Late Miocene     	                 	N17               	              	138	 846	B	 26	X	CC	   0.00	    235.6000	Vincent  	Planktonic Foraminifers                      	R              	P                 	                   	                          	                      	                   	                           	+                        	                       	+                           	+                                 	+                            	                                    	                      	                            	                        	                           	                          	                                	                        	                            	                           	T                                 	                                 	                             	T                       	                  	                           	+                             	                         	                         	                      	                        	T                   	+                	                         	                          	                     	                          	+                           	+                        	T                   	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Late Miocene     	                 	N17               	              	138	 846	B	 27	X	 1	  80.00	    246.0000	Vincent  	Planktonic Foraminifers                      	F              	M                 	                   	                          	                      	                   	                           	+                        	T                      	+                           	+                                 	+                            	+                                   	                      	                            	                        	                           	                          	                                	                        	                            	                           	T                                 	                                 	                             	T                       	                  	                           	T                             	                         	                         	                      	                        	                    	+                	                         	                          	T                    	                          	+                           	T                        	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Late Miocene     	                 	N17               	              	138	 846	B	 27	X	 3	  80.00	    249.0000	Vincent  	Planktonic Foraminifers                      	C              	M                 	                   	                          	                      	                   	                           	+                        	T                      	+                           	+                                 	+                            	+                                   	                      	                            	                        	                           	                          	                                	                        	                            	                           	+                                 	                                 	                             	+                       	T                 	                           	+                             	                         	                         	                      	                        	                    	+                	                         	T                         	+                    	                          	+                           	                         	                    	                   	                         	zone assignment uncertain; from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Late Miocene     	                 	N17               	              	138	 846	B	 27	X	CC	  18.00	    253.5300	Vincent  	Planktonic Foraminifers                      	C              	P                 	                   	                          	                      	                   	                           	+                        	                       	+                           	+                                 	+                            	+                                   	                      	                            	                        	                           	                          	                                	                        	                            	                           	+                                 	                                 	                             	+                       	                  	                           	T                             	                         	                         	                      	                        	                    	T                	                         	                          	+                    	                          	+                           	                         	+                   	                   	                         	zone assignment uncertain; from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Late Miocene     	                 	N17               	              	138	 846	B	 28	X	 3	  80.00	    258.7000	Vincent  	Planktonic Foraminifers                      	C              	                  	                   	                          	                      	                   	                           	+                        	T                      	+                           	+                                 	+                            	T                                   	                      	                            	                        	                           	                          	                                	                        	                            	                           	                                  	                                 	                             	+                       	T                 	                           	                              	                         	                         	                      	                        	T                   	+                	                         	                          	+                    	                          	T                           	                         	                    	                   	                         	zone assignment uncertain; from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Late Miocene     	                 	N17               	              	138	 846	B	 28	X	CC	  32.00	    264.8400	Vincent  	Planktonic Foraminifers                      	F              	P                 	                   	T                         	                      	                   	                           	+                        	                       	T                           	+                                 	+                            	                                    	                      	                            	                        	                           	                          	                                	                        	                            	                           	                                  	                                 	                             	+                       	                  	                           	T                             	                         	+                        	                      	                        	                    	                 	                         	                          	T                    	                          	T                           	T                        	                    	                   	                         	zone assignment uncertain; from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Late Miocene     	                 	N15               	N16           	138	 846	B	 29	X	 3	  80.00	    268.0000	Vincent  	Planktonic Foraminifers                      	F              	P/M               	                   	                          	                      	                   	                           	+                        	                       	T                           	+                                 	+                            	T                                   	                      	                            	                        	                           	                          	                                	                        	                            	                           	T                                 	                                 	                             	T                       	                  	                           	                              	                         	                         	                      	                        	T                   	+                	                         	                          	                     	                          	+                           	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N13               	N14           	138	 846	B	 29	X	CC	   0.00	    273.6800	Vincent  	Planktonic Foraminifers                      	F              	P                 	                   	T                         	                      	T                  	                           	T                        	                       	+                           	+                                 	+                            	T                                   	                      	                            	                        	                           	                          	                                	                        	                            	                           	T                                 	                                 	                             	T                       	                  	                           	                              	                         	                         	                      	                        	                    	+                	                         	                          	+                    	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N13               	N14           	138	 846	B	 30	X	 2	  80.00	    276.2000	Vincent  	Planktonic Foraminifers                      	F              	P/M               	                   	                          	                      	T                  	                           	+                        	                       	                            	+                                 	T                            	                                    	                      	                            	                        	                           	                          	                                	                        	                            	                           	                                  	                                 	                             	                        	                  	                           	T                             	                         	                         	                      	                        	+                   	+                	                         	                          	+                    	                          	T                           	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N13               	N14           	138	 846	B	 30	X	CC	  30.00	    283.7100	Vincent  	Planktonic Foraminifers                      	F              	P                 	                   	                          	                      	                   	                           	T                        	                       	+                           	+                                 	+                            	                                    	                      	                            	                        	                           	                          	                                	                        	                            	                           	                                  	                                 	                             	+                       	                  	                           	T                             	                         	T                        	                      	                        	                    	+                	                         	                          	T                    	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N13               	N14           	138	 846	B	 31	X	 4	  90.00	    288.9000	Vincent  	Planktonic Foraminifers                      	F              	P/M               	                   	                          	                      	                   	                           	+                        	                       	T                           	+                                 	+                            	T                                   	                      	                            	                        	                           	                          	                                	                        	                            	                           	T                                 	                                 	                             	                        	+                 	                           	                              	                         	T                        	                      	                        	                    	T                	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N13               	N14           	138	 846	B	 31	X	CC	  24.00	    293.3000	Vincent  	Planktonic Foraminifers                      	C              	M                 	                   	                          	                      	+                  	                           	T                        	T                      	T                           	+                                 	+                            	                                    	                      	                            	                        	                           	                          	                                	                        	                            	                           	T                                 	                                 	                             	                        	+                 	                           	                              	                         	T                        	                      	                        	                    	+                	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N13               	N14           	138	 846	B	 32	X	 3	  80.00	    296.9000	Vincent  	Planktonic Foraminifers                      	F              	M                 	                   	                          	                      	T                  	                           	T                        	                       	                            	+                                 	+                            	                                    	                      	                            	                        	                           	                          	                                	                        	                            	                           	                                  	                                 	                             	+                       	T                 	                           	                              	                         	T                        	                      	                        	T                   	T                	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N13               	N14           	138	 846	B	 32	X	CC	  10.00	    302.3600	Vincent  	Planktonic Foraminifers                      	R              	P                 	                   	                          	                      	T                  	                           	                         	                       	                            	T                                 	                             	                                    	                      	                            	                        	                           	                          	                                	                        	                            	                           	                                  	                                 	                             	                        	                  	                           	                              	                         	                         	                      	                        	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N13               	N14           	138	 846	B	 33	X	 4	  78.00	    308.0800	Vincent  	Planktonic Foraminifers                      	F              	M                 	                   	                          	                      	                   	                           	T                        	T                      	+                           	+                                 	+                            	                                    	                      	                            	                        	                           	                          	                                	                        	                            	                           	+                                 	                                 	                             	                        	+                 	                           	                              	                         	                         	                      	                        	                    	T                	                         	T                         	T                    	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N13               	N14           	138	 846	B	 33	X	CC	  28.00	    312.6500	Vincent  	Planktonic Foraminifers                      	R              	P                 	                   	                          	                      	T                  	                           	                         	                       	                            	+                                 	T                            	                                    	                      	                            	                        	                           	                          	                                	                        	                            	                           	                                  	                                 	                             	                        	T                 	                           	                              	                         	                         	                      	                        	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N13               	N14           	138	 846	B	 34	X	 2	  80.00	    314.7000	Vincent  	Planktonic Foraminifers                      	R              	P                 	                   	                          	                      	+                  	                           	                         	                       	                            	+                                 	T                            	                                    	                      	                            	                        	                           	                          	                                	                        	                            	                           	                                  	                                 	                             	                        	                  	                           	                              	                         	                         	                      	                        	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N13               	N14           	138	 846	B	 34	X	 3	  81.00	    316.2100	Vincent  	Planktonic Foraminifers                      	F              	P                 	                   	                          	                      	+                  	                           	T                        	                       	T                           	+                                 	+                            	                                    	                      	                            	                        	                           	                          	                                	                        	                            	                           	                                  	                                 	                             	                        	+                 	                           	                              	                         	T                        	                      	                        	                    	T                	                         	                          	+                    	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N13               	N14           	138	 846	B	 34	X	 4	  79.00	    317.6900	Vincent  	Planktonic Foraminifers                      	F              	P                 	                   	                          	                      	+                  	                           	                         	                       	                            	+                                 	+                            	T                                   	                      	                            	                        	                           	                          	                                	                        	                            	                           	                                  	                                 	                             	                        	+                 	                           	                              	                         	                         	                      	                        	                    	                 	                         	                          	T                    	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N13               	              	138	 846	B	 34	X	CC	  31.00	    322.2500	Vincent  	Planktonic Foraminifers                      	C              	P                 	                   	T                         	                      	+                  	                           	T                        	                       	+                           	+                                 	                             	+                                   	                      	                            	                        	                           	                          	                                	                        	                            	                           	+                                 	T                                	                             	+                       	+                 	                           	T                             	T                        	                         	                      	                        	T                   	                 	                         	                          	+                    	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N13               	              	138	 846	B	 35	X	 1	  80.00	    322.8000	Vincent  	Planktonic Foraminifers                      	C              	M                 	                   	                          	                      	+                  	                           	+                        	T                      	+                           	+                                 	                             	T                                   	                      	                            	                        	                           	+                         	                                	                        	                            	                           	+                                 	                                 	                             	                        	+                 	                           	T                             	T                        	T                        	                      	                        	                    	                 	                         	                          	+                    	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N13               	              	138	 846	B	 35	X	 2	  80.00	    324.3000	Vincent  	Planktonic Foraminifers                      	R              	P                 	                   	T                         	                      	                   	                           	T                        	                       	                            	                                  	                             	                                    	                      	                            	                        	                           	                          	                                	                        	                            	                           	                                  	                                 	                             	                        	                  	                           	                              	                         	                         	                      	                        	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N13               	              	138	 846	B	 35	X	 3	  80.00	    325.8000	Vincent  	Planktonic Foraminifers                      	F              	M                 	                   	                          	                      	+                  	                           	+                        	T                      	+                           	+                                 	T                            	T                                   	                      	                            	                        	                           	+                         	                                	                        	                            	                           	T                                 	                                 	                             	                        	+                 	                           	T                             	T                        	+                        	                      	                        	                    	T                	                         	                          	+                    	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N13               	              	138	 846	B	 35	X	 4	  80.00	    327.3000	Vincent  	Planktonic Foraminifers                      	C              	P/M               	                   	                          	                      	+                  	                           	+                        	                       	+                           	+                                 	                             	+                                   	                      	                            	                        	                           	+                         	                                	                        	                            	                           	T                                 	                                 	                             	T                       	+                 	                           	                              	T                        	                         	                      	                        	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N13               	              	138	 846	B	 35	X	 5	  80.00	    328.8000	Vincent  	Planktonic Foraminifers                      	C              	M                 	                   	                          	                      	+                  	                           	T                        	T                      	+                           	+                                 	                             	+                                   	                      	                            	                        	                           	+                         	                                	                        	                            	                           	T                                 	                                 	                             	                        	+                 	                           	                              	                         	                         	                      	                        	T                   	T                	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N12               	              	138	 846	B	 35	X	 6	  80.00	    330.3000	Vincent  	Planktonic Foraminifers                      	C              	M                 	                   	                          	                      	+                  	                           	+                        	T                      	+                           	+                                 	T                            	+                                   	                      	                            	                        	+                          	+                         	                                	                        	                            	                           	T                                 	                                 	                             	                        	+                 	                           	                              	+                        	T                        	                      	                        	                    	                 	T                        	                          	+                    	T                         	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N12               	              	138	 846	B	 35	X	 7	  45.00	    331.4500	Vincent  	Planktonic Foraminifers                      	F              	P/M               	                   	                          	                      	+                  	                           	+                        	+                      	+                           	+                                 	                             	T                                   	                      	                            	                        	                           	+                         	                                	                        	                            	                           	T                                 	                                 	                             	                        	+                 	                           	                              	                         	                         	                      	T                       	                    	                 	T                        	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N12               	              	138	 846	B	 35	X	CC	  19.00	    331.6900	Vincent  	Planktonic Foraminifers                      	A              	M                 	                   	                          	                      	+                  	                           	+                        	+                      	+                           	+                                 	T                            	+                                   	                      	                            	                        	+                          	+                         	                                	                        	                            	                           	T                                 	                                 	                             	                        	+                 	                           	T                             	+                        	+                        	                      	+                       	                    	                 	+                        	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N12               	              	138	 846	B	 36	X	 1	  78.00	    332.4800	Vincent  	Planktonic Foraminifers                      	F              	M                 	                   	+                         	                      	+                  	                           	+                        	T                      	+                           	+                                 	                             	+                                   	                      	                            	                        	T                          	+                         	                                	                        	                            	                           	                                  	                                 	                             	                        	+                 	                           	T                             	T                        	T                        	                      	                        	                    	                 	T                        	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N12               	              	138	 846	B	 36	X	 2	  78.00	    333.9800	Vincent  	Planktonic Foraminifers                      	C              	P                 	                   	T                         	                      	+                  	                           	+                        	+                      	+                           	+                                 	                             	+                                   	                      	                            	                        	                           	+                         	                                	                        	                            	                           	                                  	                                 	                             	                        	+                 	                           	                              	+                        	                         	                      	T                       	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N12               	              	138	 846	B	 36	X	 3	  77.00	    335.4700	Vincent  	Planktonic Foraminifers                      	F              	M                 	                   	+                         	                      	+                  	                           	+                        	T                      	+                           	+                                 	                             	T                                   	                      	                            	                        	                           	+                         	                                	                        	                            	                           	                                  	                                 	                             	                        	+                 	                           	                              	+                        	                         	T                     	T                       	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N12               	              	138	 846	B	 36	X	 4	  78.00	    336.9800	Vincent  	Planktonic Foraminifers                      	F              	P                 	                   	+                         	                      	T                  	                           	+                        	T                      	+                           	T                                 	                             	+                                   	                      	                            	                        	                           	+                         	                                	                        	                            	                           	                                  	                                 	T                            	+                       	+                 	                           	                              	T                        	                         	T                     	T                       	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N12               	              	138	 846	B	 36	X	 5	  79.00	    338.4900	Vincent  	Planktonic Foraminifers                      	F              	P                 	                   	                          	                      	+                  	                           	+                        	+                      	+                           	+                                 	                             	+                                   	                      	                            	                        	                           	+                         	                                	                        	                            	                           	                                  	                                 	                             	                        	+                 	                           	                              	                         	                         	                      	T                       	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N12               	              	138	 846	B	 36	X	 6	  78.00	    339.9800	Vincent  	Planktonic Foraminifers                      	C              	P                 	                   	                          	                      	+                  	                           	+                        	                       	+                           	+                                 	                             	+                                   	                      	                            	                        	                           	+                         	                                	                        	                            	                           	T                                 	                                 	                             	                        	+                 	                           	                              	T                        	                         	                      	T                       	                    	T                	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N12               	              	138	 846	B	 36	X	 7	  46.00	    341.1600	Vincent  	Planktonic Foraminifers                      	F              	P                 	                   	                          	                      	T                  	                           	T                        	                       	                            	T                                 	                             	T                                   	                      	                            	                        	                           	T                         	                                	                        	                            	                           	                                  	                                 	                             	                        	T                 	                           	                              	T                        	                         	                      	                        	                    	T                	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N12               	              	138	 846	B	 36	X	CC	  30.00	    341.5100	Vincent  	Planktonic Foraminifers                      	C              	M/G               	                   	+                         	                      	+                  	                           	+                        	T                      	+                           	+                                 	                             	                                    	                      	                            	                        	                           	+                         	                                	                        	                            	                           	                                  	                                 	                             	                        	+                 	+                          	                              	                         	                         	                      	T                       	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N12               	              	138	 846	B	 37	X	 1	  78.00	    342.0800	Vincent  	Planktonic Foraminifers                      	C              	P/M               	                   	                          	                      	+                  	                           	+                        	T                      	+                           	+                                 	                             	T                                   	                      	                            	                        	                           	+                         	                                	                        	                            	                           	+                                 	                                 	                             	                        	+                 	                           	                              	                         	                         	                      	+                       	                    	+                	+                        	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N12               	              	138	 846	B	 37	X	 2	  78.00	    343.5800	Vincent  	Planktonic Foraminifers                      	C              	P                 	                   	                          	                      	+                  	+                          	+                        	                       	T                           	+                                 	                             	T                                   	                      	                            	                        	                           	+                         	                                	                        	                            	                           	+                                 	                                 	                             	                        	+                 	                           	                              	+                        	                         	                      	+                       	                    	                 	+                        	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N12               	              	138	 846	B	 37	X	 3	  32.00	    344.6200	Vincent  	Planktonic Foraminifers                      	C              	P                 	                   	                          	                      	+                  	+                          	+                        	                       	T                           	+                                 	+                            	                                    	                      	                            	                        	                           	+                         	                                	                        	                            	                           	T                                 	                                 	                             	                        	+                 	                           	                              	                         	T                        	T                     	T                       	                    	                 	                         	T                         	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N12               	              	138	 846	B	 37	X	CC	  26.00	    344.9800	Vincent  	Planktonic Foraminifers                      	R              	P                 	                   	                          	                      	+                  	                           	                         	                       	                            	+                                 	+                            	                                    	                      	                            	                        	                           	                          	                                	                        	                            	                           	                                  	                                 	                             	T                       	                  	                           	                              	                         	                         	                      	                        	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N12               	              	138	 846	B	 38	X	 1	  80.00	    351.8000	Vincent  	Planktonic Foraminifers                      	C              	M                 	                   	                          	                      	+                  	                           	+                        	T                      	+                           	+                                 	                             	+                                   	                      	                            	                        	                           	+                         	                                	                        	                            	                           	T                                 	                                 	                             	T                       	+                 	                           	                              	+                        	                         	T                     	+                       	                    	+                	+                        	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N12               	              	138	 846	B	 38	X	 2	  80.00	    353.3000	Vincent  	Planktonic Foraminifers                      	R              	P                 	                   	                          	                      	+                  	                           	+                        	                       	+                           	+                                 	                             	                                    	                      	                            	                        	                           	+                         	                                	                        	                            	                           	T                                 	                                 	T                            	                        	T                 	                           	                              	T                        	                         	                      	T                       	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N12               	              	138	 846	B	 38	X	 3	  80.00	    354.8000	Vincent  	Planktonic Foraminifers                      	C              	M                 	                   	                          	                      	+                  	T                          	+                        	                       	+                           	+                                 	T                            	T                                   	                      	                            	                        	                           	+                         	                                	                        	                            	                           	+                                 	                                 	                             	                        	+                 	                           	                              	+                        	                         	+                     	+                       	                    	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

  SR	Middle Miocene   	                 	N12               	              	138	 846	B	 38	X	 4	  80.00	    356.3000	Vincent  	Planktonic Foraminifers                      	C              	M                 	                   	                          	                      	+                  	                           	+                        	                       	+                           	+                                 	                             	                                    	                      	                            	                        	                           	+                         	                                	                        	                            	                           	                                  	                                 	                             	                        	+                 	                           	                              	                         	                         	                      	+                       	+                   	                 	                         	                          	                     	                          	                            	                         	                    	                   	                         	from ODP Leg 138 SR Chapter 46 Table 4 pp 900-901

