Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Rocella gelida	Naviculopsis biapiculata	Actiniscus pentasterias s.l.	Septamesocena apiculata	Distephanus speculum speculum	Distephanus crux crux	Actiniscus cf. elongatus	Hermesinella conata	Dictyocha varia	Corbisema triacantha	Parathranium clathratum	Paramesocena circulus apiculata	Distephanus stauracanthus f. stauracanthus	Distephanus speculum  pentagonus	Ammodochium serotinum	? Cinctactiniscus sp	Distephanus stauracanthus f. octagonus	Cannopilus hemisphaericus	Dictyocha epiodon	Dictyocha messaensis aspinosa	Dictyocha messaensis m. aspinosa	Dictyocha messanensis stapedia	Distephanus crux bispinosus	Distephanus aculeatus aculeatus	Dictyocha fibula fibula	Distephanus speculum speculum f. septenarius	Distephanus aculeatus ornamentum	Mesocena quadrangula	Distephanus bioctonarius bioctonarius	Dictyocha messanensis aculeata	Dictyocha perlaevis perlaevis	Comment
  SR	Late Miocene     	Pliocene         	D. m. stapedia    	              	112	 682	A	  6	H	CC	  20.00	     55.7100	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	                            	                       	R                            	                     	                        	                   	               	                    	                       	                               	                                          	C                               	                     	                    	                                      	                         	                 	F                            	                                	C                             	                           	R                              	R                      	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Late Miocene     	Pliocene         	D. m. stapedia    	              	112	 682	A	  7	X	CC	  23.00	     59.9300	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	                            	                       	F                            	                     	                        	                   	r              	                    	                       	                               	                                          	R                               	                     	                    	                                      	                         	                 	F                            	                                	C                             	                           	R                              	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Late Miocene     	Pliocene         	D. m. stapedia    	              	112	 682	A	  8	X	CC	  17.00	     67.5000	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	R                           	                       	R                            	                     	R                       	                   	               	                    	R                      	                               	                                          	                                	R                    	                    	                                      	                         	                 	F                            	                                	C                             	                           	R                              	R                      	R                                           	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Late Miocene     	Pliocene         	D. m. stapedia    	              	112	 682	A	  9	X	CC	  18.00	     77.6400	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	                            	                       	F                            	                     	R                       	                   	               	                    	                       	                               	                                          	                                	                     	                    	                                      	                         	                 	C                            	                                	F                             	                           	R                              	F                      	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Late Miocene     	Pliocene         	D. m. stapedia    	              	112	 682	A	 10	X	CC	  22.00	     87.1600	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	R                           	                       	F                            	                     	R                       	                   	               	                    	                       	                               	                                          	                                	                     	                    	                                      	                         	                 	                             	                                	R                             	R                          	                               	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Late Miocene     	Pliocene         	D. m. stapedia    	              	112	 682	A	 11	X	CC	  19.00	     96.5900	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	R                           	                       	F                            	                     	                        	                   	               	                    	F                      	                               	                                          	                                	                     	                    	                                      	                         	                 	R                            	                                	R                             	                           	                               	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Middle Miocene   	Late Miocene     	D. varia          	              	112	 682	A	 12	X	CC	  23.00	    108.6500	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	F                           	                       	F                            	                     	                        	                   	               	                    	R                      	                               	                                          	                                	                     	                    	                                      	                         	                 	R                            	                                	R                             	                           	                               	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Middle Miocene   	Late Miocene     	D. varia          	              	112	 682	A	 13	X	CC	  33.00	    119.9700	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	R                           	                       	                             	                     	                        	                   	               	                    	                       	                               	                                          	                                	                     	                    	                                      	                         	                 	                             	                                	                              	                           	                               	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Middle Miocene   	Late Miocene     	D. varia          	              	112	 682	A	 14	X	CC	  19.00	    126.7500	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	                            	                       	R                            	                     	R                       	                   	R              	                    	                       	                               	                                          	                                	                     	                    	                                      	                         	                 	                             	                                	                              	                           	                               	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Middle Miocene   	Late Miocene     	D. varia          	              	112	 682	A	 15	X	CC	  35.00	    135.0400	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	                            	                       	R                            	                     	                        	                   	               	                    	                       	                               	                                          	                                	                     	                    	                                      	                         	                 	                             	F                               	                              	                           	                               	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Middle Miocene   	Late Miocene     	D. varia          	              	112	 682	A	 16	X	CC	  23.00	    143.3400	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	R                           	                       	R                            	                     	                        	                   	R              	                    	                       	                               	                                          	                                	                     	                    	                                      	                         	                 	                             	                                	                              	                           	                               	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Middle Miocene   	Late Miocene     	D. varia          	              	112	 682	A	 17	X	CC	  27.00	    154.0700	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	                            	                       	R                            	                     	R                       	                   	R              	                    	                       	                               	                                          	                                	                     	                    	                                      	                         	                 	                             	                                	                              	                           	                               	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Middle Miocene   	Late Miocene     	D. varia          	              	112	 682	A	 18	X	CC	  25.00	    164.5700	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	                            	                       	R                            	                     	                        	                   	F              	r                   	                       	                               	                                          	                                	R                    	                    	                                      	                         	                 	r                            	                                	                              	                           	                               	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Middle Miocene   	Late Miocene     	D. varia          	              	112	 682	A	 19	X	CC	  13.00	    172.0500	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	                            	                       	R                            	R                    	                        	                   	R              	                    	                       	                               	                                          	                                	                     	                    	                                      	                         	                 	                             	                                	                              	                           	                               	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Middle Miocene   	Late Miocene     	D. varia          	              	112	 682	A	 20	X	CC	  22.00	    183.5400	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	                            	                       	R                            	F                    	                        	                   	R              	                    	                       	R                              	                                          	                                	                     	                    	                                      	                         	R                	                             	                                	                              	                           	                               	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Middle Miocene   	Late Miocene     	D. varia          	              	112	 682	A	 21	X	CC	  15.00	    191.8000	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	                            	                       	R                            	R                    	                        	                   	               	                    	                       	                               	                                          	R                               	                     	                    	                                      	                         	                 	                             	                                	                              	                           	                               	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Middle Miocene   	Late Miocene     	D. varia          	              	112	 682	A	 22	X	 1	  80.00	    200.6000	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	                            	                       	R                            	R                    	                        	                   	R              	                    	                       	                               	                                          	                                	                     	                    	                                      	                         	                 	                             	                                	                              	                           	                               	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Middle Miocene   	Late Miocene     	D. varia          	              	112	 682	A	 23	X	 1	  94.00	    210.2400	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	R                           	                       	R                            	R                    	                        	R                  	F              	                    	                       	                               	                                          	                                	                     	                    	R                                     	R                        	                 	                             	                                	                              	                           	                               	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Middle Miocene   	Late Miocene     	D. varia          	              	112	 682	A	 24	X	CC	  15.00	    220.3300	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	R                           	                       	R                            	                     	                        	                   	R              	                    	                       	                               	                                          	                                	                     	                    	                                      	                         	                 	                             	                                	                              	                           	                               	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Middle Miocene   	Late Miocene     	D. varia          	              	112	 682	A	 25	X	CC	  22.00	    229.2100	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	                            	                       	R                            	R                    	                        	                   	F              	                    	                       	                               	                                          	                                	                     	                    	                                      	                         	                 	                             	                                	                              	                           	                               	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Middle Miocene   	Late Miocene     	D. varia          	              	112	 682	A	 26	X	CC	  17.00	    238.8600	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	                            	                       	R                            	                     	                        	                   	R              	                    	                       	                               	                                          	                                	                     	                    	                                      	                         	                 	                             	                                	                              	                           	                               	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Middle Miocene   	Late Miocene     	D. varia          	              	112	 682	A	 27	X	CC	  22.00	    248.7100	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	R                           	                       	R                            	R                    	                        	                   	               	                    	                       	                               	                                          	                                	                     	                    	                                      	                         	                 	                             	                                	                              	                           	                               	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Early Miocene    	Middle Miocene   	C. triacantha     	              	112	 682	A	 28	X	CC	  18.00	    257.3300	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	R                           	                       	R                            	R                    	R                       	                   	R              	                    	                       	                               	                                          	                                	                     	                    	                                      	                         	                 	                             	                                	                              	                           	                               	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Early Miocene    	Middle Miocene   	C. triacantha     	              	112	 682	A	 29	X	CC	  21.00	    267.1100	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	R                           	                       	F                            	R                    	                        	                   	R              	R                   	                       	R                              	                                          	                                	R                    	R                   	                                      	                         	                 	                             	                                	                              	                           	                               	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Early Miocene    	Middle Miocene   	C. triacantha     	              	112	 682	A	 30	X	CC	   0.00	    275.8000	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	R                           	                       	F                            	F                    	                        	                   	C              	                    	                       	R                              	                                          	                                	                     	                    	                                      	                         	                 	                             	                                	                              	                           	                               	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Early Miocene    	Middle Miocene   	C. triacantha     	              	112	 682	A	 32	X	CC	  23.00	    295.0300	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	R                           	                       	C                            	F                    	                        	                   	R              	                    	F                      	R                              	R                                         	R                               	                     	                    	                                      	                         	                 	                             	                                	                              	                           	                               	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Early Miocene    	Middle Miocene   	C. triacantha     	              	112	 682	A	 33	X	CC	  18.00	    295.4300	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	R                           	                       	                             	                     	                        	                   	R              	R                   	                       	                               	                                          	                                	                     	                    	                                      	                         	                 	                             	                                	                              	                           	                               	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	Early Miocene    	Middle Miocene   	C. triacantha     	              	112	 682	A	 34	X	CC	   4.00	    309.5000	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	R                           	                       	                             	                     	                        	                   	               	                    	                       	                               	                                          	                                	                     	                    	                                      	                         	                 	                             	                                	                              	                           	                               	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	                 	                 	                  	              	112	 682	A	 35	X	 1	  20.00	    311.4000	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	                        	                            	                       	                             	R                    	                        	R                  	R              	F                   	                       	                               	                                          	                                	                     	                    	                                      	                         	                 	                             	                                	                              	                           	                               	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	                 	                 	                  	              	112	 682	A	 36	X	CC	  24.00	    322.4400	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	              	R                       	                            	R                      	R                            	R                    	R                       	                   	               	                    	                       	                               	                                          	                                	                     	                    	                                      	                         	                 	                             	                                	                              	                           	                               	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

  SR	                 	                 	                  	              	112	 682	A	 37	X	CC	  37.00	    333.9000	Martini  	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	F             	R                       	R                           	                       	                             	                     	                        	                   	               	                    	                       	                               	                                          	                                	                     	                    	                                      	                         	                 	                             	                                	                              	                           	                               	                       	                                            	                                	                    	                                     	                              	                             	from ODP Leg 112 SR Chapter 10 Table 1 p 159

