Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Trinacria sp.	Thalassiosira sp.1	Stellarima (all generic taxa)	Rhizosolenia hebetata	Nitzschia januaria	Eucampia antarctica	Denticulopsis hustedtii var. ovata	Denticulopsis hustedtii	Denticulopsis dimorpha	Azpeitia endoi/tabularis	Actinocyclus tsugaruensis	Actinocyclus ingens	Nitzschia praecurta	Actinocyclus fryxellae	Thalassiosira nativa	Thalassiosira gersondei	Nitzschia donahuensis	Asteromphalus kennettii	Thalassiosira burckliana	Hemidiscus karstenii	Lithodesmium reynoldsii	Denticulopsis dimorpha var. areolata	Rouxia fusiformis	Thalassiosira mahoodii	Cosmiodiscus intersectus	Thalassiosira torokina	Nitzschia clementia	Rouxia californica	Nitzschia cylindrica	Rouxia peragalli	Actinocyclus ingens var. ovalis	Nitzschia marina/reinholdii	Cosmiodiscus insignis f. triangula	Nitzschia miocenica	Thalassiosira jacksonii	Nitzschia pseudokerguelenis	Thalassiosira praeconvexa	Thalassiosira miocenica	Thalassiosira convexa var. aspinosa	Comment
  SR	                 	                 	                  	              	119	 746	A	  4	H	 5	  60.00	    171.4000	Baldauf  	Diatoms                                      	A              	M                 	             	                  	R                            	                     	                  	                   	                                  	F                      	R                     	                        	                         	                   	R                  	                      	R                   	F                      	                     	                       	                        	                    	                       	                                    	                 	                      	F                       	F                     	                   	R                 	R                   	                	R                              	                           	R                                 	F                  	R                      	R                          	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  4	H	 6	  60.00	    172.9000	Baldauf  	Diatoms                                      	A              	M                 	             	                  	R                            	                     	                  	R                  	                                  	F                      	R                     	                        	                         	                   	R                  	                      	R                   	F                      	                     	                       	                        	                    	                       	                                    	                 	                      	F                       	F                     	                   	R                 	R                   	                	                               	R                          	                                  	R                  	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  4	H	CC	  23.00	    174.6300	Baldauf  	Diatoms                                      	A              	M                 	             	                  	R                            	R                    	                  	R                  	                                  	F                      	R                     	                        	                         	                   	                   	R                     	R                   	F                      	                     	                       	                        	                    	                       	                                    	                 	                      	F                       	F                     	                   	F                 	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  5	H	 1	  60.00	    174.9000	Baldauf  	Diatoms                                      	A              	M                 	             	R                 	F                            	F                    	                  	R                  	                                  	F                      	R                     	R                       	                         	                   	                   	                      	R                   	F                      	R                    	                       	                        	                    	                       	                                    	                 	                      	F                       	F                     	                   	R                 	F                   	                	                               	F                          	F                                 	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  5	H	 2	  60.00	    176.4000	Baldauf  	Diatoms                                      	A              	G                 	             	                  	                             	                     	                  	                   	                                  	F                      	R                     	R                       	                         	                   	                   	R                     	R                   	F                      	R                    	                       	                        	                    	                       	                                    	                 	                      	F                       	F                     	                   	R                 	F                   	                	R                              	                           	F                                 	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  5	H	 3	  60.00	    177.9000	Baldauf  	Diatoms                                      	A              	G                 	             	R                 	R                            	                     	                  	R                  	                                  	F                      	R                     	F                       	                         	                   	                   	R                     	F                   	F                      	                     	                       	R                       	                    	                       	                                    	                 	                      	F                       	F                     	                   	R                 	R                   	                	                               	F                          	R                                 	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  5	H	 4	  60.00	    179.4000	Baldauf  	Diatoms                                      	C              	M                 	R            	R                 	                             	R                    	                  	                   	                                  	C                      	R                     	                        	                         	                   	F                  	R                     	                    	R                      	                     	                       	                        	                    	                       	                                    	                 	                      	R                       	F                     	                   	R                 	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  5	H	 5	  60.00	    180.9000	Baldauf  	Diatoms                                      	A              	M                 	R            	R                 	                             	R                    	                  	                   	                                  	F                      	R                     	R                       	                         	                   	R                  	R                     	                    	F                      	                     	                       	                        	                    	                       	                                    	                 	                      	                        	R                     	                   	F                 	F                   	                	                               	R                          	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  5	H	 6	  60.00	    182.4000	Baldauf  	Diatoms                                      	A              	M                 	R            	                  	                             	F                    	                  	                   	                                  	F                      	R                     	R                       	                         	                   	R                  	R                     	F                   	F                      	                     	                       	R                       	                    	                       	                                    	                 	                      	F                       	F                     	                   	C                 	F                   	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  5	H	CC	  22.00	    184.2800	Baldauf  	Diatoms                                      	A              	M                 	F            	                  	                             	F                    	                  	R                  	                                  	C                      	                      	                        	R                        	                   	F                  	R                     	F                   	R                      	R                    	                       	                        	                    	                       	                                    	                 	                      	F                       	F                     	                   	F                 	                    	                	                               	R                          	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  6	H	 1	  65.00	    184.4500	Baldauf  	Diatoms                                      	A              	M                 	R            	                  	                             	F                    	                  	R                  	                                  	C                      	                      	                        	R                        	                   	F                  	F                     	F                   	F                      	R                    	                       	                        	                    	                       	                                    	                 	                      	R                       	R                     	                   	F                 	                    	                	R                              	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  6	H	 2	  65.00	    185.9500	Baldauf  	Diatoms                                      	A              	G                 	R            	                  	F                            	R                    	                  	R                  	                                  	A                      	R                     	                        	F                        	                   	R                  	F                     	F                   	F                      	R                    	                       	R                       	                    	                       	                                    	                 	                      	F                       	F                     	                   	                  	R                   	                	R                              	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  6	H	 3	  65.00	    187.4500	Baldauf  	Diatoms                                      	A              	G                 	F            	                  	R                            	F                    	                  	F                  	                                  	A                      	R                     	                        	F                        	                   	F                  	R                     	F                   	R                      	                     	                       	                        	                    	                       	                                    	                 	                      	F                       	F                     	R                  	R                 	                    	                	F                              	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  6	H	 4	  65.00	    188.9500	Baldauf  	Diatoms                                      	A              	G                 	R            	                  	R                            	                     	                  	                   	                                  	A                      	                      	                        	R                        	                   	F                  	R                     	R                   	R                      	R                    	                       	                        	                    	                       	                                    	                 	                      	R                       	R                     	                   	R                 	                    	                	R                              	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  6	H	 5	  65.00	    190.4500	Baldauf  	Diatoms                                      	A              	M                 	R            	                  	R                            	                     	                  	                   	                                  	A                      	                      	                        	R                        	                   	R                  	R                     	F                   	R                      	                     	                       	R                       	                    	                       	                                    	                 	                      	F                       	R                     	                   	R                 	R                   	                	R                              	R                          	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  6	H	 6	  68.00	    191.9800	Baldauf  	Diatoms                                      	A              	G                 	R            	                  	R                            	F                    	                  	                   	                                  	A                      	                      	                        	R                        	                   	F                  	R                     	R                   	R                      	R                    	                       	                        	                    	                       	                                    	                 	                      	R                       	R                     	                   	R                 	                    	                	R                              	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  6	H	CC	  13.00	    193.4500	Baldauf  	Diatoms                                      	A              	M                 	R            	                  	                             	R                    	                  	R                  	                                  	F                      	                      	                        	                         	                   	F                  	R                     	F                   	R                      	                     	                       	                        	                    	                       	                                    	                 	R                     	F                       	R                     	                   	R                 	                    	                	F                              	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  7	H	 1	  60.00	    193.9000	Baldauf  	Diatoms                                      	A              	M                 	             	                  	R                            	F                    	                  	F                  	                                  	A                      	                      	R                       	                         	                   	F                  	R                     	                    	R                      	                     	                       	R                       	                    	                       	                                    	                 	F                     	F                       	R                     	                   	R                 	R                   	                	F                              	R                          	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  7	H	 2	  60.00	    195.4000	Baldauf  	Diatoms                                      	A              	M                 	             	                  	R                            	R                    	                  	R                  	                                  	A                      	R                     	                        	R                        	                   	R                  	F                     	                    	                       	                     	                       	                        	                    	                       	                                    	                 	R                     	R                       	R                     	                   	R                 	R                   	                	R                              	R                          	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  7	H	 3	  60.00	    196.9000	Baldauf  	Diatoms                                      	A              	G                 	R            	                  	                             	R                    	                  	                   	                                  	A                      	                      	                        	R                        	                   	F                  	R                     	R                   	R                      	R                    	                       	                        	                    	                       	                                    	                 	R                     	R                       	                      	                   	F                 	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  7	H	 4	  60.00	    198.4000	Baldauf  	Diatoms                                      	A              	M                 	R            	                  	R                            	F                    	                  	                   	                                  	A                      	                      	                        	R                        	                   	F                  	R                     	R                   	F                      	R                    	                       	                        	                    	                       	                                    	                 	R                     	F                       	                      	                   	R                 	R                   	                	F                              	R                          	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  7	H	 5	  60.00	    199.9000	Baldauf  	Diatoms                                      	A              	M                 	             	                  	                             	F                    	                  	R                  	                                  	A                      	                      	                        	                         	                   	R                  	R                     	R                   	R                      	R                    	                       	                        	                    	                       	                                    	                 	R                     	F                       	F                     	                   	F                 	                    	                	F                              	R                          	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  7	H	 6	  60.00	    201.4000	Baldauf  	Diatoms                                      	A              	G                 	F            	                  	R                            	F                    	                  	R                  	                                  	A                      	                      	                        	R                        	                   	R                  	R                     	R                   	R                      	R                    	                       	                        	                    	                       	                                    	                 	F                     	R                       	F                     	                   	R                 	R                   	                	R                              	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  7	H	CC	  23.00	    203.0700	Baldauf  	Diatoms                                      	A              	M                 	R            	                  	R                            	R                    	                  	R                  	                                  	C                      	                      	                        	R                        	                   	R                  	R                     	R                   	                       	                     	                       	                        	                    	                       	                                    	                 	F                     	R                       	R                     	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  8	H	 1	  60.00	    203.4000	Baldauf  	Diatoms                                      	A              	G                 	F            	                  	F                            	R                    	                  	F                  	                                  	A                      	                      	R                       	F                        	                   	F                  	                      	                    	                       	R                    	                       	                        	R                   	                       	                                    	                 	C                     	R                       	R                     	                   	                  	R                   	R               	F                              	R                          	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  8	H	 2	  60.00	    204.9000	Baldauf  	Diatoms                                      	A              	M                 	R            	                  	R                            	R                    	                  	F                  	                                  	A                      	                      	                        	R                        	                   	R                  	                      	                    	                       	R                    	                       	R                       	R                   	                       	                                    	                 	F                     	F                       	R                     	                   	R                 	                    	R               	R                              	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  8	H	 3	  60.00	    206.4000	Baldauf  	Diatoms                                      	A              	M                 	R            	R                 	R                            	R                    	                  	F                  	                                  	A                      	                      	F                       	R                        	                   	F                  	R                     	                    	                       	                     	                       	F                       	R                   	                       	                                    	                 	R                     	F                       	R                     	                   	R                 	R                   	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  8	H	 5	  60.00	    208.0500	Baldauf  	Diatoms                                      	A              	M                 	R            	                  	R                            	R                    	                  	F                  	                                  	A                      	                      	                        	R                        	                   	R                  	F                     	                    	F                      	                     	                       	                        	                    	                       	                                    	                 	R                     	F                       	F                     	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  8	H	CC	  25.00	    209.1500	Baldauf  	Diatoms                                      	A              	M                 	R            	                  	                             	R                    	                  	R                  	                                  	A                      	                      	                        	R                        	                   	F                  	                      	                    	R                      	                     	                       	                        	                    	                       	                                    	                 	R                     	R                       	R                     	R                  	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  9	H	 4	  55.00	    214.3500	Baldauf  	Diatoms                                      	C              	M                 	             	R                 	R                            	R                    	                  	R                  	                                  	A                      	                      	                        	F                        	                   	F                  	                      	                    	R                      	                     	                       	                        	                    	                       	                                    	                 	F                     	R                       	R                     	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  9	H	 5	  55.00	    215.8500	Baldauf  	Diatoms                                      	C              	M                 	             	                  	F                            	F                    	                  	                   	                                  	A                      	R                     	                        	F                        	R                  	R                  	R                     	                    	R                      	                     	                       	                        	                    	                       	                                    	                 	R                     	R                       	R                     	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  9	H	 6	  45.00	    217.2500	Baldauf  	Diatoms                                      	A              	M                 	R            	R                 	R                            	F                    	                  	F                  	                                  	A                      	                      	R                       	R                        	R                  	R                  	F                     	R                   	R                      	                     	                       	                        	                    	                       	                                    	                 	F                     	R                       	R                     	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	  9	H	CC	  25.00	    217.6700	Baldauf  	Diatoms                                      	A              	M                 	F            	                  	R                            	F                    	                  	F                  	                                  	A                      	                      	R                       	F                        	                   	                   	F                     	R                   	R                      	                     	                       	                        	R                   	                       	                                    	                 	R                     	R                       	R                     	R                  	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	 10	H	 1	  60.00	    218.4000	Baldauf  	Diatoms                                      	C              	M                 	R            	F                 	                             	F                    	                  	R                  	                                  	A                      	                      	F                       	F                        	                   	R                  	F                     	R                   	                       	R                    	                       	                        	                    	R                      	                                    	                 	F                     	R                       	                      	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	 10	H	 2	  60.00	    219.9000	Baldauf  	Diatoms                                      	C              	M                 	F            	F                 	R                            	F                    	                  	                   	                                  	A                      	                      	                        	F                        	                   	R                  	R                     	R                   	F                      	                     	                       	                        	R                   	R                      	                                    	R                	F                     	R                       	                      	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	 10	H	 3	  60.00	    221.4000	Baldauf  	Diatoms                                      	A              	M                 	F            	R                 	R                            	                     	                  	                   	                                  	A                      	                      	R                       	R                        	                   	F                  	                      	R                   	F                      	                     	                       	                        	                    	                       	                                    	                 	F                     	                        	                      	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	 10	H	 4	  60.00	    222.9000	Baldauf  	Diatoms                                      	A              	M                 	R            	R                 	F                            	R                    	                  	R                  	                                  	A                      	                      	R                       	F                        	F                  	                   	R                     	                    	F                      	                     	                       	                        	                    	                       	                                    	                 	F                     	                        	                      	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	 10	H	 5	  60.00	    224.4000	Baldauf  	Diatoms                                      	C              	M                 	R            	R                 	R                            	F                    	                  	F                  	                                  	A                      	                      	F                       	R                        	                   	R                  	                      	F                   	F                      	                     	                       	                        	                    	                       	                                    	                 	F                     	                        	                      	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	 10	H	 6	  60.00	    225.9000	Baldauf  	Diatoms                                      	C              	M                 	F            	F                 	F                            	F                    	                  	F                  	                                  	A                      	                      	R                       	R                        	                   	R                  	                      	R                   	                       	R                    	R                      	                        	R                   	                       	                                    	R                	                      	                        	                      	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	 11	X	 1	  60.00	    227.9000	Baldauf  	Diatoms                                      	A              	M                 	R            	F                 	F                            	F                    	                  	                   	R                                 	A                      	R                     	R                       	R                        	R                  	                   	                      	R                   	R                      	                     	                       	                        	                    	                       	                                    	                 	                      	                        	                      	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	 11	X	 2	  60.00	    229.4000	Baldauf  	Diatoms                                      	C              	M                 	R            	F                 	F                            	F                    	R                 	R                  	R                                 	A                      	F                     	F                       	                         	                   	R                  	R                     	                    	R                      	                     	                       	                        	R                   	                       	                                    	                 	                      	                        	                      	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	 11	X	 3	  60.00	    230.9000	Baldauf  	Diatoms                                      	A              	M                 	             	F                 	R                            	                     	R                 	                   	R                                 	A                      	R                     	R                       	R                        	                   	R                  	                      	R                   	R                      	                     	                       	                        	R                   	                       	                                    	                 	                      	                        	                      	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	 11	X	 4	  60.00	    232.4000	Baldauf  	Diatoms                                      	A              	M                 	R            	R                 	R                            	F                    	R                 	R                  	                                  	A                      	                      	R                       	                         	R                  	                   	R                     	                    	F                      	                     	                       	                        	                    	                       	                                    	R                	                      	                        	                      	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	 11	X	 5	  60.00	    233.9000	Baldauf  	Diatoms                                      	C              	M                 	F            	R                 	R                            	F                    	F                 	R                  	                                  	A                      	R                     	R                       	F                        	                   	R                  	R                     	R                   	F                      	R                    	                       	R                       	                    	                       	                                    	                 	                      	                        	                      	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	 11	X	 6	  60.00	    235.4000	Baldauf  	Diatoms                                      	A              	M                 	F            	R                 	R                            	R                    	F                 	                   	                                  	A                      	                      	F                       	F                        	                   	R                  	                      	R                   	F                      	R                    	                       	R                       	                    	R                      	R                                   	                 	                      	                        	                      	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	 11	X	CC	  33.00	    236.9800	Baldauf  	Diatoms                                      	A              	M                 	F            	                  	F                            	F                    	R                 	F                  	R                                 	A                      	R                     	R                       	R                        	R                  	R                  	R                     	R                   	R                      	R                    	                       	                        	                    	                       	R                                   	                 	                      	                        	                      	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	 13	X	 1	  60.00	    242.8000	Baldauf  	Diatoms                                      	C              	M                 	R            	                  	R                            	F                    	R                 	R                  	                                  	A                      	                      	                        	F                        	R                  	                   	R                     	                    	R                      	R                    	R                      	                        	R                   	                       	                                    	                 	                      	                        	                      	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	 13	X	 2	  60.00	    244.3000	Baldauf  	Diatoms                                      	C              	M                 	R            	R                 	R                            	F                    	R                 	R                  	                                  	A                      	                      	                        	F                        	R                  	                   	R                     	                    	R                      	                     	R                      	                        	R                   	                       	                                    	                 	                      	                        	                      	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	 13	X	 3	  60.00	    245.8000	Baldauf  	Diatoms                                      	C              	M                 	R            	                  	F                            	F                    	R                 	R                  	R                                 	A                      	                      	R                       	                         	                   	                   	F                     	                    	R                      	                     	R                      	                        	                    	R                      	                                    	                 	                      	                        	                      	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	 13	X	 4	  60.00	    247.3000	Baldauf  	Diatoms                                      	A              	M                 	R            	R                 	R                            	F                    	R                 	                   	R                                 	A                      	R                     	R                       	R                        	R                  	R                  	R                     	R                   	R                      	                     	R                      	                        	R                   	                       	                                    	                 	                      	                        	                      	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	 13	X	 5	  60.00	    248.8000	Baldauf  	Diatoms                                      	A              	M                 	R            	R                 	F                            	F                    	R                 	R                  	                                  	A                      	                      	F                       	                         	F                  	                   	F                     	                    	R                      	R                    	R                      	                        	R                   	                       	                                    	                 	                      	                        	                      	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

  SR	                 	                 	                  	              	119	 746	A	 13	X	 6	  60.00	    250.3000	Baldauf  	Diatoms                                      	A              	M                 	R            	                  	R                            	F                    	R                 	R                  	R                                 	A                      	                      	R                       	F                        	R                  	R                  	R                     	R                   	R                      	R                    	                       	R                       	                    	                       	                                    	                 	                      	                        	                      	                   	                  	                    	                	                               	                           	                                  	                   	                       	                           	                         	                       	                                   	from 119 SR Chapter 29 Table 10 pages 580 - 581.

