Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tetrapyle(?) sp. B	Spongotrochus americanus	Lithelid gen. et sp. indet	Actinommid taxa	Pseudodictyophimus(?) sp. D	Cycladophora sp. cf. C. conica	Pseudodictyophimus sp. C	Pseudodictyophimus sp. B	Actinomma (?) spp. B group	Pseudodictyophimus horrida	Pseudodictyophimus platycephalus	Lithomelissa sp.	Actinomma sp. C	Lipmanella sp.	Spongurus(?) spp. B group.	Ceratocyrtis mashae	Siphocampe septata	Prunopyle (?) sp. aff. P. haysi	Corythospyris palmipodiscus	Lithelius sp.aff. L. nautiloides	Hexacontium sp.	Ceratocyrtis stigi	Siphocampe imbricata group	Amphipternis sp.	Comment
  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 22	X	 2	 115.00	    199.3500	Hull     	Radiolarians                                 	A              	M                 	T                 	                        	A                         	F              	                           	                              	                        	                        	                          	                          	                                	                	               	              	                          	                   	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 22	X	 3	  80.00	    200.5000	Hull     	Radiolarians                                 	C              	M                 	T                 	                        	C                         	               	                           	                              	                        	                        	                          	                          	                                	                	               	              	                          	                   	                  	                               	                           	T                               	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 22	X	 4	  17.00	    201.3700	Hull     	Radiolarians                                 	C              	M                 	T                 	                        	F                         	R              	                           	                              	                        	                        	                          	                          	                                	                	               	              	                          	                   	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 23	X	 3	 117.00	    210.4700	Hull     	Radiolarians                                 	C              	M                 	R                 	                        	                          	R              	                           	                              	T                       	                        	                          	                          	                                	                	T              	              	                          	                   	                  	                               	R                          	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 23	X	 4	 120.00	    212.0000	Hull     	Radiolarians                                 	C              	M                 	R                 	                        	F                         	T              	                           	                              	                        	                        	                          	                          	T                               	                	               	              	                          	                   	                  	                               	R                          	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 23	X	 5	  42.00	    212.7200	Hull     	Radiolarians                                 	A              	M                 	                  	                        	                          	A              	                           	                              	                        	                        	                          	                          	                                	                	               	              	                          	                   	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 23	X	 6	  75.00	    214.5500	Hull     	Radiolarians                                 	C              	M                 	T                 	                        	T                         	C              	                           	                              	                        	                        	                          	                          	                                	                	               	              	                          	                   	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 24	X	 4	  70.00	    221.2000	Hull     	Radiolarians                                 	R              	P                 	                  	                        	                          	R              	                           	                              	                        	                        	                          	                          	                                	                	               	              	                          	                   	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 24	X	 5	  87.00	    222.8700	Hull     	Radiolarians                                 	F              	P                 	                  	                        	                          	R              	                           	                              	                        	                        	                          	                          	                                	                	T              	              	                          	                   	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 24	X	 6	  77.00	    224.2700	Hull     	Radiolarians                                 	F              	P                 	                  	                        	                          	R              	                           	                              	                        	                        	                          	                          	T                               	                	               	              	                          	                   	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 24	X	 7	  14.00	    225.1400	Hull     	Radiolarians                                 	F              	P                 	                  	                        	                          	R              	                           	                              	                        	                        	                          	                          	                                	                	               	              	                          	                   	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 25	X	 1	  74.00	    226.3400	Hull     	Radiolarians                                 	C              	M                 	T                 	                        	                          	F              	                           	                              	T                       	                        	                          	                          	                                	                	               	              	                          	                   	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 25	X	 3	 118.00	    229.7800	Hull     	Radiolarians                                 	F              	P                 	T                 	                        	                          	R              	                           	                              	                        	                        	                          	                          	                                	                	T              	              	                          	                   	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 26	X	 2	  82.00	    237.5200	Hull     	Radiolarians                                 	F              	M                 	                  	                        	                          	               	                           	                              	                        	                        	                          	                          	R                               	                	               	              	                          	                   	                  	T                              	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 26	X	 3	  98.00	    239.1800	Hull     	Radiolarians                                 	A              	M                 	                  	                        	A                         	               	                           	                              	                        	                        	                          	                          	                                	                	               	              	T                         	                   	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 27	X	 1	  82.00	    245.7200	Hull     	Radiolarians                                 	F              	P                 	                  	                        	                          	               	                           	                              	                        	                        	                          	                          	                                	                	               	              	T                         	                   	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 27	X	 3	  51.00	    248.4100	Hull     	Radiolarians                                 	R              	P                 	T                 	                        	T                         	               	                           	                              	                        	                        	                          	                          	                                	                	               	              	                          	                   	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 28	X	 5	  92.00	    261.5200	Hull     	Radiolarians                                 	R              	P                 	                  	                        	                          	               	                           	                              	                        	                        	                          	                          	                                	                	               	              	                          	                   	                  	T                              	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 28	X	 6	  77.00	    262.8700	Hull     	Radiolarians                                 	F              	P                 	                  	                        	F                         	T              	                           	                              	                        	                        	                          	                          	                                	                	               	              	                          	                   	                  	T                              	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 29	X	 4	 120.00	    269.9000	Hull     	Radiolarians                                 	F              	M                 	                  	T                       	F                         	               	                           	                              	                        	                        	                          	                          	                                	                	               	              	                          	                   	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 29	X	 7	   2.00	    273.2200	Hull     	Radiolarians                                 	R              	P                 	                  	                        	                          	               	                           	                              	                        	                        	                          	                          	                                	                	               	              	                          	                   	T                 	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 30	X	 2	 113.00	    276.5300	Hull     	Radiolarians                                 	C              	M                 	T                 	                        	                          	T              	                           	                              	T                       	T                       	                          	                          	T                               	                	               	              	                          	T                  	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 30	X	 3	  82.00	    277.7200	Hull     	Radiolarians                                 	F              	P                 	T                 	                        	R                         	               	                           	                              	                        	                        	                          	                          	                                	                	               	              	T                         	                   	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 30	X	 4	  94.00	    279.3400	Hull     	Radiolarians                                 	F              	P                 	                  	                        	C                         	               	                           	                              	                        	                        	                          	                          	                                	                	               	              	                          	                   	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 30	X	 5	 113.00	    281.0300	Hull     	Radiolarians                                 	R              	P                 	                  	                        	                          	               	                           	                              	                        	                        	                          	                          	                                	T               	               	              	                          	                   	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 31	X	 7	  20.00	    292.7000	Hull     	Radiolarians                                 	R              	M                 	                  	T                       	R                         	               	                           	                              	                        	                        	                          	                          	                                	                	               	              	                          	                   	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 31	X	CC	  30.00	    293.2800	Hull     	Radiolarians                                 	R              	P                 	                  	                        	                          	               	                           	                              	                        	                        	                          	                          	                                	                	               	T             	                          	                   	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 32	X	 2	 130.00	    296.0000	Hull     	Radiolarians                                 	C              	M                 	T                 	                        	T                         	F              	                           	                              	T                       	                        	                          	                          	T                               	T               	T              	              	                          	                   	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 32	X	 4	 131.00	    299.0100	Hull     	Radiolarians                                 	F              	M                 	                  	                        	T                         	               	                           	                              	T                       	                        	                          	R                         	                                	                	               	              	                          	                   	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 32	X	 5	 135.00	    300.5500	Hull     	Radiolarians                                 	R              	P                 	                  	                        	                          	               	                           	                              	                        	T                       	                          	                          	                                	                	               	              	                          	                   	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 32	X	 6	 126.00	    301.9600	Hull     	Radiolarians                                 	R              	P                 	                  	                        	                          	               	                           	                              	T                       	T                       	T                         	                          	                                	                	               	              	                          	                   	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	Late Oligocene   	                  	              	151	 908	A	 33	X	 1	 128.00	    304.0800	Hull     	Radiolarians                                 	R              	P                 	                  	                        	                          	T              	T                          	T                             	                        	                        	                          	                          	                                	                	               	              	                          	                   	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

  SR	Early Oligocene  	                 	                  	              	151	 908	A	 34	X	 4	  19.00	    317.1900	Hull     	Radiolarians                                 	C              	M                 	T                 	T                       	R                         	R              	                           	                              	                        	                        	                          	                          	                                	                	               	              	                          	                   	                  	                               	                           	                                	               	                  	                          	                	From Leg 151SR; Ch 7; Table 1; p. 127

