Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Unidentified benthic forams,Tritaxia amorpha,Stilostomella midwayensis,Pullenia coryelli,Nuttallides truempyi,Nonion havanensis,Neoflabellina semireticulata,Neoeponides hillebrandti,Lenticulina whitei,Lenticulina spp.,Gyroidinoides quadratus,Gyroidinoides globosa,Gavelinella beccariiformis,Gaudryina pyramidata,Dorothia trochoides,Dentalina/Nodosaria spp.,Coryphostoma midwayensis,Cibicidoides pseudoperlucidus,Aragonia velascoensis,Anomalinoides praeacutus,Tappanina selmensis,Praebulimina sp.,Pleurostomella spp.,Oridorsalis umbonatus,Ellipsoglandulina sp.,Abyssamina quadrata,Abyssamina poagi,Heronallenia sp.,Globocassidulina sp.,Bulimina trinitatensis,Bulimina semicostata,Arenobulimina sp.,Aragonia aragonensis,Unilocular species,Pullenia spp.,Globocassidulina globosa,Tritaxia globulifera,Textularia spp.,Quadratobuliminella pyramidalis,Gyroidinoides spp.,Buliminella carseyae,Anomalinoides danicus,Rhizammina sp.,Cribrostomoides spp.,Vulvulina spinosa,Siphonodosaria abyssorum,Recurvoides sp.,Martinottiella communis,Cibicidoides havanensis,Cibicidoides eocaenus,Stilostomella subspinosa,Gyroidinoides soldanii,Cibicidoides praemundulus,Cibicidoides grimsdalei,Stilostomella lepidula,Pullenia subcarinata,Nuttallides umbonifera,Karreriella subglabra,Astrononion echolsi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1220,B,  7,H,CC,  29.00,    102.9100,nannos   ,Benthic Foraminifers                         ,T              ,P                 ,                           ,                ,                         ,                 ,                    ,                 ,                            ,                        ,                  ,                ,                       ,                     ,                          ,                    ,                   ,                        ,                        ,                             ,                     ,                        ,                   ,                ,                   ,                     ,                     ,                   ,                ,                ,                    ,                      ,                    ,                 ,                    ,                  ,             ,                        ,                    ,               ,                               ,                  ,                    ,                     ,A             ,                    ,                 ,                        ,               ,                       ,                       ,                     ,                        ,                      ,                         ,                       ,                      ,                    ,                      ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1220,B,  9,H,CC,  15.00,    121.1900,nannos   ,Benthic Foraminifers                         ,T              ,P                 ,                           ,                ,                         ,                 ,                    ,                 ,                            ,                        ,                  ,                ,                       ,                     ,                          ,                    ,                   ,                        ,                        ,                             ,                     ,                        ,                   ,                ,                   ,                     ,                     ,                   ,                ,                ,                    ,                      ,                    ,                 ,                    ,                  ,             ,                        ,                    ,               ,                               ,                  ,                    ,                     ,A             ,                    ,                 ,                        ,               ,                       ,                       ,                     ,                        ,                      ,                         ,                       ,                      ,                    ,                      ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1220,B, 10,H,CC,  27.00,    131.6200,nannos   ,Benthic Foraminifers                         ,T              ,P                 ,                           ,                ,                         ,                 ,                    ,                 ,                            ,                        ,                  ,                ,                       ,                     ,                          ,                    ,                   ,                        ,                        ,                             ,                     ,                        ,                   ,                ,                   ,                     ,                     ,                   ,                ,                ,                    ,                      ,                    ,                 ,                    ,                  ,             ,                        ,                    ,               ,                               ,                  ,                    ,                     ,A             ,                    ,                 ,                        ,               ,                       ,                       ,                     ,                        ,                      ,                         ,                       ,                      ,                    ,                      ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1220,B, 11,H,CC,  28.00,    141.0600,nannos   ,Benthic Foraminifers                         ,T              ,P                 ,                           ,                ,                         ,                 ,                    ,                 ,                            ,                        ,                  ,                ,                       ,                     ,                          ,                    ,                   ,                        ,                        ,                             ,                     ,                        ,                   ,                ,                   ,                     ,                     ,                   ,                ,                ,                    ,                      ,                    ,                 ,                    ,                  ,             ,                        ,                    ,               ,                               ,                  ,                    ,                     ,A             ,                    ,                 ,                        ,               ,                       ,                       ,                     ,                        ,                      ,                         ,                       ,                      ,                    ,                      ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1220,B, 12,H,CC,  24.00,    150.5200,nannos   ,Benthic Foraminifers                         ,T              ,P                 ,                           ,                ,                         ,                 ,                    ,                 ,                            ,                        ,                  ,                ,                       ,                     ,                          ,                    ,                   ,                        ,                        ,                             ,                     ,                        ,                   ,                ,                   ,                     ,                     ,                   ,                ,                ,                    ,                      ,                    ,                 ,                    ,                  ,             ,                        ,                    ,               ,                               ,                  ,                    ,                     ,A             ,                    ,                 ,                        ,               ,                       ,                       ,                     ,                        ,                      ,                         ,                       ,                      ,                    ,                      ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1220,B, 13,H,CC,  15.00,    159.1600,nannos   ,Benthic Foraminifers                         ,T              ,P                 ,                           ,                ,                         ,                 ,                    ,                 ,                            ,                        ,                  ,                ,                       ,                     ,                          ,                    ,                   ,                        ,                        ,                             ,                     ,                        ,                   ,                ,                   ,                     ,                     ,                   ,                ,                ,                    ,                      ,                    ,                 ,                    ,                  ,             ,                        ,                    ,               ,                               ,                  ,                    ,                     ,A             ,                    ,                 ,                        ,               ,                       ,                       ,                     ,                        ,                      ,                         ,                       ,                      ,                    ,                      ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1220,B, 18,X,CC,  11.00,    191.8300,nannos   ,Benthic Foraminifers                         ,F              ,M                 ,R                          ,                ,                         ,                 ,C                   ,F                ,                            ,                        ,                  ,R               ,                       ,                     ,                          ,                    ,                   ,                        ,                        ,                             ,                     ,F                       ,R                  ,                ,                   ,C                    ,R                    ,F                  ,F               ,                ,                    ,R                     ,                    ,R                ,F                   ,                  ,R            ,F                       ,R                   ,R              ,R                              ,R                 ,R                   ,R                    ,              ,                    ,                 ,                        ,               ,                       ,                       ,                     ,                        ,                      ,                         ,                       ,                      ,                    ,                      ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1220,B, 19,X, 1,  77.00,    193.1700,nannos   ,Benthic Foraminifers                         ,A              ,G                 ,R                          ,                ,                         ,                 ,C                   ,F                ,                            ,                        ,                  ,                ,                       ,                     ,                          ,                    ,                   ,F                       ,                        ,F                            ,                     ,F                       ,R                  ,                ,                   ,F                    ,                     ,F                  ,F               ,R               ,                    ,                      ,R                   ,                 ,F                   ,R                 ,R            ,F                       ,                    ,               ,                               ,                  ,                    ,                     ,              ,                    ,                 ,                        ,               ,                       ,                       ,                     ,                        ,                      ,                         ,                       ,                      ,                    ,                      ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1220,B, 19,X,CC,  14.00,    193.6800,nannos   ,Benthic Foraminifers                         ,R              ,G                 ,                           ,                ,                         ,                 ,F                   ,F                ,                            ,                        ,                  ,                ,                       ,                     ,                          ,                    ,                   ,F                       ,                        ,F                            ,                     ,                        ,                   ,                ,                   ,F                    ,R                    ,F                  ,F               ,R               ,C                   ,R                     ,+                   ,F                ,F                   ,                  ,             ,                        ,                    ,               ,                               ,                  ,                    ,                     ,              ,                    ,                 ,                        ,               ,                       ,                       ,                     ,                        ,                      ,                         ,                       ,                      ,                    ,                      ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1220,B, 20,X, 2,   1.50,    198.9150,nannos   ,Benthic Foraminifers                         ,R              ,G                 ,R                          ,                ,                         ,                 ,F                   ,                 ,                            ,                        ,                  ,                ,                       ,                     ,                          ,                    ,                   ,                        ,                        ,                             ,                     ,F                       ,R                  ,F               ,F                  ,F                    ,R                    ,F                  ,F               ,                ,                    ,                      ,                    ,                 ,                    ,                  ,             ,                        ,                    ,               ,                               ,                  ,                    ,                     ,              ,                    ,                 ,                        ,               ,                       ,                       ,                     ,                        ,                      ,                         ,                       ,                      ,                    ,                      ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1220,B, 20,X,CC,   8.00,    199.9300,nannos   ,Benthic Foraminifers                         ,R              ,P                 ,F                          ,R               ,F                        ,R                ,F                   ,F                ,R                           ,F                       ,R                 ,R               ,R                      ,R                    ,F                         ,F                   ,R                  ,F                       ,R                       ,F                            ,R                    ,F                       ,                   ,                ,                   ,                     ,                     ,                   ,                ,                ,                    ,                      ,                    ,                 ,                    ,                  ,             ,                        ,                    ,               ,                               ,                  ,                    ,                     ,              ,                    ,                 ,                        ,               ,                       ,                       ,                     ,                        ,                      ,                         ,                       ,                      ,                    ,                      ,                     ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
