Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Triquetrorhabdulus carinatus	Thoracosphaera deflandrei	Sphenolithus moriformis	Sphenolithus ciperoensis	Dictyococcites bisectus	Cyclicargolithus floridanus	Coronocyclus nitescens	Coccolithus pelagicus	Braarudosphaera bigelowii	Sphenolithus grandis	Pontosphaera sp. B	Discoaster adamanteus	Coccolithus eopelagicus	Thoracosphaera saxea	Helicosphaera euphratis	Hayaster perplexus	Triquetrorhabdulus milowii	Triquetrorhabdulus challengeri	Sphenolithus predistentus	Sphenolithus conicus	Sphenolithus belemnos	Helicosphaera obliqua	Helicosphaera intermedia	Sphenolithus dissimilis	Umbilicosphaera sibogae	Discoaster druggii	Calcidiscus leptoporus	Sphenolithus heteromorphus	Micrantholithus pinguis	Helicosphaera perch-nielseniae	Helicosphaera carteri	Coccolithus radiatus	Schyphosphaera spp.	Reticulofenestra pseudoumbilica	Comment
  SR	Early Miocene    	                 	NN3               	              	122	 763	A	 17	H	 2	  74.00	    149.6400	Siesser  	Nannofossils                                 	               	                  	                       	                            	C                        	F                      	                        	VR                     	A                          	R                     	R                    	C                        	                    	R                 	R                    	                       	                    	                       	R                 	                          	                              	                         	R                   	R                    	                     	                        	R                      	R                      	                  	                      	VR                        	R                      	R                             	F                    	R                   	                   	                               	from ODP Leg 122 SR Chapter 36 Table 5 p 615 & Fig 6 p 625

  SR	Early Miocene    	                 	NN3               	              	122	 763	A	 17	H	 3	  99.00	    151.3900	Siesser  	Nannofossils                                 	               	                  	                       	VR                          	C                        	F                      	                        	                       	C                          	R                     	R                    	                         	                    	                  	                     	                       	                    	                       	                  	                          	                              	                         	                    	R                    	                     	                        	R                      	                       	                  	                      	                          	                       	                              	                     	                    	                   	                               	from ODP Leg 122 SR Chapter 36 Table 5 p 615 & Fig 6 p 625

  SR	Early Miocene    	                 	NN3               	              	122	 763	A	 17	H	 4	  34.00	    152.2400	Siesser  	Nannofossils                                 	               	                  	VR                     	                            	C                        	F                      	                        	                       	C                          	F                     	R                    	R                        	                    	                  	R                    	R                      	                    	                       	R                 	                          	                              	                         	                    	R                    	                     	R                       	                       	                       	                  	R                     	                          	                       	                              	                     	                    	                   	                               	from ODP Leg 122 SR Chapter 36 Table 5 p 615 & Fig 6 p 625

  SR	Early Miocene    	                 	NN1               	NN2           	122	 763	A	 17	H	 5	  99.00	    154.3900	Siesser  	Nannofossils                                 	               	                  	                       	R                           	C                        	C                      	                        	R                      	C                          	F                     	R                    	R                        	                    	                  	R                    	R                      	R                   	                       	R                 	                          	                              	                         	                    	                     	                     	                        	                       	R                      	R                 	R                     	                          	                       	                              	                     	                    	                   	                               	from ODP Leg 122 SR Chapter 36 Table 5 p 615 & Fig 6 p 625

  SR	Early Miocene    	                 	NN1               	NN2           	122	 763	A	 17	H	 6	  99.00	    155.8900	Siesser  	Nannofossils                                 	               	                  	R                      	                            	C                        	F                      	                        	                       	A                          	F                     	R                    	R                        	                    	                  	R                    	R                      	                    	                       	                  	                          	VR                            	                         	                    	                     	                     	                        	F                      	                       	                  	                      	                          	                       	                              	                     	                    	                   	                               	from ODP Leg 122 SR Chapter 36 Table 5 p 615 & Fig 6 p 625

  SR	Early Miocene    	                 	NN1               	NN2           	122	 763	A	 17	H	CC	  12.00	    156.8000	Siesser  	Nannofossils                                 	               	                  	R                      	F                           	C                        	R                      	                        	                       	A                          	F                     	R                    	R                        	                    	R                 	R                    	R                      	                    	                       	                  	R                         	R                             	VR                       	R                   	R                    	R                    	R                       	                       	                       	                  	                      	                          	                       	                              	                     	                    	                   	                               	from ODP Leg 122 SR Chapter 36 Table 5 p 615 & Fig 6 p 625

  SR	Early Miocene    	                 	NN1               	NN2           	122	 763	A	 18	H	 1	 100.00	    157.9000	Siesser  	Nannofossils                                 	               	                  	R                      	R                           	C                        	F                      	                        	VR                     	A                          	R                     	R                    	                         	                    	R                 	R                    	F                      	R                   	R                      	R                 	                          	                              	                         	                    	                     	                     	                        	                       	                       	                  	                      	                          	                       	                              	                     	                    	                   	                               	,rom ODP Leg 122 SR Chapter 36 Table 5 p 615 & Fig 6 p 625

  SR	Early Miocene    	                 	NN1               	NN2           	122	 763	A	 18	H	 2	  99.00	    159.3900	Siesser  	Nannofossils                                 	               	                  	                       	C                           	C                        	F                      	                        	R                      	A                          	R                     	R                    	R                        	F                   	R                 	R                    	R                      	                    	                       	                  	                          	                              	                         	                    	                     	                     	                        	                       	                       	                  	                      	                          	                       	                              	                     	                    	                   	                               	from ODP Leg 122 SR Chapter 36 Table 5 p 615 & Fig 6 p 625

  SR	Late Oligocene   	                 	NP25              	              	122	 763	A	 18	H	 4	  99.00	    162.3900	Siesser  	Nannofossils                                 	               	                  	C                      	F                           	C                        	C                      	R                       	C                      	A                          	F                     	R                    	R                        	                    	                  	                     	                       	                    	                       	                  	                          	                              	                         	                    	                     	                     	                        	                       	                       	                  	                      	                          	                       	                              	                     	                    	                   	                               	from ODP Leg 122 SR Chapter 36 Table 5 p 615 & Fig 6 p 625

