Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Chiloguembelina cubensis	Globigerina falconensis	Tenuitellinata juvenilis	Subbotina angiporoides	Tenuitellinata prestainforthi	Tenuitellinata angustiumbilicata	Tenuitella munda	Tenuitella gemma	Globorotaloides testarugosa	Globigerina officinalis	Globorotalia truncatulinoides	Chiloguembelina sp.	Globorotaloides suteri	Globorotalia inflata	Globoquadrina dehiscens	Zeaglobigerina nepenthes	Zeaglobigerina decoraperta	Sphaeroidinellopsis disjuncta	Orbulina universa	Orbulina suturalis	Globigerinoides quadrilobatus	Globigerinita glutinata	Catapsydrax unicavus	Zeaglobigerina woodi	Neogloboquadrina continuosa	Jenkinsella mayeri	Globigerinoides trilobus	Zeaglobigerina apertura	Sphaeroidinellopsis seminulina	Globorotalia tumida	Globorotalia menardii	Globorotalia margaritae	Globoconella conomiozea	Globoconella conoidea	Globigerinoides seigliei	Globigerinoides obliquus	Globigerinella siphonifera	Globigerina bulloides	Neogloboquadrina pachyderma	Globoconella sphericomiozea	Globigerinita juvenilis	Globigerina quinqueloba	Globorotalia crassula	Globorotalia crassaformis	Globigerinoides ruber	Globorotalia puncticulata	Globigerinoides sacculifer	Neogloboquadrina acostaensis	Globorotalia scitula	Globigerinita uvula	Neogloboquadrina dutertrei	Globigerinoides extremus	Neogloboquadrina humerosa	Globigerina eamesi	Sphaeroidinella dehiscens	Globigerinoides conglobatus	Globigerinella obesa	Globorotalia tosaensis	Comment

  IR	                 	Early Pliocene   	                  	PL2           	182	1128	B	  4	H	 4	  58.00	     29.7800	Li       	Planktonic Foraminifers                      	A              	G                 	                        	F                      	                        	                      	                             	                                	                	                	                           	                       	                             	                   	                      	P                   	                       	                        	                          	                             	P                	                  	                             	F                      	                    	P                   	                           	                  	                        	                       	                              	                   	                     	P                      	                       	P                    	                        	                        	P                         	P                    	                           	P                          	F                      	F                      	P                    	R                        	R                    	F                        	                          	P                           	P                   	P                  	P                         	P                       	                         	                  	                         	                           	                    	                      	pelagite

  IR	                 	Early Pliocene   	                  	PL2           	182	1128	B	  4	H	CC	  14.00	     33.9900	Li       	Planktonic Foraminifers                      	A              	G                 	                        	F                      	                        	                      	                             	                                	                	                	                           	                       	                             	                   	                      	                    	                       	                        	                          	                             	P                	                  	                             	A                      	                    	P                   	                           	                  	                        	                       	                              	                   	                     	P                      	                       	                     	                        	                        	P                         	F                    	                           	                           	A                      	F                      	R                    	R                        	R                    	F                        	                          	P                           	R                   	P                  	                          	                        	                         	                  	                         	                           	                    	                      	cf conomiozea of Hornibrook

  IR	Late Miocene     	Early Pliocene   	PL1               	PL2           	182	1128	B	  5	H	 2	 101.00	     36.7100	Li       	Planktonic Foraminifers                      	A              	P                 	                        	F                      	                        	                      	                             	                                	                	                	                           	                       	                             	                   	                      	                    	                       	                        	P                         	                             	P                	                  	                             	F                      	                    	                    	                           	                  	                        	P                      	                              	                   	                     	P                      	                       	                     	                        	                        	                          	                     	                           	                           	F                      	P                      	P                    	F                        	P                    	F                        	P                         	                            	                    	                   	                          	                        	                         	                  	                         	                           	                    	                      	pelagite, many broken

  IR	                 	Late Miocene     	                  	Mt10          	182	1128	B	  5	H	CC	  11.00	     43.7000	Li       	Planktonic Foraminifers                      	C              	P                 	                        	                       	                        	                      	                             	                                	                	                	                           	                       	                             	                   	                      	                    	                       	P                       	                          	                             	P                	                  	                             	P                      	                    	P                   	                           	                  	                        	                       	                              	                   	P                    	P                      	F                      	F                    	                        	                        	                          	                     	                           	P                          	                       	                       	P                    	P                        	P                    	                         	                          	                            	                    	                   	                          	                        	                         	                  	                         	                           	                    	                      	mineral grains in fine sand fraction

  IR	                 	Late Miocene     	Mt9               	Mt10          	182	1128	B	  6	H	 3	  98.00	     47.6800	Li       	Planktonic Foraminifers                      	F              	P                 	                        	P                      	                        	                      	                             	                                	                	                	                           	                       	                             	                   	                      	                    	                       	                        	                          	                             	R                	                  	                             	P                      	                    	P                   	                           	                  	                        	                       	F                             	                   	                     	                       	                       	F                    	                        	                        	                          	                     	P                          	A                          	P                      	F                      	                     	                         	                     	                         	                          	                            	                    	                   	                          	                        	                         	                  	                         	                           	                    	                      	pelagite, most broken, overgrowth

  IR	                 	Late Miocene     	Mt9               	Mt10          	182	1128	B	  6	H	CC	  19.00	     53.5600	Li       	Planktonic Foraminifers                      	A              	G                 	                        	F                      	                        	                      	                             	                                	                	                	                           	                       	                             	                   	                      	                    	F                      	P                       	P                         	                             	P                	                  	                             	                       	                    	F                   	                           	                  	P                       	P                      	P                             	F                  	P                    	P                      	F                      	F                    	P                       	P                       	P                         	F                    	                           	                           	                       	                       	                     	                         	                     	                         	                          	                            	                    	                   	                          	                        	                         	                  	                         	                           	                    	                      	medium foram sand, glauconite

  IR	                 	Early Miocene    	                  	              	182	1128	B	  7	H	CC	  21.00	     62.5800	Li       	Planktonic Foraminifers                      	C              	P                 	                        	                       	                        	                      	                             	                                	                	                	                           	                       	                             	                   	                      	                    	P                      	                        	                          	                             	                 	                  	                             	                       	                    	P                   	P                          	P                 	P                       	                       	                              	                   	                     	                       	                       	                     	                        	                        	                          	                     	                           	                           	                       	                       	                     	                         	                     	                         	                          	                            	                    	                   	                          	                        	                         	                  	                         	                           	                    	                      	sponge spicules

  IR	                 	Oligocene        	                  	              	182	1128	B	  8	H	CC	  20.00	     72.4700	Li       	Planktonic Foraminifers                      	R              	P                 	                        	                       	                        	P                     	                             	                                	                	                	                           	                       	                             	                   	P                     	P                   	                       	P                       	P                         	P                            	P                	P                 	P                            	P                      	P                   	                    	                           	                  	                        	                       	                              	                   	                     	                       	                       	                     	                        	                        	                          	                     	                           	                           	                       	                       	                     	                         	                     	                         	                          	                            	                    	                   	                          	                        	                         	                  	                         	                           	                    	                      	rads, diatoms, sponge spicules, ~30 forams

  IR	                 	Oligocene        	                  	              	182	1128	B	  9	H	CC	  13.00	     81.8200	Li       	Planktonic Foraminifers                      	T              	P                 	                        	                       	                        	                      	                             	                                	                	                	                           	                       	                             	                   	P                     	P                   	P                      	                        	                          	                             	                 	                  	                             	                       	                    	                    	                           	                  	                        	                       	                              	                   	                     	                       	                       	                     	                        	                        	                          	                     	                           	                           	                       	                       	                     	                         	                     	                         	                          	                            	                    	                   	                          	                        	                         	                  	                         	                           	                    	                      	rad-diatom ooze, ~ 5 forams

  IR	                 	Oligocene        	                  	              	182	1128	B	 11	H	 2	  93.00	     93.6300	Li       	Planktonic Foraminifers                      	F              	P                 	                        	                       	                        	                      	                             	                                	                	                	                           	                       	P                            	A                  	                      	                    	                       	                        	                          	                             	                 	                  	                             	                       	                    	                    	                           	                  	                        	                       	                              	                   	                     	                       	                       	                     	                        	                        	                          	                     	                           	                           	                       	                       	                     	                         	                     	                         	                          	                            	                    	                   	                          	                        	                         	                  	                         	                           	                    	                      	turbidite, many <150 um specimens

  IR	                 	Early Oligocene  	P18               	P19           	182	1128	B	 15	H	CC	  11.00	    137.7600	Li       	Planktonic Foraminifers                      	A              	M                 	A                       	                       	F                       	P                     	P                            	P                               	F               	P               	R                          	P                      	                             	                   	                      	                    	                       	                        	                          	                             	                 	                  	                             	                       	                    	                    	                           	                  	                        	                       	                              	                   	                     	                       	                       	                     	                        	                        	                          	                     	                           	                           	                       	                       	                     	                         	                     	                         	                          	                            	                    	                   	                          	                        	                         	                  	                         	                           	                    	                      	       

  IR	Oligocene        	Eocene           	                  	              	182	1128	B	 26	X	 4	  94.00	    237.8400	Li       	Planktonic Foraminifers                      	R              	P                 	P                       	                       	P                       	P                     	                             	                                	                	                	                           	                       	                             	                   	                      	                    	                       	                        	                          	                             	                 	                  	                             	                       	                    	                    	                           	                  	                        	                       	                              	                   	                     	                       	                       	                     	                        	                        	                          	                     	                           	                           	                       	                       	                     	                         	                     	                         	                          	                            	                    	                   	                          	                        	                         	                  	                         	                           	                    	                      	forams in 150-63 micron fraction

  IR	Oligocene        	Eocene           	                  	              	182	1128	B	 26	X	CC	  19.00	    242.1000	Li       	Planktonic Foraminifers                      	R              	P                 	                        	P                      	                        	                      	                             	                                	                	                	                           	                       	                             	                   	                      	                    	                       	                        	                          	                             	                 	                  	                             	                       	                    	                    	                           	                  	                        	                       	                              	                   	                     	                       	                       	                     	                        	                        	                          	                     	                           	                           	                       	                       	                     	                         	                     	                         	                          	                            	                    	                   	                          	                        	                         	                  	                         	                           	                    	                      	       

  IR	                 	                 	                  	              	182	1128	B	 27	X	 3	 100.00	    246.1000	Li       	Planktonic Foraminifers                      	R              	P                 	P                       	                       	                        	                      	                             	                                	                	                	                           	                       	                             	                   	                      	                    	                       	                        	                          	                             	                 	                  	                             	                       	                    	                    	                           	                  	                        	                       	                              	                   	                     	                       	                       	                     	                        	                        	                          	                     	                           	                           	                       	                       	                     	                         	                     	                         	                          	                            	                    	                   	                          	                        	                         	                  	                         	                           	                    	                      	       

