Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus abies,Reticulofenestra pseudoumbilicus,"Reticulofenestra ""small""",Helicosphaera carteri,Helicosphaera ampliaperta,Coccolithus miopelagicus,Sphenolithus verensis,Discoaster berggrenii,Coccolithus pelagicus,Calcidiscus macintyrei,Discoaster intercalaris,"Discoaster ""six-rayed""",Discoaster surculus,Calcidiscus leptoporus,Discoaster variabilis,Discoaster brouweri,Discoaster pentaradiatus,Discoaster kugleri,Discoaster quinqueramus,Ceratolithus rugosus,Ceratolithus armatus,Ceratolithus cristatus,Helicosphaera sellii,Discoaster asymmetricus,Comment
  IR,                 ,Late Miocene     ,                  ,NN11          ,170,1041,B,  5,R,CC,  19.00,    200.4400,Muza     ,Nannofossils                                 ,A              ,M                 ,                       ,                          ,C                 ,C                               ,C                       ,R                    ,                         ,                        ,F                    ,                     ,                     ,                      ,                       ,                      ,R                  ,R                     ,                     ,C                  ,                        ,                  ,                       ,                    ,                    ,                      ,R                   ,R                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NN11          ,170,1041,B,  6,R,CC,  12.00,    208.6700,Muza     ,Nannofossils                                 ,A              ,M                 ,                       ,                          ,F                 ,F                               ,C                       ,R                    ,                         ,                        ,F                    ,                     ,                     ,                      ,                       ,                      ,R                  ,                      ,                     ,F                  ,F                       ,                  ,                       ,                    ,                    ,R                     ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NN11          ,170,1041,B,  7,R,CC,  13.00,    219.9100,Muza     ,Nannofossils                                 ,C              ,M                 ,F                      ,rR                        ,F                 ,F                               ,C                       ,                     ,                         ,                        ,                     ,R                    ,                     ,                      ,                       ,                      ,R                  ,F                     ,                     ,F                  ,R                       ,                  ,R                      ,R                   ,R                   ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NN11          ,170,1041,B,  8,R,CC,  15.00,    226.5900,Muza     ,Nannofossils                                 ,F              ,M                 ,R                      ,                          ,                  ,                                ,R                       ,                     ,                         ,                        ,                     ,                     ,                     ,                      ,                       ,                      ,R                  ,                      ,R                    ,R                  ,R                       ,rR                ,                       ,                    ,                    ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NN11          ,170,1041,B,  9,R,CC,   9.00,    236.6100,Muza     ,Nannofossils                                 ,R              ,M                 ,F                      ,                          ,                  ,R                               ,R                       ,                     ,                         ,                        ,                     ,R                    ,                     ,                      ,                       ,                      ,R                  ,R                     ,                     ,                   ,                        ,                  ,                       ,                    ,                    ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NN11          ,170,1041,B, 10,R,CC,  12.00,    247.5600,Muza     ,Nannofossils                                 ,F              ,P                 ,                       ,                          ,                  ,                                ,R                       ,                     ,                         ,                        ,                     ,R                    ,                     ,                      ,R                      ,R                     ,R                  ,                      ,                     ,R                  ,                        ,                  ,                       ,                    ,                    ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NN11          ,170,1041,B, 11,R,CC,  38.00,    258.0300,Muza     ,Nannofossils                                 ,C              ,M                 ,C                      ,                          ,                  ,                                ,C                       ,R                    ,                         ,                        ,                     ,C                    ,                     ,                      ,                       ,                      ,R                  ,                      ,R                    ,                   ,                        ,                  ,                       ,                    ,                    ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NN11          ,170,1041,B, 12,R,CC,  86.00,    268.0800,Muza     ,Nannofossils                                 ,C              ,M                 ,C                      ,                          ,                  ,R                               ,F                       ,R                    ,                         ,                        ,                     ,F                    ,                     ,                      ,                       ,                      ,                   ,                      ,                     ,                   ,                        ,                  ,                       ,                    ,                    ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NN11          ,170,1041,B, 13,R,CC,  21.00,    275.2100,Muza     ,Nannofossils                                 ,C              ,P                 ,                       ,                          ,                  ,F                               ,R                       ,                     ,                         ,                        ,                     ,R                    ,                     ,                      ,R                      ,                      ,R                  ,R                     ,                     ,                   ,                        ,                  ,                       ,                    ,                    ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NN11          ,170,1041,B, 14,R,CC,  10.00,    285.1900,Muza     ,Nannofossils                                 ,R              ,P                 ,                       ,                          ,                  ,                                ,R                       ,                     ,                         ,                        ,                     ,                     ,                     ,                      ,R                      ,R                     ,                   ,                      ,                     ,                   ,                        ,                  ,                       ,                    ,                    ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NN11          ,170,1041,B, 18,R, 3,  35.00,    320.9000,Muza     ,Nannofossils                                 ,T              ,P                 ,R                      ,                          ,                  ,                                ,                        ,                     ,                         ,rR                      ,                     ,                     ,                     ,R                     ,                       ,                      ,                   ,                      ,                     ,                   ,                        ,                  ,                       ,                    ,                    ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NN11          ,170,1041,B, 19,R,CC,   9.00,    333.8200,Muza     ,Nannofossils                                 ,T              ,P                 ,                       ,                          ,                  ,R                               ,                        ,                     ,                         ,                        ,R                    ,                     ,                     ,                      ,                       ,                      ,                   ,                      ,                     ,                   ,                        ,                  ,                       ,                    ,                    ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NN11          ,170,1041,B, 20,R,CC,  20.00,    344.4700,Muza     ,Nannofossils                                 ,F              ,P                 ,F                      ,                          ,R                 ,R                               ,F                       ,                     ,                         ,                        ,                     ,                     ,R                    ,                      ,                       ,                      ,                   ,                      ,                     ,                   ,                        ,                  ,                       ,                    ,                    ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NN11          ,170,1041,B, 21,R,CC,   0.00,    351.6500,Muza     ,Nannofossils                                 ,C              ,P                 ,F                      ,                          ,R                 ,                                ,C                       ,                     ,                         ,                        ,R                    ,R                    ,                     ,                      ,                       ,                      ,                   ,                      ,                     ,                   ,                        ,                  ,                       ,                    ,                    ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,170,1041,B, 22,R,CC,   0.00,    361.7200,Muza     ,Nannofossils                                 ,F              ,P                 ,                       ,                          ,F                 ,                                ,F                       ,R                    ,                         ,rR                      ,F                    ,                     ,                     ,                      ,                       ,                      ,                   ,                      ,                     ,                   ,                        ,                  ,                       ,                    ,                    ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,170,1041,B, 25,R,CC,  15.00,    388.2200,Muza     ,Nannofossils                                 ,C              ,P                 ,F                      ,R                         ,F                 ,F                               ,F                       ,R                    ,rR                       ,rR                      ,                     ,                     ,                     ,                      ,                       ,                      ,                   ,                      ,                     ,                   ,                        ,                  ,                       ,                    ,                    ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
