Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Paragloborotalia nympha	Paragloborotalia continuosa	Orbulina universa	Globoturborotalita woodi	Globoturborotalita decoraperta	Globoturborotalita apertura	Globorotalia miotumida	Globorotalia conoidea	Globigerinita uvula	Globigerinita glutinata	Globigerina quinqueloba	Globigerina falconensis	Globigerina bulloides	Globorotalia juanai	Globorotalia challengeri	Globorotalia panda	Neogloboquadrina pachyderma (sinistral)	Globorotalia conomiozea	Globorotalia puncticuloides	Globorotalia puncticulata	Globorotalia margaritae	Globorotalia crassula	Globorotalia crassaformis	Globorotalia crassacarina	Globorotalia sphericomiozea	Globorotalia scitula	Neogloboquadrina pachyderma	Globorotalia triangula	Globorotalia inflata	Globigerinella aequilateralis	Globorotalia crassaconica	Globorotalia tosaensis	Globigerina umbilicata	Comment
  IR	                 	                 	                  	SN13          	189	1170	C	  6	H	CC	   9.00	     56.8200	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                           	+                	                        	                              	                           	                      	                     	                   	+                      	+                      	+                      	+                    	                   	                        	                  	                                       	                       	+                          	+                        	                       	+                    	+                        	                         	                           	+                   	+                          	+                     	+                   	                             	                         	                      	                      	       

  IR	                 	                 	                  	SN13          	189	1170	C	  7	H	CC	  15.00	     65.5800	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                           	+                	                        	                              	                           	                      	                     	                   	+                      	+                      	+                      	+                    	                   	                        	                  	+                                      	                       	+                          	+                        	                       	+                    	+                        	                         	                           	+                   	+                          	+                     	+                   	+                            	                         	                      	                      	       

  IR	                 	                 	                  	SN12b         	189	1170	C	  8	H	CC	   9.00	     76.0700	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                           	+                	                        	                              	                           	                      	                     	                   	+                      	                       	+                      	+                    	                   	                        	                  	+                                      	                       	+                          	+                        	                       	+                    	+                        	                         	                           	+                   	+                          	                      	                    	                             	                         	                      	                      	2 specimens of Gr. inflata present

  IR	                 	                 	                  	SN12b         	189	1170	C	  9	H	CC	  18.00	     85.6200	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                           	+                	                        	                              	                           	                      	                     	                   	+                      	+                      	+                      	+                    	                   	                        	                  	+                                      	                       	+                          	+                        	                       	+                    	+                        	                         	                           	+                   	                           	                      	                    	                             	                         	                      	                      	       

  IR	                 	                 	                  	SN12b         	189	1170	C	 10	H	CC	   0.00	     94.7600	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                           	+                	                        	                              	                           	                      	                     	                   	+                      	                       	                       	+                    	                   	                        	                  	+                                      	                       	+                          	+                        	                       	+                    	+                        	                         	                           	+                   	                           	                      	                    	                             	                         	                      	                      	       

  IR	                 	                 	                  	SN12b         	189	1170	C	 11	H	CC	  18.00	    104.3000	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                           	+                	                        	+                             	                           	                      	                     	+                  	+                      	+                      	                       	+                    	                   	                        	                  	+                                      	                       	+                          	+                        	                       	+                    	+                        	                         	                           	+                   	                           	                      	                    	                             	                         	                      	                      	       

  IR	                 	                 	                  	SN12b         	189	1170	C	 12	H	CC	  22.00	    113.9800	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                           	+                	                        	+                             	                           	                      	                     	+                  	+                      	+                      	                       	+                    	                   	                        	                  	+                                      	                       	+                          	+                        	                       	+                    	+                        	                         	                           	+                   	                           	                      	                    	                             	                         	                      	                      	       

  IR	                 	                 	                  	SN12b         	189	1170	C	 13	H	CC	  19.00	    122.9600	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                           	+                	                        	                              	                           	                      	                     	+                  	+                      	+                      	                       	+                    	                   	                        	                  	+                                      	                       	+                          	+                        	                       	+                    	+                        	                         	+                          	+                   	                           	                      	                    	                             	                         	                      	                      	       

  IR	                 	                 	                  	SN12b         	189	1170	C	 14	H	CC	  16.00	    132.5900	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                           	+                	                        	                              	                           	                      	                     	+                  	+                      	+                      	                       	+                    	                   	                        	                  	+                                      	                       	+                          	+                        	                       	+                    	+                        	                         	+                          	+                   	                           	                      	                    	                             	                         	                      	                      	       

  IR	                 	                 	                  	SN12b         	189	1170	C	 15	H	CC	  16.00	    142.4900	forams   	Planktonic Foraminifers                      	C              	M                 	                       	                           	+                	                        	                              	                           	                      	                     	                   	+                      	+                      	                       	+                    	                   	                        	                  	+                                      	                       	+                          	+                        	+                      	+                    	+                        	+                        	                           	                    	                           	                      	                    	                             	                         	                      	                      	Marked increase in fragmentation of tests

  IR	                 	                 	                  	SN11          	189	1170	C	 16	H	CC	  16.00	    150.6300	forams   	Planktonic Foraminifers                      	F              	M                 	                       	                           	+                	                        	                              	                           	+                     	+                    	+                  	+                      	+                      	                       	+                    	                   	+                       	                  	+                                      	+                      	                           	                         	                       	                     	                         	                         	                           	                    	                           	                      	                    	                             	                         	                      	                      	Dissolution effects strong

  IR	                 	                 	                  	SN8           	189	1170	C	 17	H	CC	  11.00	    161.2400	forams   	Planktonic Foraminifers                      	C              	M                 	+                      	+                          	+                	                        	                              	                           	+                     	+                    	+                  	+                      	+                      	                       	+                    	+                  	+                       	+                 	                                       	                       	                           	                         	                       	                     	                         	                         	                           	                    	                           	                      	                    	                             	                         	                      	                      	       

  IR	                 	                 	                  	SN8           	189	1170	C	 18	H	CC	   7.00	    170.0900	forams   	Planktonic Foraminifers                      	A              	VG                	+                      	+                          	+                	+                       	+                             	+                          	+                     	+                    	+                  	+                      	+                      	+                      	+                    	+                  	+                       	                  	                                       	                       	                           	                         	                       	                     	                         	                         	                           	                    	                           	                      	                    	                             	                         	                      	                      	       

  IR	                 	                 	                  	SN8           	189	1170	C	 19	H	CC	  13.00	    180.4400	forams   	Planktonic Foraminifers                      	C              	G                 	+                      	+                          	+                	+                       	+                             	+                          	+                     	+                    	+                  	+                      	+                      	+                      	+                    	                   	                        	                  	                                       	                       	                           	                         	                       	                     	                         	                         	                           	                    	                           	                      	                    	                             	                         	                      	                      	Dissolution effects moderate

