Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeaglobigerina woodi,Zeaglobigerina nepenthes,Zeaglobigerina connecta,Orbulina universa,Jenkinsella mayeri,Globorotalia scitula,Globorotalia plesiotumida,Globorotalia menardii,Globoquadrina dehiscens,Globigerinoides trilobus,Globigerina falconensis,Neogloboquadrina continuosa,Neogloboquadrina acostaensis,Globoconella conoidea,Globigerinita juvenilis,Globigerinita glutinata,Fohsella peripheroronda,Zeaglobigerina apertura,Sphaeroidinellopsis seminulina,Globorotalia merotumida,Globorotalia cibaoensis,Globoconella sphericomiozea,Globigerinoides obliquus,Globigerinella siphonifera,Globigerina bulloides,Globorotalia tumida,Globigerinoides bollii,Neogloboquadrina pachyderma (dextral),Globorotalia tosaensis,Globorotalia puncticulata,Globorotalia inflata,Globorotalia crassaformis,Globigerinoides ruber,Globorotalia crassula,Neogloboquadrina dutertrei,Zeaglobigerina decoraperta,Globorotalia truncatulinoides,Globigerinoides tenellus,Globigerinoides sacculifer,Globigerina quinqueloba,Globigerinella obesa,Pulleniatina finalis,Sphaeroidinella dehiscens,Globigerinoides quadrilobatus,Neogloboquadrina humerosa,Zeaglobigerina rubescens,Beella digitata,Pulleniatina obliquiloculata,Globorotalia hirsuta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,                  ,Pt1b          ,182,1127,B,  5,H,CC,  29.00,     43.8500,Li       ,Planktonic Foraminifers                      ,F              ,VG                ,                    ,                        ,                       ,                 ,                  ,                    ,                         ,                     ,                       ,                        ,F                      ,                           ,                            ,                     ,                       ,F                      ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,F                    ,                   ,                      ,R                                    ,                      ,                         ,A                   ,                         ,                     ,                     ,                          ,                          ,R                            ,                        ,                          ,                       ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,"sponge picules, bryzoans, shelly debris"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1b          ,182,1127,B,  6,H,CC,   2.00,     53.1700,Li       ,Planktonic Foraminifers                      ,C              ,VG                ,                    ,                        ,                       ,                 ,                  ,                    ,                         ,                     ,                       ,R                       ,R                      ,                           ,                            ,                     ,                       ,F                      ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,F                    ,                   ,                      ,R                                    ,                      ,                         ,A                   ,                         ,A                    ,                     ,                          ,                          ,R                            ,R                       ,                          ,F                      ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,"broken sheels, ostracodes, sponge spicules bivalves, ben forams"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1           ,182,1127,B,  7,H,CC,  24.00,     61.7800,Li       ,Planktonic Foraminifers                      ,C              ,VG                ,                    ,                        ,                       ,R                ,                  ,                    ,                         ,                     ,                       ,                        ,F                      ,                           ,                            ,                     ,                       ,F                      ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,R                         ,F                    ,                   ,                      ,                                     ,                      ,                         ,A                   ,                         ,A                    ,                     ,                          ,                          ,F                            ,                        ,P                         ,F                      ,                    ,                    ,                         ,                             ,                         ,R                       ,               ,P                           ,R                   ,"bivalves, urchin spines, shell hash"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1           ,182,1127,B,  8,H,CC,  27.00,     70.5200,Li       ,Planktonic Foraminifers                      ,C              ,G                 ,                    ,                        ,                       ,P                ,                  ,                    ,                         ,                     ,                       ,                        ,                       ,                           ,                            ,                     ,                       ,F                      ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,P                         ,F                    ,                   ,                      ,F                                    ,                      ,                         ,                    ,                         ,A                    ,                     ,                          ,                          ,R                            ,                        ,                          ,F                      ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,"bryzoans, ben forams, ostracodes, sponge spicules"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1           ,182,1127,B,  9,H,CC,  16.00,     80.7700,Li       ,Planktonic Foraminifers                      ,C              ,M                 ,                    ,                        ,                       ,                 ,                  ,                    ,                         ,                     ,                       ,                        ,F                      ,                           ,                            ,                     ,                       ,F                      ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,P                         ,                     ,                   ,                      ,F                                    ,                      ,                         ,A                   ,P                        ,A                    ,P                    ,                          ,                          ,R                            ,                        ,                          ,F                      ,                    ,                    ,                         ,                             ,                         ,R                       ,               ,                            ,                    ,sponge spicules
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1           ,182,1127,B, 10,H,CC,   0.00,     90.2300,Li       ,Planktonic Foraminifers                      ,C              ,M                 ,                    ,                        ,                       ,                 ,                  ,                    ,                         ,                     ,                       ,                        ,F                      ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,P                         ,F                    ,                   ,                      ,F                                    ,                      ,                         ,A                   ,P                        ,A                    ,                     ,                          ,                          ,R                            ,                        ,                          ,F                      ,                    ,                    ,                         ,                             ,                         ,R                       ,P              ,                            ,                    ,sponge spicules
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1           ,182,1127,B, 11,H,CC,  18.00,    100.2800,Li       ,Planktonic Foraminifers                      ,C              ,M                 ,                    ,                        ,                       ,                 ,                  ,                    ,                         ,                     ,                       ,                        ,F                      ,                           ,                            ,                     ,                       ,F                      ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,F                    ,                   ,                      ,F                                    ,                      ,                         ,A                   ,P                        ,A                    ,                     ,                          ,                          ,P                            ,P                       ,P                         ,F                      ,                    ,                    ,                         ,                             ,                         ,P                       ,               ,                            ,                    ,"small broken shell debris, urchin spines, sponge spicules"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1           ,182,1127,B, 12,H,CC,  17.00,    109.2200,Li       ,Planktonic Foraminifers                      ,C              ,G                 ,                    ,                        ,                       ,                 ,                  ,                    ,                         ,                     ,                       ,P                       ,F                      ,                           ,                            ,                     ,                       ,P                      ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,F                    ,                   ,                      ,F                                    ,                      ,                         ,F                   ,                         ,F                    ,                     ,                          ,                          ,P                            ,                        ,                          ,F                      ,                    ,                    ,                         ,                             ,                         ,P                       ,               ,                            ,                    ,"sponge spicules, shell debris"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1           ,182,1127,B, 14,H,CC,  47.00,    127.4000,Li       ,Planktonic Foraminifers                      ,C              ,G                 ,                    ,                        ,                       ,R                ,                  ,                    ,                         ,                     ,                       ,                        ,F                      ,                           ,                            ,                     ,                       ,P                      ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,F                    ,                   ,                      ,F                                    ,                      ,                         ,A                   ,                         ,F                    ,P                    ,P                         ,                          ,R                            ,                        ,                          ,F                      ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,"sponge spicules, shell debris"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1           ,182,1127,B, 15,H,CC,   9.00,    137.9200,Li       ,Planktonic Foraminifers                      ,C              ,G                 ,                    ,                        ,                       ,P                ,                  ,P                   ,                         ,                     ,                       ,                        ,F                      ,                           ,                            ,                     ,                       ,P                      ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,F                    ,P                  ,                      ,F                                    ,                      ,F                        ,A                   ,                         ,R                    ,                     ,                          ,                          ,P                            ,                        ,                          ,R                      ,                    ,                    ,                         ,                             ,                         ,P                       ,               ,                            ,                    ,"sponge spicules, shell debris, sulphide? pellets"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1           ,182,1127,B, 16,H,CC,  42.00,    145.5800,Li       ,Planktonic Foraminifers                      ,C              ,G                 ,                    ,                        ,                       ,P                ,                  ,P                   ,                         ,                     ,                       ,                        ,F                      ,                           ,                            ,                     ,                       ,P                      ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,P                         ,R                    ,                   ,                      ,F                                    ,                      ,P                        ,F                   ,                         ,F                    ,P                    ,                          ,                          ,P                            ,                        ,                          ,F                      ,                    ,                    ,                         ,                             ,                         ,P                       ,               ,                            ,                    ,"sponge spicules, shell debris"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1           ,182,1127,B, 17,X,CC,  23.00,    155.2000,Li       ,Planktonic Foraminifers                      ,C              ,G                 ,                    ,                        ,                       ,P                ,                  ,                    ,                         ,                     ,                       ,                        ,A                      ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,R                    ,                   ,                      ,F                                    ,                      ,R                        ,F                   ,                         ,F                    ,                     ,                          ,                          ,P                            ,                        ,                          ,R                      ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,"sponge spicules, shell debris"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1           ,182,1127,B, 18,X,CC,  29.00,    162.2400,Li       ,Planktonic Foraminifers                      ,C              ,G                 ,                    ,                        ,                       ,P                ,                  ,                    ,                         ,                     ,                       ,                        ,P                      ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,P                         ,P                    ,P                  ,                      ,P                                    ,                      ,                         ,P                   ,P                        ,P                    ,                     ,                          ,                          ,P                            ,P                       ,                          ,P                      ,P                   ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1           ,182,1127,B, 19,X,CC,  40.00,    171.4100,Li       ,Planktonic Foraminifers                      ,R              ,P                 ,                    ,                        ,                       ,                 ,                  ,                    ,                         ,                     ,                       ,                        ,                       ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,P                    ,                   ,                      ,                                     ,                      ,                         ,P                   ,                         ,                     ,                     ,                          ,                          ,P                            ,                        ,                          ,                       ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1           ,182,1127,B, 20,X,CC,  12.00,    180.1200,Li       ,Planktonic Foraminifers                      ,A              ,P                 ,                    ,                        ,                       ,P                ,                  ,                    ,                         ,                     ,                       ,                        ,                       ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,F                         ,                     ,P                  ,                      ,F                                    ,                      ,                         ,A                   ,F                        ,F                    ,                     ,                          ,                          ,                             ,                        ,                          ,                       ,                    ,                    ,                         ,                             ,P                        ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1b          ,182,1127,B, 21,X,CC,  21.00,    191.9200,Li       ,Planktonic Foraminifers                      ,C              ,M                 ,                    ,                        ,                       ,                 ,                  ,P                   ,                         ,                     ,                       ,                        ,F                      ,                           ,                            ,                     ,                       ,P                      ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,F                    ,                   ,                      ,P                                    ,                      ,                         ,P                   ,                         ,F                    ,                     ,                          ,                          ,P                            ,                        ,                          ,P                      ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1b          ,182,1127,B, 22,X,CC,  57.00,    201.0000,Li       ,Planktonic Foraminifers                      ,C              ,M                 ,                    ,                        ,                       ,P                ,                  ,                    ,                         ,                     ,                       ,                        ,F                      ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,P                    ,                   ,                      ,                                     ,                      ,                         ,A                   ,P                        ,F                    ,                     ,                          ,                          ,F                            ,                        ,                          ,F                      ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1a          ,182,1127,B, 23,X,CC,  82.00,    211.1800,Li       ,Planktonic Foraminifers                      ,F              ,P                 ,                    ,                        ,                       ,                 ,                  ,P                   ,                         ,                     ,                       ,                        ,                       ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,                     ,                   ,                      ,F                                    ,                      ,                         ,A                   ,P                        ,A                    ,                     ,                          ,                          ,P                            ,                        ,                          ,                       ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1a          ,182,1127,B, 25,X,CC,  29.00,    229.8100,Li       ,Planktonic Foraminifers                      ,F              ,P                 ,                    ,                        ,                       ,F                ,                  ,                    ,                         ,                     ,                       ,                        ,                       ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,P                         ,                     ,P                  ,                      ,F                                    ,                      ,                         ,A                   ,P                        ,F                    ,                     ,                          ,                          ,F                            ,                        ,                          ,                       ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,"sponge spicules, poorly disaggregated"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1a          ,182,1127,B, 26,X,CC,  67.00,    239.7000,Li       ,Planktonic Foraminifers                      ,C              ,M                 ,                    ,                        ,                       ,F                ,                  ,                    ,                         ,                     ,                       ,                        ,                       ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,P                         ,                     ,P                  ,                      ,F                                    ,F                     ,                         ,A                   ,                         ,F                    ,                     ,                          ,                          ,F                            ,                        ,                          ,                       ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,disaggregated poorly
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1a          ,182,1127,B, 27,X,CC,  29.00,    250.4700,Li       ,Planktonic Foraminifers                      ,F              ,M                 ,                    ,                        ,                       ,P                ,                  ,                    ,                         ,                     ,                       ,                        ,                       ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,                     ,                   ,                      ,F                                    ,P                     ,                         ,A                   ,                         ,                     ,                     ,                          ,                          ,F                            ,                        ,P                         ,                       ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,"sponge spicules, disaggregated poorly"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1a          ,182,1127,B, 28,X,CC,  43.00,    259.8400,Li       ,Planktonic Foraminifers                      ,C              ,M                 ,                    ,                        ,                       ,                 ,                  ,                    ,                         ,                     ,                       ,                        ,                       ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,                     ,                   ,                      ,F                                    ,P                     ,                         ,F                   ,                         ,F                    ,                     ,                          ,                          ,P                            ,                        ,                          ,                       ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1a          ,182,1127,B, 29,X,CC,  55.00,    270.8000,Li       ,Planktonic Foraminifers                      ,C              ,M                 ,                    ,                        ,                       ,P                ,                  ,                    ,                         ,                     ,                       ,                        ,P                      ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,P                    ,                   ,                      ,P                                    ,P                     ,                         ,F                   ,                         ,F                    ,                     ,                          ,                          ,P                            ,                        ,                          ,                       ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1a          ,182,1127,B, 30,X,CC,  13.00,    279.8000,Li       ,Planktonic Foraminifers                      ,C              ,M                 ,                    ,                        ,                       ,R                ,                  ,                    ,                         ,                     ,                       ,                        ,A                      ,                           ,                            ,                     ,                       ,P                      ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,R                    ,                   ,                      ,P                                    ,P                     ,F                        ,R                   ,                         ,R                    ,                     ,                          ,                          ,R                            ,                        ,                          ,                       ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1a          ,182,1127,B, 31,X,CC,  36.00,    289.7500,Li       ,Planktonic Foraminifers                      ,C              ,M                 ,                    ,                        ,                       ,                 ,                  ,P                   ,                         ,                     ,                       ,                        ,A                      ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,R                    ,                   ,                      ,R                                    ,P                     ,R                        ,R                   ,                         ,R                    ,                     ,                          ,                          ,R                            ,                        ,                          ,F                      ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1           ,182,1127,B, 32,X,CC,  29.00,    296.1900,Li       ,Planktonic Foraminifers                      ,C              ,P                 ,                    ,                        ,                       ,P                ,                  ,                    ,                         ,                     ,                       ,                        ,F                      ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,                          ,P                    ,                   ,                      ,P                                    ,P                     ,F                        ,P                   ,P                        ,F                    ,                     ,                          ,                          ,R                            ,                        ,                          ,                       ,                    ,                    ,P                        ,P                            ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1           ,182,1127,B, 33,X,CC,  29.00,    308.0000,Li       ,Planktonic Foraminifers                      ,C              ,P                 ,                    ,                        ,                       ,P                ,                  ,P                   ,                         ,                     ,                       ,                        ,P                      ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,P                         ,P                    ,                   ,                      ,P                                    ,P                     ,F                        ,P                   ,P                        ,F                    ,                     ,                          ,                          ,F                            ,                        ,                          ,P                      ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1a          ,182,1127,B, 34,X,CC,  43.00,    318.8500,Li       ,Planktonic Foraminifers                      ,F              ,G                 ,                    ,                        ,                       ,P                ,                  ,                    ,                         ,                     ,                       ,                        ,P                      ,                           ,                            ,                     ,                       ,                       ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,P                         ,F                    ,                   ,                      ,F                                    ,P                     ,P                        ,P                   ,                         ,R                    ,                     ,                          ,                          ,P                            ,                        ,                          ,F                      ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,Pt1           ,182,1127,B, 35,X,CC,  40.00,    328.3300,Li       ,Planktonic Foraminifers                      ,C              ,G                 ,                    ,                        ,                       ,P                ,                  ,P                   ,                         ,                     ,                       ,                        ,P                      ,                           ,                            ,                     ,                       ,P                      ,                       ,                       ,                              ,                       ,                       ,                           ,                        ,P                         ,F                    ,                   ,                      ,P                                    ,P                     ,F                        ,P                   ,P                        ,R                    ,                     ,                          ,                          ,F                            ,                        ,                          ,F                      ,                    ,                    ,                         ,                             ,                         ,                        ,               ,                            ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
