Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiphora delicata,Polysphaeridium subtile,Palaeocystodinium golzowense,Lentinia wetzellii,Lejeunecysta hyalina,Hystrichosphaeridium tubiferum,Hystrichokolpoma rigaudiae,Hafniasphaera septata,Glaphyrocysta pastielsii,Glaphyrocysta ordinata,Diphyes colligerum,Deflandrea oebisfeldensis,Caligodinium amiculum,Areoligera senonensis,Apectodinium parvum,Apectodinium hyperacanthum,Apectodinium augustum,Comment
  SR,                 ,                 ,                  ,              ,104, 642,E,105,R, 5,  19.00,   1178.3800,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                     ,-                      ,+                           ,+                 ,+                   ,-                             ,-                         ,+                    ,-                       ,+                     ,-                 ,-                        ,-                    ,-                    ,-                  ,-                         ,+                    ,from ODP 104 SR Chapter 33 Table 1 p 666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,E,107,R, 1, 109.00,   1192.4900,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                     ,-                      ,-                           ,+                 ,-                   ,+                             ,+                         ,+                    ,-                       ,+                     ,-                 ,+                        ,-                    ,+                    ,-                  ,-                         ,+                    ,from ODP 104 SR Chapter 33 Table 1 p 666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,E,107,R, 2,  10.00,   1192.8900,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                     ,-                      ,+                           ,+                 ,+                   ,-                             ,-                         ,+                    ,-                       ,+                     ,-                 ,+                        ,+                    ,+                    ,+                  ,+                         ,+                    ,from ODP 104 SR Chapter 33 Table 1 p 666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,E,107,R, 2,  15.00,   1192.9399,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                     ,-                      ,-                           ,-                 ,-                   ,-                             ,-                         ,-                    ,-                       ,-                     ,-                 ,-                        ,-                    ,-                    ,-                  ,-                         ,+                    ,from ODP 104 SR Chapter 33 Table 1 p 666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,E,109,R, 1,  70.00,   1211.1000,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                     ,-                      ,+                           ,+                 ,+                   ,-                             ,-                         ,-                    ,-                       ,-                     ,-                 ,+                        ,-                    ,+                    ,-                  ,-                         ,-                    ,from ODP 104 SR Chapter 33 Table 1 p 666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,E,109,R, 1,  90.00,   1211.3000,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,+                     ,-                      ,-                           ,+                 ,-                   ,-                             ,-                         ,+                    ,-                       ,-                     ,-                 ,+                        ,+                    ,-                    ,-                  ,-                         ,+                    ,from ODP 104 SR Chapter 33 Table 1 p 666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,E,109,R, 1, 109.00,   1211.4900,Manum    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                     ,-                      ,-                           ,+                 ,+                   ,-                             ,-                         ,+                    ,-                       ,+                     ,-                 ,-                        ,+                    ,+                    ,-                  ,-                         ,+                    ,from ODP 104 SR Chapter 33 Table 1 p 666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
