Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Trochammina spp.	Hormosina ovulum-ovuloides	Haplophragmoides sp.	Glomospira gordialis	Verneuilinoides? sp.	Saccammina sp.	Saccammina placenta	Rhizammina spp.	Rhabdammina spp.	Recurvoides spp.	Paratrochamminoides spp.	Karrerulina conversa	Hormosina velascoensis	Glomospira irregularis	Glomospira charoides	Dorothia sp.	Dendrophrya excelsa	Aschemocella grandis	Aschemocella carpathica	Ammodiscus tenuissima	Ammodiscus cf. peruvianus	Reophax spp.	Haplophragmoides walteri	Arenobulimina sp.	Subreophax sp.	Subreophax scalaris	Paratrochamminoides acervulatus	Karrerulina conformis	Hyperammina subdiscreta	Conotrochammina whangai	Karrerulina horrida	Ammosphaeroidina sp.	Tolypammina? sp.	Kalamopsis grzybowskii	Hyperammina laevigata	Ammodiscus cf. pennyi	Ammodiscus cretaceus	Subreophax pseudoscalaris	Glomospira serpens	Reticulophragmium amplectens	Lituotuba lituiformis	Glomospirella sp.	Uvigerina peregrina	Trifarina angulosa	Stilostomella spp.	Stilostomella antillea	Spiroplectammina spp.	Siphotextularia rolshauseni	Pullenia subcarinata	Pullenia bulloides	Pleurostomella spp.	Oridorsalis umbonatus	Nuttallides umbonifera	Nonion spp.	Miliolid taxa	Lagena spp.	Hopkinsina spp.	Heronallenia crosbyi	Hanzawaia spp.	Gyroidina soldanii	Gavelinopsis cf. prageri	Florilus spp.	Fissurina spp.	Eponides weddellensis	Eponides tumidulus	Epistominella exigua	Discorbis spp.	Cibicidoides spp.	Cassidulina subglobosa	Bulimina alazanensis	Bolivina spp.	Uvigerina spp.	Tosaia hanzawai	Oolina spp.	Nonionella spp.	Nonion barleeanum	Lenticulina spp.	Gyroidina polius	Fursenkoina pontoni	Cassidulina reniforme	Bulimina aculeata	Brizalina spathulata	Brizalina lowmani	Bolivinita trunctum	Bolivina pygmaea	Bolivina inflata	Quinqueloculina seminulum	Eggerella bradyi	Cibicidoides mundulus	Turrila spp.	Epistominella takayanagii	Elphidium crispum	Brizalina pseudopunctata	Ammonia beccarii	Gyroidina spp.	Cibicidoides robertsonianus	Bolivina pseudoplicata	Laticarinina pauperata	Bulimina striata	Cibicides wuellerstorfi	Glandulina spp.	Dentalina spp.	Hyalina balthica	Uvigerina auberiana	Trifarina fluens	Stetsonia arctica	Quinqueloculina stalkeri	Pyrgo williamsoni	Nonionella atlantica	Fursenkoina fusiformis	Cassidulina spp.	Cassidulina laevigata	Bulimina marginata	Laticarinina halophora	Anomalina globulosa	Fursenkoina pauciloculata	Valvulineria laevigata	Bolivina arctica	Astrononion gallowayi	Bolivina decussata	Ammobaculites agglutinans	Spiroloculina spp.	Islandiella teretis	Nonion auriculata	Elphidium excavatum	Psammosphaera fusca	Comment

  SR	                 	                 	                  	              	149	 900	A	  4	R	 4	  21.00	     25.5100	Collins  	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	                           	                    	                  	                   	                     	33.3%                 	           	             	           	               	                    	              	66.7%             	                        	             	              	                     	                  	                    	              	                 	                      	                    	             	              	               	           	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	3 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 3. page 232.

  SR	                 	                 	                  	              	149	 900	A	  5	R	 1	 120.00	     31.6000	Collins  	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	.4%                        	3.7%                	2.5%              	                   	6.6%                 	3.3%                  	           	             	1.2%       	               	                    	              	6.2%              	                        	             	2.1%          	8.7%                 	4.1%              	1.7%                	              	                 	24.8%                 	                    	             	              	1.7%           	           	               	2.1%             	                	                	                   	                     	                 	8.3%                	                 	                   	                	                	.8%                      	.4%             	                     	            	                         	                 	.8%                     	                	              	                           	                      	                      	                	1.7%                   	               	.4%           	                	                   	2.9%            	2.9%             	.8%                     	.4%              	.8%                 	2.5%                  	                	5.0%                 	.4%               	                      	.4%                	                         	                      	                	.4%                  	1.7%              	                         	.4%               	                   	                 	                   	                   	5163 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 3. page 232.

  SR	                 	                 	                  	              	149	 900	A	  5	R	 3	 113.00	     34.5300	Collins  	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	2.7%                       	4.0%                	4.0%              	                   	.7%                  	45.6%                 	           	             	1.3%       	               	                    	              	2.7%              	                        	             	1.3%          	4.7%                 	3.4%              	9.4%                	              	                 	                      	                    	             	              	3.4%           	           	               	5.4%             	.7%             	                	                   	                     	                 	1.3%                	                 	                   	                	                	                         	.7%             	                     	            	                         	                 	1.3%                    	                	              	                           	                      	                      	                	2.7%                   	               	              	                	                   	                	1.3%             	                        	                 	                    	2.0%                  	                	                     	                  	                      	.7%                	.7%                      	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	88 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 3. page 232.

  SR	                 	                 	                  	              	149	 900	A	  6	R	 4	  64.00	     45.1400	Collins  	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	.4%                        	5.3%                	2.5%              	                   	1.4%                 	15.1%                 	           	             	1.8%       	               	                    	              	4.6%              	                        	             	3.2%          	4.6%                 	3.9%              	12.3%               	              	                 	10.2%                 	                    	             	              	1.1%           	.4%        	               	4.9%             	                	                	                   	                     	                 	6.3%                	                 	                   	                	                	                         	                	                     	            	                         	                 	.4%                     	                	              	.4%                        	                      	                      	                	3.5%                   	               	.7%           	                	                   	1.4%            	2.5%             	.7%                     	                 	.4%                 	3.5%                  	                	1.8%                 	1.4%              	                      	3.2%               	                         	.4%                   	                	                     	1.1%              	                         	.4%               	.7%                	                 	                   	                   	3564 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 3. page 232.

  SR	                 	                 	                  	              	149	 900	A	  7	R	 3	 111.00	     53.7100	Collins  	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	1.3%                       	10.5%               	1.3%              	                   	4.2%                 	7.9%                  	           	1.7%         	.8%        	               	                    	              	2.9%              	                        	             	3.3%          	20.1%                	2.9%              	6.7%                	.4%           	                 	6.3%                  	                    	             	              	2.1%           	.4%        	               	2.1%             	                	                	                   	                     	1.3%             	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	5.9%                    	                	              	                           	                      	                      	                	                       	               	              	                	                   	.4%             	.4%              	                        	.4%              	4.2%                	9.2%                  	                	.4%                  	.4%               	                      	                   	                         	                      	                	                     	2.1%              	.4%                      	                  	                   	                 	                   	                   	2249 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 3. page 232.

  SR	                 	                 	                  	              	149	 900	A	  8	R	 3	  36.00	     62.6600	Collins  	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	.7%                        	1.8%                	3.9%              	                   	7.5%                 	4.3%                  	           	.4%          	1.8%       	               	                    	              	2.1%              	                        	             	.4%           	8.9%                 	4.6%              	1.8%                	              	                 	7.8%                  	                    	             	              	.7%            	           	               	3.6%             	                	                	                   	                     	                 	1.8%                	                 	                   	                	                	.7%                      	                	                     	            	                         	                 	3.6%                    	                	              	.7%                        	                      	                      	                	4.3%                   	               	.4%           	                	                   	.7%             	.4%              	                        	1.1%             	.4%                 	6.0%                  	                	5.3%                 	.4%               	                      	4.3%               	                         	2.1%                  	17.4%           	.4%                  	                  	                         	                  	                   	                 	                   	                   	2810 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 3. page 232.

  SR	                 	                 	                  	              	149	 900	A	  9	R	 2	  26.00	     66.2600	Collins  	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	.3%                        	11.9%               	                  	                   	7.0%                 	9.1%                  	           	             	.3%        	               	                    	              	5.6%              	                        	             	2.4%          	27.6%                	4.5%              	10.5%               	              	                 	7.0%                  	                    	             	              	1.4%           	.3%        	               	1.0%             	                	                	                   	                     	                 	1.7%                	                 	                   	                	                	                         	                	                     	            	.3%                      	                 	                        	                	              	                           	                      	                      	                	1.0%                   	               	              	                	                   	2.1%            	                 	1.4%                    	.3%              	                    	1.7%                  	                	                     	                  	                      	1.7%               	                         	.3%                   	                	                     	                  	                         	                  	                   	                 	                   	                   	2860 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 3. page 232.

  SR	                 	                 	                  	              	149	 900	A	 10	R	 2	  97.00	     76.5700	Collins  	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	.8%                        	6.6%                	3.1%              	                   	8.9%                 	11.2%                 	           	             	.4%        	               	                    	              	6.2%              	                        	             	.4%           	23.2%                	2.7%              	18.9%               	              	                 	5.0%                  	                    	             	              	               	.4%        	               	3.9%             	                	                	                   	                     	                 	.4%                 	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	1.2%                   	               	.8%           	                	                   	                	                 	.4%                     	                 	1.9%                	                      	                	                     	                  	                      	3.1%               	.8%                      	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	3188 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 3. page 232.

  SR	                 	                 	                  	              	149	 900	A	 10	R	 4	  29.00	     78.8900	Collins  	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	.7%                        	5.6%                	                  	                   	5.0%                 	3.0%                  	           	             	.7%        	               	                    	              	10.6%             	                        	             	2.6%          	38.4%                	.3%               	15.6%               	              	                 	6.0%                  	                    	             	              	1.3%           	           	               	.3%              	                	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	1.7%                    	                	              	                           	                      	                      	                	1.3%                   	               	.3%           	                	                   	                	                 	1.7%                    	                 	2.0%                	.7%                   	                	                     	                  	.3%                   	2.0%               	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	5685 Total individuals/10 cm3. from 149 range table found in IODP storage.

  SR	                 	                 	                  	              	149	 900	A	 11	R	 4	  97.00	     89.1700	Collins  	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	1.3%                       	7.9%                	                  	                   	4.3%                 	9.2%                  	           	             	1.0%       	               	                    	              	10.6%             	                        	             	1.7%          	35.0%                	9.3%              	10.6%               	              	                 	3.6%                  	                    	             	              	1.0%           	.3%        	               	                 	                	                	                   	                     	                 	                    	                 	                   	                	                	.7%                      	                	                     	            	                         	                 	1.0%                    	                	              	                           	                      	                      	                	.3%                    	               	.7%           	                	                   	                	.3%              	                        	                 	1.0%                	.3%                   	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	2155 Total individuals/10 cm3. from 149 range table found in IODP storage.

  SR	                 	                 	                  	              	149	 900	A	 12	R	 4	  16.00	     98.0600	Collins  	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	5.2%                       	11.7%               	3.5%              	                   	13.1%                	.9%                   	           	             	.3%        	               	                    	              	13.4%             	                        	             	3.5%          	5.5%                 	                  	10.8%               	              	                 	14.0%                 	                    	             	              	.3%            	.3%        	               	.6%              	                	                	                   	                     	                 	8.4%                	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	                           	                      	                      	                	2.0%                   	               	1.2%          	                	.3%                	.6%             	.9%              	.9%                     	.9%              	.3%                 	.3%                   	.6%             	.3%                  	.3%               	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	2111 Total individuals/10 cm3. from 149 range table found in IODP storage.

  SR	                 	                 	                  	              	149	 900	A	 14	R	 5	 146.00	    120.1600	Collins  	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	1.2%              	2.9%                  	                     	                           	2.9%                	5.3%              	.4%                	6.6%                 	16.9%                 	.8%        	             	.4%        	               	                    	.4%           	                  	3.7%                    	             	1.6%          	9.1%                 	2.5%              	17.7%               	              	                 	8.6%                  	                    	2.5%         	1.2%          	1.2%           	           	               	                 	                	1.2%            	                   	1.2%                 	.8%              	                    	                 	                   	1.6%            	.4%             	                         	                	.8%                  	.8%         	                         	                 	                        	                	4.1%          	.4%                        	                      	                      	                	1.2%                   	               	.4%           	.4%             	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	4574 Total individuals/10 cm3. from 149 range table found in IODP storage.

  SR	                 	                 	                  	              	149	 900	A	 15	R	 3	 112.00	    126.5200	Collins  	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	                      	                     	                           	5.6%                	7.0%              	1.9%               	9.4%                 	7.0%                  	2.3%       	             	           	               	                    	              	7.5%              	                        	             	.9%           	17.8%                	.5%               	19.2%               	              	.5%              	10.3%                 	                    	             	.5%           	2.3%           	.9%        	               	.5%              	                	.9%             	                   	.5%                  	                 	                    	                 	                   	                	.5%             	                         	.5%             	.5%                  	            	                         	                 	                        	                	              	.5%                        	                      	.5%                   	                	                       	.5%            	.9%           	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	1794 Total individuals/10 cm3. from 149 range table found in IODP storage.

  SR	                 	                 	                  	              	149	 900	A	 17	R	 3	   8.00	    144.6800	Collins  	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	.3%               	                  	                      	                     	.6%                        	3.1%                	5.3%              	                   	2.2%                 	10.0%                 	           	.3%          	1.9%       	               	                    	              	4.4%              	                        	             	.6%           	41.6%                	                  	17.2%               	              	.3%              	7.5%                  	                    	             	.3%           	1.3%           	           	.6%            	.9%              	.3%             	                	                   	                     	                 	                    	                 	                   	                	                	                         	                	                     	            	                         	                 	                        	                	              	.3%                        	                      	                      	                	.6%                    	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	2844 Total individuals/10 cm3. from 149 range table found in IODP storage.

  SR	                 	                 	                  	              	149	 900	A	 19	R	 1	  14.00	    161.0400	Collins  	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	                  	                  	.3%                   	                     	.3%                        	10.7%               	6.9%              	.3%                	13.1%                	.7%                   	1.0%       	.3%          	           	               	                    	              	5.2%              	                        	             	1.7%          	1.7%                 	                  	24.6%               	              	5.9%             	15.9%                 	                    	             	              	2.8%           	1.4%       	               	2.8%             	                	1.4%            	                   	                     	                 	                    	                 	                   	                	                	                         	.3%             	                     	1.0%        	                         	                 	                        	                	              	.3%                        	                      	.7%                   	.3%             	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	1284 Total individuals/10 cm3. from 149 range table found in IODP storage.

  SR	                 	                 	                  	              	149	 900	A	 21	R	 1	  99.00	    181.2900	Collins  	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	.8%                	1.2%              	                  	2.0%                  	                     	                           	6.5%                	4.1%              	                   	13.8%                	4.5%                  	           	.4%          	           	.8%            	                    	              	1.2%              	                        	             	2.0%          	3.7%                 	                  	24.4%               	              	4.9%             	8.1%                  	                    	             	              	2.8%           	1.2%       	2.0%           	.8%              	.8%             	.8%             	                   	2.4%                 	.4%              	                    	                 	                   	                	                	                         	                	2.8%                 	.8%         	                         	                 	                        	                	4.5%          	2.0%                       	.4%                   	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	1944 Total individuals/10 cm3. from 149 range table found in IODP storage.

  SR	                 	                 	                  	              	149	 900	A	 22	R	 1	 102.00	    190.9200	Collins  	Benthic Foraminifers                         	               	                  	                	                          	                    	                    	                    	              	                   	               	                	                	                        	                    	                      	                      	                    	            	                   	                    	                       	                     	                         	            	                        	                 	              	                   	                               	                     	                       	                       	                   	                    	                	                      	                     	                     	                    	                         	                  	                            	                     	                 	                   	3.0%              	                  	1.0%                  	                     	                           	.5%                 	1.0%              	                   	1.5%                 	1.5%                  	3.0%       	             	           	               	                    	4.5%          	1.5%              	                        	6.5%         	              	                     	                  	.5%                 	              	2.0%             	8.5%                  	                    	13.9%        	              	               	           	               	.5%              	                	                	                   	9.0%                 	                 	10.0%               	                 	                   	                	.5%             	                         	                	7.0%                 	.5%         	13.4%                    	1.0%             	7.5%                    	.5%             	              	                           	                      	                      	                	                       	               	              	                	                   	                	                 	                        	                 	                    	                      	                	                     	                  	                      	                   	                         	                      	                	                     	                  	                         	                  	                   	                 	                   	                   	9895 Total individuals/10 cm3. from 149 range table found in IODP storage.

