Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix longissima,Thalassiosira spp.,Thalassiosira oestrupii s. ampl.,Thalassiosira leptopus s. ampl.,Thalassiosira latimarginata,Thalassiosira eccentrica,Thalassionema nitzschioides,Stephanopyxis spp.,Stellarima spp.,Rhizosolenia spp.,Nitzschia jouseae,Nitzschia cylindrica,Neodenticula koizumii,Neodenticula kamtschatica,Coscinodiscus marginatus,Chaetoceros spores,Azpeitia nodulifera,Actinoptychus spp.,Actinocyclus curvatulus,Simonseniella barboi,Nitzschia spp.,Astl. and Astp. spp,Thalassiosira nidulus,Thalassiosira jacksonii,Benthic diatoms,Azpeitia tabularis,Paralia sulcata,Nitzschia fossilis,Thalassiosira convexa,Actinocyclus ellipticus,Hemidiscus cuneiformis,Actinocyclus octonarius,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 1,   5.00,    131.4500,Barron   ,Diatoms                                      ,               ,                  ,1.6%                     ,2.0%              ,.7%                             ,                               ,5.9%                       ,.3%                     ,2.6%                       ,.7%               ,               ,.7%              ,                 ,.3%                 ,.3%                  ,74.5%                    ,7.5%                    ,.7%               ,                   ,                  ,.7%                    ,                    ,              ,                   ,                     ,                       ,.3%            ,                  ,               ,                  ,                     ,                       ,.3%                   ,                       ,Others = 1%; Total count = 306; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 1,  45.00,    131.8500,Barron   ,Diatoms                                      ,               ,                  ,4.0%                     ,2.3%              ,2.3%                            ,1.0%                           ,3.7%                       ,1.0%                    ,1.3%                       ,.3%               ,               ,                 ,                 ,                    ,1.0%                 ,74.8%                    ,5.6%                    ,.3%               ,                   ,                  ,1.0%                   ,.3%                 ,              ,.7%                ,                     ,                       ,               ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Others = 0.3%; Total count = 301; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 1,  85.00,    132.2500,Barron   ,Diatoms                                      ,               ,                  ,7.6%                     ,1.3%              ,.3%                             ,.3%                            ,2.6%                       ,.7%                     ,2.0%                       ,.3%               ,               ,.3%              ,                 ,                    ,.7%                  ,76.9%                    ,4.0%                    ,.3%               ,                   ,                  ,1.0%                   ,                    ,              ,1.0%               ,                     ,                       ,               ,.3%               ,               ,                  ,                     ,                       ,                      ,                       ,Others = 0.3%; Total count = 303; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 1, 125.00,    132.6500,Barron   ,Diatoms                                      ,               ,                  ,2.7%                     ,2.3%              ,2.0%                            ,.3%                            ,5.0%                       ,                        ,3.7%                       ,.7%               ,               ,1.0%             ,                 ,                    ,15.3%                ,56.1%                    ,7.6%                    ,1.0%              ,                   ,                  ,.7%                    ,.3%                 ,.3%           ,.3%                ,                     ,                       ,               ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Others = 0.7%; Total count = 301; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 2,  15.00,    133.0500,Barron   ,Diatoms                                      ,               ,                  ,2.0%                     ,1.7%              ,1.7%                            ,.7%                            ,2.3%                       ,                        ,3.6%                       ,                  ,               ,                 ,                 ,                    ,4.6%                 ,65.2%                    ,14.2%                   ,1.0%              ,                   ,                  ,1.0%                   ,                    ,              ,1.0%               ,                     ,                       ,               ,                  ,               ,                  ,                     ,                       ,                      ,.3%                    ,Others = 0.7%; Total count = 302; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 2,  51.00,    133.4100,Barron   ,Diatoms                                      ,               ,                  ,2.3%                     ,1.0%              ,1.6%                            ,2.3%                           ,2.0%                       ,.7%                     ,4.2%                       ,1.3%              ,               ,                 ,                 ,                    ,2.6%                 ,62.1%                    ,16.7%                   ,1.0%              ,                   ,                  ,.7%                    ,.3%                 ,              ,.7%                ,                     ,                       ,.3%            ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Others = 0.3%; Total count = 306; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 2,  91.00,    133.8100,Barron   ,Diatoms                                      ,               ,                  ,2.3%                     ,2.3%              ,3.3%                            ,1.6%                           ,1.6%                       ,.3%                     ,6.5%                       ,.7%               ,               ,1.3%             ,                 ,                    ,1.6%                 ,61.6%                    ,9.1%                    ,.3%               ,                   ,                  ,3.6%                   ,.3%                 ,              ,1.6%               ,                     ,.3%                    ,.3%            ,                  ,               ,                  ,                     ,                       ,                      ,.3%                    ,Others = 1%; Total count = 307; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 2, 135.00,    134.2500,Barron   ,Diatoms                                      ,               ,                  ,.7%                      ,2.3%              ,1.3%                            ,.7%                            ,2.6%                       ,                        ,1.0%                       ,.7%               ,               ,.3%              ,                 ,                    ,.7%                  ,73.4%                    ,13.2%                   ,.7%               ,                   ,                  ,1.0%                   ,                    ,.7%           ,                   ,                     ,                       ,.3%            ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Others = 0.7%; Total count = 304; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 3,  25.00,    134.6500,Barron   ,Diatoms                                      ,               ,                  ,2.7%                     ,2.3%              ,2.0%                            ,2.0%                           ,1.3%                       ,1.0%                    ,3.7%                       ,.7%               ,               ,                 ,                 ,                    ,.7%                  ,66.1%                    ,11.6%                   ,1.0%              ,                   ,                  ,.3%                    ,1.0%                ,.3%           ,.7%                ,.3%                  ,                       ,.3%            ,                  ,               ,.7%               ,                     ,                       ,.7%                   ,                       ,Others = 0.7%; Total count = 301; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 3,  65.00,    135.0500,Barron   ,Diatoms                                      ,               ,                  ,3.3%                     ,2.0%              ,2.3%                            ,1.3%                           ,2.0%                       ,1.0%                    ,.7%                        ,.3%               ,               ,.7%              ,                 ,                    ,1.0%                 ,69.4%                    ,10.9%                   ,1.3%              ,                   ,                  ,.7%                    ,                    ,.7%           ,1.0%               ,.3%                  ,                       ,1.0%           ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Others = 0.3%; Total count = 304; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 3, 102.00,    135.4200,Barron   ,Diatoms                                      ,               ,                  ,2.6%                     ,3.0%              ,3.6%                            ,1.0%                           ,.7%                        ,.3%                     ,3.6%                       ,                  ,               ,.7%              ,                 ,                    ,.7%                  ,73.6%                    ,7.6%                    ,                  ,                   ,                  ,.3%                    ,                    ,.3%           ,.7%                ,                     ,                       ,.7%            ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Others = 0.7%; Total count = 303; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 3, 145.00,    135.8500,Barron   ,Diatoms                                      ,               ,                  ,2.7%                     ,1.0%              ,2.0%                            ,1.3%                           ,.7%                        ,.7%                     ,1.3%                       ,.7%               ,               ,.3%              ,                 ,                    ,1.0%                 ,76.3%                    ,8.3%                    ,3.0%              ,                   ,                  ,                       ,                    ,.7%           ,                   ,                     ,                       ,               ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Total count = 300; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 4,  35.00,    136.2500,Barron   ,Diatoms                                      ,               ,                  ,.7%                      ,1.3%              ,2.0%                            ,.3%                            ,1.0%                       ,.3%                     ,1.3%                       ,                  ,               ,.3%              ,.3%              ,                    ,1.0%                 ,81.8%                    ,4.6%                    ,1.7%              ,                   ,.3%               ,                       ,                    ,              ,.7%                ,                     ,                       ,.7%            ,                  ,.3%            ,                  ,                     ,                       ,                      ,                       ,Others = 1.3%; Total count = 302; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 4,  75.00,    136.6500,Barron   ,Diatoms                                      ,               ,                  ,                         ,.7%               ,1.7%                            ,                               ,1.0%                       ,1.0%                    ,                           ,                  ,               ,.3%              ,.7%              ,                    ,5.3%                 ,84.2%                    ,4.3%                    ,                  ,                   ,                  ,                       ,                    ,              ,                   ,                     ,                       ,.3%            ,                  ,               ,                  ,.3%                  ,                       ,                      ,                       ,Others = 0.3%; Total count = 303; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 4, 111.00,    137.0100,Barron   ,Diatoms                                      ,               ,                  ,1.0%                     ,1.3%              ,1.7%                            ,.3%                            ,.3%                        ,.3%                     ,2.0%                       ,.3%               ,               ,                 ,                 ,                    ,6.3%                 ,67.7%                    ,16.8%                   ,.7%               ,                   ,                  ,.3%                    ,                    ,              ,.7%                ,                     ,                       ,               ,                  ,               ,                  ,                     ,                       ,.3%                   ,                       ,Total count = 303; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 5,   5.00,    137.4500,Barron   ,Diatoms                                      ,               ,                  ,1.7%                     ,1.0%              ,1.0%                            ,.7%                            ,2.3%                       ,                        ,4.3%                       ,.3%               ,               ,.7%              ,                 ,                    ,6.6%                 ,76.2%                    ,2.0%                    ,1.0%              ,                   ,                  ,1.0%                   ,                    ,.3%           ,                   ,                     ,                       ,.3%            ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Others = 0.7%; Total count = 303; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 5,  46.00,    137.8600,Barron   ,Diatoms                                      ,               ,                  ,.7%                      ,.7%               ,1.7%                            ,1.0%                           ,2.0%                       ,                        ,4.3%                       ,1.0%              ,               ,1.0%             ,                 ,                    ,10.6%                ,63.1%                    ,11.6%                   ,.3%               ,                   ,                  ,1.3%                   ,                    ,.3%           ,.3%                ,                     ,                       ,               ,                  ,               ,                  ,                     ,.3%                    ,                      ,                       ,Total count = 301; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 5,  86.00,    138.2600,Barron   ,Diatoms                                      ,               ,                  ,1.3%                     ,2.0%              ,2.3%                            ,2.0%                           ,2.0%                       ,.3%                     ,3.0%                       ,1.0%              ,               ,.7%              ,.3%              ,                    ,7.3%                 ,60.6%                    ,12.9%                   ,.3%               ,                   ,                  ,1.3%                   ,                    ,.3%           ,1.0%               ,                     ,                       ,.7%            ,                  ,               ,                  ,.7%                  ,                       ,                      ,                       ,Total count = 302; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 5, 126.00,    138.6600,Barron   ,Diatoms                                      ,               ,                  ,4.0%                     ,3.0%              ,1.3%                            ,3.3%                           ,1.7%                       ,.3%                     ,6.6%                       ,                  ,               ,2.0%             ,                 ,                    ,4.0%                 ,52.1%                    ,14.9%                   ,3.0%              ,                   ,.3%               ,2.6%                   ,                    ,.3%           ,.3%                ,                     ,                       ,               ,                  ,               ,                  ,.3%                  ,                       ,                      ,                       ,Total count = 303; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 6,  15.00,    139.0500,Barron   ,Diatoms                                      ,               ,                  ,2.0%                     ,2.3%              ,.3%                             ,3.3%                           ,.7%                        ,.3%                     ,7.9%                       ,                  ,               ,                 ,.3%              ,                    ,2.6%                 ,60.9%                    ,11.2%                   ,2.0%              ,                   ,.3%               ,1.0%                   ,1.6%                ,.7%           ,1.0%               ,                     ,.3%                    ,.3%            ,                  ,               ,                  ,.3%                  ,                       ,                      ,                       ,Others = 0.7%; Total count = 304; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 6,  50.00,    139.4000,Barron   ,Diatoms                                      ,               ,                  ,1.6%                     ,2.3%              ,2.3%                            ,4.6%                           ,1.0%                       ,.7%                     ,4.6%                       ,.3%               ,               ,.7%              ,                 ,                    ,4.9%                 ,57.3%                    ,10.4%                   ,3.3%              ,                   ,.7%               ,2.3%                   ,                    ,.3%           ,1.3%               ,                     ,.3%                    ,.3%            ,                  ,               ,                  ,.7%                  ,                       ,                      ,                       ,Others = 0.3%; Total count = 307; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 6,  91.00,    139.8100,Barron   ,Diatoms                                      ,               ,                  ,1.0%                     ,3.0%              ,.3%                             ,3.6%                           ,1.0%                       ,1.0%                    ,2.3%                       ,1.0%              ,               ,                 ,                 ,                    ,2.3%                 ,64.7%                    ,13.9%                   ,3.0%              ,                   ,                  ,1.3%                   ,                    ,.3%           ,.7%                ,                     ,                       ,               ,                  ,               ,.3%               ,.3%                  ,                       ,                      ,                       ,Total count = 303; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 7,  35.00,    140.2500,Barron   ,Diatoms                                      ,               ,                  ,.7%                      ,1.0%              ,1.3%                            ,.7%                            ,                           ,.7%                     ,3.3%                       ,                  ,               ,.7%              ,                 ,.3%                 ,4.0%                 ,82.0%                    ,1.7%                    ,2.3%              ,                   ,                  ,.3%                    ,                    ,.3%           ,                   ,                     ,                       ,               ,                  ,               ,                  ,.3%                  ,                       ,                      ,                       ,Others = 0.3%; Total count = 300; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 7,  66.00,    140.5600,Barron   ,Diatoms                                      ,               ,                  ,.7%                      ,2.3%              ,2.3%                            ,.7%                            ,.7%                        ,1.3%                    ,3.7%                       ,.3%               ,               ,.3%              ,.3%              ,                    ,1.3%                 ,73.3%                    ,6.0%                    ,3.0%              ,                   ,                  ,1.0%                   ,.3%                 ,.7%           ,.3%                ,                     ,                       ,.7%            ,                  ,               ,                  ,.3%                  ,                       ,                      ,                       ,Others = 0.3%; Total count = 300; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 1,   5.00,    140.9500,Barron   ,Diatoms                                      ,               ,                  ,3.3%                     ,2.3%              ,1.3%                            ,.7%                            ,1.0%                       ,.7%                     ,1.7%                       ,.3%               ,               ,.3%              ,                 ,                    ,2.6%                 ,76.2%                    ,4.6%                    ,3.0%              ,                   ,                  ,.3%                    ,.7%                 ,.7%           ,.3%                ,                     ,                       ,               ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Total count = 303; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 1,  45.00,    141.3500,Barron   ,Diatoms                                      ,               ,                  ,1.7%                     ,2.3%              ,2.7%                            ,3.0%                           ,1.0%                       ,                        ,3.7%                       ,                  ,               ,.3%              ,                 ,                    ,1.0%                 ,75.4%                    ,5.6%                    ,1.3%              ,                   ,.3%               ,.3%                    ,                    ,.3%           ,.7%                ,                     ,                       ,               ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Others = 0.3%; Total count = 301; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 1,  85.00,    141.7500,Barron   ,Diatoms                                      ,               ,                  ,3.3%                     ,3.6%              ,2.6%                            ,3.6%                           ,                           ,1.7%                    ,4.0%                       ,                  ,               ,.3%              ,                 ,                    ,.7%                  ,65.2%                    ,9.3%                    ,2.0%              ,                   ,.3%               ,2.0%                   ,.3%                 ,.3%           ,.3%                ,                     ,                       ,               ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Others = 0.3%; Total count = 302; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 1, 125.00,    142.1500,Barron   ,Diatoms                                      ,               ,                  ,4.0%                     ,2.3%              ,3.3%                            ,2.0%                           ,                           ,1.3%                    ,5.0%                       ,.3%               ,               ,.7%              ,                 ,                    ,.7%                  ,71.3%                    ,5.6%                    ,1.3%              ,                   ,                  ,.7%                    ,                    ,              ,.3%                ,                     ,                       ,.7%            ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Others = 0.7%; Total count = 303; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 2,  15.00,    142.5500,Barron   ,Diatoms                                      ,               ,                  ,.7%                      ,2.6%              ,2.0%                            ,3.6%                           ,1.0%                       ,1.3%                    ,3.3%                       ,.3%               ,               ,1.3%             ,                 ,                    ,.7%                  ,73.7%                    ,6.3%                    ,1.3%              ,                   ,.3%               ,                       ,.3%                 ,.3%           ,                   ,.3%                  ,.3%                    ,.3%            ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Total count = 304; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 2,  50.00,    142.9000,Barron   ,Diatoms                                      ,               ,                  ,1.0%                     ,.7%               ,2.6%                            ,.7%                            ,                           ,.3%                     ,1.3%                       ,                  ,               ,.3%              ,                 ,                    ,2.0%                 ,86.8%                    ,2.0%                    ,1.0%              ,                   ,                  ,                       ,                    ,.3%           ,.3%                ,                     ,                       ,.3%            ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Others = 0.3%; Total count = 302; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 2,  90.00,    143.3000,Barron   ,Diatoms                                      ,               ,                  ,1.0%                     ,1.7%              ,.7%                             ,1.0%                           ,.3%                        ,                        ,1.0%                       ,.3%               ,               ,                 ,                 ,                    ,2.0%                 ,86.8%                    ,3.3%                    ,.3%               ,                   ,.3%               ,1.0%                   ,.3%                 ,.3%           ,                   ,                     ,                       ,               ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Total count = 303; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 2, 135.00,    143.7500,Barron   ,Diatoms                                      ,               ,                  ,2.0%                     ,1.3%              ,2.0%                            ,4.0%                           ,.7%                        ,                        ,4.0%                       ,                  ,               ,.7%              ,                 ,                    ,2.0%                 ,65.6%                    ,14.6%                   ,1.3%              ,                   ,                  ,1.0%                   ,                    ,.3%           ,                   ,                     ,                       ,.3%            ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Total count = 302; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 3,  25.00,    144.1500,Barron   ,Diatoms                                      ,               ,                  ,2.6%                     ,3.3%              ,3.3%                            ,2.6%                           ,                           ,1.0%                    ,3.3%                       ,                  ,               ,                 ,                 ,                    ,.7%                  ,71.2%                    ,9.2%                    ,.7%               ,                   ,                  ,.7%                    ,.3%                 ,              ,.7%                ,                     ,.3%                    ,.3%            ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Total count = 306; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 3,  65.00,    144.5500,Barron   ,Diatoms                                      ,               ,                  ,1.3%                     ,2.3%              ,1.0%                            ,1.7%                           ,1.0%                       ,.7%                     ,3.3%                       ,1.7%              ,               ,.3%              ,.3%              ,.3%                 ,2.7%                 ,69.1%                    ,12.0%                   ,1.7%              ,                   ,                  ,                       ,                    ,              ,.7%                ,                     ,                       ,               ,                  ,               ,                  ,                     ,                       ,                      ,                       ,Total count = 301; From Leg 145 SR; Ch 3; Table 3; p. 47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
