Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Acarinina nitida,Morozovella quetra,Subbotina velascoensis,Acarinina mckannai-subsphaerica,Morozovella subbotinae,Acarinina soldadoensis,Acarinina primitiva,Morozovella aragonensis,Acarinina triplex,Muricoglobigerina senni,Acarinina pentacamerata,Acarinina wilcoxensis,Morozovella lensiformis,Morozovella formosa gracilis,Morozovella caucasica,Acarinina matthewsae,Subbotina linaperta,Subbotina eocaenica,Globigerina lozanoi,Globorotaloides sp. aff. carcosellensis,Catapsydrax martini,Acarinina rugosoaculeata,Truncorotaloides rohri,Globorotaloides suteri,Acarinina bullbrooki,Subbotina hagni,Catapsydrax unicavus,Turborotalia cerroazulensis frontosa,Subbotina angiporoides minima,Turborotalia griffinae,Subbotina eocaena,Pseudohastigerina micra,Globigerinatheka index,Globigerina praebulloides,Tenuitella gemma,Globorotaloides testarugosa,Globigerina angustiumbilicata,Dentoglobigerina galavisi,Neogloboquadrina pachyderma (dextral),Neogloboquadrina atlantica (sinistral),Neogloboquadrina atlantica (dextral),Globorotalia scitula,Globigerinita glutinata,Globigerina umbilicata,Globigerina bulloides,Neogloboquadrina pachyderma (sinistral),Globigerina incisa,Orbulina spp.,Globigerina quinqueloba,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 14,H, 2,  15.00,    123.5500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,28                                   ,79                                    ,126                                 ,1                   ,10                     ,3                     ,49                   ,3                                      ,2                 ,             ,1                      ,Not identified =  1; Total count = 303; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 14,H, 2,  55.00,    123.9500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,3                                    ,44                                    ,44                                  ,                    ,9                      ,12                    ,20                   ,4                                      ,2                 ,             ,2                      ,Not identified =  4; Total count = 144; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 14,H, 2,  90.00,    124.3000,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,20                                   ,100                                   ,122                                 ,                    ,18                     ,18                    ,46                   ,1                                      ,5                 ,             ,                       ,Not identified =  1; Total count = 331; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 14,H, 2, 135.00,    124.7500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,12                                   ,98                                    ,102                                 ,1                   ,12                     ,19                    ,46                   ,6                                      ,3                 ,             ,6                      ,Not identified =  3; Total count = 308; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 14,H, 3,  25.00,    125.1500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,14                                   ,75                                    ,59                                  ,1                   ,15                     ,29                    ,98                   ,3                                      ,3                 ,             ,2                      ,Not identified =  3; Total count = 302; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 14,H, 3,  65.00,    125.5500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,10                                   ,95                                    ,99                                  ,                    ,24                     ,15                    ,52                   ,1                                      ,                  ,             ,2                      ,Not identified =  3; Total count = 301; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 14,H, 3, 102.00,    125.9200,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,23                                   ,16                                    ,41                                  ,2                   ,22                     ,12                    ,171                  ,                                       ,                  ,             ,                       ,Not identified =  0; Total count = 287; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 14,H, 3, 145.00,    126.3500,Ishman   ,Planktonic Foraminifers                      ,               ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,5                                    ,20                                    ,62                                  ,                    ,33                     ,13                    ,34                   ,1                                      ,                  ,             ,                       ,Not identified =  1; Total count = 169; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 14,H, 4, 110.00,    127.5000,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,34                                    ,30                                  ,1                   ,7                      ,22                    ,63                   ,5                                      ,                  ,             ,                       ,Not identified =  0; Total count = 162; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 14,H, 5,  45.00,    128.3500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,11                                   ,11                                    ,48                                  ,1                   ,16                     ,21                    ,201                  ,                                       ,                  ,1            ,                       ,Not identified =  0; Total count = 310; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 14,H, 5, 125.00,    129.1500,Ishman   ,Planktonic Foraminifers                      ,               ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,12                                   ,28                                    ,75                                  ,                    ,52                     ,22                    ,116                  ,2                                      ,1                 ,             ,                       ,Not identified =  0; Total count = 308; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 14,H, 6,  55.00,    129.9500,Ishman   ,Planktonic Foraminifers                      ,               ,P                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,12                                   ,15                                    ,58                                  ,5                   ,23                     ,27                    ,170                  ,                                       ,                  ,             ,                       ,Not identified =  1; Total count = 311; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 14,H, 6, 136.00,    130.7600,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,17                                   ,36                                    ,104                                 ,                    ,24                     ,42                    ,98                   ,1                                      ,                  ,2            ,                       ,Not identified =  7; Total count = 331; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 14,H, 7,  65.00,    131.5500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,9                                    ,13                                    ,44                                  ,2                   ,16                     ,78                    ,185                  ,                                       ,                  ,2            ,                       ,Not identified =  1; Total count = 350; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 1,  45.00,    131.8500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,40                                   ,61                                    ,37                                  ,1                   ,13                     ,32                    ,124                  ,                                       ,                  ,             ,                       ,Not identified =  0; Total count = 308; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 2,  15.00,    133.0500,Ishman   ,Planktonic Foraminifers                      ,               ,G                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,28                                   ,94                                    ,113                                 ,1                   ,17                     ,20                    ,39                   ,6                                      ,6                 ,             ,                       ,Not identified =  2; Total count = 326; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 2, 135.00,    134.2500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,18                                   ,13                                    ,65                                  ,1                   ,9                      ,65                    ,188                  ,3                                      ,                  ,             ,1                      ,Not identified =  0; Total count = 363; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 3,  25.00,    134.6500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,19                                   ,96                                    ,85                                  ,1                   ,15                     ,16                    ,71                   ,2                                      ,1                 ,             ,                       ,Not identified =  1; Total count = 307; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 3, 102.00,    135.4200,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,9                                    ,112                                   ,84                                  ,7                   ,2                      ,20                    ,78                   ,4                                      ,4                 ,             ,                       ,Not identified =  6; Total count = 326; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 4,  35.00,    136.2500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,5                                    ,64                                    ,81                                  ,5                   ,17                     ,28                    ,105                  ,3                                      ,2                 ,             ,2                      ,Not identified =  4; Total count = 316; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 4, 111.00,    137.0100,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,8                                    ,92                                    ,97                                  ,3                   ,11                     ,18                    ,102                  ,1                                      ,1                 ,             ,1                      ,Not identified =  5; Total count = 339; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 5,  46.00,    137.8600,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,2                                    ,99                                    ,91                                  ,1                   ,11                     ,26                    ,130                  ,1                                      ,1                 ,             ,                       ,Not identified =  0; Total count = 362; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 5, 126.00,    138.6600,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,1                                    ,111                                   ,83                                  ,2                   ,7                      ,23                    ,117                  ,1                                      ,                  ,4            ,                       ,Not identified =  3; Total count = 352; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 6,  50.00,    139.4000,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,9                                    ,32                                    ,54                                  ,                    ,21                     ,17                    ,175                  ,1                                      ,                  ,             ,                       ,Not identified =  1; Total count = 310; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 15,H, 7,  35.00,    140.2500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,6                                    ,67                                    ,99                                  ,1                   ,28                     ,17                    ,87                   ,1                                      ,                  ,             ,                       ,Not identified =  1; Total count = 307; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 1,   5.00,    140.9500,Ishman   ,Planktonic Foraminifers                      ,               ,G                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,7                                    ,11                                    ,42                                  ,1                   ,3                      ,42                    ,203                  ,1                                      ,1                 ,             ,                       ,Not identified =  1; Total count = 312; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 1,  85.00,    141.7500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,10                                   ,35                                    ,13                                  ,                    ,8                      ,32                    ,193                  ,1                                      ,                  ,             ,                       ,Not identified =  3; Total count = 295; from Leg 145 SR; ch 8; Table 1; p. 142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,B, 16,H, 2,  15.00,    142.5500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,                ,                  ,                      ,                               ,                      ,                      ,                   ,                       ,                 ,                       ,                       ,                     ,                       ,                            ,                     ,                    ,                   ,                   ,                   ,                                       ,                   ,                        ,                      ,                      ,                    ,               ,                    ,                                    ,                             ,                      ,                 ,                       ,                      ,                         ,                ,                           ,                             ,                         ,                                     ,127                                   ,84                                  ,                    ,9                      ,16                    ,77                   ,                                       ,2                 ,             ,                       ,Not identified =  1; Total count = 316; from Leg 145 SR; ch 8; Table 1; p. 142
