Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Unidentified benthic forams,Ammodiscus cretaceus,Alabamina spp.,Tube-shaped species,Textularia spp.,Spiroplectammina spectabilis,Reophax spp.,Hormosina spp.,Ammobaculites subcretaceus,Ammobaculites spp.,Trochammina spp.,Rzehakina epigona,Pyrulina spp.,Gyroidinoides spp.,Hyperammina spp.,Haplophragmoides spp.,miolinids unknown,Recurvoides sp.,Paratrochamminoides spp.,Glomospira spp.,Ammodiscus tenuissima,Uvigerinammina spp.,Trochammina globigeriniformis,Praebulimina sp.,Karrerulina conversa,Haplophragmoides walteri,Glomospira charoides,Gavelinella spp.,Ammovertellina sp.,Nodosaria spp.,Eponides spp.,Buliminella spp.,Bolivina spp.,Bifarina sp.,Astacolus sp.,Astacolus jarvisi,Gyroidina sp.,polymorhinids xxx,Uvigerina spp.,Gavelinella beccariiformis,Cibicidoides spp.,Cibicides spp.,Aragonia velascoensis,Pullenia spp.,Pullenia cretacea,Lenticulina spp.,Heterolepa sp.,Globorotalites spp.,Epistomina sp.,Conorbina spp.,Saccammina spp.,Eggerella spp.,Spiroplectammina spp.,Silicosigmoilina spp.,Haplophragmoides porrectus,Ammodiscus spp.,Rosalina spp.,Rhizammina sp.,Astrononion spp.,Trifarina spp.,Astrononion novozealandicum,Globocassidulina subglobosa,Hyperammina kenmilleri,Cyclammina amplectans,Cribrostomoides spp.,Lituotuba spp.,Lagenammina spp.,Glomospira gordialis,Cyclammina spp.,Oridorsalis umbonatus,Globobulimina affinis,Cibicidoides praemundulus,Bulimina tuxpamensis,Astrononion sp.A,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,210,1276,A,  8,R,CC,  15.00,    866.2800,benthics ,Benthic Foraminifers                         ,C              ,M                 ,4                          ,                    ,              ,                   ,               ,                            ,            ,              ,                          ,                  ,                ,                 ,             ,                  ,                ,                     ,                 ,               ,                        ,               ,                     ,                   ,                             ,                ,                    ,                        ,                    ,                ,                  ,              ,             ,                ,             ,            ,             ,                 ,             ,                 ,              ,                          ,                 ,55            ,                     ,             ,                 ,                ,              ,                   ,              ,              ,               ,              ,                     ,                     ,                          ,               ,1            ,              ,                ,              ,1                          ,4                          ,                      ,                     ,                    ,              ,                ,                    ,               ,                     ,                     ,                         ,                    ,                ,Sandstone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,210,1276,A,  9,R,CC,  14.00,    877.0600,benthics ,Benthic Foraminifers                         ,R              ,M                 ,1                          ,                    ,              ,2                  ,               ,                            ,            ,              ,                          ,                  ,                ,                 ,             ,                  ,                ,                     ,                 ,               ,                        ,               ,                     ,                   ,                             ,                ,                    ,                        ,                    ,                ,                  ,              ,             ,                ,             ,            ,             ,                 ,             ,                 ,              ,                          ,                 ,5             ,                     ,             ,                 ,                ,              ,                   ,              ,              ,               ,              ,                     ,                     ,                          ,               ,1            ,              ,+               ,              ,4                          ,                           ,                      ,                     ,                    ,              ,                ,                    ,               ,                     ,                     ,                         ,                    ,                ,Sandstone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,210,1276,A, 10,R,CC,   0.00,    885.3700,benthics ,Benthic Foraminifers                         ,T              ,P                 ,                           ,                    ,              ,2                  ,               ,                            ,            ,              ,                          ,                  ,                ,                 ,             ,                  ,                ,2                    ,                 ,               ,                        ,               ,                     ,                   ,                             ,                ,                    ,                        ,                    ,                ,                  ,              ,             ,                ,             ,            ,             ,                 ,             ,                 ,              ,                          ,                 ,              ,                     ,             ,                 ,                ,              ,                   ,              ,              ,               ,              ,                     ,                     ,                          ,               ,             ,              ,2               ,              ,                           ,                           ,                      ,                     ,                    ,              ,                ,                    ,               ,                     ,                     ,                         ,                    ,                ,Mudstone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,210,1276,A, 11,R,CC,  21.00,    894.7900,benthics ,Benthic Foraminifers                         ,T              ,P                 ,                           ,                    ,              ,1                  ,               ,                            ,            ,              ,                          ,                  ,                ,                 ,             ,                  ,                ,                     ,                 ,               ,                        ,               ,                     ,                   ,                             ,                ,                    ,                        ,                    ,                ,                  ,              ,             ,                ,             ,            ,             ,                 ,             ,                 ,              ,                          ,                 ,              ,                     ,             ,                 ,                ,              ,                   ,              ,              ,               ,              ,                     ,                     ,                          ,               ,             ,              ,                ,2             ,                           ,                           ,                      ,                     ,                    ,              ,                ,                    ,               ,                     ,                     ,                         ,                    ,                ,Mudstone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,210,1276,A, 12,R,CC,  14.00,    902.8300,benthics ,Benthic Foraminifers                         ,F              ,P                 ,4                          ,                    ,              ,                   ,               ,                            ,            ,              ,                          ,                  ,                ,                 ,             ,                  ,                ,1                    ,                 ,               ,                        ,               ,                     ,                   ,                             ,                ,                    ,                        ,                    ,                ,                  ,              ,             ,                ,             ,            ,             ,                 ,             ,                 ,              ,                          ,                 ,18            ,                     ,             ,                 ,                ,              ,                   ,              ,              ,               ,              ,                     ,                     ,                          ,               ,             ,1             ,2               ,              ,                           ,                           ,                      ,                     ,                    ,              ,                ,                    ,               ,                     ,                     ,                         ,                    ,                ,Sandstone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,210,1276,A, 13,R,CC,  30.00,    910.6900,benthics ,Benthic Foraminifers                         ,R              ,P                 ,11                         ,                    ,              ,                   ,               ,                            ,            ,              ,                          ,                  ,                ,                 ,             ,                  ,                ,                     ,                 ,               ,                        ,               ,                     ,                   ,                             ,                ,                    ,                        ,                    ,                ,                  ,              ,             ,                ,             ,            ,             ,                 ,             ,                 ,              ,                          ,                 ,17            ,                     ,             ,                 ,                ,              ,                   ,              ,              ,               ,              ,                     ,                     ,                          ,               ,1            ,              ,                ,              ,                           ,                           ,                      ,                     ,                    ,              ,                ,                    ,               ,                     ,                     ,                         ,                    ,                ,Sandstone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,210,1276,A, 14,R,CC,  20.00,    920.8400,benthics ,Benthic Foraminifers                         ,F              ,P                 ,19                         ,                    ,              ,                   ,               ,                            ,            ,              ,                          ,                  ,                ,                 ,             ,                  ,                ,                     ,                 ,               ,                        ,               ,                     ,                   ,                             ,                ,                    ,                        ,                    ,2               ,                  ,              ,             ,                ,             ,            ,             ,                 ,4            ,                 ,              ,                          ,                 ,23            ,                     ,             ,                 ,                ,              ,                   ,              ,              ,               ,              ,                     ,                     ,                          ,               ,             ,              ,                ,              ,                           ,                           ,                      ,                     ,                    ,              ,                ,                    ,               ,                     ,                     ,                         ,                    ,                ,Sandstone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,210,1276,A, 15,R,CC,  14.00,    933.4700,benthics ,Benthic Foraminifers                         ,A              ,P                 ,23                         ,2                   ,              ,15                 ,               ,1                           ,            ,6             ,                          ,1                 ,4               ,5                ,             ,                  ,                ,                     ,                 ,               ,                        ,               ,                     ,                   ,5                            ,                ,                    ,                        ,                    ,                ,                  ,              ,             ,                ,             ,            ,             ,                 ,             ,                 ,              ,                          ,                 ,              ,                     ,             ,                 ,                ,              ,                   ,              ,              ,               ,              ,2                    ,1                    ,2                         ,1              ,             ,              ,                ,              ,                           ,                           ,                      ,                     ,                    ,              ,                ,                    ,               ,                     ,                     ,                         ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,210,1276,A, 16,R,CC,   0.00,    942.2300,benthics ,Benthic Foraminifers                         ,T              ,P                 ,                           ,                    ,              ,                   ,               ,                            ,            ,              ,                          ,1                 ,                ,                 ,             ,                  ,                ,                     ,                 ,               ,                        ,               ,                     ,                   ,                             ,                ,                    ,                        ,                    ,                ,                  ,              ,             ,                ,             ,            ,             ,                 ,             ,                 ,              ,                          ,                 ,              ,                     ,             ,                 ,                ,              ,                   ,              ,              ,               ,              ,                     ,                     ,                          ,               ,             ,              ,                ,              ,                           ,                           ,                      ,                     ,                    ,              ,                ,                    ,               ,                     ,                     ,                         ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,210,1276,A, 17,R, 7, 130.00,    953.6100,benthics ,Benthic Foraminifers                         ,T              ,P                 ,                           ,                    ,              ,                   ,               ,                            ,            ,              ,                          ,1                 ,                ,                 ,             ,                  ,                ,                     ,                 ,               ,                        ,               ,                     ,                   ,                             ,                ,                    ,                        ,                    ,                ,                  ,              ,             ,                ,             ,            ,             ,                 ,             ,                 ,              ,                          ,                 ,              ,                     ,             ,                 ,                ,              ,                   ,              ,              ,               ,              ,                     ,                     ,                          ,               ,             ,              ,                ,              ,                           ,                           ,                      ,                     ,                    ,              ,                ,                    ,               ,                     ,                     ,                         ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,210,1276,A, 19,R,CC,   5.00,    970.6000,benthics ,Benthic Foraminifers                         ,R              ,P                 ,15                         ,                    ,              ,1                  ,               ,                            ,            ,              ,                          ,                  ,1               ,                 ,             ,                  ,                ,                     ,                 ,               ,                        ,               ,                     ,                   ,                             ,                ,                    ,                        ,                    ,                ,                  ,              ,             ,                ,             ,            ,             ,                 ,             ,                 ,              ,                          ,                 ,              ,                     ,             ,                 ,                ,              ,                   ,              ,              ,1              ,1             ,                     ,                     ,                          ,               ,             ,              ,                ,              ,                           ,                           ,                      ,                     ,                    ,              ,                ,                    ,               ,                     ,                     ,                         ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,210,1276,A, 21,R,CC,   0.00,    988.3200,benthics ,Benthic Foraminifers                         ,F              ,P                 ,23                         ,                    ,1             ,                   ,               ,                            ,            ,              ,                          ,                  ,                ,                 ,             ,                  ,                ,                     ,                 ,               ,                        ,               ,                     ,                   ,                             ,3               ,                    ,                        ,                    ,1               ,                  ,              ,             ,1               ,             ,            ,             ,                 ,5            ,                 ,              ,1                         ,                 ,1             ,                     ,1            ,1                ,1               ,1             ,1                  ,5             ,1             ,               ,              ,                     ,                     ,                          ,               ,             ,              ,                ,              ,                           ,                           ,                      ,                     ,                    ,              ,                ,                    ,               ,                     ,                     ,                         ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,210,1276,A, 22,R,CC,  60.00,    998.0100,benthics ,Benthic Foraminifers                         ,R              ,P                 ,15                         ,                    ,              ,                   ,               ,                            ,            ,              ,                          ,                  ,                ,                 ,             ,                  ,                ,                     ,                 ,               ,                        ,               ,                     ,                   ,                             ,2               ,                    ,                        ,                    ,                ,                  ,              ,             ,                ,2            ,            ,             ,                 ,2            ,1                ,7             ,1                         ,1                ,1             ,1                    ,             ,                 ,                ,              ,                   ,              ,              ,               ,              ,                     ,                     ,                          ,               ,             ,              ,                ,              ,                           ,                           ,                      ,                     ,                    ,              ,                ,                    ,               ,                     ,                     ,                         ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,210,1276,A, 23,R,CC,  29.00,   1007.1500,benthics ,Benthic Foraminifers                         ,T              ,P                 ,2                          ,                    ,              ,                   ,               ,                            ,            ,              ,                          ,                  ,                ,                 ,             ,                  ,                ,                     ,                 ,               ,                        ,               ,                     ,                   ,                             ,                ,                    ,                        ,                    ,                ,                  ,              ,             ,                ,             ,            ,             ,                 ,1            ,                 ,              ,                          ,                 ,              ,                     ,             ,                 ,                ,              ,                   ,              ,              ,               ,              ,                     ,                     ,                          ,               ,             ,              ,                ,              ,                           ,                           ,                      ,                     ,                    ,              ,                ,                    ,               ,                     ,                     ,                         ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,210,1276,A, 24,R,CC,  14.00,   1019.2100,benthics ,Benthic Foraminifers                         ,F              ,P                 ,32                         ,                    ,              ,1                  ,               ,                            ,            ,              ,                          ,2                 ,                ,                 ,             ,                  ,                ,                     ,                 ,               ,                        ,               ,                     ,                   ,                             ,                ,                    ,                        ,                    ,2               ,                  ,1             ,1            ,6               ,12           ,2           ,1            ,2                ,             ,                 ,              ,                          ,                 ,              ,                     ,             ,                 ,                ,              ,                   ,              ,              ,               ,              ,                     ,                     ,                          ,               ,             ,              ,                ,              ,                           ,                           ,                      ,                     ,                    ,              ,                ,                    ,               ,                     ,                     ,                         ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,210,1276,A, 25,R,CC,  17.00,   1030.5800,benthics ,Benthic Foraminifers                         ,F              ,P                 ,27                         ,                    ,              ,                   ,1              ,                            ,2           ,              ,                          ,                  ,3               ,                 ,             ,                  ,                ,                     ,1                ,1              ,                        ,4              ,                     ,2                  ,2                            ,1               ,1                   ,2                       ,1                   ,1               ,1                 ,              ,             ,                ,             ,            ,             ,                 ,             ,                 ,              ,                          ,                 ,              ,                     ,             ,                 ,                ,              ,                   ,              ,              ,               ,              ,                     ,                     ,                          ,               ,             ,              ,                ,              ,                           ,                           ,                      ,                     ,                    ,              ,                ,                    ,               ,                     ,                     ,                         ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,210,1276,A, 26,R,CC,   9.00,   1034.1300,benthics ,Benthic Foraminifers                         ,F              ,P                 ,6                          ,                    ,              ,                   ,               ,                            ,            ,              ,                          ,                  ,4               ,                 ,             ,                  ,1               ,                     ,1                ,3              ,1                       ,1              ,1                    ,                   ,                             ,                ,                    ,                        ,                    ,                ,                  ,              ,             ,                ,             ,            ,             ,                 ,             ,                 ,              ,                          ,                 ,              ,                     ,             ,                 ,                ,              ,                   ,              ,              ,               ,              ,                     ,                     ,                          ,               ,             ,              ,                ,              ,                           ,                           ,                      ,                     ,                    ,              ,                ,                    ,               ,                     ,                     ,                         ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,210,1276,A, 27,R,CC,   0.00,   1050.1801,benthics ,Benthic Foraminifers                         ,F              ,P                 ,19                         ,                    ,              ,                   ,               ,2                           ,            ,              ,                          ,1                 ,1               ,                 ,             ,                  ,                ,                     ,                 ,               ,                        ,               ,                     ,                   ,                             ,                ,                    ,                        ,                    ,                ,                  ,              ,             ,                ,             ,            ,             ,                 ,             ,                 ,              ,                          ,                 ,              ,                     ,             ,                 ,                ,              ,                   ,              ,              ,               ,              ,                     ,                     ,                          ,               ,             ,              ,                ,              ,                           ,                           ,                      ,                     ,                    ,              ,                ,                    ,               ,                     ,                     ,                         ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,210,1276,A, 28,R,CC,  13.00,   1057.4900,benthics ,Benthic Foraminifers                         ,R              ,P                 ,19                         ,                    ,              ,7                  ,               ,                            ,            ,              ,                          ,                  ,1               ,                 ,             ,                  ,2               ,1                    ,                 ,               ,                        ,               ,                     ,                   ,                             ,                ,                    ,                        ,                    ,                ,                  ,              ,             ,                ,             ,            ,             ,                 ,             ,                 ,              ,                          ,                 ,              ,                     ,             ,                 ,                ,              ,                   ,              ,              ,               ,              ,                     ,                     ,                          ,               ,             ,              ,                ,              ,                           ,                           ,                      ,                     ,                    ,              ,                ,                    ,               ,                     ,                     ,                         ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,210,1276,A, 29,R,CC,   9.00,   1067.7000,benthics ,Benthic Foraminifers                         ,R              ,P                 ,2                          ,                    ,              ,1                  ,               ,                            ,            ,              ,                          ,                  ,                ,                 ,5            ,1                 ,                ,                     ,                 ,               ,                        ,               ,                     ,                   ,                             ,                ,                    ,                        ,                    ,                ,                  ,              ,             ,                ,             ,            ,             ,                 ,             ,                 ,              ,                          ,                 ,              ,                     ,             ,                 ,                ,              ,                   ,              ,              ,               ,              ,                     ,                     ,                          ,               ,             ,              ,                ,              ,                           ,                           ,                      ,                     ,                    ,              ,                ,                    ,               ,                     ,                     ,                         ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,210,1276,A, 30,R,CC,  25.00,   1076.8900,benthics ,Benthic Foraminifers                         ,R              ,P                 ,3                          ,                    ,              ,5                  ,               ,                            ,            ,              ,                          ,2                 ,3               ,1                ,             ,                  ,                ,                     ,                 ,               ,                        ,               ,                     ,                   ,                             ,                ,                    ,                        ,                    ,                ,                  ,              ,             ,                ,             ,            ,             ,                 ,             ,                 ,              ,                          ,                 ,              ,                     ,             ,                 ,                ,              ,                   ,              ,              ,               ,              ,                     ,                     ,                          ,               ,             ,              ,                ,              ,                           ,                           ,                      ,                     ,                    ,              ,                ,                    ,               ,                     ,                     ,                         ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,210,1276,A, 31,R,CC,   0.00,   1086.8800,benthics ,Benthic Foraminifers                         ,A              ,M                 ,                           ,                    ,              ,16                 ,1              ,6                           ,2           ,1             ,1                         ,5                 ,                ,                 ,             ,                  ,                ,                     ,                 ,               ,                        ,               ,                     ,                   ,                             ,                ,                    ,                        ,                    ,                ,                  ,              ,             ,                ,             ,            ,             ,                 ,             ,                 ,              ,                          ,                 ,              ,                     ,             ,                 ,                ,              ,                   ,              ,              ,               ,              ,                     ,                     ,                          ,               ,             ,              ,                ,              ,                           ,                           ,                      ,                     ,                    ,              ,                ,                    ,               ,                     ,                     ,                         ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,210,1276,A, 32,R,CC,  10.00,   1098.4301,benthics ,Benthic Foraminifers                         ,T              ,P                 ,3                          ,                    ,              ,                   ,               ,                            ,            ,              ,                          ,                  ,                ,                 ,             ,                  ,                ,                     ,                 ,               ,                        ,               ,                     ,                   ,                             ,                ,                    ,                        ,                    ,                ,                  ,              ,             ,                ,             ,            ,             ,                 ,             ,                 ,              ,                          ,                 ,              ,                     ,             ,                 ,                ,              ,                   ,              ,              ,               ,              ,                     ,                     ,                          ,               ,             ,              ,                ,              ,                           ,                           ,                      ,                     ,                    ,              ,                ,                    ,               ,                     ,                     ,                         ,                    ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
