Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Diartus petterssoni,Cyrtocapsella japonica,Lithopera neotera,Calocycletta robusta,Stichocorys armata,Acrocubus octopylus,Didymocyrtis mammifera,Liriospyris parkerae,Calocycletta caepa,Eucyrtidium diaphanes,Didymocyrtis violina,Calocycletta costata,Calocycletta virginis,Carpocanopsis bramlettei,Didymocyrtis tubaria,Dorcadospyris dentata,Dorcadospyris forcipata,Liriospyris stauropora,Dorcadospyris alata,Carpocanopsis cingulata,Lychnocanoma elongata,Didymocyrtis prismatica,Didymocyrtis laticonus,Carpocanopsis cristata,Lithopera renzae,Dorcadospyris scambos n. sp.,Dorcadospyris ateuchus,Stichocorys wolffii,Dorcadospyris simplex s.s.,Dorcadospyris praeforcipata,Calocycletta serrata,Stichocorys delmontensis,Lophocyrtis pegetrum,Theocyrtis annosa,Lophocyrtis leptetrum,Eucyrtidium mitodes n. sp.,Cyrtocapsella cornuta,Cyrtocapsella tetrapera,Artophormis gracilis,Anthocyrtidium  marieae,Didymocyrtis bassanii,Dorcadospyris cyclacantha n. sp.,Dorcadospyris riedeli,Dorcadospyris circulus,Dorcadospyris papilio,Liriospyris longicornuta,Acrocubus octopylus.1,Eucyrtidium plesiodiaphanes,Theocyrtis setanios,Theocorys puriri,Lychnocanoma apodora,Comments,File data,eodp_id
320-U1336A-5H-CC,320,U1336,A,5,5-CC,H,CC,,,0,0,46.2,46.2,RN4,A,G,,,,,,R,F,R,,R,R,R,F,C,R,R,F,R,R,,R,,,R,R,R,,,R,,,,F,,,,,R,R,,,,,,,,,,,,,,,,f162589b595ef1d20de876320e59b4fc
320-U1336A-6H-2-W,320,U1336,A,6,6-2,H,2,W,,105,107,48.55,48.57,RN4,A,G,,,,,R,R,,R,,,R,R,F,C,R,R,R,R,R,,R,,,,,R,,,R,,,,F,,,,,F,R,,,,,,,,,,,,,,,,5168ee8d644d389d2d15458a9f85293f
320-U1336A-6H-4-W,320,U1336,A,6,6-4,H,4,W,,105,107,51.55,51.57,RN4,A,G,,,,,R,R,,R,,,R,R,R,C,R,R,R,R,R,,R,R,R,,,,,,R,,,,F,,,,,F,R,,,,,,,,,,,,,,,,2b7718e962a8240eef9beac617e88b9d
320-U1336A-6H-CC,320,U1336,A,6,6-CC,H,CC,,,0,0,55,55,RN3,A,G,,,,,R,R,,R,,,R,,,C,R,R,R,R,R,,R,R,R,,R,,,,F,,,,F,,,R,,F,R,,,,,,,,,,,,,,,,46bf2620f0fcad9d62f9faabbfea40ed
320-U1336A-7H-2-W 104/106,320,U1336,A,7,7-2,H,2,W,104/106,104,106,59.08,59.1,RN3,A,G,,,,,R,R,,R,,,R,R,,C,R,R,,R,,,R,R,R,,,,,,R,,,,F,,,R,,F,R,,,,,,,,,,,,,,,,9a980e4dd0f82932b91de17006d97d5b
320-U1336A-7H-4-W 104/106,320,U1336,A,7,7-4,H,4,W,104/106,104,106,62.08,62.1,RN3,A,G,,,,,R,R,,R,,,R,R,,C,R,R,,R,,,R,R,R,,,,,,R,,,,F,,,R,,F,R,,,,,,,,,,,,,,,,f67eb3d187d0c6ad5cbb4d5e457fd6dd
320-U1336A-7H-CC,320,U1336,A,7,7-CC,H,CC,,,0,0,65.29,65.29,RN3,A,M,,,,,R,R,,F,,,R,,,C,R,R,,R,,,R,,R,,,,R,,F,,,,F,,,R,,R,R,,,,,,,,,,,,,,,,913216620de93c6ebd462af773aeecae
320-U1336A-8H-2-W 105/107,320,U1336,A,8,8-2,H,2,W,105/107,105,107,68.6,68.62,RN3,C,M,,,,,R,R,,R,,,R,,,F,R,R,,R,,,R,,,,,,,,R,,,,F,,,R,,R,R,,,,,,,,,,,,,,,,0df50a94b8918500c55553cff21a9e3c
320-U1336A-8H-4-W 105/107,320,U1336,A,8,8-4,H,4,W,105/107,105,107,71.6,71.62,RN2,A,M,,,,,R,,,R,,,R,R,,F,R,R,,,,,R,,R,,,,R,,,,,,F,,,R,,F,R,,,,,,,,,,,,,,,,dc0cd058145d35b42ad67f48a96abbcc
320-U1336A-8H-CC,320,U1336,A,8,8-CC,H,CC,,,0,0,74.24,74.24,RN2,A,M,,,,,F,,,R,,,R,R,,F,R,R,,,,,R,F,R,,,,R,R,,,,R,F,,,R,,F,R,,,,,,,,,,,,,,,,ecce81b7cdadbd43060f0f5bd6ccf89f
320-U1336A-9H-2-W 105/107,320,U1336,A,9,9-2,H,2,W,105/107,105,107,78.1,78.12,RN2,A,M,,,,,F,,,,,,R,R,,F,R,R,,,,,R,R,R,,,,R,,,R,,,F,,,R,,F,R,,,,,,,,,,,,,,,,7b3c45b050d74479efa5f28f4fa24cef
320-U1336A-9H-4-W 107/109,320,U1336,A,9,9-4,H,4,W,107/109,107,109,81.14,81.16,RN2,A,M,,,,,F,,,,,,R,,,R,R,R,,,,,R,R,R,,,,R,,,R,vR,,F,,,R,,F,R,,,R,,,,,,,,,,,,,21688ae55ff209a17a8007162a05c879
320-U1336A-9H-CC,320,U1336,A,9,9-CC,H,CC,,,0,0,84.37,84.37,RN2,A,M,,,,,C,,,,,,R,,,R,R,R,,,,,R,F,R,,,,R,R,,R,,R,F,,,R,,F,R,,,,,,,,,,,,,,,,6e0963039066b6fb0cc7f9683a2e7b2f
320-U1336A-10H-2-W 105/107,320,U1336,A,10,10-2,H,2,W,105/107,105,107,87.6,87.62,RN2,C,P,,,,,R,,,,,,R,,,R,R,R,,,,,R,R,R,,,,R,R,,R,R,,R,,,R,,R,R,,,R,,,,,,,,,,,,,685c553c9a21e5ba7280e22ebb97aeeb
320-U1336A-10H-4-W 105/107,320,U1336,A,10,10-4,H,4,W,105/107,105,107,90.6,90.62,RN2,C,M,,,,,F,,,,,,R,,,R,R,R,,,,,R,R,R,,,,R,R,,R,R,,F,,,R,,R,R,,,R,,,,,,,,,,,,,e54506a84f4fb0c51227ee81aed80a0a
320-U1336A-10H-CC,320,U1336,A,10,10-CC,H,CC,,,0,0,93.58,93.58,RN2,A,M,,,,,C,,,,,,R,,,vR,R,R,,,,,R,F,R,,,,R,R,,,R,,R,,,R,,R,R,,R,R,,,,,,,,,,,,,51480661c9d5eafacd1e6d93e0329530
320-U1336A-11H-2-W 105/107,320,U1336,A,11,11-2,H,2,W,105/107,105,107,97.1,97.12,RN2,C,M,,,,,F,,,,,,F,,,,R,,,,,,R,R,R,,,,R,R,,,R,,R,,,R,,R,R,,,R,,,,,,,,,,,,,bd103a244186f82d30024713d95eb676
320-U1336A-11H-4-W 105/107,320,U1336,A,11,11-4,H,4,W,105/107,105,107,100.1,100.12,RN2,C,M,,,,,F,,,,,,F,,,R,R,,,,,,R,F,R,,,,R,,,,R,R,-,,,R,,R,R,,,R,,,,,,,,,,,,,4b71f7ea3bf4d826e5c84e27ed541549
320-U1336A-11H-CC,320,U1336,A,11,11-CC,H,CC,,,0,0,103.3,103.3,RN2,C,M,,,,,F,,,,,,R,,,vR,,,,,,,,R,R,,,,R,,,,,R,,vR,,,,R,R,,,R,,,,,,,,,,,,,9876375910bac147151a6d52e09cc82c
320-U1336A-12H-2-W 105/107,320,U1336,A,12,12-2,H,2,W,105/107,105,107,106.6,106.62,RN2,C,P,,,,,C,,,,,,R,,,-,R,,,,,,,-,R,,,,R,,,,R,,,R,,,,R,R,,R,R,,,,,,,,,,,,,723f68095540cda37f538b679a9cc5e1
320-U1336A-12H-4-W 105/107,320,U1336,A,12,12-4,H,4,W,105/107,105,107,109.6,109.62,RN1,C,P,,,,,F,,,,,,R,,,,,,,,,,,R,R,,,,R,,,,,,,R,R,,,R,R,,R,,,,,,,,,,,,,,5e16fca93aa1b139b6493804bbf7fbbd
320-U1336A-12H-CC,320,U1336,A,12,12-CC,H,CC,,,0,0,112.26,112.26,RN1,A,M,,,,,F,,,,,,R,,,,,,,,,,,R,R,,,,R,,,,R,R,,R,R,,,F,R,,,R,,,,,,,,,,,,,8752edd751c000334b3b8529245af23e
320-U1336A-13H-2-W,320,U1336,A,13,13-2,H,2,W,,104,105,115.04,115.05,RN1,C,M,,,,,F,,,,,,R,,,,,,,,,,R,F,R,,,,R,,,,F,,,R,R,,,R,R,,,,,,,,,,,,,,,,67f6ef1bb2ee6e24a293d1116fc9e1b4
320-U1336A-13H-4-W,320,U1336,A,13,13-4,H,4,W,,104,105,118.04,118.05,RN1,C,M,,,,,F,,,,,,R,,,,,,,,,,R,R,R,,,,R,,,,R,,,R,R,,,R,R,,,R,,,,,,,,,,,,,32c2ee81eaebd1db2df5c4be4bc83a1c
320-U1336A-13H-CC,320,U1336,A,13,13-CC,H,CC,,,0,0,122.32,122.32,RN1,C,M,,,,,F,,,,,,R,,,,,,,,,,,R,R,,,,R,,,,R,,,R,R,,R,F,R,,,R,,,,,,,,,,,,,0ea49c556f9320b75f1019a2edf2a0a2
320-U1336A-14H-CC,320,U1336,A,14,14-CC,H,CC,,,0,0,123.5,123.5,RN1~5,C,M,3,,,,R,,,,,,R,,,,,,,,,,,R,R,,,,R,,,,,,,R,R,,R,F,R,,,R,,,,,,,,,,,"C. costata, S. wolffi",,589510e7c39f7e97c967f0ecce12d36c
320-U1336A-15H-2-W 105/107,320,U1336,A,15,15-2,H,2,W,105/107,105,107,127.1,127.12,RN1,C,M,,,,,F,,,,,,R,,,,,vR,,,,,R,F,R,,,,R,R,,,R,R,,R,R,,,R,R,,,R,,,,,,,,,,,,,2bf4a6aadeadf804e91f23c2305a0952
320-U1336A-15H-4-W 105/107,320,U1336,A,15,15-4,H,4,W,105/107,105,107,130.1,130.12,RN1,C,P,,,,,F,,,,,,R,,,,,,,,,,,R,R,,,,R,R,,,R,,,R,,,,,,,,,,,,,,,,,,,,,598bc3e8e8155616a2613fc3f41131f7
320-U1336A-15H-CC,320,U1336,A,15,15-CC,H,CC,,,0,0,133.16,133.16,RP22,A,M,,,,,F,,,,,,R,,,,,,,,,,R,R,R,,,,R,,,,R,,,R,R,,R,-,-,,,R,,,,,,,,,,,,,b57e64cb4955db7e29dafd226a282ad8
320-U1336A-16H-2-W 105/107,320,U1336,A,16,16-2,H,2,W,105/107,105,107,136.6,136.62,RP22,F,P,,,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,874d7f95e68c67558a6169ef1f3d6651
320-U1336A-16H-4-W 105/107,320,U1336,A,16,16-4,H,4,W,105/107,105,107,139.6,139.62,RP22,A,M,,,,,R,,,,,,R,,,,,,,,,,R,R,R,,,,R,,,,R,,,R,R,,R,,,R,,R,,,,,,,,,,,,,3e96d04bd5a6bf390416063fb1b59af7
320-U1336A-16H-CC,320,U1336,A,16,16-CC,H,CC,,,0,0,141.77,141.77,RP22,A,M,,,,,F,,,,,,R,,,,,R,,,,,,R,R,,,,R,,,,R,,,R,R,,R,,,R,,R,,,,,,,,,,,,,707198ee65041d2e6c474306a8aac478
320-U1336A-17H-2-W,320,U1336,A,17,17-2,H,2,W,,105,107,144.55,144.57,RP22,C,M,,,,,R,,,,,,,,,,,R,,,,,,R,R,,,,R,,,,R,,,R,R,,R,,,R,,,vR,,,,,,,,,,,,7155ce4d50ee5d451d27b6c8cef69a76
320-U1336A-17H-4-W,320,U1336,A,17,17-4,H,4,W,,105,107,147.55,147.57,RP22,F,M,,,,,R,,,,,,,,,,,R,,,,,R,R,R,,,,R,R,,,R,,,R,R,,R,,,R,,,,R,,,,,,,,,,,b4d2418e371057757361b2bab57b5e9b
320-U1336A-17H-CC,320,U1336,A,17,17-CC,H,CC,,,0,0,151.63,151.63,RP22,A,M,,,,,F,,,,,,,,,,,R,,,,,R,R,R,,,,R,R,,,R,,,R,R,,R,,,R,,,,,,R,,,,,,,,,0644c469f0bed73daef105a1cc65a703
320-U1336A-18H-2-W,320,U1336,A,18,18-2,H,2,W,,105,107,154.05,154.07,RP22,A,M,,,,,F,,,,,,,,,,,R,,,,,,R,R,,,,,R,,,R,,,R,R,,R,,,R,,,,,,,,,,,,,,,615a828e98fc97ff2d3eb00bcd3bf839
320-U1336A-18H-4-W,320,U1336,A,18,18-4,H,4,W,,105,107,157.05,157.07,RP22,A,M,,,,,F,,,,,,,,,,,R,,,,,R,R,R,,,,R,R,,,R,,,R,R,,R,,,R,,,,,,R,R,,,,,,,,425687f2502754a117a1ae47adc35770
320-U1336A-18H-CC,320,U1336,A,18,18-CC,H,CC,,,0,0,161.27,161.27,RP22,A,M,,,,,F,,,,,,,,,,,R,,,,,vR,R,R,,,,R,R,,,R,,,R,R,,R,,,R,,,,,,R,,,,,,,,,dd878ec8a1a35509f707b537a5917767
320-U1336A-19H-2-W,320,U1336,A,19,19-2,H,2,W,,105,107,163.55,163.57,RP22,F,P,,,,,R,,,,,,,,,,,R,,,,,,R,R,,,,R,R,,,R,,,R,R,,R,,,R,,,,,,,,,,,,,,,7551553bd9591d8e780357be4dc92acb
320-U1336A-19H-4-W,320,U1336,A,19,19-4,H,4,W,,105,107,166.55,166.57,RP22,F,P,,,,,,,,,,,,,,,,,,,,,,F,P,,,,,,,,,,,F,P,,F,P,,F,P,,,,,,,,,,,,,,0e633ca8b577e78e01582f4e63a436d1
320-U1336A-19H-CC,320,U1336,A,19,19-CC,H,CC,,,0,0,170.37,170.37,RP22,F,P,,,,,R,,,,,,,,,,,R,,,,,,vR,R,,,,,R,,,R,,,R,R,,R,,,R,,,,R,,R,vR,,,,,,,,30a4cadf87c331f9c6c7c7f42a7270a1
320-U1336A-20H-CC,320,U1336,A,20,20-CC,H,CC,,,0,0,180.13,180.13,??????,R,P,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,R,R,,R,,,R,,,,,,,,,,,,,,,b4676f64862a64499e2bdeb10900d091
320-U1336A-21H-CC,320,U1336,A,21,21-CC,H,CC,,,0,0,184.58,184.58,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7b1fdbf78a0ae875a04d19342b0d3789
320-U1336A-22X-CC,320,U1336,A,22,22-CC,X,CC,,,0,0,192.59,192.59,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333d7e94ee611d67165c538f1a7c8064
320-U1336A-23X-CC,320,U1336,A,23,23-CC,X,CC,,,0,0,201.9,201.9,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bd4cafea1b964856e249565ae7a804a0
320-U1336A-24X-CC,320,U1336,A,24,24-CC,X,CC,,,0,0,209.27,209.27,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a26fa507bafccea43a129a877196d671
