Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Diartus petterssoni,Cyrtocapsella japonica,Lithopera neotera,Calocycletta robusta,Stichocorys armata,Acrocubus octopylus,Didymocyrtis mammifera,Liriospyris parkerae,Calocycletta caepa,Eucyrtidium diaphanes,Didymocyrtis violina,Calocycletta costata,Calocycletta virginis,Carpocanopsis bramlettei,Didymocyrtis tubaria,Dorcadospyris dentata,Dorcadospyris forcipata,Liriospyris stauropora,Dorcadospyris alata,Carpocanopsis cingulata,Lychnocanoma elongata,Didymocyrtis prismatica,Didymocyrtis laticonus,Carpocanopsis cristata,Lithopera renzae,Dorcadospyris scambos n. sp.,Dorcadospyris ateuchus,Stichocorys wolffii,Dorcadospyris simplex s.s.,Dorcadospyris praeforcipata,Calocycletta serrata,Stichocorys delmontensis,Lophocyrtis pegetrum,Theocyrtis annosa,Lophocyrtis leptetrum,Eucyrtidium mitodes n. sp.,Cyrtocapsella cornuta,Cyrtocapsella tetrapera,Artophormis gracilis,Anthocyrtidium  marieae,Didymocyrtis bassanii,Dorcadospyris cyclacantha n. sp.,Dorcadospyris riedeli,Dorcadospyris circulus,Dorcadospyris papilio,Liriospyris longicornuta,Eucyrtidium plesiodiaphanes,Theocyrtis setanios,Theocorys puriri,Lychnocanoma apodora,Comments,File data,eodp_id
320-U1334A-6H-2-W 104/106,320,U1334,A,6,6-2,H,2,W,104/106,104,106,49.78,49.8,RN2,C,M,,,,,F,,,,,,R,R,,R,R,R,,,,,R,R,R,,,,,,,R,,,F,,,R,,R,R,,,R,,,,,,,,,,C. ELONGATA,,51aaa1859701d11f804d2cd15c239967
320-U1334A-6H-4-W 104/106,320,U1334,A,6,6-4,H,4,W,104/106,104,106,52.78,52.8,RN2,C,M,,,,,F,R,,,,,R,,,R,R,R,,,,,R,R,R,,,,R,R,,R,,R,F,,,R,,R,R,,,R,,,,,,,,,,,,f733cf3546a089b67d81ba4ebcb55169
320-U1334A-6H-CC-PAL-RADS,320,U1334,A,6,6-CC,H,CC,PAL,RADS,0,0,56.2,56.2,RN2,C,M,1,,,,F,,,,,,R,R,,R,R,,,,,,R,R,R,,,,R,R,,R,R,VR,F,,,R,,R,F,,,R,,,,,,,,,,,,4f7eb1751109007ec6b3e2fe954c965c
320-U1334A-7H-2-W,320,U1334,A,7,7-2,H,2,W,,105,107,58.25,58.27,RN2,C,M,,,,,F,,,,,,R,R,,R,,,,,,,R,R,R,,,,R,,,R,R,,R,R,,R,,R,R,,,R,,,,,,,,,,,,9572d8b31f6251db3e82f62d2e13925d
320-U1334A-7H-4-W,320,U1334,A,7,7-4,H,4,W,,105,107,61.25,61.27,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PYRITE WORM BURROW,,22bf817c75313ce3d69a69246edf9b5f
320-U1334A-7H-CC-PAL-RADS,320,U1334,A,7,7-CC,H,CC,PAL,RADS,0,0,65.66,65.66,RN2,C,M,,,,,F,,,,,,R,,,R,R,,,,,,R,R,R,,,,R,R,,,R,,,R,,R,,F,F,,,R,,,,,,,,,,,,aebe1eebc8beae5e2407cad093a48f86
320-U1334A-8H-2-W,320,U1334,A,8,8-2,H,2,W,,105,107,67.75,67.77,RN2,C,M,,,,,F,,,,,,R,,,,R,,,,,,R,F,R,,,,R,,,R,R,R,,R,,,R,F,R,,,R,,,,,,,,,,,,dfef8542fda1f6f18705bfd84a7c1deb
320-U1334A-8H-4-W,320,U1334,A,8,8-4,H,4,W,,105,107,70.75,70.77,RN2,C,M,,,,,F,,,,,,R,,,,,,,,,,R,R,R,,,,R,,,,,,,R,,,,F,R,,,R,,,,,,,,,,,,fcf25dc0c75908cc37cb03377e747d69
320-U1334A-8H-CC-PAL-RADS,320,U1334,A,8,8-CC,H,CC,PAL,RADS,0,0,75.06,75.06,RN1,A,M,,,,,F,,,,,,R,,,,,,,,,,R,F,R,,,,R,R,,,R,,,R,R,,,F,F,,,R,,,,,,,,,,,,84450f562204f0a8e86c3121d2d6b6fe
320-U1334A-9H-2-W 105/107,320,U1334,A,9,9-2,H,2,W,105/107,105,107,78.3,78.32,RN1,A,G,1,,,,C,,,,,,R,,,,,,,,,,R,C,R,,,,R,,,,R,R,,R,F,,,F,F,,,R,,,,,,,,,,,,dbe1be569acae8df08f630af42d81493
320-U1334A-9H-4-W 105/107,320,U1334,A,9,9-4,H,4,W,105/107,105,107,81.3,81.32,RN1,A,G,,,,,F,,,,,,R,,,,,,,,,,R,F,R,,,,R,R,,,R,,,R,F,,R,R,R,,,R,,,,,,,,,,,,2a87513ef03f0b15aa8ee45d964a83c2
320-U1334A-9H-CC-PAL-RADS,320,U1334,A,9,9-CC,H,CC,PAL,RADS,0,0,84.74,84.74,RN1,A,M,,,,,C,,,,,,R,,,,,,,,,,R,C,R,,,,R,R,,,R,,,R,F,,R,R,R,,,R,,,,,,,,,,,,843decfc57c242194a88d14d04f63d72
320-U1334A-10H-2-W,320,U1334,A,10,10-2,H,2,W,,105,107,86.75,86.77,RN1,A,G,1,,,,F,,,,,,R,,,,,,,,,,R,R,R,,,,R,R,,,R,,,R,F,,R,R,R,-,R,VR?,,,,,,,,,,,,9b5b55001ed04949e1ad4925c0000d4a
320-U1334A-10H-4-W,320,U1334,A,10,10-4,H,4,W,,105,107,89.75,89.77,RP22,A,G,1,,,,F,,,,,,R,,,,,,,,,,R,F,R,,,,R,R,,,R,,,R,F,,R,-,-,R,R,-,,,,,,,,,,,,256a33ddc61689df03b4500d498be001
320-U1334A-10H-CC-PAL-RADS,320,U1334,A,10,10-CC,H,CC,PAL,RADS,0,0,93.95,93.95,RP22,A,M,1,,,,F,,,,,,-,,,,,,,,,,,F,R,,,,R,R,,,R,,,R,F,,R,-,-,R,R,-,,,,-,-,,,,,,,b9d07890e0e8bf76c60495e1e3c56a57
320-U1334A-11H-2-W,320,U1334,A,11,11-2,H,2,W,,105,107,96.25,96.27,RP22,A,M,2,,,,F,,,,,,,,,,,R,,,,,R,R,R,,,,R,,,,R,,,R,R,,R,,,R,-,,R,R,-,R,-,,,,,,,3720f752f7dca5115be21eb944669ea1
320-U1334A-11H-4-W,320,U1334,A,11,11-4,H,4,W,,105,107,99.25,99.27,RP22,A,M,1,,,,F,,,,,,,,,,,R,,,,,R,R,R,,,,R,R,,,R,,,R,R,,R,,,R,,,R,,-,R,-,,,,,,,e0390d0f3a0b6ad435bc3cbfa36e3b35
320-U1334A-11H-CC-PAL-RADS,320,U1334,A,11,11-CC,H,CC,PAL,RADS,0,0,103.75,103.75,RP22,A,M,1,,,,F,,-,,,,,,,,,R,,,,,,R,R,,,,R,R,,,R,,,R,R,,R,,,R,-,-,,,VR,R,R,,,,-,,,d40fe0287950df323dd649c9e31fae6b
320-U1334A-12H-2-W 105/107,320,U1334,A,12,12-2,H,2,W,105/107,105,107,106.8,106.82,RP22,A,M,1,,,,F,,-,,,,,,,,,R,,,,,,R,R,,,,R,R,,,R,,,R,R,,R,,,R,,,,,,R,R,,,,-,,,3022bf33b19a868eaf0e182dff9d6004
320-U1334A-12H-4-W 105/107,320,U1334,A,12,12-4,H,4,W,105/107,105,107,109.8,109.82,RP22,A,M,,,,,F,,,,,,,,,,,R,,,,,,R,R,,,,R,R,,,R,,,R,R,,R,,,R,,,,,,R,,,,,,,,eeb2691b423a9e0829fced870f398690
320-U1334A-12H-CC-PAL-RADS,320,U1334,A,12,12-CC,H,CC,PAL,RADS,0,0,112.85,112.85,RP22,A,M,1,,,,F,,-,,,,,,,,,R,,,,,,R,R,,,,R,R,,,R,,,R,R,,R,,,R,-,,,,-,R,R,,,,-,,,ead34534e9b95dbf223b48d7a51368af
320-U1334A-13H-2-W 105/107,320,U1334,A,13,13-2,H,2,W,105/107,105,107,115.3,115.32,RP22,A,M,,,,,F,,-,,,,,,,,,R,,,,,,-,R,,,,R,R,,,R,,,R,R,,R,,,R,,,,R,,R,R,,,,-,,,d41d24de3e0a83fe97157e2cd7e8f183
320-U1334A-13H-4-W,320,U1334,A,13,13-4,H,4,W,,105,107,117.25,117.27,RP22,A,M,,,,,F,,R,,,,,,,,,R,,,,,,R,R,,,,R,R,,,R,,,R,R,,R,,,R,,,,,,R,R,,,,R,,,c7965f61bd314da57be8909f572419cb
320-U1334A-13H-CC-PAL-RADS,320,U1334,A,13,13-CC,H,CC,PAL,RADS,0,0,122.55,122.55,RP21,A,,2,,,,R,,-,,,,,,,,,R,,,,,,-,R,,,,,R,,,R,,,R,R,,R,,,R,,,,,-,,R,,,,R,,,9f286c2b7ea3af23a30a10ad355c4071
320-U1334A-14H-2-W 105/107,320,U1334,A,14,14-2,H,2,W,105/107,105,107,125.8,125.82,RP21,A,M,,,,,R,,R,,,,,,,,,,,,,,,,R,,,,,R,,,,,,R,R,,R,,,R,,,,,,R,R,,,,R,EARLY BIZZARE FORM OF PAPILIO,,3634be5960e23779fb8c92a9cec9c12a
320-U1334A-14H-4-W 105/107,320,U1334,A,14,14-4,H,4,W,105/107,105,107,128.8,128.82,RP21,A,M,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,R,R,,R,,,R,,,,,,R,R,,,,R,EARLY BIZZARE FORM OF PAPILIO,,96a283e50c768de28d97fb0261b28c5d
320-U1334A-14H-CC-PAL-RADS,320,U1334,A,14,14-CC,H,CC,PAL,RADS,0,0,131.96,131.96,RP21,A,M,2,,,,-,,,,,,,,,,,,,,,,,-,R,,,,-,R,,,-,,,R,R,,R,,,R,,,,,-,,-,,,,R,,,aa19aba04d42f947f82715659fa41b19
320-U1334A-15H-2-W 105/107,320,U1334,A,15,15-2,H,2,W,105/107,105,107,135.3,135.32,RP21,A,M,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,R,R,,R,,,R,,,,R,,R,,,,R,F,,,bc0dd1e9c6c481e4533083a240186a88
320-U1334A-15H-4-W 105/107,320,U1334,A,15,15-4,H,4,W,105/107,105,107,138.3,138.32,RP21,A,P,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,R,R,,R,,,R,,,,,,,,,,,F,,,a28abb564d29997c4be830ac10c8fa28
320-U1334A-15H-CC-PAL-RADS,320,U1334,A,15,15-CC,H,CC,PAL,RADS,0,0,141.2,141.2,RP21,A,M,1,,,,-,,,,,,,,,,,,,,,,,,R,,,,-,R,,,-,,,R,R,,R,,,R,,,,,-,,-,-,,,-,,,73494078c48b1c5efdbd2895c4cf6d80
320-U1334A-16H-2-W 104/106,320,U1334,A,16,16-2,H,2,W,104/106,104,106,144.78,144.8,RP21,C,P,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,R,R,,R,,,R,,,,,,,,,,,,"DIATOMS, SPINES",,7c140ec1b7c692f1a2dacb4f729f30f5
320-U1334A-16H-4-W 104/106,320,U1334,A,16,16-4,H,4,W,104/106,104,106,147.78,147.8,RP21,C,P,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,R,R,,R,,,R,,,,R,R,,,,,,,"DIATOMS, SPINES",,0f0072d45c3f6713939b5fde2459c14c
320-U1334A-16H-CC-PAL-RADS,320,U1334,A,16,16-CC,H,CC,PAL,RADS,0,0,149.57,149.57,RP21,A,M,2,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,R,R,,R,,,R,,,,,R,,,-,,,-,,,0cbf3b880511dd8d7f97241ec6971d99
320-U1334A-17H-CC-PAL-RADS,320,U1334,A,17,17-CC,H,CC,PAL,RADS,0,0,158.96,158.96,RP21,A,M,2,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,R,R,,R,,,R,,,,,R,,,R,,,,,,53ca72440b8ee4049155aea4278ae995
320-U1334A-18H-CC-PAL-RADS,320,U1334,A,18,18-CC,H,CC,PAL,RADS,0,0,170.17,170.17,RP21,A,M,1,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,R,R,,R,,,R,,,,,R,,,R,,,,,,2913a7bfb3518b899db1045364dd5db1
320-U1334A-22H-CC-PAL-RADS,320,U1334,A,22,22-CC,H,CC,PAL,RADS,0,0,206.86,206.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,R,,,,f078d8366f4d03bf7836764b58417a6c
