Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Diartus petterssoni,Cyrtocapsella japonica,Lithopera neotera,Calocycletta robusta,Stichocorys armata,Acrocubus octopylus,Didymocyrtis mammifera,Liriospyris parkerae,Calocycletta caepa,Eucyrtidium diaphanes,Didymocyrtis violina,Calocycletta costata,Calocycletta virginis,Carpocanopsis bramlettei,Didymocyrtis tubaria,Dorcadospyris dentata,Dorcadospyris forcipata,Liriospyris stauropora,Dorcadospyris alata,Carpocanopsis cingulata,Lychnocanoma elongata,Didymocyrtis prismatica,Didymocyrtis laticonus,Carpocanopsis cristata,Lithopera renzae,Dorcadospyris scambos n. sp.,Dorcadospyris ateuchus,Stichocorys wolffii,Dorcadospyris simplex s.s.,Dorcadospyris praeforcipata,Calocycletta serrata,Stichocorys delmontensis,Lophocyrtis pegetrum,Theocyrtis annosa,Lophocyrtis leptetrum,Eucyrtidium mitodes n. sp.,Cyrtocapsella cornuta,Cyrtocapsella tetrapera,Artophormis gracilis,Anthocyrtidium  marieae,Didymocyrtis bassanii,Dorcadospyris cyclacantha n. sp.,Dorcadospyris riedeli,Dorcadospyris circulus,Dorcadospyris papilio,Liriospyris longicornuta,Acrocubus octopylus,Eucyrtidium plesiodiaphanes,Theocyrtis setanios,Theocorys puriri,Lychnocanoma apodora,Comments,File data
320-U1335A-18H-2-W 105/107,320,U1335,A,18,18-2,H,2,W,105/107,105,107,164.5,164.52,RN4,A,G,1,,,,,R,R,R,,,R,R,F,F,R,F,R,R,R,,,,,R,,R,,,R,,,,F,,,,,R,F,,,R,,,,,,,,,,,,
320-U1335A-18H-3-W,320,U1335,A,18,18-3,H,3,W,,149,150,165.39,165.4,RN4,A,G,,,,,F,R,R,R,,,R,R,F,F,R,R,R,R,R,,-,,-,R,,R,,,R,,,,F,,,,,F,F,,,,,,,,,,,,,,,
320-U1335A-18H-4-W 105/107,320,U1335,A,18,18-4,H,4,W,105/107,105,107,167.5,167.52,RN4,A,G,,,,,R,R,R,R,,,R,R,F,F,R,R,R,R,R,,R,R,R,R,,R,,,R,,,,F,,,,,F,F,,,,,,,,,,,,,,,
320-U1335A-18H-CC-PAL-RADS,320,U1335,A,18,18-CC,H,CC,PAL,RADS,0,0,169.72,169.72,RN4,A,G,,,,,F,R,R,R,,,R,R,F,F,R,,R,R,R,,R,-,R,R,,R,,,R,,,,F,,,,,F,F,,,,,,,,,,,,,,,
320-U1335A-19H-2-W 105/107,320,U1335,A,19,19-2,H,2,W,105/107,105,107,174,174.02,RN4,A,G,,,,,R,R,,R,,,R,R,R,F,R,R,R,R,R,,R,-,-,-,,-,,,R,,,,F,,,,,F,F,,,R,,,,,,,,,,,,
320-U1335A-19H-4-W 105/107,320,U1335,A,19,19-4,H,4,W,105/107,105,107,177,177.02,RN4,A,G,,,,,R,R,,R,,,R,R,R,F,R,R,R,R,R,,R,R,,,,,,,R,,,,F,,,,,F,F,,,,,,,,,,,,,,,
320-U1335A-19H-CC-PAL-RADS,320,U1335,A,19,19-CC,H,CC,PAL,RADS,0,0,180.41,180.41,RN4,A,G,,,,,R,R,,R,,,R,,,F,R,R,R,R,R,,R,R,R,,,,,,R,,,,F,,,R,,F,R,,,,,,,,,,,,,,,
320-U1335A-20H-2-W 104/106,320,U1335,A,20,20-2,H,2,W,104/106,104,106,183.48,183.5,RN4,A,G,,,,,R,R,,R,,,R,,,F,R,R,R,R,R,,R,-,R,,,,,,R,,,,F,,,,,F,F,,,,,,,,,,,,,,,
320-U1335A-20H-4-W 104/106,320,U1335,A,20,20-4,H,4,W,104/106,104,106,186.48,186.5,RN4,A,G,,,,,R,R,,R,,,R,,,F,R,R,R,-,R,,R,-,R,,,,,,R,,,,F,,,,,F,F,,,,,,,,,,,,,,,
320-U1335A-20H-CC-PAL-RADS,320,U1335,A,20,20-CC,H,CC,PAL,RADS,0,0,189.87,189.87,RN3,A,G,,,,,R,R,,R,,,R,,,F,R,R,-,R,vR,,R,-,R,,,,,,R,,,,F,,,R,,F,R,,,,,,,,,,,,,,,
320-U1335A-21H-1-W 105/107,320,U1335,A,21,21-1,H,1,W,105/107,105,107,191.5,191.52,RN3,A,G,1,,,,F,R,R,R,,,R,R,,F,R,R,,R,,,R,R,R,,,,R,,R,R,,,F,,R,R,,F,R,,,R,,,,,,,,,,,,
320-U1335A-21H-3-W,320,U1335,A,21,21-3,H,3,W,,140,141,193.8,193.81,RN3,C,M,,,,,F,R,,R,,,R,,,F,R,R,,R,,,R,vR,,,,,,,R,,,,F,,,R,,F,R,,,,,,,,,,,,,,,
320-U1335A-21H-4-W 105/107,320,U1335,A,21,21-4,H,4,W,105/107,105,107,196,196.02,RN3,A,G,1,,,,F,R,,R,,,R,,,F,R,R,,R,vR,,R,R,,,,,R,,R,,,,F,,,R,,F,R,,,,,,,,,,,,,,,
320-U1335A-21H-CC-PAL-RADS,320,U1335,A,21,21-CC,H,CC,PAL,RADS,0,0,198.95,198.95,RN3,A,G,,,,,F,R,,R,,,R,,,C,R,R,,R,,,R,-,R,,,,,,R,,,,F,,,R,,F,R,,,,,,,,,,,,,,COMM DIATOMS,
320-U1335A-22H-2-W 105/107,320,U1335,A,22,22-2,H,2,W,105/107,105,107,202.5,202.52,RN3,A,G,,,,,F,R,,R,,,R,,,F,R,R,,R,,,R,-,R,,,,,,R,,,,F,,,R,,F,R,,,,,,,,,,,,,,,
320-U1335A-22H-3-W,320,U1335,A,22,22-3,H,3,W,,140,141,203.3,203.31,RN3,A,G,,,,,R,R,,R,,,R,,,,R,R,,R,,,R,,R,,,,,,R,,,,F,,,R,,F,R,,,,,,,,,,,,,,COMM DIATOMS,
320-U1335A-22H-4-W 105/107,320,U1335,A,22,22-4,H,4,W,105/107,105,107,205.5,205.52,RN3,A,G,,,,,R,R,,R,,,R,,,R,R,R,,R,,,R,,R,,,,,,R,,,,F,,,R,,F,R,,,,,,,,,,,,,,COMM DIATOMS,
320-U1335A-22H-CC-PAL-RADS,320,U1335,A,22,22-CC,H,CC,PAL,RADS,0,0,208.65,208.65,RN3,A,G,,,,,R,R,,R,,,R,,,C,R,R,,R,,,R,,R,,,,,,R,,,,F,,,R,,F,R,,,,,,,,,,,,,,COMM DIATOMS,
320-U1335A-23H-2-W 104/106,320,U1335,A,23,23-2,H,2,W,104/106,104,106,211.98,212,RN3,C,M,,,,,R,R,,,,,R,,,R,R,R,,-,,,R,R,R,,,,R,,R,,,,F,,,R,,F,R,,,,,,,,,,,,,,COMM DIATOMS,
320-U1335A-23H-3-W,320,U1335,A,23,23-3,H,3,W,,149,150,212.89,212.9,RN3,C,M,,,,,F,R,,,,,R,,,R,R,,,R,,,R,R,R,,,,R,R,R,,,,F,,,R,,F,R,,,,,,,,,,,,,,,
320-U1335A-23H-4-W 104/106,320,U1335,A,23,23-4,H,4,W,104/106,104,106,214.98,215,RN3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1335A-23H-CC-PAL-RADS,320,U1335,A,23,23-CC,H,CC,PAL,RADS,0,0,218.11,218.11,RN3,A,G,,,,,F,R,,,,,R,,,F,R,R,,,,,R,,R,,,,R,R,R,,,,F,,,R,,F,R,,,,,,,,,,,,,,,
320-U1335A-24H-2-W 104/106,320,U1335,A,24,24-2,H,2,W,104/106,104,106,221.48,221.5,RN2,A,G,,,,,F,R,,,,,R,R,,F,R,R,,,,,R,R,R,,,,R,R,,,,R,F,,,R,,F,R,,,,,,,,,,,,,,ABUND E. REX,
320-U1335A-24H-3-W,320,U1335,A,24,24-3,H,3,W,,140,141,222.3,222.31,RN2,A,G,,,,,F,R,,,,,R,,,F,R,R,,,,,R,R,R,,,,R,R,,,,,F,,,R,,F,R,,,R,,,,,,,,,,,COMM DIATOMS,
320-U1335A-24H-4-W,320,U1335,A,24,24-4,H,4,W,,104,106,223.44,223.46,RN2,A,G,,,,,F,R,,,,,R,R,,F,R,R,,,,,R,R,R,,,,R,,,,,,F,,,R,,F,R,,,,,,,,,,,,,,,
320-U1335A-24H-CC-PAL-RADS,320,U1335,A,24,24-CC,H,CC,PAL,RADS,0,0,227.84,227.84,RN2,A,G,,,,,F,R,,,,,R,R,,C,R,R,,,,,,R,R,,,,,,,,,,C,,,R,,F,R,,,R,,,,,,,,,,,ABUND DIATOMS,
320-U1335A-25H-2-W 104/106,320,U1335,A,25,25-2,H,2,W,104/106,104,106,230.98,231,RN2,A,G,,,,,F,R,,,,,R,R,,F,R,R,,,,,,,R,,,,R,R,,R,,,F,,,,,F,R,,,,,,,,,,,,,,,
320-U1335A-25H-3-W,320,U1335,A,25,25-3,H,3,W,,149,150,231.89,231.9,RN2,A,G,,,,,C,,,,,,R,R,,F,R,R,,,,,R,R,R,,,,R,R,,R,,,C,,,R,,F,R,,,R,,,,,,,,,,,,
320-U1335A-25H-4-W 104/106,320,U1335,A,25,25-4,H,4,W,104/106,104,106,233.98,234,RN2,A,G,,,,,F,R,,,,,R,R,,F,R,R,,,,,R,F,R,,,,,,,R,,,F,,,R,,F,R,,,R,,,,,,,,,,,,
320-U1335A-25H-CC-PAL-RADS,320,U1335,A,25,25-CC,H,CC,PAL,RADS,0,0,236.85,236.85,RN2,A,G,,,,,C,,,,,,R,R,,F,R,R,,,,,R,R,R,,,,R,R,,R,,R,C,,,R,,F,R,,,R,,,,,,,,,,,,
320-U1335A-26H-2-W 104/106,320,U1335,A,26,26-2,H,2,W,104/106,104,106,240.48,240.5,RN2,C,M,,,,,F,,,,,,R,R,,F,,R,,,,,R,R,R,,,,,,,R,,R,F,,,,,F,R,,,R,,,,,,,,,,,COMM DIATOMS,
320-U1335A-26H-3-W,320,U1335,A,26,26-3,H,3,W,,149,150,241.39,241.4,RN2,A,G,,,,,C,,,,,,R,,,R,R,R,,,,,R,R,R,,,,R,,,R,,,C,,,R,,C,R,,,R,,,,,,,,,,,,
320-U1335A-26H-4-W 104/106,320,U1335,A,26,26-4,H,4,W,104/106,104,106,243.48,243.5,RN2,A,G,,,,,F,R,,,,,R,R,,F,R,R,,,,,R,R,R,,,,R,,,R,,,C,,,R,,F,F,,,R,,,,,,,,,,,,
320-U1335A-26H-CC-PAL-RADS,320,U1335,A,26,26-CC,H,CC,PAL,RADS,0,0,246.78,246.78,RN2,A,G,,,,,C,,,,,,R,R,,R,R,R,,,,,R,R,R,,,,R,R,,R,,,F,,,R,,C,R,,,R,,,,,,,,,,,,
320-U1335A-27H-2-W,320,U1335,A,27,27-2,H,2,W,,100,102,248.9,248.92,RN2,A,G,,,,,F,,,,,,R,R,,R,,,,,,,R,R,R,,,,R,R,,R,R,,F,,,R,,F,F,,,R,,,,,,,,,,,,
320-U1335A-27H-3-W,320,U1335,A,27,27-3,H,3,W,,149,150,250.89,250.9,RN2,A,M,,,,,F,,,,,,R,,,R,R,R,,,,,R,R,R,,,,R,,,R,,,R,,,R,,F,R,,,R,,,,,,,,,,,,
320-U1335A-27H-4-W,320,U1335,A,27,27-4,H,4,W,,105,107,251.95,251.97,RN2,C,M,,,,,F,,,,,,R,R,,R,R,R,,,,,R,R,R,,,,R,,,R,R,,R,,,R,,F,F,,,,,,,,,,,,,,,
320-U1335A-27H-CC-PAL-RADS,320,U1335,A,27,27-CC,H,CC,PAL,RADS,0,0,256.19,256.19,RN2,A,G,,,,,C,,,,,,R,,,R,R,R,,,,,R,R,R,,,,R,R,,R,R,,F,,,R,,C,R,,,R,,,,,,,,,,,,
320-U1335A-28H-2-W,320,U1335,A,28,28-2,H,2,W,,105,107,258.45,258.47,RN2,C,M,,,,,F,,,,,,R,,,,,,,,,,R,R,,,,,R,,,R,R,,F,,,R,,F,R,,,R,,,,,,,,,,,,
320-U1335A-28H-3-W,320,U1335,A,28,28-3,H,3,W,,149,150,260.39,260.4,RN2,A,G,,,,,F,,,,,,R,,,R,,,,,,,R,R,R,,,,R,,,R,R,,F,,,R,,F,R,,,R,,,,,,,,,,,,
320-U1335A-28H-4-W,320,U1335,A,28,28-4,H,4,W,,105,107,261.45,261.47,RN2,C,M,,,,,R,,,,,,R,,,R,R,,,,,,R,R,,,,,R,,,R,R,,R,,,R,,R,R,,,R,,,,,,,,,,,,
320-U1335A-28H-CC-PAL-RADS,320,U1335,A,28,28-CC,H,CC,PAL,RADS,0,0,265.96,265.96,RN2,A,G,,,,,C,,,,,,R,,,R,R,,,,,,R,R,R,,,,R,R,,,R,R,F,,,R,,F,R,,,R,,,,,,,,,,,,
320-U1335A-29H-2-W,320,U1335,A,29,29-2,H,2,W,,105,107,267.95,267.97,RN2,C,M,,,,,,,,,,,R,,,R,,,,,,,R,R,R,,,,R,,,,,,R,,,R,,R,R,,,R,,,,,,,,,,,,
320-U1335A-29H-3-W,320,U1335,A,29,29-3,H,3,W,,149,150,269.89,269.9,RN2,A,G,,,,,C,,,,,,R,,,R,R,,,,,,R,R,R,,,,R,R,,,R,R,R,,,,,F,R,,,R,,,,,,,,,,,,
320-U1335A-29H-4-W,320,U1335,A,29,29-4,H,4,W,,105,107,270.95,270.97,RN2,C,M,,,,,R,,,,,,R,,,,R,,,,,,R,R,R,,,,,,,,R,,R,,,,,R,R,,,,,,,,,,,,,,,
320-U1335A-29H-CC-PAL-RADS,320,U1335,A,29,29-CC,H,CC,PAL,RADS,0,0,275.56,275.56,RN2,A,G,,,,,R,,,,,,R,,,,R,,,,,,R,R,R,,,,R,R,,,R,R,-,,vR,R,,F,R,,,R,,,,,,,,,,,,
320-U1335A-30H-2-W 104/106,320,U1335,A,30,30-2,H,2,W,104/106,104,106,278.48,278.5,RN2,A,G,,,,,R,,,,,,R,,,,,,,,,,R,R,R,,,,R,,,,R,,,,,,,F,R,,,R,,,,,,,,,,,,
320-U1335A-30H-3-W,320,U1335,A,30,30-3,H,3,W,,149,150,279.39,279.4,RN2,A,G,,,,,F,,,,,,R,,,R,R,,,,,,R,R,R,,,,R,R,,,R,R,vR?,,-,R,,F,R,,,R,,,,,,,,,,,,
320-U1335A-30H-4-W 104/106,320,U1335,A,30,30-4,H,4,W,104/106,104,106,281.48,281.5,RN2,A,G,,,,,R,,,,,,R,,,R,,,,,,,R,R,R,,,,R,,,,R,,,,vR,,,F,R,,,R,,,,,,,,,,,,
320-U1335A-30H-CC-PAL-RADS,320,U1335,A,30,30-CC,H,CC,PAL,RADS,0,0,284.77,284.77,RN2,A,G,,,,,F,,,,,,R,,,R,R,,,,,,R,R,R,,,,R,R,,,R,R,,R,-,R,,F,R,,,R,,,,,,,,,,,,
320-U1335A-31H-2-W 105/107,320,U1335,A,31,31-2,H,2,W,105/107,105,107,288,288.02,RN2,F,G,,,,,R,,,,,,R,,,,,,,,,,,R,R,,,,R,,,,,,,,,,,R,R,,,R,,,,,,,,,,,,
320-U1335A-31H-3-W,320,U1335,A,31,31-3,H,3,W,,149,150,288.89,288.9,RN2,A,G,,,,,F,,,,,,R,,,R,R,,,,,,R,R,R,,,,R,R,,,R,R,,R,-,,,F,R,,,R,,,,,,,,,,,,
