Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,General comment,Ammonia beccarii,Anomalina spherica,Anomalinoides vitrinodus,Bigenerina pliocenica,Bolivina affliata,Bolivina albatrossi,Bolivina barnwelli,Bolivina fyfei,Bolivina parri,Bolivina punctatostriata,Bolivina wanganuiensis,Bolivina watti,Bolivina zedirecta,Bolivinella australis,Bolivinella lilliei,Bolivinella profolium,Bolivinita compressa,Bolivinita elegantissima,Bolivinita finlayi,Bolivinita pliozea,Bolivinita pohana,Bolivinita pseudocompressa,Bolivinita quadrilatera,Bulimina aculeata,Bulimina mapiria,Bulimina marginata,Ceratocancris clifdenensis,Cibcides sp.,Cibicides amoenus,Cibicides deliquatus,Cibicides finlayi,Cibicides neoperforatus,Cibicides thiaracuata,Cibicides victoriensis,Cycloclypeus sp.,Discorbis dimidiatus,Dorothia scabra,Ehrenbergina marwicki,Ehrenbergina mestayeri,Elphidium charlottensis,Elphidium charlottensis.1,Elphidium novozealandicum,Euuvigerina cf. peregrina,Euuvigerina mioschwageri,Euuvigerina pliozea,Globocassidulina arata,Haeuslerella finlayi,Haeuslerella morgani,Haeuslerella parri,Haeuslerella pukeuriensis,Haynesina depressula,Hopkinsina mioindex,Hyalinea cf. balthica,Karreriella cushmani,Karreriella cylindrica,Lenticulina calcar,Lepidocyclina ephippoides,Lingulina avellanoides,Loxostomum karrerianum,Loxostomum pakaurangiense,Loxostomum truncatum,Mucronina multicostales,Mucronina subtetragona,Mucronina tosta,Nodosaria acuminata,Nonionella flemingi,Notorotalia briggsi,Notorotalia finlayi,Notorotalia hurupiensis,Notorotalia kingmai,Notorotalia taranakia,Notorotalia wilsoni,Notorotalia zelandica,Patellinella inconspicua,Planorbulinella zelandica,Planulina wuellerstorfi,Plectofrondiculana fyfei,Plectofrondicularia parri,Plectofrondicularia pellucida,Plectofrondicularia pohana,Plectofrondicularia turgida,Rectobolivina maoria,Rectobolivina parvula,Rectobolivina striatula,Rectuvigerina pohana,Rectuvigerina ruatoria,Rectuvigerina vesca,Rotalia wanganuiensis,Saracenaria italica,Semivulvulina ihungia,Sherbornina cuneimarginata zealandica,Sigmoilopsis compressa,Sigmoilopsis schlumbergeri,Sigmoilopsis zeaserus,Siphotextularia wairoana,Siphouvigerina notohispida,Spiroloculina novozealandica,Textularia awazea,Textularia gladizea,Textularia kapitea,Textularia miozea,Uvigerina peregrina,Uvigerina rodleyi,Vaginulinopsis zeacarinata,Valvulineria sp.,Virgulopsis turris,Zeaflorilus parri,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
375-U1519C-14R-CC-PAL-FORAM,0,15,522.39,522.54,G,,,,,,,,,,,,,,,,,,,,,,R,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,F,,,,375,U1519,C,14,R,CC,PAL,5de4112124eda33276cc21d1022506c7
375-U1519C-15R-CC-PAL-FORAM,0,9,536.32,536.41,G-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,375,U1519,C,15,R,CC,PAL,1bb74c038315828606b01df7eb8e7623
375-U1519C-16R-CC-PAL-FORAM,0,11,546.86,546.97,G,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,R,,,,375,U1519,C,16,R,CC,PAL,ffea24cf233f83941a0264ce8bbe77c9
375-U1519C-17R-CC-PAL-FORAM,0,10,553.37,553.47,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,375,U1519,C,17,R,CC,PAL,6156abdc8b049c464548262fd784101c
375-U1519C-18R-CC-PAL-FORAM,0,10,565.93,566.03,G,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,R,,,,375,U1519,C,18,R,CC,PAL,ab295eeee9a9bfb80105e568c5513c75
375-U1519C-19R-CC-PAL-FORAM,0,10,574.93,575.03,G-M,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,375,U1519,C,19,R,CC,PAL,15c5deaff0dd2fea66b310b8d0a3ca76
375-U1519C-20R-CC-PAL-FORAM,0,10,580.38,580.48,G,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,,,,375,U1519,C,20,R,CC,PAL,5a9a298054104b4b5afa1bb4edabd0d0
375-U1519C-21R-CC-PAL-FORAM,0,12,591.56,591.68,G,,,,,,,,,,,,,,,,,,,,,,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,375,U1519,C,21,R,CC,PAL,1146913a13395fc6095c031d11676c7f
375-U1519C-22R-CC-PAL-FORAM,0,10,602.98,603.08,G-M,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,375,U1519,C,22,R,CC,PAL,a02325e095471a2e0018f51bb2237598
375-U1519C-24R-CC-PAL-FORAM,0,5,618.8,618.85,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1519,C,24,R,CC,PAL,69dfb55ceac96d8513baeefe9ce6cd32
375-U1519C-26R-CC-PAL-FORAM,0,5,635.6,635.65,G-P,,,,,,,,,,,,,,,,,,,,,,X,,,,,,F,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,R,,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,375,U1519,C,26,R,CC,PAL,f3ca529b900ad765707c51c4c087842c
