Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Sample comment,Preservation,Group abundance,Florisphaera profunda,Emiliania huxleyi,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra pseudoumbilicus,Reticulofenestra minuta,Reticulofenestra haqii,Reticulofenestra rotaria,Dictyococcites antarcticus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Umbilicosphaera sibogae,Umbilicosphaera jafari,Umbilicosphaera rotula,Oolithotus fragilis,Helicosphaera carteri,Helicosphaera wallichii,Helicosphaera pavimentum,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Pontosphaera multipora,Pontosphaera japonica,Pontosphaera discopora,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera canescens,Scyphosphaera globulata,Rhabdosphaera clavigera,Discosphaera tubifera,Umbellosphaera irregularis,Umbellosphaera tenuis,Syracosphaera pulchra,Syracosphaera lamina,Calciosolenia murrayi,Ceratolithus cristatus,Ceratolithus acutus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus amplificus,Sphenolithus abies,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus belemnos,Discoaster brouweri,Discoaster triradiatus,Discoaster variabilis,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster asymmetricus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster bollii,Discoaster bellus,Discoaster loeblichii,Discoaster hamatus,Discoaster neohamatus,Discoaster deflandrei,Discoaster kugleri,Discoaster petaliformis,Discoaster signus,Discoaster druggii,Orthorhabdus rugosus,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus larrymayeri,Gephyrocapsa omega,Coronocyclus nitescens,Helicosphaera ampliaperta,Helicosphaera euphratis,Minylitha convallis,Orthorhabdus serratus,Sphenolithus capricornutus,Sphenolithus disbelemnos,Triquetrorhabdulus carinatus,Algirosphaera robusta,Braarudosphaera bigelowii,Calcidiscus pacificanus,Calcidiscus pataecus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Catinaster mexicanus,Cryptococcolithus mediaperforate,Dictyococcites bisectus,Discoaster altus,Discoaster bergenii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster exilis,Discoaster extensus,Discoaster musicus,Discoaster neorectus,Discoaster prepentaradiatus,Discoaster spp.,Gephyrocapsa lumina,Gephyrocapsa muellerae,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Ceratolithus atlanticus,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Orthorhabdus rioi,Orthorhabdus striatus,Pontosphaera spp.,Pontosphaera syracusana,Reticulofenestra daviesii,Reticulofenestra gelida,Reticulofenestra minutula,Rhabdosphaera poculii,Rhabdosphaera spp.,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera tubifera,Scyphosphaera ventriosa,Solidopons petrae,Sphenolithus calyculus,Sphenolithus conicus,Sphenolithus dissimilis,Syracolithus schilleri,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus milowii,Umbilicosphaera hulburtiana,Reworked species,Diatoms,Radiolarian fragments,Datum type,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
363-U1486B-5H-2-W 75/75-NANNO,0,0,36.75,36.75,NN19,lb,VG,D,VA,,A,A,C,A,A,,,,,,,,,,F,,F,,,F,F,F,,,,,,,,,R,,,,,,,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,2,W,039b48b5624351571b65db7ab31dc32f
363-U1486B-5H-4-W 75/75-NANNO,0,0,39.75,39.75,NN19,lb,,,VA,,A,A,C,A,A,,,,,,,,,,F,,C,,,F,F,F,,,,,,,,F,F,,,,,,,,F,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,4,W,ee08fb22c256c70afe277baa4f0e8527
363-U1486B-5H-6-W 75/75-NANNO,0,0,42.75,42.75,NN19,lb,,,,,A,A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,6,W,b004611b5fe9e58030621e092fcf84a1
363-U1486B-5H-CC-PAL-NANNO,0,5,44.4,44.45,NN19,LB,VG,D,C,,R,R,VA,C,F,,,,,,,,,,F,,C,,,,F,F,P,,,,,,F,R,,,,,,,,,,F,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,CC,PAL,435030e9c872d0e72e64f6d3c40b3099
363-U1486B-6H-CC-PAL-NANNO,0,5,53.88,53.93,NN19,LB,VG,D,F,,R,R,VA,C,F,,,,,,,,,,C,,C,,,R,F,F,,,,,,,,,,,,,,,,,,F,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,6,H,CC,PAL,7b17d9c9fbef0db44fcc2bfe0024341b
363-U1486B-7H-2-W 120/120-NANNO,0,0,56.2,56.2,NN19,,,,,,,,A,A,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,7,H,2,W,7d9bd5861e085166581bd8a70466bfcc
363-U1486B-7H-4-W 120/120-NANNO,0,0,59.2,59.2,NN19,AGSF - Gephyrocapsa >4 um absent in sample,,,,,A,,C,A,A,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,7,H,4,W,b3c397189298cd89665b24eb6e276b4c
363-U1486B-7H-CC-PAL-NANNO,0,5,62.81,62.86,NN19,LB,VG,D,VA,,VA,R,C,A,C,P,,,,,,,,,C,,C,,,F,F,C,F,,,,,,F,F,,P,,,,,,,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,7,H,CC,PAL,71fec7d3b584e7ce5af310f1dbd4d988
363-U1486B-8H-3-W 130/130-NANNO,0,0,67.3,67.3,NN19,LB,VG,D,C,,VA,,,F,C,P,,,,,,,,,F,,C,,,F,C,,,,,,,,,,F,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,8,H,3,W,d4b03f907d172efab0cede07b83af107
363-U1486B-8H-5-W 130/130-NANNO,0,0,70.3,70.3,NN19,LB,VG,D,VA,,VA,,F,F,C,P,,,,,,,,,C,,C,,,,C,,,,,X,,,P,F,F,,,,,,,,R,R,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,8,H,5,W,5a5a10c86de0af8fd76a36755d4e006e
363-U1486B-8H-CC-PAL-NANNO,0,5,72.74,72.79,NN19,LB,G,D,VA,,A,P,P,C,C,F,,,,,,,,,C,,C,,,F,C,,P,,,,,,,,F,,,,,P,,P,P,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,8,H,CC,PAL,4ae1a669d0f9eba5251d68af8208010c
363-U1486B-9H-2-W 96/96-NANNO,0,0,74.96,74.96,NN19,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,9,H,2,W,d02cb14b65de1600bcdea15d357983e5
363-U1486B-9H-4-W 96/96-NANNO,0,0,77.96,77.96,NN19,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,9,H,4,W,72beccafa92305544b2821a60f43187c
363-U1486B-9H-6-W 96/96-NANNO,0,0,80.96,80.96,NN19,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,9,H,6,W,bd67cd7de99fd7412325da16ba8c0010
363-U1486B-9H-CC-PAL-NANNO,0,5,82.47,82.52,NN19,LB - Absence H.sellii re-checked,G,D,VA,,A,F,,C,C,F,,,,,,,,,,,C,,,,C,,,,,X,,,,F,,,,,,,,P,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,9,H,CC,PAL,44344ab1678cc65ba9aff29f32d0897c
363-U1486B-10H-2-W 100/100-NANNO,0,0,84.5,84.5,NN19,LB,VG,D,VA,,A,F,C,C,C,P,,,,,,,,,C,,C,,,P,C,F,,,,F,,,,,,,,,,,,P,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,10,H,2,W,e014ba92aea9ae6d4e75725c15a7c13f
363-U1486B-10H-4-W 100/100-NANNO,0,0,87.5,87.5,NN19,AGSF - Gephyrocapsa 4-5 um few to common;,VG,D,VA,,A,C,C,C,C,,,,,,,,,,F,,C,,,,F,,,,,F,,,P,P,,,,,,,,P,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,10,H,4,W,9a99ddc4b6e54f6800b6aa72a231d8f9
363-U1486B-10H-6-W 100/100-NANNO,0,0,90.5,90.5,NN19,"AGSF - Gephyrocapsa 4-5 um absent, mostly <4 um",,,,,A,F,C,C,C,P,,,,,,,,,,,,,,,,,,,,F,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,10,H,6,W,9836bd7ac082351cfa648e16b5aee0cb
363-U1486B-10H-CC-PAL-NANNO,0,5,91.85,91.9,NN19,LB,G,D,VA,,VA,F,,C,C,P,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,10,H,CC,PAL,745e11ab85a29220d4ba3f86e0493e46
363-U1486B-11H-2-W 120/120-NANNO,0,0,94.2,94.2,NN19,LB small Gephy,VG,D,VA,,VA,P,P,F,F,X,,,,,,,,,F,,C,,,F,C,F,,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,363,U1486,B,11,H,2,W,35d23d34ed910ecaf13773e0886b5398
363-U1486B-11H-4-W 120/120-NANNO,0,0,97.2,97.2,NN19,LB small Gephy,VG,D,VA,,VA,X,P,C,C,,,,,,,,,,C,P,C,,,F,C,,,,,F,,,,F,F,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,11,H,4,W,8812b9bbaade97111e5153e8fa0fcb13
363-U1486B-11H-6-W 120/120-NANNO,0,0,100.2,100.2,NN19,LB small Gephy,VG,D,VA,,R,X,P,,,,,,,,,,P,,C,,C,,,F,C,F,,,,,,,,P,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,11,H,6,W,a7da2adee8d75bbf68b85988fc269f6f
363-U1486B-11H-CC-PAL-NANNO,0,5,101.39,101.44,NN19,TDJ - siliceous (rad and diatom) fragments comomon,G,D,VA,,VA,,,C,F,,,,,,,,P,,C,F,C,F,,F,C,,,,,,,,,,F,R,,,,F,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,11,H,CC,PAL,eebe2964dd03c3e5a678eccf4d06e8de
363-U1486B-12H-2-A 100/100-NANNO,0,0,103.5,103.5,NN19,"agsf - well preserved C pelagicus with bridge; 1 abraded D. brouweri (reworked?), and several reworked sphenoliths; 1 R. pseudoumbilicus",,,,,,,,C,C,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,12,H,2,A,195a7eb2fa96d7fcb8a7d4f2aa5c3e03
363-U1486B-12H-4-W 120/120-NANNO,0,0,106.7,106.7,NN19,LB G>5 absent,G,D,VA,,VA,X,P,C,C,,,,,,,,P,,C,,C,,,,F,,P,,,,,,,C,,,,,,R,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,12,H,4,W,74df053a94eee96158d5b50d961c4087
363-U1486B-12H-6-W 100/100-NANNO,0,0,109.5,109.5,NN19,TDJ - no discoasters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,12,H,6,W,4454d865851a215360c9e456785e2f08
363-U1486B-12H-CC-PAL-NANNO,0,5,110.94,110.99,NN19,"AGSF - H. princei also common; siliceous materials common (diatoms and spicules); Gephyrocapsa >4 um absent in sample; TDJ - some reworking - serveral sphenoliths, and 1 R. pseudoumbilicus",G,C,VA,,C,,,C,C,,,,,,,,R,,C,F,F,,,,C,,,,,F,,,,F,,,,,,F,,,,F,,F,P,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,12,H,CC,PAL,aac6b336354b31ad1a5d1c07b71c363d
