Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of non-calcareous agglutinated forams in total foram assemblage [%],Ammobaculites agglutinans,Amphicoryna scalaris,Amphisorus hemprichii,Anomalinoides globulosus,Astalocus bradyi,Bigenerina nodosaria,Bigenerina spp.,Bolivina robusta,Bolivinita quadrilatera,Brizalina alata,Brizalina earlandi,Bulbobaculites problematicus,Bulimina aculeata,Bulimina gibba,Bulimina marginata,Ceratobulimina jonesiana,Chilostomella oolina,Cibicidoides bradyi,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides spp.,Cornuspira involvens,Corscinospora arietina,Cymbaloporella taballaeformis,Dentalina sp.,Dentalina spp.,Dorothia bradyana,Dorothia goesi,Edentostomina sp.,Eggerella bradyi,Ehrenbergina pacifica,Elphidium advenum,Epistominella spp.,Eubuliminella exilis,Fissurina sp.,Fissurina spp.,Fursenkoina texturata,Gaudryina spp.,Glandulina ovula,Globobulimina pacifica,Globocassidulina subglobosa,Globulotuba sp.,Gyroidinoides soldanii,Hoeglundina elegans,Hyalinea balthica,Hyperammina friabilis,Laticarinina pauperata,Laevidentalina aphelis,Lagena spp.,Lenticulina spp.,Liebusella soldanii,Lingulina seminuda,Marginulina obesa,Martinottiella communis,Melonis spp.,Nodosaria spp.,Nodogenerina spp.,Nonionella turgida,Oolina spp.,Oolina globosa,Operculina complanata,Oridorsalis umbonatus,Osangularia bengalensis,Osangularia culter,Peneroplis pertusus,Peneroplis planatus,Planulina wuellerstorfi,Planularia australis,Plectofrondicularia advena,Pleurostomella spp.,Poroeponides lateralis,Praeglobobulimina pupoides,Procerolagena gracilis,Pseudoglandulina glanduliformis,Pyramidulina spp.,Pyrgo spp.,Pyrgo lucernula,Pyrgo laevis,Pullenia bulloides,Pullenia quinqueloba,Quinqueloculina spp.,Rectuvigerina striata,Reophax spp.,Rotalinoides compressiusculus,Rosalina globularis,Saracenaria volpicelli,Saracenaria altifrons,Sigmoilopsis schlumbergeri,Siphogenerina columellaris,Sphaeroidina bulloides,Spiroloculina bradyi,Spiroloculina rotunda,Stilostomella spp.,Textularia agglutinans,Textulariella barrettii,Textularia pseudogramen,Tristix sp.,Trochammina inflata,Uvigerina spp.,Uvigerina hispida,Uvigerina mediterranea,Uvigerina proboscidea,Vaginulina spp.,Vaginulinopsis reinformis,Vaginulinopsis spp.,Vulvulina pennatula,BF comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
363-U1482A-11H-CC,0,12,98.0,98.12,E [P46],R,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,1,,1,,,8,,3,1,,,2,,,,,,,,,4,,,,,,1,,1,,,3,,,2,,,,,,10,,,,,2,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,363,U1482,A,11,H,CC,,7367e5bd778cc2b9096382f50752a43b
363-U1482A-12H-CC,0,21,107.63,107.84,E [P46],R,1,,,,,,,,,,,,,,1,,,,1,,6,,5,,,,,7,,,,6,3,,,,,6,,,,,2,,,,,,,,,2,,,,,1,7,,,,,,2,,,,,5,,,2,,,,,,6,,,,,2,,,,,,,6,,1,,,,,,,,,30,,,,,,,,,,,,363,U1482,A,12,H,CC,,2a67929dc2a9cd4c3e2979aeccd2be38
363-U1482A-13H-CC,0,34,117.18,117.52,E [P46],R,1,,,,,,,,,,,,,,1,,,,,,,,2,,,,,6,,,,2,,,,,,2,,2,,,4,,,,,,1,,,2,,,1,,,1,,,,,,4,,,,,10,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,363,U1482,A,13,H,CC,,7dda440e7ab7e7ca6b078af6cc8004c4
363-U1482A-14H-CC,0,24,126.63,126.87,E [P46],R,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,2,,,,,,,,2,,,2,,,,,,,,,10,,,,,,,,,,,3,,,2,,,,,,6,,,,,,,,,,,,,,,,,1,,,,,,12,,,,,,,,,,,,363,U1482,A,14,H,CC,,644d34bf5b1986a3966cf72b2ab3395b
363-U1482A-15H-CC,0,22,136.03,136.25,E [P46],R,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,3,,1,,,,2,,2,6,,,,,2,,,,,,,1,,,,,9,,,2,,,,,,3,,,,,,5,,,,,,1,,,,,3,,,,,,6,,,,,,,,,,,,363,U1482,A,15,H,CC,,476469c138125b1c8a7c6c3cb27518d6
363-U1482A-16H-CC,0,44,145.51,145.95,E [P46],R,1,,,,,,,,,,,,,,3,,,,3,,,,3,,,,,8,,,,,,,,,,1,,1,,,4,,,,,,,,,1,,,,,,,,,,,,1,,,,,12,,,,,,,,,4,,,,,,,,,,,,,,1,,,1,,,,,,8,,,,,,,4,,,,,363,U1482,A,16,H,CC,,aa004139119f61ebb569914da588b52b
363-U1482A-17H-CC,0,38,154.99,155.37,E [P46],R,1,,,,1,,,,,,,,,,1,,2,,,,,,4,,,,,,,,,,,,,,,2,,2,,,8,,4,2,,,,,2,2,,,,,6,3,,,,,,5,,1,,,4,,,,,,,,,,,,,,,2,,,,,,2,,,,,6,2,,,,,7,,,,,,,,,,,,363,U1482,A,17,H,CC,,9b32cd7e14ec7b9400873e4cf67b8942
363-U1482A-18H-CC,0,15,164.66,164.81,E [P46],R,1,,,,,,,,,,,1,,,1,,,,1,,3,,14,,,,,3,,,,1,,,,,,1,,1,,,9,,15,2,,,3,,1,,,,,,,4,,,,,,7,,,,,5,,,,,,,,,7,,,,,,,,,,,,4,,,,,,,,,,,5,,,,4,,,4,,,,,363,U1482,A,18,H,CC,,fb99f82ec88642293066bb394a4744f3
363-U1482A-19H-CC,0,20,174.14,174.34,E [P46],R,1,,,,,,,,,,,,,,,,,,1,,2,,4,,,,,7,,,,,,,1,,,2,,2,,,4,,3,3,,,,,,,,,1,,,2,,,,,,8,,2,,,10,,2,5,,,,,,6,,,,,2,,,,,,,4,,,,,11,,,,,,10,,,,,,,3,,,,,363,U1482,A,19,H,CC,,19d302c221bc8523663d53187ca183c4
363-U1482A-20H-CC,0,27,183.67,183.94,E [P46],R,1,,,,4,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,5,,,,,,,2,5,,,2,,1,1,,,2,,2,12,,,,,,8,,,,,1,,2,3,,,,,,3,,,,,,,,,,,,1,,,,,9,,,,,,12,,,,,,,1,,,,,363,U1482,A,20,H,CC,,ec44bcbf74937319a5f74561fb0db2d1
363-U1482A-21H-CC,0,32,193.08,193.4,E [P46],R,1,,,,,,,,,,,,,,,,,,2,,6,,5,,,,,,,,,5,,,,,,2,,,,,2,,3,,,,,,2,,,,,,2,6,,,,,,7,,1,,,1,,,3,,,,,,5,,,,,,,,,,,,10,,,,,,,,,,,19,,,,2,,,1,,,,,363,U1482,A,21,H,CC,,16f986306a4c39c647fd962522633d74
363-U1482A-22H-CC,0,27,202.69,202.96,E [P46],R,1,,,,,,,,,,,2,,,,1,,,1,,2,,5,,,,,2,,,,6,,,2,,,7,,,,,1,,2,,,,,,1,,,,,,3,14,,,,,,16,,1,,,13,,,1,,,,,,2,,,,,1,5,,,,,,,,,,,3,,,,,,4,,,,,,1,,,,,,363,U1482,A,22,H,CC,,141d8dc2fd240959f58745084fa3f5df
363-U1482A-23H-CC,0,35,212.17,212.52,E [P46],R,1,,,,,,,,,,,1,,,2,,,,2,,1,,4,,,,,,,,,,,,1,,,12,,2,,3,7,,4,1,,,,,1,1,,1,1,,2,13,,,,,,,,3,,,8,,,2,,,,,,,,,,,2,1,,,,,,7,,,,,5,,,,,,7,,,,,,3,5,,,,,363,U1482,A,23,H,CC,,5f3c80b3dc94efd2262203939f448549
363-U1482A-24H-CC,0,20,221.72,221.92,E [P46],R,1,,,,1,,,,,,,,,,4,,,,1,,,,2,,,,,5,1,,,,,,,,,2,,7,,1,6,,2,,,,3,,,1,,,,,,6,2,,,,,9,,,,,6,,,,,,,,,10,,,,,,,,,,1,,5,,3,,,2,1,,,,,29,,,,,,,,,,,,363,U1482,A,24,H,CC,,a10f726a162fb99cae46725b61e49af9
363-U1482A-25H-CC,0,34,231.19,231.53,E [P46],R,1,,,,3,,,,,,,1,,,4,,,,,,1,,2,,,,,,,,,,,,1,,,,,,,,,,7,,,,,,,1,,,,,3,14,1,,1,,,4,,,,,1,,,,,,,,,12,,,,,,2,,,,,,4,,1,,,2,,,,,,2,,,,,,,3,,,,,363,U1482,A,25,H,CC,,47c3c0bde63801ba4a520b96177ce7a7
363-U1482A-26H-CC,0,25,240.72,240.97,E [P46],R,1,,,,3,,,,,,,2,,,2,,1,,2,,1,,3,,,,,1,1,,,2,,,,,,4,,,,2,2,,4,,,,,,,,,,,,3,3,,,,,,5,,,,,2,,,1,,,,,,7,,,,,1,3,,,,,,8,,1,,,6,1,,,,,15,,,,,,1,1,,,,,363,U1482,A,26,H,CC,,3d26bda009178b110612f0ba0f5b5a9a
363-U1482A-27H-CC,0,18,250.27,250.45,E [P46],R,1,,,,,,,,,,,,,,3,,,,1,,1,,3,,,,,3,,1,,1,,,,,,3,,,,,,,,4,,,,,,1,,,,,1,,,,,,,1,,,,,4,,,3,,,,,,9,,,,,,,,,,,,5,,,,,,1,,,,,20,,,,,,,1,,,,,363,U1482,A,27,H,CC,,6155c38d08f53bcef9a4f66c4f681719
363-U1482A-28H-CC,0,11,259.72,259.83,E [P46],R,1,,,,,,,,,,,,,,2,,,,1,,2,,3,,,,,3,,,,,,,,,,3,,,,,1,,3,,,,,,,1,,,,,,9,,,,,,,,,,,5,,,,,,,,,5,,,,,,,,,,1,,2,,,,,2,,,,,,7,,,,,,2,,,,,,363,U1482,A,28,H,CC,,aaf7f2331d7e5e82bc035262be3bd0bd
363-U1482A-29H-CC,0,29,269.29,269.58,E [P46],R,1,,,,,,2,,,,,2,,,4,,,,,,2,,4,,,,,6,,,,2,,,,,,,,14,,,8,,10,,,,2,,,2,,,,,4,24,,,,,,18,,,,,6,,,,,,,,,2,,,,,,,,,,,,4,,,,,14,,,,,,24,,,,,,,,,,,,363,U1482,A,29,H,CC,,62bf97aa67ff1e6d006b53ba45e4b519
363-U1482A-30H-CC,0,6,278.63,278.69,E [P46],R,1,,,,,,,,,,,,,,1,,,,,,,,3,,,,,4,,,,,,,,,,,,4,,,,,,,,,1,,1,,,,,,,6,,,,,,,,,,,2,,,,,,,,,5,,,,,,,,,,,,3,,,,,4,,,,,,15,,,,,,,1,,,,,363,U1482,A,30,H,CC,,5e7242bf6690b52a1e80b949bdb5df47
363-U1482A-31H-CC,0,22,288.44,288.66,E [P46],R,1,,,,,,,,,,,,,,2,,,,,,,,3,,,,,3,,,,1,,,,,,3,,4,,,1,,5,,,,,,,,,,1,,2,2,,,,,,3,,1,,,13,,,,,,,,,,,,,,,,,,,,,6,,,,,1,,,,,,8,,,,,,,1,,,,,363,U1482,A,31,H,CC,,8ba5b7469a5d681969645cd0a935986f
363-U1482A-32H-CC,0,3,297.72,297.75,E [P46],R,1,,,,,,8,,,,,,,6,2,,,,,,,,6,,,,,8,,,,,,,,,,6,,,,,,,6,8,,,,,,6,,,,,2,,,,,,,,,,,,20,,2,,,,,,,12,,,,,,,,,,,,4,,,,,,,,,,,26,,,,,,,,,,,,363,U1482,A,32,H,CC,,a359111aef0e9964027dd31bff84c6e3
363-U1482A-33H-CC,0,22,307.52,307.74,E [P46],R,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,2,,,2,,2,2,,,4,,,,,,,,,4,,,,,,2,,,,,26,,,,,,,,,10,,,,,2,,,,,,,2,,,,,2,,,,,,30,,,,,,,14,,,,,363,U1482,A,33,H,CC,,3f421b28c4862b4991451dae61c32726
363-U1482A-34H-CC,0,24,316.88,317.12,E [P46],R,1,,,,,,1,,,,,2,,,2,,,,2,,2,,6,,,,,,,,,1,,,,,,2,,1,,,7,,1,1,,,1,,,1,,,,,1,1,,,,,,,,,,,14,,,,,,,,,,,,,,1,,,,,,,1,,1,,,3,,,,,,9,,,,,,3,1,,,,,363,U1482,A,34,H,CC,,c13ba75b98708d8c05e28ceb1c94eb18
363-U1482A-35H-CC,0,19,326.38,326.57,E [P46],R,1,,,,,,,,,,,2,,,1,,1,,,,,,15,,,,,2,,,,2,,,,,,3,,4,,,,,13,5,,,,,,4,,,,,5,2,,,,,,,,,,,28,,,,,,,,,6,,,,,10,,,,,,,8,,1,,,,,,,,,9,,,,,,,2,,,,,363,U1482,A,35,H,CC,,30fe270708254b1d8e2688220edbf70e
363-U1482A-36H-CC,0,10,335.02,335.12,E [P46],R,1,,,,,,2,,,,,,,,2,,,,,,,,11,,,,,4,,,,,,,,,,,,2,,,,,3,,,,,,2,1,,,,,1,2,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,7,,,,,,,,,,,,363,U1482,A,36,H,CC,,9ded4be5f1e92b082375ede8fcdfe860
363-U1482A-37H-CC,0,63,344.66,345.29,E [P46],R,1,,,,,,,,,,,1,,,5,,,,,,,,1,,,,,2,,,,,,,,,,3,,4,,,,,3,,,,,,3,1,,,,,1,2,,,,,,,,,,,6,,,2,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,363,U1482,A,37,H,CC,,932d12510c9aec8f21cb09a4a093b175
363-U1482A-39F-CC,0,30,354.38,354.68,E [P46],R,1,,,,,,,,,,,,,,3,,,,,,,,13,,,,,2,,,,2,,,,,,,,2,,,,,2,,,,1,,1,3,,,,,,7,,,,,,,,1,,,10,,,4,,,,1,,1,,,,,2,,,,,,,3,,,,,,,,,,,20,,,,,,,,,,,,363,U1482,A,39,F,CC,,7309b6fa3df3809c4c5d17ab80fc8bf8
363-U1482A-40F-CC,0,17,359.06,359.23,E [P46],R,1,,,,,,4,,,,,,,,3,,,,,,,,15,,,,,,,,,3,,,,,,7,,4,,,,,3,,,,1,,1,2,,,,,,7,,,2,,,1,,,,,10,,1,1,,,,,,4,,,,,5,,,,,,,2,,9,,,1,,,,,,10,,,,,,,,,,,,363,U1482,A,40,F,CC,,8fae38856f38c4666b4f7d6fae9cbf6c
363-U1482A-41F-CC,0,23,363.76,363.99,E [P46],R,1,,,,,,,,,,,2,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,2,,,,,,3,,,,,,,,1,,,3,,1,,,,,,,3,,,,,3,2,,,,,,3,,,,,2,,,,,,17,,,,,,,,,,,,363,U1482,A,41,F,CC,,6c913cf477a2918bbe3832bece04e70e
363-U1482A-42F-CC,0,28,368.52,368.8,E [P46],R,1,,,,10,,,,,,,,,,,,,,,,,,7,,,,,1,,,,,,,,,,,,,,,7,,4,,,,,,2,2,,,,,,5,,,,,,,,1,,,1,,,,,,,,,2,,,,,,3,,,,,,5,,1,,,,,,,,,12,,,,,,,,,,,,363,U1482,A,42,F,CC,,8731527653c1e9df762c3d1530904ab7
363-U1482A-43F-CC,0,29,372.79,373.08,E [P46],R,1,,,,,,4,,,,,6,,,12,,,,4,,2,,10,,,,,4,,,,6,,,,,,,,4,,,6,,,,,,,,,12,,,,,,12,,,,,,,,10,,,6,,4,,,,,,,6,,,,,4,2,,,,,,6,,10,,,,,,,,,20,,,,,,,,,,,,363,U1482,A,43,F,CC,,3bf5f2219bc044e5ce94f4daf30f278d
363-U1482A-44F-CC,0,17,377.69,377.86,E [P46],R,1,,,,,,4,,,,,4,,,,,,,,,,,18,,,,,,,,,6,,,,,,4,,8,,,2,,,,,,4,,,,,,,,,6,,,,,,,,,,,6,,,6,,,,,,10,,,,,8,4,,,,,,6,,10,,,,,,,,,12,,,,,,,,,,,,363,U1482,A,44,F,CC,,2bfd4800372dc81b59e8baadc979ea97
363-U1482A-45F-CC,0,39,379.82,380.21,E [P46],R,1,,,,3,,,,,,,,,,1,,,,,6,4,3,2,,,,,,,,,,,,,,,2,,1,,,1,,3,1,,,1,,,9,,,,,1,,,,,,,1,,1,,,12,,1,,,,3,,,1,,,,1,2,,,,,,,1,,,,,4,,,,,,10,,,,,,,1,,,,,363,U1482,A,45,F,CC,,15b90f3017d02cca3f0646a7bc7b2661
363-U1482A-46X-CC,0,38,385.16,385.54,E [P46],R,1,,,,,,,,,,,,,,,,,,1,3,6,3,2,,,,,3,,,,,,,,,,1,,4,,,,,4,1,,,,,,,,,,,1,,,,,,,2,,1,,,7,,1,2,,,,,3,,,,,1,1,,,,,,,1,,,,,6,,,,,,3,,,,,,,,,,,,363,U1482,A,46,X,CC,,905f007862356b07477bbd57e97a487a
363-U1482A-47X-CC,0,37,390.97,391.34,E [P46],R,1,,,,,,,,,,,,,,,,1,,,,3,2,2,,,,,3,,,,,,,,,,2,,,,,,,4,4,,,,,,3,,,,,1,,,,,,,,,,,,7,,,3,,,2,,1,,,,,,1,,,,,,,3,,2,,,2,,,,,,2,,,,,,,,,,,,363,U1482,A,47,X,CC,,60c7b2432b9e0851d24da105914c25ff
363-U1482A-48X-CC,0,48,400.67,401.15,E [P46],R,1,,,,,,,,,,,,,,,,,,,2,5,1,4,,,,,1,,,,,,,,,,1,,3,,,1,,2,,,,1,,,2,,,,,,,,,,,,2,,4,,,12,,,1,,,,,1,2,,,,,,,,,,,,4,,1,,,4,1,,,,,5,,,,,,,3,,,,,363,U1482,A,48,X,CC,,eabb72366b34955a8140835db5ee3a24
363-U1482A-49X-CC,0,45,410.44,410.89,E [P46],R,1,,,,,,,,,,,,,,1,,2,,,4,17,2,,,,,,1,,,,1,,,,,,,,1,,,,,4,15,,,,,,1,,,,2,1,,,,,,,6,,,,,9,,1,,,,,,,,,,,,4,,,,,,,3,,,,,5,,,,1,,6,,,,,,,,,,,,363,U1482,A,49,X,CC,,aecc85e9e1de113e933e2e33861968ff
363-U1482A-50X-CC,0,36,418.61,418.97,E [P46],R,1,,,,,,,,,,,,,,4,,1,,,2,,1,,,,,,2,,,,,,,,,,,,1,,,,,2,1,,,,,,4,,,,,,,,,1,,,1,,3,,,4,,1,,,,1,,1,,,,,,3,,,,,,,5,,1,,,10,,,,,,7,,,,,,,,,,,,363,U1482,A,50,X,CC,,74e1b4ae0a5ce32ffa8b702ff051494a
363-U1482A-51X-CC,0,32,429.08,429.4,E [P46],R,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,3,,,,,,,,,,1,,3,,,2,,,4,,,1,,,,,,,1,,,,,,,,1,,,,,1,,,2,,,3,,1,,,,,,1,,,,,,,2,,,,,3,,,,,,3,,,,,,,1,,,,,363,U1482,A,51,X,CC,,b45cd0cdeda982be48368f0808e96e40
363-U1482A-52X-CC,0,44,439.5,439.94,E [P46],R,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,1,,,,,2,10,,,,,,,,,,,,,,,,,,1,,,,,13,,,2,,,2,,1,2,,,,,3,,,,,,,1,,1,,,5,,,,,,3,,,,,,,,,,,,363,U1482,A,52,X,CC,,1bb909070dcd1813714307c726885b8d
363-U1482A-53X-CC,0,43,448.0,448.43,E [P46],R,1,,,,,,,,,,,,,,,,5,,2,1,,1,,,,,,9,,,,,,,,,,,,3,,,1,,1,12,,,,,,6,,,,,1,,,,,,,,,1,,,4,,,1,,,6,,3,1,,,1,1,2,,,,,,,1,,2,,,6,,,,,,11,,,,,,,,,,,,363,U1482,A,53,X,CC,,7edd4a3835e81952cb680da7b6388592
363-U1482A-54X-CC,0,47,456.05,456.52,E [P46],R,1,,,,,,,,,,,4,,,,,2,,,2,,4,,,,,,5,,,,,,,,,,,,,,,1,,2,,,,,,,2,,,,,,,,,,,,,,,,,8,,2,,,,1,,4,3,,,1,,,,,,,,,1,,2,,,,,,,,,12,,,,,,,,,,,,363,U1482,A,54,X,CC,,ff2e12d7bc19887621e8e17cdc22cecf
363-U1482A-55X-CC,0,38,465.85,466.23,E [P46],R,1,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,3,,,,,,,,,,,,3,,,,,2,1,,,,,,2,,,,,,,,,,,,,,2,,,1,,2,1,,,5,,1,2,,,,,6,,,,,,,4,,2,,,4,,,,,,3,,,,,,,,,,,,363,U1482,A,55,X,CC,,c79566ce4af47a4ab75bb54fc2a1406f
363-U1482A-56X-CC,0,36,474.54,474.9,E [P46],R,1,,,,,,,,,,,1,,,2,,,,,,,,,,,,,15,,,,3,,,,,,,,,,,,,3,3,,,,,,1,,,,,,,,,,,,,,,,,,,2,1,,,28,,9,1,,,,,5,,,,,,,,,2,,,15,,,,,,13,,,,,,,,,,,,363,U1482,A,56,X,CC,,762951d6591b518c6d85f9ef36d60779
363-U1482A-57X-CC,0,38,483.9,484.28,E [P46],R,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,,,,,2,,2,2,,,,,3,1,,,,,,,,,,,,1,,,,,5,,,,,,,,,,,,,,,,,,363,U1482,A,57,X,CC,,625185d9dee7531d976ecca13ebcbded
