Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Theocyrtis perysinos n. sp.,Tristylospyris triceros,Theocyrtis annosa,Eucyrtidium mitodes n. sp.,Dorcadospyris ateuchus,Theocyrtis setanios n. sp.,Lophocyrtis milowi,Theocorys puriri,Didymocyrtis prismatica,Dorcadospyris circulus,Theocyrtis tuberosa,Lithocyclia crux,Dorcadospyris spinosa,Dorcadospyris quadripes,Eucyrtidium plesiodiaphanes,Lophocyrtis pegetrum,Dorcadospyris riedeli,Dorcadospyris pseudopapilio,Centrobotrys gravida,Centrobotrys petrushevskayae,Lychnodictyum audax,Theocyrtis careotuberosa n. sp.,Dictyoprora mongolfieri,Thyrsocyrtis triacantha,Lophocyrtis oberhaensliae,Lithocyclia ocellus gr.,Lithocyclia aristotelis gr.,Cryptocarpium ornatum,Calocyclas hispida,Calocycletta anekathen n. sp.,Lophocyrtis jacchia,Dictyoprora armadillo,Lychnocanoma babylonis,Lophocyrtis hadra,Lychnocanoma amphitrite,Lophocyrtis exitelus,Dorcadospyris copelata n. sp.,Thyrsocyrtis bromia,Zealithapium mitra,Artophormis barbadensis,Thyrsocyrtis lochites,Lithocyclia angusta,Thyrsocyrtis tetracantha,Dorcadospyris ombros n. sp. (upper),Calocyclas bandyca,Calocyclas turris,Eusyringium fistuligerum,Cryptocarpium azyx,Podocyrtis papalis,Spongatractus pachystylus,Podocyrtis goetheana,Thyrsocyrtis krooni,Lychnocanoma turgidum,Artophormis gracilis,Theocyrtis perpumila n. sp.,Thyrsocyrtis orthotenes n. sp.,Comments,File data,
320-U1333C-14H-5-W,320,U1333,C,14,14-5,H,5,W,,40,48,114,114.08,RP20,C,M,,,R,,,,,,,,,,,,,,,,,,,,F,F,,,,R,F,,F,,R,,,R,,,R,,,,R,,,,,,,,,,,,R,vR,,comm centric diatoms,,
320-U1333C-14H-5-W,320,U1333,C,14,14-5,H,5,W,,50,58,114.1,114.18,RP19,F,M,1,,R,,,,,,,,,,,,,,,,,,,,R,R,,,,R,F,,F,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,
320-U1333C-14H-5-W,320,U1333,C,14,14-5,H,5,W,,110,118,114.7,114.78,RP19,C,M,1,,R,,,,,,,,,,,,,,,,,,,,R,R,,,,R,F,,F,,R,R,,,,R,,,,,,,,,,,,,,,,,R,,,,,
320-U1333C-14H-5-W,320,U1333,C,14,14-5,H,5,W,,130,138,114.9,114.98,RP19,A,M,,,R,,,,,,,,,,,,,,,,,,,,R,R,vR,,,R,F,,F,R,R,,R,,R,R,,,,,,,R,,,,,,,,,,,,,,,
320-U1333C-14H-6-W,320,U1333,C,14,14-6,H,6,W,,20,24,115.3,115.34,RP19,A,M,,,R,,,,,,,,,,,,,,,,,,,,R,R,,,,R,R,,F,R,R,,R,,,R,,,,,,,R,,,,,,,,,,R,,,SPINY FOOT OMBROS,,
320-U1333C-14H-6-W,320,U1333,C,14,14-6,H,6,W,,50,58,115.6,115.68,RP19,A,M,,,R,,,,,,,,,,,,,,,,,,,,R,R,,,,R,F,,F,R,R,,R,R,,R,,,,,,,R,,,,,,,,,,R,,,,,
320-U1333C-14H-6-W,320,U1333,C,14,14-6,H,6,W,,80,88,115.9,115.98,RP19,A,M,1,,R,,,,,,,,,,,,,,,,,,,,R,R,vR,,,R,F,,F,R,R,,R,R,,R,vR,,,,,,R,,,vR,,,,,,,R,,,,,
320-U1333C-14H-6-W,320,U1333,C,14,14-6,H,6,W,,120,128,116.3,116.38,RP19,A,M,,,R,,,,,,,,,,,,,,,,,,,,R,R,,,,R,F,,F,R,R,,,R,,R,,,,vR,,,R,,,,vR,,,,,,R,,,,,
320-U1333C-14H-7-W,320,U1333,C,14,14-7,H,7,W,,30,38,116.9,116.98,RP19,A,M,1,,R,,,,,,,,,,,,,,,,,,,,R,R,,,,R,F,,F,R,R,vR,R,R,,R,,,,,,,R,vR,,vR,,vR,,,,,R,,vR,,,
320-U1333C-14H-7-W,320,U1333,C,14,14-7,H,7,W,,60,68,117.2,117.28,RP19,A,M,1,,R,,,,,,,,,,,,,,,,,,,,R,R,vR,,,R,F,,F,R,R,R,R,F,,R,vR,,,vR,,,R,,,,,vR,,,,vR,R,,,,,
320-U1333C-14H-7-W,320,U1333,C,14,14-7,H,7,W,,67,75,117.27,117.35,RP19,A,G,1,,R,,,,,,,,,,,,,,,,,,,,R,R,vR,,,R,F,,F,R,R,R,,R,,R,vR,,,,,,R,,,,,,,,,,R,,,,,
320-U1333C-14H-CC-PAL-RADS,320,U1333,C,14,14-CC,H,CC,PAL,RADS,0,0,117.58,117.58,RP19,A,G,1,,R,,,,,,,,,,,,,,,,,,,,F,F,vR,,,R,R,,F,R,R,R,,R,,R,R,,,,,,R,vR,R,,,,,,,,R,,,,,
320-U1333C-15H-CC-PAL-RADS,320,U1333,C,15,15-CC,H,CC,PAL,RADS,0,0,127.11,127.11,RP18,A,G,,,R,,,,,,,,,,,,,,,,,,,,F,R,R,,,R,R,,,R,R,R,,,,,R,,,R,,R,R,,R,,F,,,,,,R,R,,,,
