Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Theocyrtis perysinos n. sp.,Tristylospyris triceros,Theocyrtis annosa,Eucyrtidium mitodes n. sp.,Dorcadospyris ateuchus,Theocyrtis setanios n. sp.,Lophocyrtis milowi,Theocorys puriri,Didymocyrtis prismatica,Dorcadospyris circulus,Theocyrtis tuberosa,Lithocyclia crux,Dorcadospyris spinosa,Dorcadospyris quadripes,Eucyrtidium plesiodiaphanes,Lophocyrtis pegetrum,Dorcadospyris riedeli,Dorcadospyris pseudopapilio,Centrobotrys gravida,Centrobotrys petrushevskayae,Lychnodictyum audax,Theocyrtis careotuberosa n. sp.,Dictyoprora mongolfieri,Thyrsocyrtis triacantha,Lophocyrtis oberhaensliae,Lithocyclia ocellus gr.,Lithocyclia aristotelis gr.,Cryptocarpium ornatum,Calocyclas hispida,Calocycletta anekathen n. sp.,Lophocyrtis jacchia,Dictyoprora armadillo,Lychnocanoma babylonis,Lophocyrtis hadra,Lychnocanoma amphitrite,Lophocyrtis exitelus,Dorcadospyris copelata n. sp.,Thyrsocyrtis bromia,Zealithapium mitra,Artophormis barbadensis,Thyrsocyrtis lochites,Lithocyclia angusta,Thyrsocyrtis tetracantha,Dorcadospyris ombros n. sp. (upper),Calocyclas bandyca,Calocyclas turris,Eusyringium fistuligerum,Cryptocarpium azyx,Podocyrtis papalis,Spongatractus pachystylus,Podocyrtis goetheana,Thyrsocyrtis krooni,Lychnocanoma turgidum,Artophormis gracilis,Theocyrtis perpumila n. sp.,Thyrsocyrtis orthotenes n. sp.,Comments,File data,,eodp_id
320-U1333A-13X-3-W,320,U1333,A,13,13-3,X,3,W,,0,8,113.3,113.38,RP19,A,G,1,,R,,,,,,,,,,,,,,,,,,,,F,R,,R,,F,C,,C,R,R,R,R,R,R,R,,VR,,,VR,VR,R,,VR,,,R,,,,,R,,VR,,,,58b84f51917ab43718b4c3c2f24bf9ac
320-U1333A-13X-3-W,320,U1333,A,13,13-3,X,3,W,,122,129,114.52,114.59,RP19,A,M,,,R,,,,,,,,,,,,,,,,,,,,F,R,,,,F,F,,C,R,R,R,R,R,,R,,,VR,,,,R,,,,,R,,,,VR,R,,,SPINY LEG OMBROS,,,6c672a0bac9ef5dddef1387c6f15b5d4
320-U1333A-13X-4-W,320,U1333,A,13,13-4,X,4,W,,72,80,115.52,115.6,RP19,C,M,1,,R,,,,,,,,,,,,,,,,,,,,R,R,VR,,,F,F,,F,R,R,R,R,R,,R,,,,,,,R,VR,,,VR,R,,,,,R,,,SPINY LEG OMBROS,,,c5e8c7896a4dc0d8d8bc53d620a11d8a
320-U1333A-13X-4-W,320,U1333,A,13,13-4,X,4,W,,96,104,115.76,115.84,RP19,C,M,1,,R,,,,,,,,,,,,,,,,,,,,F,R,,,,F,F,,F,R,R,R,,R,,R,,,VR,VR,,VR,R,,VR,,VR,,,,,,R,,,SPINY LEG OMBROS GOOD,,,ac9a2727808a9383015c64033e7c42df
320-U1333A-13X-4-W,320,U1333,A,13,13-4,X,4,W,,105,107,115.85,115.87,RP19,C,M,,,R,,,,,,,,,,,,,,,,,,,,F,R,,R,,R,F,,R,R,R,R,,R,,R,VR,,,,,VR,R,,,,,,,,,,R,,,SPINY LEG OMBROS,,,2933659b392324a5b956cbd3642dd36d
320-U1333A-13X-4-W,320,U1333,A,13,13-4,X,4,W,,120,128,116,116.08,RP19,F,M,,,R,,,,,,,,,,,,,,,,,,,,R,R,,,,R,R,,R,R,R,R,,R,,R,,,,,,,R,R,,,VR,,VR,,,,R,,,,,,932a2a27e4cf35e93deeb13c46487aa2
320-U1333A-13X-5-W,320,U1333,A,13,13-5,X,5,W,,8,16,116.38,116.46,RP18,C,M,,,R,,,,,,,,,,,,,,,,,,,,R,R,R,,,R,R,,R,R,R,R,,R,,R,R,,,R,,R,R,R,R,VR,VR,,,,VR,VR,R,,,SPINY LEG OMBROS,,,bae6498a483b721155bf85a6be1f1949
320-U1333A-13X-5-W,320,U1333,A,13,13-5,X,5,W,,96,104,117.26,117.34,RP18,A,G,,,R,,,,,,,,,,,,,,,,,,,,R,R,R,,,R,R,,R,R,R,R,,R,,R,R,,,F,,C,F,R,F,,R,,,,,,R,VR,,L. DUMITRICA; ARCED LEG OMBROS;T. CRYPTOCEPHALA,,,ac0c08e8faac4b54aa87a15fdf14ad08
320-U1333A-13X-6-W,320,U1333,A,13,13-6,X,6,W,,40,48,118.2,118.28,RP18,A,G,1,,R,,,,,,,,,,,,,,,,,,,,R,R,R,,,R,R,,R,R,R,R,,R,,R,R,,,F,,F,R,R,F,,R,,,,VR,,R,VR,,L. DUMITRICA; ARCED LEG OMBROS;T. CRYPTOCEPHALA,,,8d6a0b9cb99b13eb391119975ff983bb
320-U1333A-13X-CC-PAL-RADS,320,U1333,A,13,13-CC,X,CC,PAL,RADS,0,0,119.93,119.93,RP18,A,G,,,R,,,,,,,,,,,,,,,,,,,,R,R,R,R,,R,R,VR,R,R,R,R,R,R,R,R,R,,,R,,F,R,R,R,,R,,,,,,-,,-,L. DUMITRICA; ARCED LEG OMBROS;T. CRYPTOCEPHALA,,,75a129c6ec052085610a05ed70f1e5b2
320-U1333A-14X-2-W 95/97,320,U1333,A,14,14-2,X,2,W,95/97,95,97,123.4,123.42,RP18,A,G,1,,R,,,,,,,,,,,,,,,,,,,,R,R,R,,,R,R,,F,R,R,R,,,,R,R,R,,C,,F,R,,F,R,F,,,VR,,R,,,,T. CRYPTOCEPHALA,,,bfb006352cdda79bf9ecf44588020ac7
320-U1333A-14X-4-W 95/97,320,U1333,A,14,14-4,X,4,W,95/97,95,97,126.4,126.42,RP17,C,M,,,R,,,,,,,,,,,,,,,,,,,,F,R,R,,,R,R,,VR,,R,R,,,,R,R,R,,F,,R,R,,R,R,F,,,,,R,R,,R,T. CRYPTOCEPHALA,,,c0f0ee91f12c471636a09a8dc5bc8412
320-U1333A-14X-CC-PAL-RADS,320,U1333,A,14,14-CC,X,CC,PAL,RADS,0,0,129.8,129.8,RP17,C,M,,,R,,,,,,,,,,,,,,,,,,,,R,R,R,R,,R,R,R,,-,,R,-,,,,R,,,R,,R,,,R,,,,,,,,,,R,,,,dc1e85b1dfd684bae85a0f0c0c3e80ce
320-U1333A-15X-2-W 96/98,320,U1333,A,15,15-2,X,2,W,96/98,96,98,133.02,133.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,2af7ea763b3becfe3d13a5f9ac64cf5e
320-U1333A-15X-CC-PAL-RADS,320,U1333,A,15,15-CC,X,CC,PAL,RADS,0,0,139.14,139.14,RP16,C,P,,,-,,,,,,,,,,,,,,,,,,,,-,R,R,R,,R,R,R,,,,R,-,,,,-,,,-,,,,,,,,,,,,,,,R,,,,8b09697bedd72feb978eb068b4f5d4a0
