Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Diatoms group abundance,Diatom preservation dissolution,Diatom preservation fragmentation,Diatom preservation pyritization,Achnanthes brevipes,Achnanthes sp.,Actinocyclus actinochilus,Actinocyclus curvatulus,Actinocyclus dimorphus,Actinocyclus ellipticus,Actinocyclus ellipticus f. lanceolata,Actinocyclus fasciculatus,Actinocyclus ingens,Actinocyclus ingens  var. nodus,Actinocyclus ingens var. ingens,Actinocyclus ingens var. ovalis,Actinocyclus karstenii,Actynocyclus cf. aff. karstenii,Actinocyclus lanceolatus,Actinocyclus maccollumii,Actinocyclus mahoodii,Actinocyclus octonarius,Actinocyclus octonarius var. tenella,Actinocyclus spp.,Actinocylus octonarius var. asteriscus,Actinocylus sp. F,Actinoptychus senarius,Actinoptychus splendens,Actinocyclus sp. cf. A. actinochilus early form,Actinocyclus sp. cf. tsugaruensis,Actinoptychus spp.,Alaucodiscus spp.,Alveus marinus,Amphiprora sp.,Amphora helenensis,Amphora sp.,Anaulus spp.,Arachnodiscus ehrenbergi,Arachnodiscus oamaruensis,Arachnoidiscus spp.,Araniscus lewisianus,Asterolampra affinis,Asterolampra insignis,Asterolampra punctifera,Asterolampra spp.,Asterolampra tela,Asterolampra vulgaris,Asteromphalus flabellatus,Asteromphalus hookeri,Asteromphalus hyalinus,Asteromphalus kennettii,Asteromphalus oligocenicus,Asteromphalus parvulus,Asteromphalus spp.,Asteromphalus symmetricus,Aulacodiscus brownei,Aulacodiscus sp.,Aulacoseira spp.,Azpeitia endoi,Azpeitia gombosi,Azpeitia nodulifera,Azpeitia oligocenica,Azpeitia sp.,Azpeitia tabularis,Azpeitia tabularis var. egregius,Bacteriostriata spp.,Baxteriopsis brunii,Biddulphia spp.,Bogorovia gombosii,Bogorovia veniamini,Brightwellia hyperborea,Brightwellia sp.,Cavitatus jouseanus,Cavitatus jouseanus early form,Cavitatus linearis,Cavitatus miocenicus,Cestodiscus antarcticus,Cestodiscus convexus,Cestodiscus reticulatus,Cestodiscus reticulatus_robustus cpx,Cestodiscus sp.,Chaetoceros bullbosum,Chaetoceros spp.,Chaetoceros spp. (resting spores),Cocconeis costata,Cocconeis spp.,Corethron criophilum,Coscinodiscus asteromphalus,Coscinodiscus hajosiae,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Coscinodiscus radiatus,Coscinodiscus rhombicus,Coscinodiscus sp. A,Coscinodiscus spp.,Creania lacyae,Crucidenticula ikebei,Crucidenticula kanayae,Crucidenticula nicobarica,Cymatosira biharensis,Cymatosira palpebraforma,Cymatosira praecompacta,Dactylacanthis invalida,Dactylacanthis proxima,Dactylacanthis rara,Dactylacanthis spp.,Dactyliosolen antarcticus,Delphineis spp.,Denticula norwegica,Denticulopsis barronii,Denticulopsis  cf. katayamae,Denticulopsis crassa,Denticulopsis crassa (closed copula),Denticulopsis delicata,Denticulopsis dimorpha,Denticulopsis dimorpha var. areolata,Denticulopsis hustedtii,Denticulopsis hyalina,Denticulopsis ichikawae,Denticulopsis katayamae,Denticulopsis lauta,Denticulopsos lauta s.l.,Denticulopsis maccollumii,Denticulopsis okunoi,Denticulopsis ovata,Denticulopsis praedimorpha,Denticulopsis praedimorpha v. minor,Denticulopsis praedimorpha v. intermedia,Denticulopsis aff. Seminae = Neodenticula seminae,Denticulopsis simonsenii,Denticulopsis spp.,Denticulopsis vulgaris,Dicladia sp.,Diploneis spp.,Dispinodiscus sp.,Distephanosira architecturalis,Entopyla spp.,Eucampia antarctica,Eucampia antarctica var twista,Eurossia irregularis var. incurvatus,Eurrosia irregularis var. irregularis,Eustephanias inermis,Eustephanias quasinermis,Eustephanias ramigenus,Eustephanias spp.,Fragilaria sp.,Fragilariopsis arcula,Fragilariopsis aurica,Fragilariopsis barronii/kerguelensis transtitional form,Fragilariopsis barronii,Fragilariopsis bohatyi,Fragilariopsis claviceps,Fragilariopsis clementia,Fragilariopsis curta,Fragilariopsis cylindrus,Fragilariopsis doliolus,Fragilariopsis donahuensis,Fragilariopsis fossilis,Fragilariopsis interfrigidaria,Fragilariopsis januaria,Fragilariopsis kerguelensis,Fragilariopsis lacrima,Fragilariopsis laqueus,Fragilariopsis linearis,Fragilariopsis maleinterpretaria,Fragilariopsis matuyamae,Fragilariopsis matuyamae var. heteropola,Fragilariopsis obliquecostata,Fragilariopsis praecurta,Fragilariopsis praeinterfrigidaria,Fragilariopsis pseudonana,Fragilariopsis reinholdii,Fragilariopsis rhombica,Fragilariopsis ritscheri,Fragilariopsis robusta,Fragilariopsis separanda,Fragilariopsis sp. A,Fragilariopsis spp.,Fragilariopsis sublinearis,Fragilariopsis tigris,Fragilariopsis truncata,Fragilariopsis vanheurckii,Fragilariopsis weaveri,Genus and species indeterminate #1,Goniothecium decoratum,Goniothecium odontella,Goniothecium rogersii,Grammatophora spp.,Diatom preservation - pyritization2,eodp_id
318-U1361A-11H-CC-PAL,318,U1361,A,11,11-CC,H,CC,PAL,0,5,104.215,104.265,C,M,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,R,,,,,,,,,,,a9da781d17510dfd666a1197a1583d59
318-U1361A-12H-CC-PAL,318,U1361,A,12,12-CC,H,CC,PAL,0,5,111.275,111.325,F,P,M,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,8d67a8b6192374298156e93e242b6896
318-U1361A-13H-CC-PAL,318,U1361,A,13,13-CC,H,CC,PAL,0,5,122.52,122.57,C,P,G,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2c166c643a1dc487f6c3ba6309c01d84
318-U1361A-14H-CC-PAL,318,U1361,A,14,14-CC,H,CC,PAL,0,4,132.53,132.57,C,M-G,G,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,X?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X?,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,Xaff.,,,,,,,,,,,,,,,,,,,,61a743ddaebfd7d27122ce94bf91b563
318-U1361A-15H-CC-PAL,318,U1361,A,15,15-CC,H,CC,PAL,0,3,141.73,141.76,F,P,M,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,X?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90c5810700e6a470fd16f658c6ff3671
318-U1361A-16H-CC-PAL,318,U1361,A,16,16-CC,H,CC,PAL,0,5,151.65,151.7,,P,G,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,R-F,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X?,,,,,,,,,X,,,,,,,,,,,,71b1e0d07908ef51bae1435368dd665d
318-U1361A-17X-CC-PAL,318,U1361,A,17,17-CC,X,CC,PAL,0,5,160.29,160.34,F-C,P-M,G,,,,,,,,,,X,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,R,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,X,R-F,,,,,,,,X,,,,,,,,R-F,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xaff.,,,,,,,,X,,,,,,,,,,,,d6771982a7ac4570461eaa25003d4e5a
318-U1361A-18X-CC-PAL,318,U1361,A,18,18-CC,X,CC,PAL,0,5,167.05,167.1,C-A,M-G,G,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,X?,,,,,,,,,,,,,,,,X,,,,,,,F,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,7bf546680d213c21593be41155e5c50e
318-U1361A-20X-CC-PAL,318,U1361,A,20,20-CC,X,CC,PAL,0,6,184.35,184.41,F,P-M,M,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,R-F,,,,,,,,,,,X,,,,,R,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d9dd4936182ecf7223a495ffa69e2340
318-U1361A-22X-CC-PAL,318,U1361,A,22,22-CC,X,CC,PAL,0,5,205.16,205.21,F-C,M,G,,,,,,,,,,X,,,R,,,,,,,,R-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,F,,X,,,,,,,,,,,,,,R,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,87eea520c733433be25c4d599517a2e2
318-U1361A-23X-CC-PAL,318,U1361,A,23,23-CC,X,CC,PAL,0,5,215.85,215.9,C,P-M,G,,,,,,,,,,X,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,X?,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,X,,,,,F,,,,,,,,X,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,bbbce7abdc9f5b6b974de881136a1004
318-U1361A-24X-1-PAL,318,U1361,A,24,24-1,X,1,PAL,0,20,215.8,216.0,A,M-G,G,,,,,,,,,,,,,,X?,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,X,,,,,C-A,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,c895ae24d1d5d9b318558bd115abf4d3
318-U1361A-24X-CC-PAL,318,U1361,A,24,24-CC,X,CC,PAL,0,5,219.065,219.115,F,P,M,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,X,,,,,,,,,,,,,,,,F,X,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,2ce4910db83c777a98f649ddfa42befd
318-U1361A-25X-CC-PAL,318,U1361,A,25,25-CC,X,CC,PAL,0,5,234.77,234.82,F-C,P,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,X,,,X,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,af461fb6ee047b86098fcfb38d2b2ecf
318-U1361A-26X-CC-PAL,318,U1361,A,26,26-CC,X,CC,PAL,0,6,244.175,244.235,C,M,G,,,,,,,,,,,X?,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,F,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,81d9273ed3eebf674e5fb3297dab0c8c
318-U1361A-27X-CC-PAL,318,U1361,A,27,27-CC,X,CC,PAL,0,5,252.95,253.0,A,G,M,,,,,,,,,,X,,,,F,,,,,X?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,X,,,,,,,,,,,,F,,,,,,,F,X,,,,,,,,,,X,,,,,C,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,9f90cde694af8aab860ea8ecc2d7d1bb
318-U1361A-28X-CC-PAL,318,U1361,A,28,28-CC,X,CC,PAL,0,5,263.86,263.91,C,M,G,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,F,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X?,,,,,,,,,,,,,,,,,,,,,f53fd3153f1d8125e038623039ea2eb6
318-U1361A-29X-CC-PAL,318,U1361,A,29,29-CC,X,CC,PAL,0,5,273.37,273.42,F-C,M-G,P-M,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,R,,,,,,,X,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X?,,,,,,,,,,,,,,,,,,,,,1bc7fea96ef4f0eedae5e4136b285ae4
318-U1361A-30X-1-PAL,318,U1361,A,30,30-1,X,1,PAL,0,5,273.5,273.55,F-C,M-G,P-M,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ce405c62d11621aa1da48d4df14618cd
318-U1361A-31X-CC-PAL,318,U1361,A,31,31-CC,X,CC,PAL,0,4,283.05,283.09,C,G,M,,,,,,,,,,X,,,,R,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,F,,,,,,X,X,,,,X,,,,,,,,,,,,F,,,,,,,X,,,,,,,,,,,R,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X?,,,,,,,,,X,,,,,,,,,,,,adb1a4d9599b42ee09a7dddeef96cea7
318-U1361A-32X-CC-PAL,318,U1361,A,32,32-CC,X,CC,PAL,0,5,302.045,302.095,F,M-G,M,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdb93660d0aec8030a41d02a9af70c5c
318-U1361A-33X-CC-PAL,318,U1361,A,33,33-CC,X,CC,PAL,0,5,311.625,311.675,F-C,M,G,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X?,,,,,,,,,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7b99aff04475c66bac2b187ae2a425c7
