Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of non-calcareous agglutinated forams in total foram assemblage [%],Ammobaculites agglutinans,Amphicoryna scalaris,Amphisorus hemprichii,Anomalinoides globulosus,Astalocus bradyi,Bigenerina nodosaria,Bigenerina spp.,Bolivina robusta,Bolivinita quadrilatera,Brizalina alata,Brizalina earlandi,Bulbobaculites problematicus,Bulimina aculeata,Bulimina gibba,Bulimina marginata,Ceratobulimina jonesiana,Chilostomella oolina,Cibicidoides bradyi,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides spp.,Cornuspira involvens,Corscinospora arietina,Cymbaloporella taballaeformis,Dentalina sp.,Dentalina spp.,Dorothia bradyana,Dorothia goesi,Edentostomina sp.,Eggerella bradyi,Ehrenbergina pacifica,Elphidium advenum,Epistominella spp.,Eubuliminella exilis,Fissurina sp.,Fissurina spp.,Fursenkoina texturata,Gaudryina spp.,Glandulina ovula,Globobulimina pacifica,Globocassidulina subglobosa,Globulotuba sp.,Gyroidinoides soldanii,Hoeglundina elegans,Hyalinea balthica,Hyperammina friabilis,Laticarinina pauperata,Laevidentalina aphelis,Lagena spp.,Lenticulina spp.,Liebusella soldanii,Lingulina seminuda,Marginulina obesa,Martinottiella communis,Melonis spp.,Nodosaria spp.,Nodogenerina spp.,Nonionella turgida,Oolina spp.,Oolina globosa,Operculina complanata,Oridorsalis umbonatus,Osangularia bengalensis,Osangularia culter,Peneroplis pertusus,Peneroplis planatus,Planulina wuellerstorfi,Planularia australis,Plectofrondicularia advena,Pleurostomella spp.,Poroeponides lateralis,Praeglobobulimina pupoides,Procerolagena gracilis,Pseudoglandulina glanduliformis,Pyramidulina spp.,Pyrgo spp.,Pyrgo lucernula,Pyrgo laevis,Pullenia bulloides,Pullenia quinqueloba,Quinqueloculina spp.,Rectuvigerina striata,Reophax spp.,Rotalinoides compressiusculus,Rosalina globularis,Saracenaria volpicelli,Saracenaria altifrons,Sigmoilopsis schlumbergeri,Siphogenerina columellaris,Sphaeroidina bulloides,Spiroloculina bradyi,Spiroloculina rotunda,Stilostomella spp.,Textularia agglutinans,Textulariella barrettii,Textularia pseudogramen,Tristix sp.,Trochammina inflata,Uvigerina spp.,Uvigerina bifurcata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina proboscidea,Vaginulina spp.,Vaginulinopsis reinformis,Vaginulinopsis spp.,Vulvulina pennatula,BF comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
363-U1488A-21H-CC,0,19,196.15,196.34,G,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,363,U1488,A,21,H,CC,,2f1c438b3b5a998fcb872ba6f22628fd
363-U1488A-22H-CC,0,25,205.65,205.9,G,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,10,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,22,H,CC,,32199b892d35cc5c1f95818fee43397b
363-U1488A-23H-CC,0,6,215.13,215.19,G,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,5,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,363,U1488,A,23,H,CC,,f78ac741707176a5f04a51ad1be9ffc9
363-U1488A-24H-CC,0,25,224.56,224.81,G,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,1,,,,,,,,,,,,,,3,,,,,5,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,363,U1488,A,24,H,CC,,85f8c05b92f4ab3a27b54e8a3d8638e9
363-U1488A-25H-CC,0,6,234.14,234.2,G,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,3,,,,,,2,5,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,363,U1488,A,25,H,CC,,5a10974e489e0ad93561cc0ff0f9f6f1
363-U1488A-26H-CC,0,27,243.57,243.84,G,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,363,U1488,A,26,H,CC,,5dbc6414ed4ae0bc381b839bb6b653dc
363-U1488A-27H-CC,0,24,253.13,253.37,G,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,363,U1488,A,27,H,CC,,5c700efdb18a2f60866ae948fa913b1f
363-U1488A-28H-CC,0,27,262.61,262.88,G,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,363,U1488,A,28,H,CC,,3d27a63063ea83c5486caaf149474a01
363-U1488A-29H-CC,0,26,272.09,272.35,G,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,2,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,363,U1488,A,29,H,CC,,fdb81324802a453a414ffa8c6a89a0de
363-U1488A-30H-CC,0,26,281.6,281.86,G,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,3,,,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,30,H,CC,,5c8e4675cbe149a4151f442904b818eb
363-U1488A-31H-CC,0,22,291.14,291.36,G,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,2,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,31,H,CC,,0a2f9895fc49af90f96594da8bc810c2
363-U1488A-32H-CC,0,31,300.62,300.93,G,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,32,H,CC,,9a32d998cc850f363c37abe3d0a3cb70
363-U1488A-33F-CC,0,46,304.93,305.39,G,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,33,F,CC,,83f8bdf771bd92eb1d461f454a75d981
363-U1488A-34F-CC,0,20,309.76,309.96,G,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,34,F,CC,,0d6532a8da4bf89907d6df6520ecea48
363-U1488A-35F-CC,0,26,314.52,314.78,G,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1488,A,35,F,CC,,4b7dcb36626a66a2ba1ccba652eac31d
