Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Stylatractus universus,Collosphaera tuberosa,Lamprocyrtis neoheteroporos,Anthocyrtidium angulare,Lamprocyrtis nigriniae,Theocorythium vetulum,Lamprocyrtis heteroporos,Theocorythium trachelium,Pterocorys minythorax,Pterocanium prismatium,Didymocyrtis avita,Anthocyrtidium jenghisi,Theocalyptra davisiana,Stichocorys peregrina,Anthocyrtidium pliocenica,Phormostichoartus fistula,Lychnodictyum audax,Spongaster pentas,Phormostichoartus doliolum,Amphirhopalum ypsilon,Didymocyrtis penultima,Spongaster tetras,Nephrospyris renilla,Solenosphaera omnitubus,Spongaster berminghami,Didymocyrtis antepenultima,Stichocorys johnsoni,Calocycletta caepa,Didymocyrtis tetrathalamus,Stichocorys delmontensis,Acrobotrys tritubus,Stylosphaera sp. C,Acrobotris tritubus,Diartus hughesi,Didymocyrtis laticonus,Botryostrobus miralestensis,Diartus petterssoni,Stichocorys wolffii,Cladococcus abietinus,Stauroxiphos communis,Cyrtocapsella japonica,Carpocanopsis cristata,Lithopera neotera,Cyrtocapsella cornuta,Dorcadospyris alata,Cyrtocapsella tetrapera,Lithopera renzae,Comments,File data,,eodp_id
320-U1335A-6H-4-W 105/107,320,U1335,A,6,6-4,H,4,W,105/107,105,107,53.5,53.52,RN7,A,G,,,,,,,,,,,,,,,,,,R,,R,,,,,,,F,R,F,,C,,,,F,R,R,R,,,,,,,,,,,,,,95ff4362bf8263af35461f41c21b9330
320-U1335A-6H-CC-PAL-RADS,320,U1335,A,6,6-CC,H,CC,PAL,RADS,0,0,56.45,56.45,RN7,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,R,F,R,F,,C,,,,F,R,R,R,,,,,,,,,,,COMMON DIATOMS,,,b41ed10efe73bfd46b764abd37ff969f
320-U1335A-7H-2-W,320,U1335,A,7,7-2,H,2,W,,102,104,58.92,58.94,RN6,C,M,1,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,R,,C,,,,,F,R,F,R,,,vR,,vR,,,,,,,,06964ae48b540b771ec81652c2eab48d
320-U1335A-7H-4-W,320,U1335,A,7,7-4,H,4,W,,102,104,61.92,61.94,RN6,A,G,1,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,C,,,,,F,F,F,R,,,R,,vR,,,vR,,,,,e5d075218e5ceec911cd87c90b6a42ef
320-U1335A-7H-CC-PAL-RADS,320,U1335,A,7,7-CC,H,CC,PAL,RADS,0,0,66.24,66.24,RN6,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,C,,,,,F,R,R,R,,,F,R,R,,,,,DIATOMS,,,7e187742f13261751b14d42b3102e01a
320-U1335A-8H-2-W 103/105,320,U1335,A,8,8-2,H,2,W,103/105,103,105,69.46,69.48,RN6,A,G,1,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,C,,,,,F,R,R,R,,,F,vR,R,vR,,vR,,,,,bf0f781140d789501c346b59e85161db
320-U1335A-8H-4-W 105/107,320,U1335,A,8,8-4,H,4,W,105/107,105,107,72.5,72.52,RN6,A,G,1,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,F,,,,,F,R,R,R,,,F,R,R,,,,vR,DIATOMS; SPINES,,,f6007a244b18e4c7c364d9ac03061c99
320-U1335A-8H-CC-PAL-RADS,320,U1335,A,8,8-CC,H,CC,PAL,RADS,0,0,75.86,75.86,RN6,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,F,,,,,F,R,R,R,,,R,R,R,,,,,COMMON DIATOMS,,,71d2cc35ce557d7a141b34ce55ee2169
320-U1335A-9H-2-W 120/122,320,U1335,A,9,9-2,H,2,W,120/122,120,122,79.3,79.32,RN6,A,G,1,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,F,,,,,F,R,R,R,,,R,R,R,vR,,vR,vR,COMMON DIATOMS; SPINES,,,58b676df6d58e8fab3c47d6731db6bc4
320-U1335A-9H-4-W 105/107,320,U1335,A,9,9-4,H,4,W,105/107,105,107,82,82.02,RN6,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,F,,,,,F,R,R,R,,,R,R,F,,R,,R,,,,2caa362d4cabaa065dc1a88a763d1708
320-U1335A-9H-CC-PAL-RADS,320,U1335,A,9,9-CC,H,CC,PAL,RADS,0,0,85.02,85.02,RN6,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,R,,,,,F,R,R,R,,,R,R,vR,F,R,R,R,,,,891c2a96586450734551aca7862257c2
320-U1335A-10H-2-W 105/107,320,U1335,A,10,10-2,H,2,W,105/107,105,107,88.5,88.52,RN6,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,R,,,,,F,R,R,R,,,R,,R,R,R,R,R,,,,d435fd35160b688f8faf8d93f8349b8b
320-U1335A-10H-4-W 105/107,320,U1335,A,10,10-4,H,4,W,105/107,105,107,91.5,91.52,RN5,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,R,,,,,F,R,,R,,,R,R,,R,,R,R,COMMON DIATOMS; SPINES,,,8d5b846229712ce44137b695b1ee803d
320-U1335A-10H-CC-PAL-RADS,320,U1335,A,10,10-CC,H,CC,PAL,RADS,0,0,94.94,94.94,RN5,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,R,,,,,F,R,,vR,,,R,R,vR,F,,F,F,,,,11b7b34ad937b34fbb59e7e1ed5a09ff
320-U1335A-11H-2-W,320,U1335,A,11,11-2,H,2,W,,149,150,97.39,97.4,RN5,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,F,,,,,F,R,,R,,,,R,,R,,F,R,,,,91dce498d7326a49357d4346ba406f89
320-U1335A-11H-2-W 104/106,320,U1335,A,11,11-2,H,2,W,104/106,104,106,97.98,98,RN5,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,F,,,,,F,R,,R,,,,R,,F,vR,F,R,,,,066c66dd0948d970afb26b4070501c9b
320-U1335A-11H-4-W 104/106,320,U1335,A,11,11-4,H,4,W,104/106,104,106,100.98,101,RN5,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,F,,,,,F,R,,R,,,,,,R,vR,F,R,,,,5c709c921fc906d04c4be3f0fcbaccf9
320-U1335A-11H-CC-RADS,320,U1335,A,11,11-CC,H,CC,RADS,,0,0,103.82,103.82,RN5,A,G,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,R,,,,,F,R,,R,,,,R,,R,,R,R,,,,19f662a23ca35d199b793eff9c3b141e
320-U1335A-12H-2-W 104/106,320,U1335,A,12,12-2,H,2,W,104/106,104,106,107.48,107.5,RN5,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,F,,,,,R,R,,,,,,,,R,,R,,C. bramlettei,,,b8ebcd23e413b3c7f1feae5134883707
320-U1335A-12H-3-W,320,U1335,A,12,12-3,H,3,W,,149,150,108.39,108.4,RN5,A,G,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,F,,,,,R,R,,R,,,,R,,F,R,R,R,,,,08f3cd367a7c807395cc0ef46756cfd6
320-U1335A-12H-4-W 104/106,320,U1335,A,12,12-4,H,4,W,104/106,104,106,110.48,110.5,RN5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e4b529b2be7f1b59c10cb04530f361ef
320-U1335A-12H-CC-PAL-RADS,320,U1335,A,12,12-CC,H,CC,PAL,RADS,0,0,113.84,113.84,RN5,A,G,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,F,,R,,,,,F,R,,R,,,,R,,F,,F,,,,,527ee285988a16d267be9be6aed04222
320-U1335A-34H-4-W,320,U1335,A,34,34-4,H,4,W,,105,107,317.05,317.07,RN10,A,G,2,,,,,,,,,,R,R,R,,C,,vR,,R,R,,R,,,,,,,,R,R,,,,,,,,,R,,,,,,,,,,,,00ef6d66ddea8bbcb2a24e16516bc305
