Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name [short],Abundance,Preservation,Mixing,Theocyrtis perysinos n. sp.,Tristylospyris triceros,Theocyrtis annosa,Eucyrtidium mitodes n. sp.,Dorcadospyris ateuchus,Theocyrtis setanios n. sp.,Lophocyrtis milowi,Theocorys puriri,Didymocyrtis prismatica,Dorcadospyris circulus,Theocyrtis tuberosa,Lithocyclia crux,Dorcadospyris spinosa,Dorcadospyris quadripes,Eucyrtidium plesiodiaphanes,Lophocyrtis pegetrum,Dorcadospyris riedeli,Dorcadospyris pseudopapilio,Centrobotrys gravida,Centrobotrys petrushevskayae,Lychnodictyum audax,Theocyrtis careotuberosa n. sp.,Dictyoprora mongolfieri,Thyrsocyrtis triacantha,Lophocyrtis oberhaensliae,Lithocyclia ocellus gr.,Lithocyclia aristotelis gr.,Cryptocarpium ornatum,Calocyclas hispida,Calocycletta anekathen n. sp.,Lophocyrtis jacchia,Dictyoprora armadillo,Lychnocanoma babylonis,Lophocyrtis hadra,Lychnocanoma amphitrite,Lophocyrtis exitelus,Dorcadospyris copelata n. sp.,Thyrsocyrtis bromia,Zealithapium mitra,Artophormis barbadensis,Thyrsocyrtis lochites,Lithocyclia angusta,Thyrsocyrtis tetracantha,Dorcadospyris ombros n. sp. (upper),Calocyclas bandyca,Calocyclas turris,Eusyringium fistuligerum,Cryptocarpium azyx,Podocyrtis papalis,Spongatractus pachystylus,Podocyrtis goetheana,Thyrsocyrtis krooni,Lychnocanoma turgidum,Artophormis gracilis,Theocyrtis perpumila n. sp.,Thyrsocyrtis orthotenes n. sp.,Comments,File data,,eodp_id
320-U1331A-4H-2,320,U1331,A,4,4-2,H,2,,104,106,26.74,26.76,RP19,A,M,2,,R,,,,,,,,,,,,,,,,,,,,F,R,R,,,R,F,,F,R,R,,,R,R,R,,R,R,R,VR,,,,,R,R,,,,,,,R,,,,,837add8423a23684393d6581eefd4c4c
320-U1331A-4H-4,320,U1331,A,4,4-4,H,4,,104,106,29.74,29.76,RP18,A,M,2,,R,,,,,,,,,,,,,,,,,,,,R,R,R,,R,R,R,,F,R,R,,,R,,R,R,R,,R,,R,,R,,R,R,,,,,,,R,R,,,,bbc9ebc65f09cf31d908f64199ec773c
320-U1331A-4H-CC,320,U1331,A,4,4-CC,H,CC,,0,0,34.14,34.14,,A,G,2,,R,,,,,VR,,,,,,,,,,,,,,,R,R,R,,R,R,R,R,R,R,R,,R,R,,R,R,R,,R,,R,,R,R,,R,,,,R,,,R,R,,,,81087c1af43992de7e10f09f33ea4c40
320-U1331A-5H-2,320,U1331,A,5,5-2,H,2,,104,106,36.24,36.26,RP18,A,G,1,,R,,,,,VR,,,,,,,,,,,,,,,R,R,R,,,R,R,R,R,R,R,,,R,,R,R,R,R,C,,F,,R,R,,R,,,,R,R,,R,R,LITTLE FEET ON D. OMBROS,,,4cf75477abb6948235785ab6e8a1a631
320-U1331A-5H-4,320,U1331,A,5,5-4,H,4,,104,106,39.24,39.26,RP17,A,G,1,,R,,,,,VR,,,,,,,,,,,,,,,R,R,R,,R,R,R,R,R,R,R,,,R,,R,R,R,R,F,,F,,VR,R,R,R,,,,R,R,,R,F,,,,5cc364e06836aabd56d9d44d59caa871
320-U1331A-5H-CC,320,U1331,A,5,5-CC,H,CC,,0,0,42.75,42.75,,A,G,1,,R,,,,,VR,,,,,,,,,,,,,,,R,R,R,,R,R,R,R,,VR,R,,,,,,R,R,,R,,,,,R,R,R,,,,R,R,,R,R,,,,6047f79488eb9ef6aee97cfb8e479cc5
320-U1331A-6H-2,320,U1331,A,6,6-2,H,2,,104,106,45.74,45.76,RP17,A,G,2,,R,,,,,VR,,,,,,,,,,,,,,,R,R,R,,R,R,R,R,,,R,,,,,,R,R,R,R,,,,,,R,R,,,,,R,,R,R,"HERE AND ABOVE: Z CF ANOECTUM, T ANAPOGRAPHA",,,5bf4642e6fe0252dac3740a0386ea710
320-U1331A-6H-4,320,U1331,A,6,6-4,H,4,,104,106,49.79,49.81,RP16,A,G,2,,R,,,,,,,,,,,,,,,,,,,,R,R,R,,R,R,R,R,,,R,,,,,,,,R,,,,,,,R,,,,,,R,,R,R,D. ANASTASIS,,,1beb648ab62240cb10bf077f229fd7ad
320-U1331A-6H-CC,320,U1331,A,6,6-CC,H,CC,,0,0,52.44,52.44,,A,G,1,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,R,R,,,R,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,16a18cae1fa0433ed99f03dc72377a72
320-U1331A-7H-CC,320,U1331,A,7,7-CC,H,CC,,0,0,62.47,62.47,,A,G,1,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ddac2119c062f9cf6077119a3a842c26
320-U1331A-8H-CC,320,U1331,A,8,8-CC,H,CC,,0,0,71.98,71.98,,A,G,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b9204cd73c9258f3ee43d94c6042868a
320-U1331A-9H-CC,320,U1331,A,9,9-CC,H,CC,,0,0,81.45,81.45,,A,G,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e61b9ce19c5a9e6788348d49b5986a7
320-U1331A-10H-CC,320,U1331,A,10,10-CC,H,CC,,0,0,90.37,90.37,,A,G,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67040a90dc00c63ca41109ff459ceefc
320-U1331A-11H-CC,320,U1331,A,11,11-CC,H,CC,,0,0,99.3,99.3,,A,G,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cd7f226122d774e18973303e312c8382
320-U1331A-12H-CC,320,U1331,A,12,12-CC,H,CC,,0,0,109.97,109.97,,A,G,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ba3628ee9fb1fc024d632f5c2c644b29
320-U1331A-13H-CC,320,U1331,A,13,13-CC,H,CC,,0,0,119.36,119.36,,A,G,1,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200823fe6ae5b384edb28d920bc0e308
320-U1331A-14H-CC,320,U1331,A,14,14-CC,H,CC,,0,0,129.06,129.06,,A,G,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4fef65ee762aec09059278bd4ff4413f
320-U1331A-15H-CC,320,U1331,A,15,15-CC,H,CC,,0,0,138.45,138.45,,A,G,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,babd1296e46acdd5fd447fcc90695dd2
