Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Comments,Arkhangelskiella cymbiformis,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus premacintyrei,Calcidiscus tropicus,Calciosolenia brasiliensis,Ceratolithus cristatus,Chiasmolithus solitus,Chiasmolithus spp.,Coccolithus formosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus pelagicus (w/bar),Coronocyclus nitescens,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Discoaster barbadiensis,Discoaster braarudii,Discoaster brouweri,Discoaster deflandrei,Discoaster exilis,Discoaster kuepperi,Discoaster loeblichii,Discoaster moorei,Discoaster pentaradiatus,Discoaster saipanensis,Discoaster spp.,Discoaster spp. (five-rayed),Discoaster triradiatus,Discoaster variabilis,Gephyrocapsa sp. 3,Gephyrocapsa spp. (medium 4-5.5 microns),Gephyrocapsa spp. (small <3.5 microns),Girgisia gammation,Helicosphaera carteri,Helicosphaera hyalina,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera seminulum,Helicosphaera stalis,Helicosphaera wallichii,Isthmolithus recurvus,Markalius inversus,Neococcolithes spp.,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera pulchra,Pontosphaera spp.,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra bisecta,Reticulofenestra gelida,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra perplexa,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 um),Reticulofenestra pseudoumbilicus (5-7 um),Reticulofenestra reticulata,Reticulofenestra rotaria,Reticulofenestra stavensis,Reticulofenestra umbilicus,Rhabdosphaera clavigera,Scyphosphaera lagena,Scyphosphaera spp.,Scyphosphaera ventriosa,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus spp.,Syracosphaera pulchra,Toweius eminens,Toweius occultatus,Tribrachiatus absidatus,Tribrachiatus orthostylus,Umbilicosphaera rotula,Umbilicosphaera sibogae,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
375-U1518E-16F-CC-PAL-NANNO,0,10,90.15,90.25,M/P,C,,,,F,*,,R,,,,,,,C,F,,,*,,,,*,,,,,*,,,,,,,R,,,,,,,,,,,,,,R,,F,,,F,,*,*,F,,,,,*,,*,,*,,,,,,,,,,,,,,,,,,,,,375,U1518,E,16,F,CC,PAL,4bdcf0002aad58fd6c2633f9178c787f
375-U1518E-18F-CC-PAL-NANNO,0,5,96.49,96.54,M/P,F,,,,,*,,R,,R,,,,,C,F,,,*,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,*,,R,,,,C,C,,*,C,C,C,R,,*,,,,,,,,,,,,,*,,R,,,,,,,,,,375,U1518,E,18,F,CC,PAL,ca71b814b527351ebc628d0ede3fab16
375-U1518E-20F-CC-PAL-NANNO,0,10,103.42,103.52,M,C,,,,F,*,,F,R,,,,,*,C,,,,*,,,,*,,,,,,,,,,*,,,C,,R,,*,,F,,,,,,,,,,,,F,C,*,*,C,C,C,,C,*,,,R,*,,,,,,*,,*,*,,,*,,,,,R,,,,375,U1518,E,20,F,CC,PAL,c40f562f68bdb11d367a102eef6f89f0
375-U1518E-21F-CC-PAL-NANNO,0,10,104.84,104.94,M,C,,,,F,*,,,,,,*,,,C,C,*,,*,*,,,*,,,,,,,,*,,,,R,,,F,R,,,,,,,,*,,R,,,,,C,C,,*,C,C,C,,,*,*,,,*,,R,,,,*,,,*,,,,,*,,,,,,,375,U1518,E,21,F,CC,PAL,dd71b57556fffc8dfd27932518bdd5f5
375-U1518E-22F-CC-PAL-NANNO,0,10,108.9,109,M/P,F,,,,R,,,,,,,*,*,,C,R,,,*,,,?,*,,,,,,,F,,,,,R,C,,R,,,,,,,F,,,,,,F,,,,R,*,*,F,C,C,F,R,*,*,,,*,,,,,,*,*,,*,,R,,,,,,,,,,375,U1518,E,22,F,CC,PAL,cc15985d4a4b587219e8e32f94778be3
375-U1518E-23F-CC-PAL-NANNO,0,5,114.59,114.64,M,C,,,,F,*,,F,,,,*,,,C,,,,*,,,?,*,,*,,,,,,,,*,,,R,,R,R,*,,R,,,,,,,,,F,,,F,R,,*,C,C,,,C,*,,,,*,,,,,,*,,,*,,,,,,*,R,,,,,375,U1518,E,23,F,CC,PAL,1618fa181a4d1b2a27bad3c575c6ac78
375-U1518E-24F-CC-PAL-NANNO,0,5,119.94,119.99,M/P,C,,,,F,,,R,,,,,,,C,F,,,*,,,?,*,,,,,,,,,,,,,C,,F,R,,,,,,,,,,R,,R,,,F,F,*,*,C,,,R,,*,*,,,*,,,,,,,,,*,,,,,,,,,,,,375,U1518,E,24,F,CC,PAL,c4ca2486a2989ddbc69e84719624d6cc
375-U1518E-25F-CC-PAL-NANNO,0,10,123.2,123.3,M,C,,,,R,*,*,R,,,*,,,,C,,,,*,,,,*,,,?,?,*,,,,,,,,R,,F,R,,,R,,,R,,,,R,,R,,,C,,,*,C,A,,,C,*,,,R,*,,,,,,*,,*,*,,,,,,,R,R,,,,375,U1518,E,25,F,CC,PAL,ea43be47bce7905f14aa494c2f32d13b
375-U1518E-26X-CC-PAL-NANNO,0,10,132.94,133.04,M/P,F,,,,F,,,F,,,,,,,C,,,,*,,,,*,,,,,,,R,,,,,,R,,F,,,,,,,,,,,,R,,,,,F,,*,C,F,F,F,R,*,*,,,,*,,,,,,,*,*,,,,,,,,,,,,375,U1518,E,26,X,CC,PAL,168473edd370a9c3cb9313aca683aa8a
375-U1518E-27X-CC-PAL-NANNO,0,10,142.47,142.57,M,C,,,R,F,,*,R,,R,,,,,C,,,,*,*,,,,,,,,,,,,,,,,,,R,,,,F,,,,,,,F,,F,,,F,C,,,C,,,,C,*,,,,*,,,,,,,,,*,,F,,,,*,F,,,,,375,U1518,E,27,X,CC,PAL,a9194164669e24e773ad18e066b28bc5
375-U1518E-28X-CC-PAL-NANNO,0,10,152.43,152.53,M,C,,,,F,,,R,,,,,,,C,,,,*,*,,?,*,,,,,,,,,,*,,R,R,,F,,,,R,,*,R,,,,,,R,,,,,*,*,C,C,C,R,F,*,*,,R,,,,,,,,,,*,,,,,,,R,,,,,375,U1518,E,28,X,CC,PAL,4fa8cf3b4b39c3df013f2d429dcee3aa
375-U1518E-29X-7-PAL-NANNO,0,10,160.91,161.01,M,C,,,,F,*,,F,,,,*,,*,C,,,,*,,,?,,*,,,,,,,,,*,R,R,R,,C,,,,,,,,,,,,,R,,,C,C,,*,F,C,D,F,,*,,,,,,,,,,*,,,*,R,,,,,,,,,,,375,U1518,E,29,X,7,PAL,71a3df71e029efc8bcf86daaa893eab5
375-U1518E-30X-CC-PAL-NANNO,0,10,163.8,163.9,M,C,,,,C,*,,F,,,,,,,C,,,,*,,,?,,,,,,,,,,,*,,,R,,F,R,,,F,,,,,,,R,R,R,,,F,R,,*,C,C,C,R,C,*,,*,,,,,,,,*,,*,*,,,,,,,R,,,,,375,U1518,E,30,X,CC,PAL,378dd63749e60a1b3c9d048232ce6ff6
375-U1518E-31X-CC-PAL-NANNO,0,10,171.48,171.58,G,C,,,R,F,,,R,,,,*,,,F,,,*,*,,?,?,*,?,,,,,,,,,*,,,R,,F,,,,,,,,,,,,,R,,,F,F,,*,F,C,F,,F,*,*,,,*,,R,,,,,,*,*,,,,,,,R,R,,,,375,U1518,E,31,X,CC,PAL,3decb013ea2e9d6cf0030ee402980f4b
375-U1518E-32X-CC-PAL-NANNO,0,10,174.57,174.67,P,R,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,U1518,E,32,X,CC,PAL,249bb360e72ef697eff1129333b2bc50
