Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Abundance,Preservation,Mixing,Artophormis dominasinensis,Lychnocanoma turgidum,Theocyrtis perpumila n. sp.,Thyrsocyrtis orthotenes n. sp.,Lophocyrtis jacchia,Podocyrtis papalis,Cryptocarpium azyx,Thyrsocyrtis lochites,Dorcadospyris copelata n. sp.,Spongatractus pachystylus,Anthocyrtoma spp.,Calocycloma ampulla,Thyrsocyrtis bromia,Thyrsocyrtis tetracantha,Zygocircus cimelium,Rhopalocanium ornatum,Theocyrtis careotuberosa n. sp.,Dorcadospyris ombros n. sp.,Tristylospyris triceros,Theocotyle ficus,Dorcadospyris anastasis n. sp.,Dictyophimus craticula,Calocyclas turris,Podocyrtis goetheana,Podocyrtis chalara,Botryocella sp. gr.,Podocyrtis apeza,Thyrsocyrtis krooni,Dictyoprora pirum,Lithochytris vespertilio,Dictyoprora armadillo,Sethochytris triconiscus,Lithocyclia aristotelis gr.,Podocyrtis mitra,Lophocyrtis biaurita,Podocyrtis trachodes,Artophormis barbadensis,Podocyrtis ampla,Zealithapium mitra,Zealithapium anoectum,Cryptocarpium ornatum,Eusyringium lagena,Podocyrtis fasciolata,Zealithapium plegmacantha,Podocyrtis sinuosa,Podocyrtis helenae,Podocyrtis diamesa,Podocyrtis phyxis,Spongatractus balbis,Eusyringium fistuligerum,Thyrsocyrtis tensa,Theocotyle venezuelensis,Theocotyle conica,Lamptonium fab. constrictum,Lamptonium fab. fabaeforme,Theocotyle cryptocephala,Periphaena tripyramis triangula,Thyrsocyrtis robusta,Thyrsocyrtis hirsuta,Lamptonium fab. chaunothorax,Periphaena delta,Theocorys anaclasta,Calocycloma castum,Thyrsocyrtis triacantha,Comments,File data,eodp_id
320-U1331A-7H-4-W 95/97,320,U1331,A,7,7-4,H,4,W,95/97,0,0,58.15,58.15,A,G,1,,,R,R,,R,,,,R,R,R,,,R,R,R,R,,,R,,,R,F,,R,,R,R,R,,,R,,VR,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,R,,,74bc0d59be41a7543ae33329d6c5e5ba
320-U1331A-7H-CC-PAL,320,U1331,A,7,7-CC,H,CC,PAL,,0,0,62.6,62.6,,,,,,R,R,,R,,,,,VR,R,,,R,R,,R,,,,,,,F,,R,,,R,R,R,,R,,,VR,,R,,R,,,,,,,,,R,,,,,,,,,,,,,,R,,,389e550bcc5084cce8ccc19aa404bec4
320-U1331A-8H-2-W 104/106,320,U1331,A,8,8-2,H,2,W,104/106,0,0,64.74,64.74,A,G,1,,,R,R,,,,,,R,R,R,,,R,VR,,R,,,,,,,F,,R,,,R,R,R,,R,,,VR,,,,R,,,,,,,,,R,,,,,,,,,,,,,,R,,,474a2c40f00e9dbb9cebe230c56616bb
320-U1331A-8H-4-W 104/106,320,U1331,A,8,8-4,H,4,W,104/106,0,0,67.74,67.74,A,G,1,,,R,R,,R,,,,R,R,R,,,R,R,,R,,,,,,,F,,R,,,R,R,R,,R,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,R,,,b731f1e43a0e845381fc2b6531ad205b
320-U1331A-8H-CC-PAL,320,U1331,A,8,8-CC,H,CC,PAL,,0,0,72.17,72.17,,,,,,R,R,,R,,,,R,R,R,,,R,R,,R,,,,,,,F,,R,,,R,R,R,,R,,,VR,VR,,,R,,,,R,,,,,R,,,,,,,,,,,,,,R,,,3bed9bdd2acf9055227e7ce0ef301ab0
320-U1331A-9H-2-W 105/107,320,U1331,A,9,9-2,H,2,W,105/107,0,0,74.25,74.25,A,G,1,,,R,R,,R,,,,R,VR,R,,,R,R,,R,,,,,,,F,,R,,,R,R,R,,R,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,R,,,72ca6b84450f44c618b38143278ed043
320-U1331A-9H-4-W 105/107,320,U1331,A,9,9-4,H,4,W,105/107,0,0,77.25,77.25,A,G,1,,,R,R,,R,,,,R,R,R,,,R,R,,R,,,,,,,F,,R,,,R,R,R,,R,,,VR,,,,R,,,,,,,,,R,,,,,,,,,,,,,,R,,,affc8921455beea45cb2cef0819df15f
320-U1331A-9H-CC-PAL,320,U1331,A,9,9-CC,H,CC,PAL,,0,0,81.61,81.61,,,,,,R,R,,R,,,,R,R,R,,,R,R,,R,,,,,,,R,,,,,R,R,R,,F,,VR,,,,,R,,,,R,,,,,R,,,,,,,,,,,,VR,,R,,,8e0e1adc26217a5e5d57f2ea2417ecdd
320-U1331A-10H-2-W 95/97,320,U1331,A,10,10-2,H,2,W,95/97,0,0,83.65,83.65,A,G,1,,,R,R,,R,,,,R,VR,R,,,R,R,,R,,,,,,,R,,,,,R,R,R,,,,VR,,R,,,R,,,,,,,,,R,,,,,,,,,,,,,,R,,,8b204b0f09961a3f203b6eca4e3603c2
320-U1331A-10H-4-W 95/97,320,U1331,A,10,10-4,H,4,W,95/97,0,0,86.65,86.65,A,G,1,,,R,R,,R,,,,R,VR,R,,,VR,R,,R,,,,,,,R,,,,,R,R,R,,F,,R,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,R,,,5be046fb9c0806e506366dfc4044eaac
320-U1331A-10H-CC,320,U1331,A,10,10-CC,H,CC,,,0,0,90.37,90.37,,,,,,R,R,,R,,,,R,R,R,,,,VR,,R,,,,,,,,,,,,R,R,R,,F,,F,,,,,R,,,,-,,,,,R,,,,,,,,,,,,,,R,,,a5f1ae88c9fd78ec39d4ffd795271b53
320-U1331A-11H-3-W,320,U1331,A,11,11-3,H,3,W,,0,0,92.88,92.88,A,G,1,,,R,R,,R,,,,R,VR,R,,,VR,VR,,R,,,,,,,,,,,,R,R,R,,F,,F,,R,,,,,VR,,R,,,,,R,,,,,,,,,,,,,,R,,,4bee39a6b382fd379d31baeacb27846a
320-U1331A-11H-5-W,320,U1331,A,11,11-5,H,5,W,,0,0,95.88,95.88,A,G,1,,,R,R,,R,,,,R,R,R,,,,,,R,,,,,,,,,,,,R,R,,,F,,F,,R,,,,,VR,,R,,,,,R,,,,,,,,,,,,,,R,,,a1ad673990f5deb33bbf705c6600c117
320-U1331A-11H-CC-PAL,320,U1331,A,11,11-CC,H,CC,PAL,,0,0,99.47,99.47,,,,,,R,R,,R,,,,R,R,R,,,R,R,,R,,,,,,,,,,,,R,R,,,F,,F,,R,,,,R,R,,R,,,,,R,,,,,,,,,,,,,,R,,,4662e49c71eb2fe08c8fedd3635a6b0e
320-U1331A-12H-2-W 106/108,320,U1331,A,12,12-2,H,2,W,106/108,0,0,102.76,102.76,A,G,1,,,,R,,R,,,,R,R,R,,,VR,VR,,R,,,,,,,,,,,,R,R,,,F,,VR,,R,,,,R,,,R,,,,,R,,,,,,,,,,,,,,R,,,d73a92026201873afd676ab97253bc37
320-U1331A-12H-4-W 106/108,320,U1331,A,12,12-4,H,4,W,106/108,0,0,105.76,105.76,A,G,1,,,,R,,R,,,,R,R,R,,,VR,,,R,,,,,,,,,,,,R,R,,,F,,VR,,R,,,,R,VR,,R,,,,,R,,,,,,,,,,,,,,R,,,ae7271040126a77c323524aa7e517c06
320-U1331A-12H-CC-PAL,320,U1331,A,12,12-CC,H,CC,PAL,,0,0,110.15,110.15,,,,,,,R,,R,,,,R,R,R,,,,R,,R,,,,,,,,,,,,R,R,,,F,,,,F,,,,R,,R,R,,,,,R,,,,,,,,,,,,,,R,,,6c4826507e1b0afb97dd26aa02567130
320-U1331A-13H-2-W,320,U1331,A,13,13-2,H,2,W,,0,0,111.2,111.2,A,G,,,,,R,,R,,,,R,R,R,,,,,,R,,,,,,,,,,,,R,R,,,R,,,,R,,,,R,VR,,R,,,,,R,,,,,,,,,,,,,,R,,,600d92e32a5e715f1c46c5590a2fc7c6
320-U1331A-13H-4-W,320,U1331,A,13,13-4,H,4,W,,0,0,114.2,114.2,A,G,,,,,R,,R,,,,R,VR,R,,,,VR,,R,,,,,,,,,,,,R,R,,,VR,,,,R,,,,R,,,R,,,,,VR,,,,,,,,,,,,,,R,,,114a27306b4f83882cdcc6f98c9bdfef
320-U1331A-13H-CC-PAL,320,U1331,A,13,13-CC,H,CC,PAL,,0,0,119.58,119.58,,,,,,,R,,R,,,,R,R,R,,,,VR,,R,,,,,,,,,,,,R,R,,,VR,,,,R,,,,R,,R,R,,R,,,VR,,,,,,,,,,,,,,,,,835233baf7f3589ce7de5d85a82bbdaf
320-U1331A-14H-2-W 104/106,320,U1331,A,14,14-2,H,2,W,104/106,0,0,121.71,121.71,A,G,,,,,R,,R,,,,R,R,R,,,,VR,,R,,,,,,,,,,,,R,R,,,VR,,,,R,,,,R,,,R,,R,R,,R,,,,,,,,,,,,,,R,,,cbd59168051f435ef891d477e8b53354
320-U1331A-14H-4-W 104/106,320,U1331,A,14,14-4,H,4,W,104/106,0,0,124.71,124.71,A,G,,,,,R,,R,,,,R,R,R,,,,,,R,,,,,,,,,,,,R,R,,,,,,,-,,,,R,,,R,,R,R,,,,,,,,,,,,,,,,R,,,f000b2c6d804b193569ab7d1feac1a68
320-U1331A-14H-CC-pal,320,U1331,A,14,14-CC,H,CC,pal,,0,0,129.23,129.23,,,,,,,R,,R,,,,R,R,R,,,,R,,R,,,,,,,,,,,,R,R,,,,,,,-,,,,R,,R,R,,R,F,,,,R,,,,,,,,,,,,R,,,19512a6047dd16c69b833c295c11dd94
320-U1331A-15H-2-W,320,U1331,A,15,15-2,H,2,W,,0,0,130.2,130.2,A,G,,,,,R,,R,,,,R,R,R,,,,VR,,R,,,,,,,,,,,,R,R,,,,,,,,,,,R,,,R,,R,R,,,,R,,,,,,,,,,R,,R,,,9c1824da4fd7b37a630bb767d1503299
320-U1331A-15H-4-W,320,U1331,A,15,15-4,H,4,W,,0,0,133.2,133.2,A,G,,,,,R,,R,,,,R,R,R,,,,,,R,,,,,,,,,,,,R,R,,,,,,,,,,,R,,,R,,R,R,,,,R,,,,R,,,,,,R,,R,,,f76c310fe3d894b1531aca869e2bdf1f
320-U1331A-15H-CC-PAL,320,U1331,A,15,15-CC,H,CC,PAL,,0,0,138.45,138.45,,,,,,,R,,R,,,,R,R,R,,,,R,,R,,,,,,,,,,,,R,R,,,,,,,-,,,,R,,R,R,,R,R,,,R,R,,,,R,,,,,VR,,,R,,,70430f54479537fe53de9655f77c4396
320-U1331A-16X-1-W 50/52,320,U1331,A,16,16-1,X,1,W,50/52,0,0,138.7,138.7,A,G,,,,,,,R,,,,R,R,R,,,,VR,,R,,,,,,,,,,,,R,R,,,,,,,,,,,R,,,R,,R,VR,,,R,R,VR,,,R,,,VR,,,,,R,,,be5516d5f5a5f8254e57af64dc8f61db
320-U1331A-16X-CC-PAL,320,U1331,A,16,16-CC,X,CC,PAL,,0,0,139.25,139.25,A,G,,,,,,,R,,,,R,R,R,,,,R,,R,,,,,,,,,,,,R,R,,,,,,,,,,,R,,R,R,,F,,,,R,R,VR,,VR,,R,,,,R,VR,VR,R,,,b02a220a1fb0d8b36fdbc360db980dd9
320-U1331A-17X-2-W 104/106,320,U1331,A,17,17-2,X,2,W,104/106,0,0,150.14,150.14,A,G,,,,,,,R,,,,R,R,R,,,,,,R,,,,,,,,,,,,R,R,,,,,,,,,,,,,,R,,R,,,,R,R,VR,,,R,,,R,,,R,,,,,960797bab43e2140fd3910422c634b25
320-U1331A-17X-4-W 104/106,320,U1331,A,17,17-4,X,4,W,104/106,0,0,153.14,153.14,A,G,,,,,,,R,,,,R,R,R,,,,,,R,,,,,,,,,,,,R,R,,,,,,,,,,,,,,R,,R,,R,,R,R,VR,,,R,,,R,,,R,,,,,43cc0219f3ab52235ff7c1056b84828c
320-U1331A-17X-CC-PAL,320,U1331,A,17,17-CC,X,CC,PAL,,0,0,156.8,156.8,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bd23fe98111686264bd8f97d7cd08f17
320-U1331A-19X-1-W 72/74,320,U1331,A,19,19-1,X,1,W,72/74,0,0,161.22,161.22,A,G,,,,,,,R,,,,R,R,R,,,,,,R,,,,,,,,,,,,R,R,,,,,,,,,,,,,,R,,R,,R,,R,,R,,,R,,,R,,,,,,,,c7fbb97ded3f214059f0118510a5a517
320-U1331A-19X-2-W 25/27,320,U1331,A,19,19-2,X,2,W,25/27,0,0,161.75,161.75,A,G,,,,,,,R,,,,R,R,R,,,,,,VR,,,,,,,,,,,,R,R,,,,,,,,,,,,,,R,,R,,R,,R,,R,,,R,,,R,,,,,,,,729d9bef3c71a2fcbe4e55f4b6554324
320-U1331A-19X-CC-PAL,320,U1331,A,19,19-CC,X,CC,PAL,,0,0,162.36,162.36,A,G,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,VR,VR,R,,R,,F,,R,R,,,,,8ce1d2438249fd9ba817b2991ee20952
320-U1331A-20X-CC-PAL,320,U1331,A,20,20-CC,X,CC,PAL,,0,0,167.02,167.02,A,G,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,F,,R,R,F,,,,690d205efc250bdaea6dcfe8fdc061da
320-U1331A-22X-CC-PAL-RADS,320,U1331,A,22,22-CC,X,CC,PAL,RADS,0,0,187.15,187.15,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101f626e91a3a482f8ea9b80ea549065
