Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of non-calcareous agglutinated forams in total foram assemblage [%],Ammobaculites agglutinans,Amphicoryna scalaris,Amphisorus hemprichii,Anomalinoides globulosus,Astalocus bradyi,Bigenerina nodosaria,Bigenerina spp.,Bolivina robusta,Bolivinita quadrilatera,Brizalina alata,Brizalina earlandi,Bulbobaculites problematicus,Bulimina aculeata,Bulimina gibba,Bulimina marginata,Ceratobulimina jonesiana,Chilostomella oolina,Cibicidoides bradyi,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides spp.,Cornuspira involvens,Corscinospora arietina,Cymbaloporella taballaeformis,Dentalina sp.,Dentalina spp.,Dorothia bradyana,Dorothia goesi,Edentostomina sp.,Eggerella bradyi,Ehrenbergina pacifica,Elphidium advenum,Epistominella spp.,Eubuliminella exilis,Fissurina sp.,Fissurina spp.,Fursenkoina texturata,Gaudryina spp.,Glandulina ovula,Globobulimina pacifica,Globocassidulina subglobosa,Globulotuba sp.,Gyroidinoides soldanii,Hoeglundina elegans,Hyalinea balthica,Hyperammina friabilis,Laticarinina pauperata,Laevidentalina aphelis,Lagena spp.,Lenticulina spp.,Liebusella soldanii,Lingulina seminuda,Marginulina obesa,Martinottiella communis,Melonis spp.,Nodosaria spp.,Nodogenerina spp.,Nonionella turgida,Oolina spp.,Oolina globosa,Operculina complanata,Oridorsalis umbonatus,Osangularia bengalensis,Osangularia culter,Peneroplis pertusus,Peneroplis planatus,Planulina wuellerstorfi,Planularia australis,Plectofrondicularia advena,Pleurostomella spp.,Poroeponides lateralis,Praeglobobulimina pupoides,Procerolagena gracilis,Pseudoglandulina glanduliformis,Pyramidulina spp.,Pyrgo spp.,Pyrgo lucernula,Pyrgo laevis,Pullenia bulloides,Pullenia quinqueloba,Quinqueloculina spp.,Rectuvigerina striata,Reophax spp.,Rotalinoides compressiusculus,Rosalina globularis,Saracenaria volpicelli,Saracenaria altifrons,Sigmoilopsis schlumbergeri,Siphogenerina columellaris,Sphaeroidina bulloides,Spiroloculina bradyi,Spiroloculina rotunda,Stilostomella spp.,Textularia agglutinans,Textulariella barrettii,Textularia pseudogramen,Tristix sp.,Trochammina inflata,Uvigerina spp.,Uvigerina bifurcata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina proboscidea,Vaginulina spp.,Vaginulinopsis reinformis,Vaginulinopsis spp.,Vulvulina pennatula,BF comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
363-U1485A-11H-CC,0,62,102.9,103.52,E,,1,,,,,,,,,,,,,,,,,,,,8,,1,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,3,,,,,,1,,1,,,,,,,,,,,,,,,2,7,,,4,1,,,,,,,,,1,1,,,,,7,,,,,,,,,,,,,,,,,,363,U1485,A,11,H,CC,,c0962c1300e9c44b9a706a3a59dd5337
363-U1485A-12H-CC,0,36,112.91,113.27,E,,1,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,,,7,,,,,,,,,,,,,,,,6,,,6,,14,,,,,,,,,,,,,363,U1485,A,12,H,CC,,4c87c149436347b2450826bcbf70d06a
363-U1485A-13H-CC,0,32,121.61,121.93,E,,1,,,,,,,,,6,,,,,,,,,,,3,,,,,1,,,,,,,1,,,,1,1,,2,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,6,,,4,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1485,A,13,H,CC,,b9734c1dc750d75cb3d52df12149e861
363-U1485A-14H-CC,0,59,131.16,131.75,E,,1,,,,,,,,22,12,,,,,,,1,4,,,1,,,,,,,,,,,,,,,,2,,,2,,,,,2,,3,,,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1485,A,14,H,CC,,d4d6e4b9c84feb841635a87efb48cd4f
363-U1485A-15H-CC,0,14,138.9,139.04,E,,1,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,1,,,,,,,,,,,1,,,,,,2,7,,,6,,,,,,,,,,,,,,,,4,,,3,,12,,,,,,,,,,,,,363,U1485,A,15,H,CC,,e6dca980f8562ef9d6d2b4d418a013a7
363-U1485A-16H-CC,0,6,148.77,148.83,E,,1,,,,,,,3,,,1,,,,,2,3,,,,8,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,2,,,,,,,,,,4,1,,1,,,,,,,,,,,,,,,,,,,,,363,U1485,A,16,H,CC,,7c00eafe9b7d201f0c4afe965170fe2f
363-U1485A-17H-CC,0,17,156.78,156.95,E,,1,,,,,,,,,,4,,,,,,,2,,,7,,,,,,,,,,,1,,,,,,,,1,,2,,,4,,,,3,,,,2,,,,,,,6,,,,,,,,,,,,,,,,,4,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1485,A,17,H,CC,,dd5106391a9b3f33c511fc5fc7a42cfc
363-U1485A-18H-CC,0,23,168.52,168.75,E,,1,,,,,,,2,8,1,,,,,,1,,3,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,6,,,3,,12,,,,,,,,,,,,,363,U1485,A,18,H,CC,,4eecff21c84a5d08a0363315522c19c8
363-U1485A-19H-CC,0,51,178.39,178.9,E,,1,,,,,,,1,9,1,,,,,,,,7,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,9,,,2,,14,,,,,,,,,,,,,363,U1485,A,19,H,CC,,13814a4bd0d4a9e0b198d2b6bdd957c4
363-U1485A-20H-CC,0,37,185.94,186.31,E,,1,,,,,,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1485,A,20,H,CC,,067db50f49ee8a184e843d77c544e71e
363-U1485A-21F-CC,0,16,192.87,193.03,E,,1,,,,,,,,22,12,,,,,,,,,,,4,,,3,,,,,,,,,,,,,,,,,,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4,,,,,,,,,,,,,,,,9,,,6,,18,,,,,,,,,,,,,363,U1485,A,21,F,CC,,3e50cd2831dd1630c4ed12b3037f1b1c
363-U1485A-22F-CC,0,23,197.41,197.64,E,,1,,,,,,,,19,8,,,,,,3,,4,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4,,,,,,1,,,3,,,,,10,,,,,,,,,,,,,363,U1485,A,22,F,CC,,876bbbdef63f57b1c5d94fc4b3e70c9c
363-U1485A-23F-CC,0,13,201.68,201.81,E,,1,,,,,,,,17,6,,,,,,5,,2,,,6,,,1,,,,,,,,,,,,,,,,1,,5,,,,,1,,,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,5,,,,,12,,,,,,,,,,,,,363,U1485,A,23,F,CC,,03b397bb971f609e26f122a05f43fdeb
363-U1485A-24F-CC,0,20,206.96,207.16,E,,1,,,,,,,,19,5,,,,,,8,,1,,,5,,,,,,,,,,,,,,,,,,,1,,4,,,,,1,,6,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,7,,,4,,,,,,,9,,,,,,,,,3,,,,,14,,,,,,,,,,,,,363,U1485,A,24,F,CC,,b696157995eebe253fef025aedb1ab23
363-U1485A-25F-CC,0,27,211.38,211.65,E,,1,,,,,,,,15,4,,,,,,9,,3,,,2,,,,,,,,,,,,,,,,,,,1,,,,,1,,4,,5,4,,,5,,,,,,,,,,,,,,,,,,,1,,,,2,5,,,3,1,,,,,,9,,,,,,,,,2,,,,,11,,,,,,,,,,,,,363,U1485,A,25,F,CC,,2d6b0d3b85b29be4f3da0701c67ebfe3
363-U1485A-26F-CC,0,22,216.51,216.73,E,,1,,,,,,,,19,5,,,,,,8,,1,,,5,,,,,,,,,,,1,,,,,,,,1,,4,,,2,,1,,6,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,6,,,4,,,,,,,7,,,,,,,,,3,,,,,14,,,,,,,,,,,,,363,U1485,A,26,F,CC,,aaf0391eb2fdc822477875ef92150383
363-U1485A-27F-CC,0,23,220.97,221.2,E,,1,,,,,,,,15,4,1,,,,,7,,2,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,4,,5,,,,5,,,,,,,,,,,,,,,,,,,1,,,,2,5,,,3,1,,,,,,9,,,,,,,,,2,,,,,11,,,,,,,,,,,,,363,U1485,A,27,F,CC,,a28075e36998674447a27c0d8ad0bb81
363-U1485A-28F-CC,0,22,225.52,225.74,E,,1,,,,,,,,19,5,,,,,,8,,1,,,5,,,1,,,,,,,,,,,,,2,,,1,,4,,,7,,1,,6,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,6,,,5,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1485,A,28,F,CC,,ecff8b7aaf40a6891e016566b0590d08
363-U1485A-29F-CC,0,29,229.91,230.2,E,,1,,,,,,,,5,7,,,,,,,,5,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,2,4,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1485,A,29,F,CC,,36578f821ee6e47f9677bb90bf24376c
363-U1485A-30F-CC,0,22,234.6,234.82,E,,1,,,,,,,,4,6,,,,,,4,,6,,,8,,,1,,,1,,,,,,,,,,2,,,1,,1,,,,,3,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,2,4,,,7,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1485,A,30,F,CC,,0b334b630df94c72bdd61af0c6076d05
363-U1485A-31F-CC,0,29,239.86,240.15,E,,1,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1485,A,31,F,CC,,a6c5ea44993db056e6729097de3bb233
363-U1485A-32F-CC,0,62,244.11,244.73,E,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,2,,,,,6,,,,,,,,,,,,,363,U1485,A,32,F,CC,,01a6509499da4387cde2d4adf2f39f82
363-U1485A-33F-CC,0,32,249.29,249.61,E,,1,,,,,,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,5,,,,4,,,,,,,1,,,,,4,,,,,9,,,,,,,,,,,,,363,U1485,A,33,F,CC,,00261f8347a8f82600a8679677e17e53
363-U1485A-34F-CC,0,33,254.2,254.53,E,,1,,,,,,,,10,7,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,6,,,,2,,,5,,,2,,,,,,7,,,,,11,,,,,,,,,,,,,363,U1485,A,34,F,CC,,ca9105a36aa0491bd05ec713a01765fa
363-U1485A-35F-CC,0,28,258.76,259.04,E,,1,,,,,,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,7,,,,2,,,6,,,1,,,,,,6,,,,,12,,,,,,,,,,,,,363,U1485,A,35,F,CC,,7f4e071c8dcec72dff9891a0cf6b8578
363-U1485A-36F-CC,0,25,263.42,263.67,E,,1,,,,,,,,9,6,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,4,,,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,6,,,,2,,,7,,,,,,,,,9,,,,,,,,,,,,,,,,,,363,U1485,A,36,F,CC,,fb31462f0ee1025bd4598f54629dec04
363-U1485A-37F-CC,0,31,267.84,268.15,E,,1,,,,,,,,12,11,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,3,,,,,,,4,,,,,,,,,7,,,,,,,,,,,,,,,,,,363,U1485,A,37,F,CC,,d60f87aac825bda6a7141582c7e74769
363-U1485A-38F-CC,0,46,272.86,273.32,E,,1,,,,,,,,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,7,1,,,,,,4,,,,,,,,,7,,,,,,,,,,,,,,,,,,363,U1485,A,38,F,CC,,b79f9d892f141f51d8b8b889f49277c4
363-U1485A-39F-CC,0,27,277.56,277.83,E,,1,,,,,,,,6,8,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,5,,,,,,,,,2,,,,,4,,,,,,,,,,,,,363,U1485,A,39,F,CC,,6eca68bf9470cc05b2529ea80e6a318c
363-U1485A-40F-CC,0,42,282.22,282.64,E,,1,,,,,,,,12,5,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,3,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,7,,,,,12,,,,,,,,,,,,,363,U1485,A,40,F,CC,,165b8a9b1eac764e218c1f06214c99d5
363-U1485A-41F-CC,0,30,287.12,287.42,E,,1,,,,,,,,22,11,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,10,,,,,,,,,,,,,,,,3,,,,,6,,,,,,,,,,,,,363,U1485,A,41,F,CC,,2a90ec3aca7308b08020396a04402d23
363-U1485A-42F-CC,0,23,291.72,291.95,E,,1,,,,,,,,17,10,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,8,,,,,,,4,,,,,,,,,6,,,,,4,,,,,,,,,,,,,363,U1485,A,42,F,CC,,293827bba5d76a9ba3b27cc6009f325a
363-U1485A-43F-CC,0,20,296.43,296.63,E,,1,,,,,,,,14,9,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,8,,,10,,,,,,,3,,,,,,,,,3,,,,,6,,,,,,,,,,,,,363,U1485,A,43,F,CC,,ea8aff9f8af2d2be11133c607f0e7a44
363-U1485A-44F-CC,0,35,300.45,300.8,E,,1,,,,,,,,13,7,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,1,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,8,,,,,,,4,,,,,,,,,6,,,,,4,,,,,,,,,,,,,363,U1485,A,44,F,CC,,5e3f0293398c1328498af9a0b34f3b75
