Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Subbotina linaperta,Subbotina frontosa,Subbotina eocaena,Subbotina bolivariana,Pseudohastigerina micra,Morozovella spinulosa,Morozovella densa,Globigerinatheka subconglobata,Globigerinatheka senni,Globigerinatheka index,Chiloguembelina spp.,Acarinina topilensis,Acarinina matthewsae,Acarinina collactea,Acarinina bullbrooki,Orbulinoides beckmanni,Globorotaloides carcoselleensis,Acarinina spinuloinflata,Acarinina rohri,Acarinina primitiva,Hantkenina liebusi,Catapsydrax unicavus,Acarinina libyaensis,Subbotina inaequispira,Hantkenina dumblei,Globigerinatheka tropicalis,Turborotalia pomeroli,Turborotalia cerroazulensis,Hantkenina alabamensis,Clavigerinella eocanica,Dentoglobigerina galavisi,Globoquadrina tripartita,Globigerinatheka semiinvoluta,Subbotina angiporoides,Turborotalia increbescens,Globorotaloides suteri,Turborotalia cocoaensis,Turborotalia ampliapertura,Tenuitella munda,Subbotina praeturritilina,Cribrohantkenina lazarii,Cribrohantkenina inflata,Tenuitella gemma,Turborotalia cunialensis,Pseudohastigerina naguewichiensis,Globoquadrina pseudovenezuelana,Paragloborotalia nana,Cassigerinella chipolensis,Guembelitria spp.,Tenuitella clemenciae,Tenuitella angustiumbilicata,Catapsydrax dissimilis,Globoquadrina sellii,Globigerina ciperoensis,Globigerina praebulloides,Dentoglobigerina larmeui,Paragloborotalia opima,Globoquadrina praedehiscens,Dentoglobigerina globularis,Globigerina fariasi,Subbotina gortanii,Globigerina angulisuturalis,Globigerina anguliofficinalis,Protentella sp.,Paragloborotalia mayeri,Globoquadrina venezuelana,Dentoglobigerina baroemoenensis,Globorotaloides variabilis,Globigerinoides primordius,Zeaglobigerina woodi,Paragloborotalia pseudokugleri,Globigerinella obesa,Cassigerinella chilolensis (>15 microns),Zeaglobigerina connecta,Paragloborotalia kugleri,Globigerinita uvula,Globigerinita glutinata,Globigerinoides trilobus,Globigerinoides altiapertura,Globoquadrina dehiscens,Paragloborotalia continuosa,Globoquadrina binaiensis,Globigerinella praesiphonifera,Fohsella birnageae,Dentoglobigerina altispira,Globigerinoides obliquus,Globigerinatella sp.,Streptochilus spp.,Globigerinoides ruber,Catapsydrax stainforthi,Globorotalia praescitula,Globigerinatella insueta,Praeorbulina sicana,Praeorbulina curva,Globigerinoides bisphericus,Fohsella peripheroronda,Praeorbulina glomerosa,Globorotalia archeomenardii,Praeorbulina circularis,Orbulina universa,Globigerinoides mitra,Clavatorella bermudezi,Globigerinoides sacculifer,Sphaeroidinellopsis seminulina,Globorotalia praemenardii,Fohsella peripheroacuta,Fohsella praefohsi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N9                ,              ,154, 925,A,  4,R, 7,  72.00,    323.4200,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                 ,                     ,                       ,                     ,                 ,                              ,                      ,                      ,                    ,                    ,                    ,                   ,                    ,                      ,                               ,                        ,               ,                   ,                  ,                    ,                    ,                      ,                  ,                           ,                     ,                           ,                      ,                       ,                         ,                        ,                             ,                      ,                         ,                      ,                       ,                          ,                ,                         ,                        ,                        ,                ,                        ,                                 ,                               ,                     ,                          ,                 ,R                    ,                            ,                      ,                    ,                       ,                         ,                        ,                      ,                           ,                           ,                   ,                  ,                           ,                             ,               ,R                      ,R                        ,R                              ,R                         ,                          ,R                   ,                              ,                    ,                                        ,                       ,                        ,                   ,R                      ,R                       ,                            ,R                      ,R                          ,                        ,                              ,                  ,F                         ,R                       ,                    ,                  ,                     ,                       ,R                       ,                        ,R                  ,                  ,R                          ,F                      ,R                     ,R                          ,R                      ,R                ,                     ,R                     ,R                         ,                              ,                         ,                       ,                  ,from Leg 154 Ch 2 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N9                ,              ,154, 925,A,  5,R, 2,  75.00,    325.6500,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                 ,                     ,                       ,                     ,                 ,                              ,                      ,                      ,                    ,                    ,                    ,                   ,                    ,                      ,                               ,                        ,               ,                   ,                  ,                    ,                    ,                      ,                  ,                           ,                     ,                           ,                      ,                       ,                         ,                        ,                             ,                      ,                         ,                      ,                       ,                          ,                ,                         ,                        ,                        ,                ,                        ,                                 ,                               ,                     ,                          ,                 ,                     ,                            ,                      ,                    ,                       ,                         ,                        ,                      ,                           ,                           ,                   ,                  ,                           ,                             ,               ,C                      ,F                        ,R                              ,                          ,                          ,                    ,                              ,                    ,                                        ,                       ,                        ,                   ,R                      ,C                       ,                            ,F                      ,R                          ,                        ,                              ,                  ,R                         ,R                       ,                    ,                  ,R                    ,                       ,R                       ,R                       ,R                  ,                  ,R                          ,                       ,                      ,F                          ,R                      ,R                ,R                    ,R                     ,                          ,                              ,                         ,                       ,                  ,from Leg 154 Ch 2 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N8                ,              ,154, 925,A,  6,R, 1,  75.00,    333.8500,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                 ,                     ,                       ,                     ,                 ,                              ,                      ,                      ,                    ,                    ,                    ,                   ,                    ,                      ,                               ,                        ,               ,                   ,                  ,                    ,                    ,                      ,                  ,                           ,                     ,                           ,                      ,                       ,                         ,                        ,                             ,                      ,                         ,                      ,                       ,                          ,                ,                         ,                        ,                        ,                ,                        ,                                 ,                               ,                     ,                          ,                 ,R                    ,                            ,                      ,                    ,                       ,                         ,                        ,                      ,                           ,                           ,                   ,                  ,                           ,                             ,               ,F                      ,R                        ,R                              ,R                         ,                          ,R                   ,                              ,                    ,                                        ,                       ,                        ,                   ,R                      ,C                       ,                            ,R                      ,R                          ,                        ,R                             ,                  ,C                         ,R                       ,R                   ,                  ,F                    ,                       ,                        ,F                       ,F                  ,R                 ,F                          ,R                      ,R                     ,F                          ,                       ,                 ,                     ,                      ,                          ,                              ,                         ,                       ,                  ,from Leg 154 Ch 2 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N8                ,              ,154, 925,A,  7,R, 3,  75.00,    346.4500,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                 ,                     ,                       ,                     ,                 ,                              ,                      ,                      ,                    ,                    ,                    ,                   ,                    ,                      ,                               ,                        ,               ,                   ,                  ,                    ,                    ,                      ,                  ,                           ,                     ,                           ,                      ,                       ,                         ,                        ,                             ,                      ,                         ,                      ,                       ,                          ,                ,                         ,                        ,                        ,                ,                        ,                                 ,                               ,                     ,                          ,                 ,R                    ,                            ,                      ,                    ,                       ,                         ,                        ,                      ,                           ,                           ,                   ,                  ,                           ,                             ,               ,F                      ,R                        ,R                              ,R                         ,                          ,R                   ,                              ,                    ,                                        ,                       ,                        ,                   ,R                      ,F                       ,                            ,R                      ,R                          ,                        ,R                             ,                  ,F                         ,R                       ,                    ,                  ,R                    ,                       ,                        ,R                       ,R                  ,R                 ,R                          ,R                      ,                      ,R                          ,                       ,                 ,                     ,                      ,                          ,                              ,                         ,                       ,                  ,from Leg 154 Ch 2 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N8                ,              ,154, 925,A,  8,R, 6,  75.00,    360.6500,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                 ,                     ,                       ,                     ,                 ,                              ,                      ,                      ,                    ,                    ,                    ,                   ,                    ,                      ,                               ,                        ,               ,                   ,                  ,                    ,                    ,                      ,                  ,                           ,                     ,                           ,                      ,                       ,                         ,                        ,                             ,                      ,                         ,                      ,                       ,                          ,                ,                         ,                        ,                        ,                ,                        ,                                 ,                               ,                     ,                          ,                 ,R                    ,                            ,                      ,                    ,                       ,                         ,                        ,                      ,                           ,                           ,                   ,                  ,                           ,                             ,               ,F                      ,R                        ,R                              ,R                         ,                          ,R                   ,                              ,                    ,                                        ,                       ,                        ,                   ,R                      ,F                       ,                            ,R                      ,R                          ,                        ,R                             ,                  ,F                         ,R                       ,                    ,                  ,R                    ,                       ,R                       ,R                       ,R                  ,R                 ,R                          ,                       ,R                     ,R                          ,                       ,                 ,                     ,                      ,                          ,                              ,                         ,                       ,                  ,from Leg 154 Ch 2 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N8                ,              ,154, 925,A,  9,R, 3,  75.00,    365.7500,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                 ,                     ,                       ,                     ,                 ,                              ,                      ,                      ,                    ,                    ,                    ,                   ,                    ,                      ,                               ,                        ,               ,                   ,                  ,                    ,                    ,                      ,                  ,                           ,                     ,                           ,                      ,                       ,                         ,                        ,                             ,                      ,                         ,                      ,                       ,                          ,                ,                         ,                        ,                        ,                ,                        ,                                 ,                               ,                     ,R                         ,                 ,R                    ,                            ,                      ,                    ,                       ,                         ,                        ,                      ,                           ,                           ,                   ,                  ,                           ,                             ,               ,R                      ,F                        ,R                              ,R                         ,                          ,                    ,                              ,                    ,                                        ,                       ,                        ,                   ,R                      ,C                       ,                            ,                       ,R                          ,                        ,R                             ,                  ,F                         ,R                       ,R                   ,                  ,                     ,                       ,                        ,R                       ,R                  ,R                 ,R                          ,R                      ,                      ,                           ,                       ,                 ,                     ,                      ,                          ,                              ,                         ,                       ,                  ,from Leg 154 Ch 2 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,N8                ,              ,154, 925,A, 10,R, 2,  75.00,    373.9500,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                 ,                     ,                       ,                     ,                 ,                              ,                      ,                      ,                    ,                    ,                    ,                   ,                    ,                      ,                               ,                        ,               ,                   ,                  ,                    ,                    ,                      ,                  ,                           ,                     ,                           ,                      ,                       ,                         ,                        ,                             ,                      ,                         ,                      ,                       ,                          ,                ,                         ,                        ,                        ,                ,                        ,                                 ,                               ,                     ,R                         ,                 ,                     ,                            ,                      ,                    ,                       ,                         ,R                       ,                      ,                           ,                           ,                   ,                  ,                           ,                             ,               ,F                      ,R                        ,R                              ,R                         ,                          ,R                   ,                              ,                    ,                                        ,                       ,                        ,                   ,R                      ,F                       ,R                           ,R                      ,R                          ,                        ,                              ,                  ,F                         ,R                       ,R                   ,                  ,R                    ,                       ,R                       ,R                       ,R                  ,R                 ,R                          ,                       ,                      ,                           ,                       ,                 ,                     ,                      ,                          ,                              ,                         ,                       ,                  ,from Leg 154 Ch 2 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N7                ,              ,154, 925,A, 11,R, 1,  75.00,    382.0500,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                 ,                     ,                       ,                     ,                 ,                              ,                      ,                      ,                    ,                    ,                    ,                   ,                    ,                      ,                               ,                        ,               ,                   ,                  ,                    ,                    ,                      ,                  ,                           ,                     ,                           ,                      ,                       ,                         ,                        ,                             ,                      ,                         ,                      ,                       ,                          ,                ,                         ,                        ,                        ,                ,                        ,                                 ,                               ,                     ,R                         ,                 ,                     ,                            ,                      ,                    ,                       ,                         ,R                       ,                      ,                           ,                           ,                   ,                  ,                           ,                             ,               ,F                      ,R                        ,R                              ,                          ,                          ,                    ,                              ,                    ,                                        ,                       ,                        ,                   ,R                      ,C                       ,R                           ,R                      ,R                          ,                        ,                              ,                  ,F                         ,F                       ,R                   ,                  ,F                    ,                       ,R                       ,R                       ,                   ,                  ,                           ,                       ,                      ,                           ,                       ,                 ,                     ,                      ,                          ,                              ,                         ,                       ,                  ,from Leg 154 Ch 2 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N5                ,N6            ,154, 925,A, 12,R, 2,  75.00,    393.0500,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                 ,                     ,                       ,                     ,                 ,                              ,                      ,                      ,                    ,                    ,                    ,                   ,                    ,                      ,                               ,                        ,               ,                   ,                  ,R                   ,                    ,                      ,                  ,                           ,                     ,                           ,                      ,                       ,                         ,                        ,                             ,                      ,                         ,                      ,                       ,                          ,                ,                         ,                        ,                        ,                ,                        ,                                 ,                               ,                     ,R                         ,                 ,R                    ,                            ,R                     ,                    ,                       ,R                        ,                        ,                      ,R                          ,                           ,                   ,                  ,                           ,                             ,               ,F                      ,R                        ,R                              ,                          ,                          ,R                   ,                              ,                    ,                                        ,                       ,                        ,                   ,R                      ,F                       ,R                           ,R                      ,R                          ,                        ,R                             ,R                 ,C                         ,F                       ,R                   ,                  ,R                    ,                       ,R                       ,R                       ,                   ,                  ,                           ,                       ,                      ,                           ,                       ,                 ,                     ,                      ,                          ,                              ,                         ,                       ,                  ,from Leg 154 Ch 2 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N5                ,N6            ,154, 925,A, 13,R, 2,  75.00,    402.1500,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                 ,                     ,                       ,                     ,                 ,                              ,                      ,                      ,                    ,                    ,                    ,                   ,                    ,                      ,                               ,                        ,               ,                   ,                  ,R                   ,                    ,                      ,                  ,                           ,                     ,                           ,                      ,                       ,                         ,                        ,                             ,                      ,                         ,R                     ,                       ,                          ,                ,                         ,                        ,                        ,                ,                        ,                                 ,                               ,                     ,R                         ,                 ,R                    ,R                           ,R                     ,                    ,                       ,R                        ,                        ,                      ,R                          ,                           ,                   ,                  ,                           ,                             ,               ,F                      ,R                        ,R                              ,                          ,                          ,R                   ,                              ,                    ,                                        ,                       ,                        ,R                  ,R                      ,F                       ,R                           ,R                      ,R                          ,                        ,R                             ,F                 ,R                         ,R                       ,R                   ,R                 ,R                    ,R                      ,R                       ,                        ,                   ,                  ,                           ,                       ,                      ,                           ,                       ,                 ,                     ,                      ,                          ,                              ,                         ,                       ,                  ,from Leg 154 Ch 2 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N5                ,N6            ,154, 925,A, 14,R, 4,  75.00,    414.0100,Pearson  ,Planktonic Foraminifers                      ,               ,                  ,                   ,                  ,                 ,                     ,                       ,                     ,                 ,                              ,                      ,                      ,                    ,                    ,                    ,                   ,                    ,                      ,                               ,                        ,               ,                   ,                  ,                    ,                    ,                      ,                  ,                           ,                     ,                           ,                      ,                       ,                         ,R                       ,                             ,                      ,                         ,                      ,                       ,                          ,                ,                         ,                        ,                        ,                ,                        ,                                 ,                               ,                     ,R                         ,                 ,R                    ,R                           ,R                     ,R                   ,                       ,R                        ,                        ,                      ,R                          ,                           ,                   ,                  ,                           ,                             ,               ,F                      ,R                        ,R                              ,                          ,                          ,R                   ,                              ,                    ,                                        ,                       ,                        ,R                  ,R                      ,F                       ,R                           ,                       ,                           ,                        ,R                             ,R                 ,F                         ,                        ,R                   ,                  ,R                    ,R                      ,                        ,                        ,                   ,                  ,                           ,                       ,                      ,                           ,                       ,                 ,                     ,                      ,                          ,                              ,                         ,                       ,                  ,from Leg 154 Ch 2 Table 3
