Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra pseudoumbilica,Coccolithus pelagicus,Reticulofenestra small-sized,Sphenolithus abies,Pontosphaera sp.,Calcidiscus leptoporus,Cyclicargolithus floridanus,Placolith (small),Helicosphaera carteri,Helicosphaera sellii,Dictyococcites bisectus,Pseudoemiliania lacunosa,Dictyococcites sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,C, 14,H,CC,   7.00,    126.4100,Olafsson ,Nannofossils                                 ,C              ,M                 ,R                              ,R                    ,                            ,                  ,                ,                      ,                           ,C                ,                     ,                    ,                       ,                        ,                  ,from Leg 145 SR; Ch 39; Table 10; p. 624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,C, 15,H,CC,   7.00,    136.3700,Olafsson ,Nannofossils                                 ,A              ,M                 ,R                              ,F                    ,                            ,                  ,                ,                      ,                           ,A                ,                     ,                    ,                       ,                        ,                  ,from Leg 145 SR; Ch 39; Table 10; p. 624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,C, 16,H,CC,   9.00,    145.7300,Olafsson ,Nannofossils                                 ,A              ,M                 ,R                              ,C                    ,                            ,                  ,                ,R                     ,                           ,A                ,                     ,                    ,                       ,R                       ,                  ,from Leg 145 SR; Ch 39; Table 10; p. 624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,C, 17,H,CC,   8.00,    155.3400,Olafsson ,Nannofossils                                 ,A              ,G                 ,                               ,C                    ,                            ,                  ,                ,R                     ,                           ,A                ,                     ,                    ,r                      ,                        ,                  ,from Leg 145 SR; Ch 39; Table 10; p. 624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,C, 18,H,CC,  15.00,    164.5900,Olafsson ,Nannofossils                                 ,C              ,M                 ,R                              ,C                    ,F                           ,                  ,                ,                      ,                           ,C                ,                     ,                    ,                       ,                        ,                  ,from Leg 145 SR; Ch 39; Table 10; p. 624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,C, 19,H,CC,  15.00,    173.1900,Olafsson ,Nannofossils                                 ,C              ,M                 ,R                              ,F                    ,                            ,                  ,                ,                      ,                           ,C                ,                     ,R                   ,                       ,                        ,                  ,from Leg 145 SR; Ch 39; Table 10; p. 624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,C, 21,H,CC,  11.00,    193.4900,Olafsson ,Nannofossils                                 ,R              ,P                 ,                               ,R                    ,R                           ,                  ,                ,                      ,                           ,                 ,                     ,                    ,                       ,                        ,                  ,from Leg 145 SR; Ch 39; Table 10; p. 624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,C, 23,H,CC,  23.00,    212.6100,Olafsson ,Nannofossils                                 ,R              ,M                 ,R                              ,R                    ,                            ,                  ,                ,                      ,                           ,                 ,                     ,                    ,                       ,                        ,                  ,from Leg 145 SR; Ch 39; Table 10; p. 624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,C, 25,H,CC,  23.00,    231.5300,Olafsson ,Nannofossils                                 ,R              ,M                 ,                               ,R                    ,                            ,                  ,                ,                      ,                           ,                 ,R                    ,                    ,                       ,                        ,                  ,from Leg 145 SR; Ch 39; Table 10; p. 624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,C, 32,X,CC,  14.00,    297.7200,Olafsson ,Nannofossils                                 ,C              ,P                 ,R                              ,C                    ,                            ,                  ,                ,                      ,                           ,R                ,                     ,                    ,                       ,                        ,                  ,from Leg 145 SR; Ch 39; Table 10; p. 624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,C, 33,X,CC,  27.00,    301.6100,Olafsson ,Nannofossils                                 ,C              ,P                 ,                               ,+                    ,                            ,                  ,                ,+                     ,+                          ,                 ,                     ,                    ,                       ,                        ,                  ,from Leg 145 SR; Ch 39; Table 10; p. 624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,C, 34,X,CC,  24.00,    314.1600,Olafsson ,Nannofossils                                 ,R              ,P                 ,R                              ,R                    ,                            ,                  ,                ,                      ,                           ,                 ,                     ,                    ,                       ,                        ,                  ,from Leg 145 SR; Ch 39; Table 10; p. 624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,C, 35,H,CC,  28.00,    326.5500,Olafsson ,Nannofossils                                 ,F              ,M                 ,R                              ,F                    ,F                           ,R                 ,R               ,R                     ,                           ,                 ,                     ,                    ,                       ,                        ,                  ,from Leg 145 SR; Ch 39; Table 10; p. 624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,C, 36,H,CC,  20.00,    336.5400,Olafsson ,Nannofossils                                 ,R              ,M                 ,R                              ,R                    ,R                           ,                  ,                ,                      ,                           ,                 ,                     ,                    ,                       ,                        ,                  ,from Leg 145 SR; Ch 39; Table 10; p. 624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 883,C, 37,H,CC,   6.00,    345.2800,Olafsson ,Nannofossils                                 ,R              ,M                 ,R                              ,R                    ,                            ,                  ,                ,                      ,                           ,                 ,                     ,                    ,                       ,                        ,                  ,from Leg 145 SR; Ch 39; Table 10; p. 624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
