Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiosira spp.,Thalassionema spp.,Rossiella symmetrica,Rocella vigilans,Rhaphoneis sp.,Melosira architecturalis,Hemiaulus sp.,Hemiaulus longicornis,Diatom resting spores,Coscinodiscus spp.,Coscinodiscus rhombicus,Cestodiscus spp.,Cestodiscus sp. 4,Cestodiscus japonicus,Azpeitia tabularis,Thalassiosira sp.,Thalassiosira media/convexa,Synedra jouseana,Sceptroneis sp.,Rouxia quadrangula,Rhizosolenia sp. aff. alata,Hemiaulus subacutus,Grammatophora sp.,Ethmodiscus sp.,Coscinodiscus marginatus,Coscinodiscus lewisianus var. rhomboides,Baxteriopsis brunii,Azpeitia spp.,Azpeitia oligocenica,Asteromphalus oligocenicus,Actinocyclus senarius,Rocella princeps,Cestodiscus sp. 3,Bogorovia veniamini / Rossiella symmetrica,Bogorovia veniamini,Azpeitia aff. Thalassiosira bukryi,Asterolampra sp.,Asterolampra aff. acutiloba,Stephanopyxis sp.,Asteromphalus sp.,Asterolampra marylandica,Melosira granulata s.l. (freshwater),Hemiaulus sp. 1,Stellarima sp.,Dimerogramma sp. aff. D. fulvum,Craspedodiscus barronii,Lisitzinia ornata,Coscinodiscus lewisianus,Azpeitia salisburyana,Azpeitia praenodulifera,Rhizosolenia sp. aff. Rhizosolenia hebetata,Cestodiscus kugleri,Thalassiosira primalabiata,Thalassiosira aff. irregulata,Rossiella paleacea,Raphidodiscus marylandicus,Cestodiscus ovalis,Rossiella magna,Actinocyclus octonarius,Azpeitia nodulifer var.,Asterolampra insignis group,Thalassiosira spinosa,Thalassiosira leptopus,Craspedodiscus elegans,Thalassiosira spumellaroides,Thalassiosira sp. aff. T. fraga (fine),Paralia sulcata,Bogorovia sp. 1 (small forms),Rhizosolenia firma,Craspedodiscus elegans var. assymmetricus,Bacteriastrum sp.,Actinocyclus aff. ellipticus,Cestodiscus sp. 1,Nitzschia pusilla,Thalassiosira fraga,Coscinodiscus sawamurae,Nitzschia aff. maleinterpretaria,Thalassiothrix longissima,Thalassionema nitzschioides,Rhizosolenia bergonii,Nitzschia fossilis,Freshwater diatoms,Ethmodiscus rex,Thalassiosira oestrupii,Thalassiosira lineata (group),Thalassiosira eccentrica,Thalassiosira convexa var. aspinosa,Thalassionema nitzschioides  var. parva,Thalassionema bacillaris,Rhizosolenia praebergonii var. robusta,Rhizosolenia praebergonii var. praebergonii,Nitzschia reinholdii,Nitzschia marina,Nitzschia interrupta,Hemidiscus cuneiformis,Azpeitia nodulifer,Azpeitia africana,Actinocyclus ellipticus,Dictyocha spp.,Benthic diatoms,Triceratium cinnamomeum,Cyclotella sp.,Coscinodiscus spp.,Asteromphalus arachne,Asteromphalus aff. hepactis,Rhizosolenia styliformis,Pseudoeunotia doliolus,Phytholiths (unspecified taxon),Nitzschia sicula,Roperia tesselata,Thalassiosira lacustris (group),Actinocyclus curvatulus,Rhizosolenia alata,Azpeitia endoi,Actinocyclus ellipticus var. elongatus,Actinocyclus spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A,  2,H, 1,  65.00,      6.6500,Fourtanier,Diatoms                                      ,F              ,M                 ,R                 ,                  ,                    ,                ,              ,                        ,             ,                     ,                     ,                  ,                       ,                ,                 ,                     ,F                 ,                 ,                           ,                ,               ,                  ,                           ,                   ,                 ,               ,                        ,                                        ,                   ,             ,                    ,                          ,                     ,                ,                 ,                                          ,                   ,                                  ,                ,                           ,                 ,                 ,                        ,                                    ,               ,              ,                               ,                       ,                 ,                        ,                     ,                       ,                                           ,                   ,                          ,                             ,                  ,                          ,                  ,               ,F                      ,                       ,                           ,                     ,F                     ,                      ,                            ,                                      ,               ,                             ,                  ,                                         ,                 ,                            ,                 ,                 ,                   ,                       ,                                ,F                        ,C                          ,F                    ,                  ,                  ,F              ,C                      ,                             ,F                       ,                                   ,C                                      ,F                       ,                                      ,                                           ,                    ,C               ,C                   ,F                     ,C                 ,F                ,                       ,R             ,               ,R                      ,F             ,                  ,                     ,                           ,F                       ,C                     ,R                              ,                ,F                ,                               ,                       ,                  ,              ,                                      ,R                ,from ODP Leg 121 SR Chapter 7 Table 1 p 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A,  2,H, 2, 104.00,      8.5400,Fourtanier,Diatoms                                      ,C              ,M                 ,                  ,                  ,                    ,                ,              ,                        ,             ,                     ,R                    ,                  ,                       ,                ,                 ,                     ,F                 ,                 ,                           ,                ,               ,                  ,                           ,                   ,                 ,               ,                        ,                                        ,                   ,             ,                    ,                          ,                     ,                ,                 ,                                          ,                   ,                                  ,                ,                           ,                 ,                 ,                        ,                                    ,               ,              ,                               ,                       ,                 ,                        ,                     ,                       ,                                           ,                   ,                          ,                             ,                  ,                          ,                  ,               ,                       ,                       ,                           ,                     ,                      ,                      ,                            ,                                      ,               ,                             ,                  ,                                         ,F                ,                            ,                 ,                 ,                   ,                       ,                                ,R                        ,C                          ,F                    ,F                 ,R                 ,F              ,C                      ,F                            ,F                       ,                                   ,R                                      ,R                       ,                                      ,                                           ,                    ,C               ,C                   ,F                     ,F                 ,F                ,                       ,F             ,R              ,R                      ,              ,F                 ,                     ,R                          ,F                       ,C                     ,                               ,                ,R                ,                               ,                       ,                  ,              ,                                      ,                 ,sample contain reworked marine diatoms from ODP Leg 121 SR Chapter 7 Table 1 p 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A,  2,H, 3,  65.00,      9.6500,Fourtanier,Diatoms                                      ,F              ,M                 ,                  ,                  ,                    ,                ,              ,                        ,             ,                     ,R                    ,                  ,                       ,                ,                 ,                     ,F                 ,                 ,                           ,                ,               ,                  ,                           ,                   ,                 ,               ,                        ,                                        ,                   ,             ,                    ,                          ,                     ,                ,                 ,                                          ,                   ,                                  ,                ,                           ,                 ,F                ,R                       ,                                    ,               ,              ,                               ,                       ,                 ,                        ,                     ,                       ,                                           ,                   ,                          ,                             ,                  ,                          ,                  ,               ,F                      ,                       ,                           ,                     ,F                     ,                      ,                            ,                                      ,               ,                             ,                  ,                                         ,                 ,                            ,                 ,                 ,                   ,                       ,                                ,F                        ,C                          ,F                    ,                  ,R                 ,C              ,C                      ,                             ,C                       ,                                   ,F                                      ,C                       ,                                      ,                                           ,                    ,C               ,C                   ,F                     ,C                 ,F                ,                       ,F             ,R              ,F                      ,F             ,F                 ,F                    ,                           ,F                       ,C                     ,                               ,                ,F                ,                               ,F                      ,                  ,              ,                                      ,F                ,from ODP Leg 121 SR Chapter 7 Table 1 p 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A,  2,H, 4,  67.00,     11.1700,Fourtanier,Diatoms                                      ,F              ,M                 ,                  ,                  ,                    ,                ,              ,                        ,             ,                     ,R                    ,                  ,                       ,                ,                 ,                     ,                  ,                 ,                           ,                ,               ,                  ,                           ,                   ,                 ,               ,                        ,                                        ,                   ,             ,                    ,                          ,                     ,                ,                 ,                                          ,                   ,                                  ,                ,                           ,                 ,                 ,                        ,                                    ,               ,              ,                               ,                       ,                 ,                        ,                     ,                       ,                                           ,                   ,                          ,                             ,                  ,                          ,                  ,               ,                       ,                       ,                           ,                     ,                      ,                      ,                            ,                                      ,               ,                             ,                  ,                                         ,                 ,                            ,                 ,                 ,                   ,                       ,                                ,F                        ,C                          ,R                    ,F                 ,R                 ,F              ,C                      ,R                            ,F                       ,                                   ,C                                      ,C                       ,                                      ,                                           ,                    ,C               ,F                   ,                      ,F                 ,                 ,                       ,F             ,R              ,                       ,F             ,                  ,                     ,                           ,                        ,                      ,R                              ,                ,R                ,R                              ,                       ,                  ,              ,                                      ,                 ,from ODP Leg 121 SR Chapter 7 Table 1 p 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A,  2,H, 5,  65.00,     12.6500,Fourtanier,Diatoms                                      ,F              ,MG                ,                  ,                  ,                    ,                ,              ,                        ,             ,                     ,R                    ,                  ,                       ,                ,                 ,                     ,F                 ,                 ,                           ,                ,               ,                  ,                           ,                   ,                 ,               ,                        ,                                        ,                   ,             ,                    ,                          ,R                    ,                ,                 ,                                          ,                   ,                                  ,                ,                           ,                 ,                 ,                        ,                                    ,               ,              ,                               ,                       ,                 ,                        ,                     ,                       ,                                           ,                   ,                          ,                             ,                  ,                          ,                  ,               ,R                      ,                       ,                           ,                     ,F                     ,                      ,                            ,                                      ,               ,                             ,                  ,                                         ,R                ,                            ,                 ,                 ,                   ,                       ,                                ,R                        ,C                          ,                     ,                  ,                  ,               ,C                      ,F                            ,R                       ,                                   ,F                                      ,C                       ,                                      ,                                           ,                    ,C               ,F                   ,R                     ,C                 ,R                ,R                      ,              ,               ,F                      ,R             ,F                 ,R                    ,F                          ,                        ,C                     ,R                              ,                ,R                ,F                              ,R                      ,R                 ,R             ,R                                     ,                 ,sample contain reworked marine diatoms from ODP Leg 121 SR Chapter 7 Table 1 p 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A,  2,H, 6,  67.00,     14.1700,Fourtanier,Diatoms                                      ,C              ,M                 ,                  ,                  ,                    ,                ,              ,                        ,             ,                     ,R                    ,                  ,                       ,                ,                 ,                     ,F                 ,                 ,                           ,                ,               ,                  ,                           ,                   ,                 ,               ,                        ,                                        ,                   ,             ,                    ,                          ,                     ,                ,                 ,                                          ,                   ,                                  ,                ,                           ,                 ,                 ,                        ,                                    ,               ,              ,                               ,                       ,                 ,                        ,                     ,                       ,                                           ,                   ,                          ,                             ,                  ,                          ,                  ,               ,                       ,                       ,                           ,                     ,F                     ,                      ,                            ,                                      ,               ,                             ,                  ,                                         ,F                ,                            ,                 ,                 ,                   ,                       ,                                ,R                        ,C                          ,F                    ,C                 ,R                 ,F              ,C                      ,                             ,F                       ,                                   ,C                                      ,C                       ,                                      ,                                           ,                    ,C               ,F                   ,F                     ,C                 ,F                ,                       ,F             ,R              ,                       ,R             ,F                 ,R                    ,                           ,R                       ,C                     ,F                              ,                ,F                ,F                              ,R                      ,                  ,              ,                                      ,                 ,from ODP Leg 121 SR Chapter 7 Table 1 p 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A,  2,H, 7,  65.00,     15.6500,Fourtanier,Diatoms                                      ,C              ,M                 ,                  ,                  ,                    ,                ,              ,                        ,             ,                     ,                     ,                  ,                       ,                ,                 ,                     ,F                 ,                 ,                           ,                ,               ,                  ,                           ,                   ,                 ,               ,                        ,                                        ,                   ,             ,                    ,                          ,                     ,                ,                 ,                                          ,                   ,                                  ,                ,                           ,                 ,                 ,                        ,                                    ,               ,              ,                               ,                       ,                 ,                        ,                     ,                       ,                                           ,                   ,                          ,                             ,                  ,                          ,                  ,               ,                       ,                       ,                           ,                     ,F                     ,                      ,                            ,                                      ,               ,                             ,                  ,                                         ,R                ,                            ,                 ,                 ,                   ,                       ,                                ,F                        ,C                          ,                     ,F                 ,R                 ,C              ,C                      ,C                            ,F                       ,                                   ,R                                      ,C                       ,                                      ,                                           ,R                   ,C               ,F                   ,F                     ,C                 ,                 ,                       ,F             ,               ,                       ,F             ,                  ,                     ,                           ,F                       ,C                     ,F                              ,                ,F                ,                               ,                       ,                  ,              ,                                      ,                 ,sample contain reworked marine diatoms from ODP Leg 121 SR Chapter 7 Table 1 p 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A,  3,H, 1,  65.00,     16.2500,Fourtanier,Diatoms                                      ,C              ,M                 ,                  ,                  ,                    ,                ,              ,                        ,             ,                     ,R                    ,                  ,                       ,                ,                 ,                     ,                  ,                 ,                           ,                ,               ,                  ,                           ,                   ,                 ,               ,                        ,                                        ,                   ,             ,                    ,                          ,                     ,                ,                 ,                                          ,                   ,                                  ,                ,                           ,                 ,                 ,                        ,                                    ,               ,              ,                               ,                       ,                 ,                        ,                     ,                       ,                                           ,                   ,                          ,                             ,                  ,                          ,                  ,               ,                       ,                       ,                           ,                     ,F                     ,                      ,                            ,                                      ,               ,                             ,                  ,                                         ,                 ,                            ,                 ,                 ,                   ,                       ,                                ,F                        ,C                          ,F                    ,F                 ,                  ,F              ,F                      ,                             ,                        ,                                   ,F                                      ,F                       ,                                      ,                                           ,                    ,C               ,F                   ,F                     ,C                 ,C                ,                       ,F             ,R              ,R                      ,              ,                  ,R                    ,F                          ,R                       ,F                     ,F                              ,                ,F                ,                               ,                       ,                  ,              ,                                      ,                 ,from ODP Leg 121 SR Chapter 7 Table 1 p 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A,  3,H, 3,  65.00,     19.2500,Fourtanier,Diatoms                                      ,C              ,M                 ,                  ,                  ,                    ,                ,              ,                        ,             ,                     ,R                    ,                  ,                       ,                ,                 ,                     ,R                 ,                 ,                           ,                ,               ,                  ,                           ,                   ,                 ,               ,                        ,                                        ,                   ,             ,                    ,                          ,                     ,                ,                 ,                                          ,                   ,                                  ,                ,                           ,                 ,                 ,R                       ,                                    ,               ,              ,                               ,                       ,                 ,                        ,                     ,                       ,                                           ,                   ,                          ,                             ,                  ,                          ,                  ,               ,                       ,                       ,                           ,                     ,R                     ,                      ,                            ,                                      ,               ,                             ,                  ,                                         ,R                ,                            ,                 ,                 ,                   ,                       ,                                ,F                        ,C                          ,F                    ,F                 ,                  ,F              ,F                      ,                             ,R                       ,                                   ,R                                      ,F                       ,                                      ,                                           ,F                   ,F               ,F                   ,F                     ,F                 ,                 ,                       ,F             ,               ,                       ,              ,F                 ,R                    ,R                          ,F                       ,F                     ,                               ,                ,R                ,                               ,                       ,                  ,              ,                                      ,                 ,from ODP Leg 121 SR Chapter 7 Table 1 p 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 758,A,  3,H, 5,  65.00,     22.2500,Fourtanier,Diatoms                                      ,F              ,M                 ,                  ,                  ,                    ,                ,              ,                        ,             ,                     ,                     ,                  ,                       ,                ,                 ,                     ,                  ,                 ,                           ,                ,               ,                  ,                           ,                   ,                 ,               ,                        ,                                        ,                   ,             ,                    ,                          ,R                    ,                ,                 ,                                          ,                   ,                                  ,                ,                           ,                 ,                 ,                        ,                                    ,               ,              ,                               ,                       ,                 ,                        ,                     ,                       ,                                           ,                   ,                          ,                             ,                  ,                          ,                  ,               ,                       ,                       ,                           ,                     ,F                     ,                      ,                            ,                                      ,R              ,                             ,                  ,                                         ,                 ,                            ,                 ,                 ,                   ,                       ,                                ,F                        ,F                          ,R                    ,R                 ,R                 ,F              ,F                      ,                             ,                        ,                                   ,                                       ,F                       ,                                      ,                                           ,F                   ,C               ,F                   ,F                     ,F                 ,R                ,                       ,              ,               ,                       ,              ,                  ,                     ,                           ,R                       ,F                     ,R                              ,                ,R                ,                               ,                       ,                  ,              ,                                      ,                 ,from ODP Leg 121 SR Chapter 7 Table 1 p 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
