Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Xanthiopyxis sp.	Thalassiothrix longissima	Thalassiosira oestrupii var. oestrupii	Stephanodiscus sp.	Rouxia californica	Neodenticula seminae	Neodenticula kamtschatica	Aulacoseira sp.	Thalassiosira jouseae	Thalassionema nitzschioides	Thalassiosira lineata	Thalassionema nitzschioides  var. parva	Nitzschia bicapitata	Navicula sp.	Fragilariopsis doliolus	Ethmodiscus sp. (fragments)	Fragilaria sp.	Thalassiosira sp.	Stephanopyxis turris	Resting spores (excluding Chaetoceros)	Rhizosolenia hebetata	Pyxilla reticulata	Thalassiosira oestrupii var. plana	Thalassiosira leptopus	Eunotia sp.	Odontella aurita	Azpeitia nodulifera	Asteromphalus elegans	Rhizosolenia styliformis	Rhaphoneis surirelloides	Paralia sulcata	Epithemia sp.	Diploneis sp.	Cyclotella radiosa	Cyclotella (unspecified taxon)	Thalassiosira eccentrica	Thalassiosira anguste-lineata	Nitzschia sicula	Nitzschia marina	Nitzschia interruptestriata	Nitzschia braarudii	Cyclotella litoralis	Coscinodiscus radiatus	Chaetoceros messanensis	Azpeitia neocrenulata	Azpeitia africana	Actinocyclus octonarius	Coscinodiscus sp.	Azpeitia tabularis	Thalassionema bacillaris	Chaetoceros sp.	Actinoptychus senarius	Actinocyclus tenellus	Coscinodiscus pacificus	Stellarima microtrias	Roperia tesselata	Actinocyclus sp. 1	Rhizosolenia bergonii	Planktoniella  sol	Nitzschia kolackzeckii	Cocconeis sp.	Asterolampra marylandica	Actinoptychus splendens	Navicula directa	Hemidiscus sp.	Hemidiscus cuneiformis var.	Bacteriastrum sp.	Coscinodiscus gigas	Diploneis bombus	Thalassionema nitzschioides var. obtusa	Coscinodiscus marginatus	Asteromphalus hookeri	Thalassiosira decipiens	Rhizosolenia setigera	Actinocyclus curvatulus	Thalassiosira sp. 1	Hemidiscus cuneiformis	Denticulopsis lauta	Actinocyclus ingens	Actinocyclus ellipticus	Pseudotriceratium cinnamomeum	Thalassiosira gravida	Simonseniella barboi	Coscinodiscus argus	Cymbella sp.	Thalassiosira ferelineata	Rossiella tatsunokuchiensis	Achnanthes sp.	Pinn* spp.	Thalassiosira latimarginata	Comment

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	   8.00	      0.0800	Fenner   	Diatoms                                      	               	                  	                	R                        	                                      	                  	                  	                    	                         	R              	                     	R                          	                     	                                       	                    	            	                       	S                          	S             	                 	                    	C                                     	                     	                  	                                  	                      	           	                	C                  	                     	                        	                        	               	             	             	                  	                              	                        	                             	                	                	                           	                   	S                   	                      	                       	                     	                 	                       	                 	                  	                        	               	                      	                     	                       	                     	                 	                  	                     	                  	                      	             	                        	                       	                	              	                           	                 	                   	                	                                       	                        	                     	                       	                     	                       	                   	                      	                   	                   	                       	                             	                     	                    	                   	            	                         	S                          	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	  10.00	      0.1000	Fenner   	Diatoms                                      	               	                  	S               	                         	                                      	                  	                  	                    	                         	R              	                     	S                          	                     	                                       	                    	            	                       	S                          	              	                 	                    	S                                     	                     	                  	                                  	                      	           	                	                   	                     	                        	                        	               	             	             	                  	                              	                        	                             	                	                	                           	                   	                    	S                     	                       	                     	                 	                       	                 	                  	                        	               	                      	                     	                       	                     	                 	                  	                     	                  	                      	             	                        	                       	                	              	                           	                 	                   	                	S                                      	                        	                     	                       	                     	                       	                   	                      	                   	                   	                       	                             	                     	                    	                   	            	                         	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	  12.00	      0.1200	Fenner   	Diatoms                                      	               	                  	C               	S                        	                                      	S                 	                  	S                   	                         	F              	                     	F                          	                     	                                       	                    	S           	                       	                           	              	                 	                    	S                                     	                     	                  	                                  	                      	           	S               	                   	                     	                        	                        	               	             	             	                  	                              	                        	                             	                	                	                           	                   	                    	                      	                       	                     	                 	                       	                 	                  	                        	               	S                     	                     	                       	                     	                 	                  	                     	                  	                      	             	                        	                       	                	              	                           	                 	                   	                	                                       	                        	                     	                       	                     	                       	                   	                      	                   	                   	                       	                             	                     	                    	                   	            	                         	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	  14.00	      0.1400	Fenner   	Diatoms                                      	               	                  	F               	S                        	                                      	                  	S                 	S                   	S                        	F              	                     	S                          	                     	                                       	                    	            	                       	                           	S             	                 	                    	                                      	                     	                  	                                  	S                     	           	                	                   	                     	                        	                        	               	             	             	                  	                              	                        	                             	                	S               	                           	                   	                    	                      	                       	                     	                 	                       	                 	                  	                        	               	                      	                     	                       	                     	                 	                  	                     	                  	                      	             	                        	                       	                	              	                           	                 	                   	                	                                       	                        	                     	                       	                     	                       	                   	                      	                   	                   	                       	                             	                     	                    	                   	            	S                        	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	  18.00	      0.1800	Fenner   	Diatoms                                      	               	                  	C               	                         	                                      	                  	                  	F                   	F                        	R              	                     	R                          	                     	                                       	                    	            	                       	                           	S             	                 	                    	R                                     	                     	                  	                                  	                      	           	                	F                  	                     	                        	                        	               	             	             	                  	                              	                        	                             	                	                	                           	                   	                    	                      	                       	                     	                 	                       	                 	                  	S                       	S              	                      	                     	                       	                     	                 	                  	                     	                  	                      	             	                        	                       	                	              	                           	                 	                   	                	                                       	                        	                     	                       	                     	                       	                   	                      	                   	                   	                       	                             	                     	                    	                   	R           	                         	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	  20.00	      0.2000	Fenner   	Diatoms                                      	               	                  	                	                         	                                      	S                 	                  	                    	                         	S              	                     	S                          	                     	                                       	                    	            	                       	                           	              	                 	                    	                                      	                     	                  	                                  	                      	           	                	                   	                     	                        	                        	               	             	             	                  	                              	                        	                             	                	                	                           	                   	                    	                      	                       	                     	                 	                       	                 	                  	                        	               	                      	                     	                       	                     	                 	                  	                     	                  	                      	             	                        	                       	                	              	                           	                 	                   	                	                                       	                        	                     	                       	                     	                       	                   	                      	                   	                   	                       	                             	                     	                    	                   	            	                         	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	  22.00	      0.2200	Fenner   	Diatoms                                      	               	                  	C               	S                        	S                                     	                  	                  	S                   	                         	S              	                     	C                          	                     	                                       	                    	            	                       	                           	              	                 	S                   	                                      	                     	                  	                                  	S                     	           	                	                   	                     	                        	                        	S              	             	             	                  	                              	                        	                             	                	S               	                           	                   	F                   	                      	                       	                     	                 	                       	                 	                  	S                       	               	S                     	                     	                       	                     	                 	                  	                     	R                 	                      	             	                        	                       	                	              	                           	                 	                   	                	                                       	                        	                     	                       	                     	                       	                   	                      	                   	                   	                       	                             	                     	                    	                   	            	                         	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	  24.00	      0.2400	Fenner   	Diatoms                                      	               	                  	S               	S                        	                                      	                  	                  	S                   	F                        	R              	                     	F                          	                     	R                                      	                    	            	R                      	S                          	              	F                	                    	S                                     	                     	                  	                                  	                      	           	                	F                  	                     	                        	S                       	R              	             	             	                  	S                             	                        	                             	                	S               	                           	                   	F                   	F                     	F                      	                     	                 	S                      	S                	                  	S                       	S              	S                     	                     	                       	                     	                 	                  	S                    	S                 	                      	             	                        	                       	                	              	                           	                 	                   	                	S                                      	                        	                     	                       	                     	                       	S                  	R                     	                   	                   	                       	                             	                     	                    	S                  	            	                         	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	  26.00	      0.2600	Fenner   	Diatoms                                      	               	                  	S               	                         	                                      	                  	                  	S                   	                         	R              	                     	S                          	                     	                                       	                    	S           	                       	                           	              	                 	S                   	S                                     	                     	                  	                                  	                      	           	                	R                  	                     	                        	                        	S              	             	             	                  	                              	                        	                             	                	S               	                           	                   	                    	R                     	                       	                     	                 	                       	                 	                  	S                       	R              	S                     	                     	S                      	                     	                 	                  	                     	                  	                      	             	                        	                       	                	              	                           	                 	                   	                	R                                      	                        	                     	                       	                     	                       	                   	                      	                   	                   	                       	                             	                     	S                   	                   	            	                         	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	  28.00	      0.2800	Fenner   	Diatoms                                      	               	                  	C               	S                        	                                      	                  	                  	                    	S                        	R              	                     	                           	                     	S                                      	                    	            	                       	                           	              	R                	                    	S                                     	S                    	                  	                                  	S                     	           	                	                   	                     	                        	                        	               	             	             	                  	                              	                        	R                            	                	                	                           	                   	S                   	R                     	S                      	                     	                 	                       	                 	                  	                        	S              	                      	                     	S                      	                     	                 	                  	                     	                  	                      	             	                        	                       	                	              	                           	                 	                   	                	S                                      	                        	                     	                       	                     	                       	                   	                      	                   	                   	                       	                             	R                    	                    	                   	            	                         	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	  30.00	      0.3000	Fenner   	Diatoms                                      	               	                  	S               	R                        	                                      	                  	                  	                    	                         	S              	                     	R                          	                     	                                       	                    	            	                       	                           	              	R                	                    	                                      	                     	                  	                                  	                      	           	                	                   	                     	                        	                        	S              	             	             	                  	                              	R                       	S                            	                	R               	                           	                   	                    	R                     	                       	S                    	                 	                       	                 	                  	                        	S              	S                     	                     	                       	                     	S                	                  	                     	                  	                      	             	                        	                       	                	S             	                           	                 	                   	                	                                       	                        	                     	                       	                     	                       	                   	R                     	                   	S                  	                       	                             	S                    	                    	                   	            	                         	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	  32.00	      0.3200	Fenner   	Diatoms                                      	               	                  	S               	S                        	S                                     	                  	                  	                    	                         	               	                     	F                          	                     	                                       	                    	S           	S                      	                           	              	R                	                    	S                                     	                     	                  	S                                 	S                     	           	                	                   	                     	                        	                        	R              	             	             	                  	                              	                        	                             	                	                	                           	                   	S                   	S                     	R                      	S                    	                 	                       	                 	                  	                        	S              	S                     	                     	                       	                     	                 	                  	                     	                  	                      	             	                        	                       	                	              	S                          	                 	                   	                	                                       	                        	                     	                       	                     	                       	                   	S                     	                   	                   	                       	                             	                     	                    	                   	            	                         	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	  34.00	      0.3400	Fenner   	Diatoms                                      	               	                  	S               	S                        	                                      	                  	                  	                    	S                        	S              	                     	                           	                     	                                       	                    	            	                       	                           	              	S                	S                   	                                      	                     	                  	S                                 	                      	           	                	                   	                     	                        	                        	               	             	             	                  	                              	                        	                             	                	                	                           	                   	S                   	S                     	F                      	                     	                 	                       	                 	                  	                        	               	                      	                     	S                      	                     	                 	                  	                     	                  	                      	             	                        	                       	                	              	                           	                 	                   	                	S                                      	                        	                     	                       	                     	                       	                   	                      	                   	                   	                       	                             	                     	                    	                   	            	                         	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	  36.00	      0.3600	Fenner   	Diatoms                                      	               	                  	                	S                        	                                      	                  	                  	                    	S                        	               	                     	S                          	                     	                                       	                    	            	                       	                           	              	                 	S                   	                                      	S                    	                  	                                  	                      	           	                	                   	                     	                        	                        	               	             	             	                  	                              	                        	                             	                	                	                           	                   	                    	S                     	S                      	                     	                 	                       	                 	                  	                        	               	                      	                     	                       	                     	                 	                  	                     	S                 	                      	S            	                        	                       	                	              	                           	                 	                   	                	S                                      	                        	                     	                       	                     	                       	                   	                      	                   	                   	                       	                             	                     	                    	                   	            	                         	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	  38.00	      0.3800	Fenner   	Diatoms                                      	               	                  	                	S                        	                                      	                  	                  	                    	                         	               	                     	                           	                     	                                       	                    	            	                       	                           	              	                 	                    	                                      	                     	                  	                                  	                      	           	                	                   	                     	                        	                        	               	             	             	                  	                              	                        	                             	                	                	                           	                   	                    	                      	                       	                     	                 	                       	                 	                  	                        	               	S                     	                     	                       	                     	                 	                  	                     	                  	                      	             	                        	                       	                	              	                           	                 	                   	                	                                       	                        	                     	                       	                     	                       	                   	                      	                   	                   	                       	                             	                     	                    	                   	            	                         	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	  40.00	      0.4000	Fenner   	Diatoms                                      	               	                  	                	S                        	                                      	                  	                  	                    	                         	               	                     	                           	                     	                                       	                    	            	                       	                           	S             	                 	                    	                                      	                     	                  	                                  	                      	           	                	                   	                     	                        	                        	               	             	             	                  	                              	                        	                             	                	                	                           	                   	                    	                      	                       	                     	                 	                       	                 	                  	                        	S              	                      	                     	                       	                     	                 	                  	                     	                  	                      	             	                        	                       	                	              	                           	                 	                   	                	                                       	                        	                     	                       	                     	                       	                   	                      	                   	                   	                       	                             	                     	                    	                   	            	                         	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	  42.00	      0.4200	Fenner   	Diatoms                                      	               	                  	                	S                        	                                      	                  	                  	                    	S                        	               	                     	S                          	                     	                                       	                    	            	                       	                           	S             	R                	                    	                                      	                     	                  	                                  	                      	           	                	                   	                     	                        	                        	               	             	             	                  	                              	                        	                             	                	                	                           	                   	                    	S                     	S                      	                     	                 	                       	                 	                  	S                       	               	                      	                     	                       	                     	                 	                  	                     	                  	                      	S            	                        	                       	                	              	                           	                 	                   	                	                                       	                        	                     	                       	                     	                       	                   	                      	                   	                   	                       	                             	                     	                    	                   	            	                         	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	  44.00	      0.4400	Fenner   	Diatoms                                      	               	                  	C               	R                        	                                      	S                 	                  	                    	                         	R              	                     	R                          	                     	S                                      	                    	S           	                       	                           	              	R                	S                   	                                      	S                    	                  	                                  	                      	           	                	S                  	                     	                        	                        	S              	             	             	                  	                              	                        	                             	                	S               	                           	                   	C                   	S                     	F                      	                     	                 	S                      	                 	                  	S                       	               	                      	                     	                       	                     	                 	                  	                     	                  	                      	             	                        	                       	                	              	                           	                 	                   	                	                                       	S                       	                     	                       	                     	                       	                   	                      	                   	                   	                       	                             	                     	                    	                   	            	                         	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	  46.00	      0.4600	Fenner   	Diatoms                                      	               	                  	C               	S                        	                                      	                  	                  	                    	                         	               	                     	F                          	                     	                                       	                    	S           	                       	S                          	S             	                 	                    	                                      	                     	                  	S                                 	                      	           	                	C                  	                     	                        	                        	               	             	             	                  	                              	                        	                             	                	                	                           	                   	S                   	                      	C                      	                     	                 	                       	                 	                  	                        	               	                      	                     	                       	                     	                 	                  	                     	                  	                      	             	                        	                       	                	              	                           	                 	                   	                	S                                      	                        	                     	                       	                     	                       	                   	S                     	                   	                   	                       	S                            	                     	                    	                   	            	                         	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	  48.00	      0.4800	Fenner   	Diatoms                                      	               	                  	S               	S                        	                                      	                  	                  	S                   	                         	               	                     	S                          	                     	                                       	                    	            	                       	                           	              	S                	                    	                                      	                     	                  	                                  	                      	           	                	R                  	                     	                        	                        	               	             	             	                  	                              	S                       	                             	                	S               	                           	                   	F                   	R                     	                       	F                    	                 	                       	S                	                  	                        	               	                      	                     	                       	                     	S                	                  	                     	                  	                      	             	                        	                       	                	              	S                          	                 	                   	                	                                       	S                       	                     	                       	                     	                       	                   	                      	R                  	                   	                       	                             	                     	                    	                   	            	                         	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	  50.00	      0.5000	Fenner   	Diatoms                                      	               	                  	F               	S                        	                                      	                  	                  	S                   	                         	F              	                     	R                          	                     	                                       	                    	            	                       	                           	              	                 	                    	                                      	F                    	                  	                                  	S                     	           	                	F                  	                     	                        	                        	F              	             	             	                  	                              	                        	                             	                	S               	                           	                   	F                   	                      	C                      	S                    	                 	                       	                 	                  	S                       	               	                      	                     	                       	                     	                 	                  	                     	                  	                      	             	                        	                       	                	              	S                          	                 	                   	                	                                       	                        	                     	                       	                     	                       	                   	                      	                   	                   	                       	                             	                     	                    	                   	            	                         	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	  53.00	      0.5300	Fenner   	Diatoms                                      	               	                  	                	S                        	                                      	                  	                  	                    	                         	               	                     	                           	                     	                                       	                    	            	                       	                           	              	                 	                    	                                      	                     	                  	                                  	                      	           	                	                   	                     	                        	                        	               	             	             	                  	                              	                        	                             	                	                	                           	                   	                    	                      	                       	                     	                 	                       	                 	                  	                        	               	                      	                     	                       	                     	                 	                  	                     	                  	                      	             	                        	                       	                	              	                           	                 	                   	                	                                       	                        	                     	                       	                     	                       	                   	                      	                   	                   	                       	                             	                     	                    	                   	            	                         	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	  56.00	      0.5600	Fenner   	Diatoms                                      	               	                  	C               	S                        	                                      	                  	S                 	                    	R                        	R              	                     	F                          	                     	S                                      	                    	            	                       	S                          	S             	S                	                    	                                      	                     	                  	                                  	S                     	           	                	R                  	                     	                        	                        	               	             	             	                  	                              	                        	                             	S               	F               	                           	S                  	C                   	R                     	R                      	                     	                 	                       	                 	                  	S                       	S              	                      	                     	                       	                     	                 	                  	                     	                  	                      	             	                        	                       	                	              	                           	                 	                   	                	S                                      	                        	                     	                       	                     	                       	                   	                      	                   	                   	                       	                             	                     	                    	                   	            	                         	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	  58.00	      0.5800	Fenner   	Diatoms                                      	               	                  	R               	S                        	                                      	                  	                  	F                   	                         	               	                     	S                          	                     	                                       	                    	            	                       	S                          	R             	                 	S                   	                                      	S                    	                  	                                  	S                     	           	                	R                  	                     	                        	                        	S              	             	             	                  	                              	                        	                             	                	R               	S                          	                   	C                   	                      	S                      	                     	                 	S                      	                 	                  	S                       	               	                      	                     	                       	                     	                 	                  	                     	                  	                      	             	                        	                       	                	              	                           	                 	                   	                	                                       	                        	                     	                       	                     	                       	                   	                      	                   	                   	                       	                             	                     	                    	                   	            	                         	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	  60.00	      0.6000	Fenner   	Diatoms                                      	               	                  	F               	S                        	                                      	                  	                  	                    	                         	R              	                     	C                          	                     	                                       	                    	S           	                       	                           	S             	                 	                    	                                      	                     	                  	                                  	                      	           	                	S                  	                     	                        	                        	S              	             	             	                  	                              	                        	                             	                	                	                           	                   	R                   	R                     	                       	                     	                 	                       	                 	                  	                        	               	                      	                     	                       	                     	                 	                  	                     	                  	                      	             	                        	                       	                	              	                           	                 	                   	                	                                       	                        	                     	                       	                     	                       	                   	                      	                   	                   	                       	                             	                     	                    	                   	            	                         	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	  62.00	      0.6200	Fenner   	Diatoms                                      	               	                  	C               	S                        	                                      	                  	                  	                    	                         	S              	                     	R                          	                     	                                       	                    	            	                       	                           	              	                 	                    	                                      	S                    	                  	                                  	                      	           	                	R                  	                     	                        	                        	               	             	             	                  	                              	                        	                             	                	                	                           	                   	S                   	S                     	R                      	                     	                 	                       	                 	                  	                        	               	                      	                     	                       	                     	                 	                  	                     	                  	                      	             	                        	                       	                	              	                           	                 	                   	                	                                       	                        	                     	                       	                     	                       	                   	                      	                   	                   	                       	                             	                     	                    	                   	            	                         	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	  64.00	      0.6400	Fenner   	Diatoms                                      	               	                  	F               	S                        	                                      	                  	S                 	                    	                         	S              	                     	S                          	                     	                                       	                    	            	S                      	S                          	              	R                	                    	                                      	                     	                  	                                  	                      	           	                	R                  	                     	                        	                        	F              	             	S            	                  	                              	R                       	                             	                	S               	                           	                   	C                   	                      	                       	                     	                 	                       	                 	S                 	                        	               	S                     	                     	                       	                     	                 	                  	                     	                  	                      	             	                        	                       	                	              	                           	                 	                   	                	                                       	                        	                     	                       	                     	                       	                   	                      	                   	                   	                       	                             	                     	                    	                   	            	                         	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

  SR	                 	                 	                  	              	144	 880	A	  1	H	 1	  66.00	      0.6600	Fenner   	Diatoms                                      	               	                  	F               	R                        	R                                     	                  	                  	S                   	S                        	S              	S                    	S                          	                     	R                                      	                    	            	S                      	S                          	              	F                	S                   	S                                     	                     	S                 	                                  	S                     	S          	                	F                  	                     	                        	                        	               	             	S            	                  	                              	R                       	                             	                	R               	                           	                   	C                   	C                     	C                      	S                    	                 	S                      	                 	                  	S                       	S              	                      	                     	                       	                     	S                	                  	                     	                  	                      	             	                        	S                      	                	              	S                          	                 	                   	S               	                                       	S                       	                     	                       	                     	S                      	S                  	S                     	S                  	S                  	S                      	                             	                     	                    	                   	            	                         	                           	              	          	                           	from ODP Leg 144 SR; Ch 3; Table 6;

