Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus heteromorphus,Rhabdosphaera procera,Micrantholithus australiensis,Helicosphaera euphratis,Discoaster variabilis,Cyclicargolithus floridanus,Coccolithus pelagicus,Calcidiscus macintyrei,Braarudosphaera bigelowii,Sphenolithus moriformis,Pontosphaera multipunctata,Helicosphaera kamptneri,Discoaster deflandrei,Hayaster perplexus,Sphenolithus grandis,Reticulofenestra pseudoumbilicus,Discoaster calcaris,Discoaster braarudii,Helicosphaera minuta,Helicosphaera granulata,Rhabdosphaera clavigera,Discoaster loeblichii,Calcidiscus leptoporus,Sphenolithus abies,Scyphosphaera lagena,Pontosphaera plana,Geminilithella rotula,Reticulofenestra minutula,Reticulofenestra minuta,Reticulofenestra haqii,Pontosphaera pachymorpha,Helicosphaera carteri,Dictyococcites antarcticus,Triquetrorhabdulus rugosus,Sphenolithus neoabies,Scyphosphaera pulcherrima,Scyphosphaera apsteinii,Rhabdolithus gladius,Coccolithus radiatus,Scyphosphaera globulosa,Minylitha convallis,Discoaster brouweri,Pontosphaera japonica,Discoaster toralis,Discoaster surculus,Discoaster pentaradiatus,Discoaster decorus,Discoaster challengeri,Amaurolithus primus,Helicosphaera sellii,Pseudoemiliania lacunosa,Gephyrocapsa oceanica,Small Gephyrocapsa spp.,Scyphosphaera recurvata,Reticulofenestra asanoi,Umbilicosphaera sibogae,Scapholithus fossilis,Helicosphaera hyalina,Gephyrocapsa sinuosa,Gephyrocapsa protohuxleyi,Gephyrocapsa parallela,Gephyrocapsa caribbeanica,Gephyrocapsa aperta,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NN19              ,NN19          ,182,1126,C,  5,H,CC,  12.00,     46.6100,Shafik   ,Nannofossils                                 ,C              ,M                 ,                          ,                     ,                             ,                       ,                     ,                           ,R                    ,                      ,C                        ,                       ,                          ,                       ,                     ,                  ,                    ,                                ,                   ,                    ,                    ,                       ,F                      ,                     ,F                     ,                  ,                    ,R                 ,                     ,                         ,                       ,                      ,                        ,F                    ,                          ,                          ,                     ,                         ,                       ,                    ,                    ,                       ,                   ,                   ,F                    ,                  ,                   ,                        ,                  ,                      ,                   ,                    ,                        ,F                    ,                       ,                       ,                       ,                       ,                     ,                     ,                    ,                         ,                      ,                         ,                   ,"With ascidian spicules, siliceous microfossils, glauconite, and reworked C. formosus."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,NN19              ,NN19          ,182,1126,C,  6,H,CC,  26.00,     56.0200,Shafik   ,Nannofossils                                 ,C              ,M                 ,                          ,                     ,                             ,                       ,                     ,                           ,F                    ,C                     ,C                        ,                       ,                          ,                       ,                     ,                  ,                    ,                                ,                   ,                    ,                    ,                       ,                       ,                     ,R                     ,                  ,                    ,                  ,                     ,                         ,                       ,                      ,                        ,F                    ,                          ,                          ,                     ,                         ,                       ,                    ,                    ,                       ,                   ,                   ,                     ,                  ,                   ,                        ,                  ,                      ,                   ,R                   ,R                       ,                     ,                       ,                       ,                       ,                       ,                     ,                     ,                    ,                         ,                      ,                         ,                   ,Lower NN19 on account of C. macintyrei and H. sellii
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,NN18              ,NN16          ,182,1126,C,  7,H,CC,  13.00,     64.9600,Shafik   ,Nannofossils                                 ,C              ,P                 ,                          ,                     ,                             ,                       ,                     ,                           ,C                    ,C                     ,C                        ,                       ,                          ,                       ,                     ,                  ,                    ,                                ,                   ,                    ,                    ,                       ,                       ,                     ,R                     ,                  ,                    ,                  ,                     ,                         ,A                      ,                      ,                        ,F                    ,                          ,                          ,                     ,                         ,                       ,                    ,                    ,                       ,                   ,F                  ,F                    ,                  ,                   ,                        ,                  ,                      ,                   ,R                   ,                        ,                     ,                       ,                       ,                       ,                       ,                     ,                     ,                    ,                         ,                      ,                         ,                   ,"Discoasters are very heavily calcified, hence uncertainty in zonal assignment."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,NN12              ,NN12          ,182,1126,C,  8,H,CC,  43.00,     75.7600,Shafik   ,Nannofossils                                 ,C              ,G                 ,                          ,                     ,                             ,                       ,C                    ,                           ,F                    ,                      ,F                        ,                       ,                          ,                       ,                     ,                  ,                    ,F                               ,                   ,                    ,                    ,                       ,                       ,                     ,C                     ,F                 ,                    ,                  ,                     ,                         ,                       ,                      ,                        ,R                    ,                          ,R                         ,F                    ,                         ,                       ,                    ,                    ,                       ,                   ,F                  ,R                    ,F                 ,R                  ,R                       ,C                 ,F                     ,F                  ,                    ,                        ,                     ,                       ,                       ,                       ,                       ,                     ,                     ,                    ,                         ,                      ,                         ,                   ,With reworked R. umbilicus from the Paleogene.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,NN12              ,NN12          ,182,1126,C,  9,H, 5,  45.00,     81.4500,Shafik   ,Nannofossils                                 ,C              ,M                 ,                          ,                     ,                             ,R                      ,C                    ,                           ,C                    ,C                     ,                         ,                       ,                          ,                       ,                     ,                  ,                    ,C                               ,                   ,                    ,                    ,                       ,                       ,                     ,F                     ,F                 ,R                   ,                  ,F                    ,                         ,                       ,                      ,F                       ,C                    ,                          ,F                         ,F                    ,                         ,                       ,                    ,F                   ,F                      ,C                  ,F                  ,                     ,                  ,                   ,                        ,                  ,                      ,                   ,                    ,                        ,                     ,                       ,                       ,                       ,                       ,                     ,                     ,                    ,                         ,                      ,                         ,                   ,Lower part of NN12. With reworked R. umbilicus from the Paleogene.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Middle Miocene   ,NN9               ,NN10          ,182,1126,C,  9,H, 5, 120.00,     82.2000,Shafik   ,Nannofossils                                 ,C              ,M                 ,                          ,F                    ,                             ,                       ,R                    ,                           ,F                    ,F                     ,                         ,                       ,                          ,                       ,                     ,                  ,                    ,C                               ,                   ,                    ,                    ,                       ,                       ,                     ,                      ,F                 ,                    ,                  ,R                    ,                         ,A                      ,                      ,                        ,F                    ,F                         ,R                         ,F                    ,F                        ,R                      ,A                   ,R                   ,                       ,                   ,                   ,                     ,                  ,                   ,                        ,                  ,                      ,                   ,                    ,                        ,                     ,                       ,                       ,                       ,                       ,                     ,                     ,                    ,                         ,                      ,                         ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Middle Miocene   ,NN9               ,NN10          ,182,1126,C,  9,H,CC,  20.00,     84.5900,Shafik   ,Nannofossils                                 ,C              ,P                 ,                          ,                     ,                             ,                       ,                     ,                           ,F                    ,C                     ,                         ,                       ,                          ,                       ,                     ,                  ,                    ,C                               ,                   ,                    ,                    ,                       ,                       ,                     ,                      ,                  ,                    ,                  ,F                    ,F                        ,C                      ,C                     ,F                       ,F                    ,C                         ,                          ,                     ,                         ,                       ,                    ,                    ,                       ,                   ,                   ,                     ,                  ,                   ,                        ,                  ,                      ,                   ,                    ,                        ,                     ,                       ,                       ,                       ,                       ,                     ,                     ,                    ,                         ,                      ,                         ,                   ,With reworked N. dubius from the Eocene.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1126,C, 10,X,CC,  17.00,     89.1700,Shafik   ,Nannofossils                                 ,               ,                  ,                          ,                     ,                             ,                       ,F                    ,                           ,F                    ,F                     ,                         ,                       ,                          ,                       ,                     ,                  ,                    ,C                               ,                   ,                    ,                    ,                       ,                       ,                     ,C                     ,F                 ,R                   ,R                 ,R                    ,                         ,                       ,                      ,                        ,                     ,                          ,                          ,                     ,                         ,                       ,                    ,                    ,                       ,                   ,                   ,                     ,                  ,                   ,                        ,                  ,                      ,                   ,                    ,                        ,                     ,                       ,                       ,                       ,                       ,                     ,                     ,                    ,                         ,                      ,                         ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Miocene     ,                  ,NN10          ,182,1126,C, 11,X,CC,  16.00,     99.3600,Ladner   ,Nannofossils                                 ,A              ,M                 ,                          ,                     ,                             ,                       ,F                    ,                           ,C                    ,F                     ,                         ,C                      ,F                         ,                       ,                     ,                  ,F                   ,C                               ,                   ,                    ,                    ,                       ,C                      ,R                    ,F                     ,                  ,                    ,                  ,                     ,                         ,                       ,                      ,                        ,                     ,                          ,                          ,                     ,                         ,                       ,                    ,                    ,                       ,                   ,                   ,                     ,                  ,                   ,                        ,                  ,                      ,                   ,                    ,                        ,                     ,                       ,                       ,                       ,                       ,                     ,                     ,                    ,                         ,                      ,                         ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Late Miocene     ,NN5               ,NN10          ,182,1126,C, 12,X,CC,  18.00,    106.9600,Ladner   ,Nannofossils                                 ,C              ,M                 ,                          ,                     ,                             ,                       ,F                    ,                           ,                     ,C                     ,                         ,C                      ,                          ,F                      ,                     ,                  ,C                   ,                                ,                   ,                    ,F                   ,C                      ,                       ,                     ,                      ,                  ,                    ,                  ,                     ,                         ,                       ,                      ,                        ,                     ,                          ,                          ,                     ,                         ,                       ,                    ,                    ,                       ,                   ,                   ,                     ,                  ,                   ,                        ,                  ,                      ,                   ,                    ,                        ,                     ,                       ,                       ,                       ,                       ,                     ,                     ,                    ,                         ,                      ,                         ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,NN5           ,182,1126,C, 13,X,CC,  22.00,    118.9400,Ladner   ,Nannofossils                                 ,C              ,M                 ,F                         ,                     ,                             ,                       ,F                    ,                           ,F                    ,F                     ,C                        ,                       ,                          ,F                      ,                     ,R                 ,F                   ,C                               ,F                  ,R                   ,                    ,                       ,                       ,                     ,                      ,                  ,                    ,                  ,                     ,                         ,                       ,                      ,                        ,                     ,                          ,                          ,                     ,                         ,                       ,                    ,                    ,                       ,                   ,                   ,                     ,                  ,                   ,                        ,                  ,                      ,                   ,                    ,                        ,                     ,                       ,                       ,                       ,                       ,                     ,                     ,                    ,                         ,                      ,                         ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,NN5           ,182,1126,C, 14,X,CC,  16.00,    125.1400,Ladner   ,Nannofossils                                 ,A              ,M                 ,C                         ,                     ,                             ,                       ,C                    ,C                          ,                     ,                      ,C                        ,C                      ,F                         ,                       ,                     ,F                 ,                    ,                                ,                   ,                    ,                    ,                       ,                       ,                     ,                      ,                  ,                    ,                  ,                     ,                         ,                       ,                      ,                        ,                     ,                          ,                          ,                     ,                         ,                       ,                    ,                    ,                       ,                   ,                   ,                     ,                  ,                   ,                        ,                  ,                      ,                   ,                    ,                        ,                     ,                       ,                       ,                       ,                       ,                     ,                     ,                    ,                         ,                      ,                         ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,                  ,NN5           ,182,1126,C, 15,X,CC,  29.00,    135.1100,Ladner   ,Nannofossils                                 ,A              ,M                 ,                          ,                     ,                             ,                       ,C                    ,A                          ,F                    ,F                     ,                         ,                       ,F                         ,C                      ,C                    ,                  ,                    ,                                ,                   ,                    ,                    ,                       ,                       ,                     ,                      ,                  ,                    ,                  ,                     ,                         ,                       ,                      ,                        ,                     ,                          ,                          ,                     ,                         ,                       ,                    ,                    ,                       ,                   ,                   ,                     ,                  ,                   ,                        ,                  ,                      ,                   ,                    ,                        ,                     ,                       ,                       ,                       ,                       ,                     ,                     ,                    ,                         ,                      ,                         ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Miocene    ,                  ,NN4           ,182,1126,C, 16,H,CC,  10.00,    144.5000,Ladner   ,Nannofossils                                 ,C              ,M                 ,F                         ,                     ,                             ,F                      ,                     ,C                          ,F                    ,                      ,F                        ,F                      ,                          ,                       ,                     ,                  ,                    ,                                ,                   ,                    ,                    ,                       ,                       ,                     ,                      ,                  ,                    ,                  ,                     ,                         ,                       ,                      ,                        ,                     ,                          ,                          ,                     ,                         ,                       ,                    ,                    ,                       ,                   ,                   ,                     ,                  ,                   ,                        ,                  ,                      ,                   ,                    ,                        ,                     ,                       ,                       ,                       ,                       ,                     ,                     ,                    ,                         ,                      ,                         ,                   ,Discoasters difficult to speciate due to overgrowth
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Miocene    ,                  ,NN4           ,182,1126,C, 17,X,CC,  25.00,    148.8100,Ladner   ,Nannofossils                                 ,C              ,M                 ,C                         ,F                    ,R                            ,F                      ,F                    ,C                          ,C                    ,R                     ,F                        ,                       ,                          ,                       ,                     ,                  ,                    ,                                ,                   ,                    ,                    ,                       ,                       ,                     ,                      ,                  ,                    ,                  ,                     ,                         ,                       ,                      ,                        ,                     ,                          ,                          ,                     ,                         ,                       ,                    ,                    ,                       ,                   ,                   ,                     ,                  ,                   ,                        ,                  ,                      ,                   ,                    ,                        ,                     ,                       ,                       ,                       ,                       ,                     ,                     ,                    ,                         ,                      ,                         ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
