Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra pseudoumbilica,Sphenolithus abies,Discoaster variabilis,Discoaster brouweri,Discoaster bellus,Calcidiscus leptoporus,Reticulofenestra minutula,Discoaster quinqueramus,Discoaster surculus,Helicosphaera carteri,Discoaster pentaradiatus,Coccolithus pelagicus,Reticulofenestra minuta,Discoaster sp. (6-rayed),Triquetrorhabdulus rugosus,Scyphosphaera amphora,Helicosphaera sellii,Discolithina japonica,Discoaster neohamatus,Discoaster berggrenii,Cyclolithella protoannula,Amaurolithus primus,Amaurolithus delicatus,Amaurolithus amplificus,Discoaster neorectus,Helicosphaera granulata,Ceratolithus armatus,Ceratolithus acutus,Ceratolithus sp.,Discoaster tristellifer,Pseudoemiliania lacunosa,Gephyrocapsa spp. (small),Ceratolithus cristatus,Calcidiscus tropicus,Umbilicosphaera sibogae,Pontosphaera discopora,Helicosphaera neogranulata,Rhabdosphaera clavigera,Thoracosphaera sp.,Ceratolithus rugosus,Syracosphaera pulchra,Discoaster brouweri (3 ray),Gephyrocapsa oceanica s.l.,Helicosphaera wallichii,Discolithina sp.,Gephyrocapsa caribbeanica,Florisphaera sp.,Emiliania huxleyi,Cyclolithella annula,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN14a             ,CN13a         ,116, 719,A,  4,X,CC,  22.00,     23.8800,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,T                     ,                         ,                       ,                   ,                     ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,T                       ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,R                         ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN14a             ,CN13a         ,116, 719,A,  5,X, 1,  29.00,     32.9900,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,                      ,                         ,                       ,                   ,                     ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,R                       ,R                        ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,R                         ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN14a             ,CN13a         ,116, 719,A,  5,X,CC,  29.00,     33.5200,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,                      ,                         ,                       ,                   ,T                    ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,T                       ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,F                         ,                       ,                ,R                        ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN14a             ,CN13a         ,116, 719,A,  6,X, 1,   7.00,     42.2700,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,                      ,                         ,                       ,                   ,                     ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,T                        ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,R                         ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN14a             ,CN13a         ,116, 719,A,  6,X,CC,   7.00,     42.8000,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,T                     ,                         ,                       ,                   ,                     ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,R                       ,R                        ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,R                         ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN14a             ,CN13a         ,116, 719,A,  7,X, 1,  15.00,     51.8500,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,                      ,                         ,                       ,                   ,                     ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,R                        ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,R                         ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN14a             ,CN13a         ,116, 719,A,  7,X,CC,   5.00,     52.3300,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,                      ,                         ,                       ,                   ,                     ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,T                        ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,T                         ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN14a             ,CN13a         ,116, 719,A,  8,X, 1,   6.00,     61.2600,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,T                     ,                         ,                       ,                   ,                     ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,R                       ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,F                         ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN14a             ,CN13a         ,116, 719,A,  8,X,CC,   6.00,     61.7400,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,                      ,                         ,                       ,                   ,                     ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,R                         ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN14a             ,CN13a         ,116, 719,A,  9,X,CC,   0.00,     70.7000,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,T                     ,                         ,                       ,                   ,                     ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,R                         ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN14a             ,CN13a         ,116, 719,A, 10,X,CC,  10.00,     80.3000,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,                      ,                         ,                       ,                   ,R                    ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,F                        ,                      ,                    ,R                      ,                      ,                          ,                       ,                  ,                    ,T                    ,                           ,C                         ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN14a             ,CN13a         ,116, 719,A, 11,X,CC,  11.00,     91.0100,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,                      ,                         ,                       ,                   ,                     ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,T                       ,R                        ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,F                         ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN14a             ,CN13a         ,116, 719,A, 13,X, 1,  23.00,    108.9300,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,                      ,                         ,                       ,                   ,                     ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,R                       ,F                        ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,F                         ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN14a             ,CN13a         ,116, 719,A, 13,X,CC,  21.00,    109.8000,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,                      ,                         ,                       ,                   ,                     ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,T                        ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,T                         ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN14a             ,CN13a         ,116, 719,A, 14,X, 2,  52.00,    120.2200,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,T                     ,                         ,                       ,                   ,                     ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,T                       ,F                        ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,F                         ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN14a             ,CN13a         ,116, 719,A, 15,X,CC,   6.00,    128.4000,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,T                     ,                         ,                       ,                   ,                     ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,T                         ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN14a             ,CN13a         ,116, 719,A, 16,X,CC,  46.00,    147.1600,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,R                     ,                         ,                       ,                   ,F                    ,T                       ,T                    ,                       ,                        ,                          ,                     ,                    ,T                    ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,F                       ,C                        ,                      ,                    ,T                      ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,A                         ,                       ,T               ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN14a             ,CN13a         ,116, 719,A, 17,X, 2,  96.00,    149.1600,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,F                     ,                         ,                       ,                   ,F                    ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,C                       ,                         ,T                     ,                    ,T                      ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,A                         ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN14a             ,CN13a         ,116, 719,A, 17,X, 3,  11.00,    149.8100,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,F                     ,                         ,                       ,                   ,F                    ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,C                       ,                         ,T                     ,                    ,T                      ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,A                         ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN14a             ,CN13a         ,116, 719,A, 17,X, 3,  95.00,    150.6500,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,R                     ,                         ,                       ,                   ,                     ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,R                       ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,R                         ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN14a             ,CN13a         ,116, 719,A, 17,X, 4,  40.00,    151.6000,Gartner  ,Nannofossils                                 ,               ,                  ,T                              ,R                 ,                     ,T                  ,                 ,C                     ,                         ,                       ,                   ,                     ,                        ,T                    ,                       ,T                       ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,C                       ,A                        ,                      ,                    ,F                      ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,T                         ,T                      ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN14a             ,CN13a         ,116, 719,A, 17,X, 5,  87.00,    153.5700,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,C                     ,                         ,                       ,                   ,                     ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,C                       ,C                        ,C                     ,                    ,F                      ,                      ,R                         ,                       ,                  ,                    ,                     ,                           ,F                         ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN14a             ,CN13a         ,116, 719,A, 17,X, 6,  42.00,    154.6200,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,                      ,                         ,                       ,                   ,R                    ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,R                       ,F                        ,                      ,                    ,T                      ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,F                         ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12d             ,              ,116, 719,A, 18,X, 1,  40.00,    156.6000,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,T                 ,                     ,F                  ,                 ,F                     ,R                        ,                       ,                   ,R                    ,                        ,                     ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,F                       ,                         ,F                     ,                    ,                       ,                      ,R                         ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12d             ,              ,116, 719,A, 18,X, 5,   8.00,    162.2800,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,                   ,                 ,R                     ,                         ,                       ,                   ,T                    ,                        ,R                    ,                       ,T                       ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,T               ,                       ,T                       ,R                        ,                      ,                    ,                       ,                      ,R                         ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12c             ,              ,116, 719,A, 18,X, 5,  90.00,    163.1000,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,A                  ,                 ,T                     ,                         ,                       ,                   ,                     ,                        ,R                    ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,C                       ,                         ,F                     ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,T                          ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12c             ,              ,116, 719,A, 18,X, 5, 103.00,    163.2300,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,C                  ,                 ,F                     ,A                        ,                       ,                   ,R                    ,R                       ,F                    ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,C                       ,                         ,                      ,T                   ,R                      ,                      ,                          ,                       ,                  ,                    ,T                    ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12c             ,              ,116, 719,A, 18,X, 5, 105.00,    163.2500,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,T                 ,                     ,F                  ,                 ,                      ,F                        ,                       ,                   ,R                    ,R                       ,R                    ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,R                        ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,F                       ,T                        ,                      ,T                   ,                       ,                      ,                          ,                       ,R                 ,R                   ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,Pleistocene      ,CN12c             ,              ,116, 719,A, 18,X, 6,  40.00,    164.1000,Gartner  ,Nannofossils                                 ,               ,                  ,                               ,                  ,                     ,R                  ,                 ,                      ,R                        ,                       ,                   ,                     ,                        ,R                    ,                       ,                        ,                          ,                     ,                    ,                     ,                     ,                     ,                         ,                   ,                      ,                       ,                    ,                       ,                    ,                   ,                ,                       ,                        ,                         ,                      ,                    ,                       ,                      ,                          ,                       ,                  ,                    ,                     ,                           ,                          ,                       ,                ,                         ,                ,                 ,                    ,from ODP Leg 116 SR Chapter 15 Figure 8 p 182-185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
