Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotaloides suteri,Globorotalia opima nana,Globorotalia mayeri/siakensis,Globoquadrina venezuelana,Globoquadrina tripartita,Globoquadrina sellii,Globoquadrina binaiensis,Globigerina euapertura,Globigerina ciperoensis,Globigerina angulisuturalis,Dentoglobigerina globularis,Dentoglobigerina galavisi,Catapsydrax dissimilis,Globorotalia pseudokugleri,Globorotalia kugleri,Globigerinoides ruber s.l.,Clavatorella bermudezi,Globigerina praebulloides,Globoquadrina praedehiscens,Globoquadrina dehiscens,Dentoglobigerina altispira altispira,Globigerinoides primordius,Globigerinita glutinata,Globoquadrina baroemoenensis,Globigerinoides quadrilobatus s.l.,Dentoglobigerina altispira globosa,Globigerinoides altiaperturus,Globigerinatella insueta,Catapsydrax stainforthi,Globigerinoides bisphericus,Globorotalia praescitula,Sphaeroidinellopsis disjuncta,Globigerinoides diminutus,Globorotalia peripheroronda,Globorotaloides variabilis,Praeorbulina sicana,Praeorbulina glomerosa curva,Globorotalia peripheroacuta,Orbulina suturalis,Globorotalia scitula,Globorotalia praefohsi,Globorotalia fohsi fohsi,Globorotalia miozea,Orbulina universa,Globorotalia fohsi robusta,Globorotalia fohsi lobata,Globorotalia menardii s.l.,Sphaeroidinellopsis seminulina,Globoturborotalita nepenthes,Globigerinoides obliquus obliquus,Globorotaloides hexagona,Neogloboquadrina acostaensis,Globorotalia limbata,Globigerinella siphonifera,Sphaeroidinellopsis kochi,Globorotalia plesiotumida,Globigerinoides obliquus extremus,Neogloboquadrina humerosa,Candeina nitida,Globigerinoides conglobatus,Pulleniatina primalis,Pulleniatina obliquiloculata,Globorotalia juanai,Globorotalia tumida tumida,Sphaeroidinella dehiscens,Globorotalia margaritae,Globorotalia tumida flexuosa,Beella digitata,Globorotalia crassaformis,Neogloboquadrina dutertrei,Globigerinoides fistulosus,Globoquadrina conglomerata,Globigerinoides elongatus,Globorotalia truncatulinoides,Globigerinella calida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N21               ,              ,115, 709,C,  4,H, 2,  60.00,     27.2000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,                         ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,+                         ,                      ,                         ,                           ,                       ,                                    ,                          ,+                      ,                            ,+                                 ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,+                ,                          ,                         ,                          ,                              ,                            ,                                 ,+?                      ,                            ,+                   ,+                         ,                         ,                         ,                                 ,+                        ,               ,+                          ,                     ,+                           ,                   ,+                         ,+                        ,                       ,                            ,+              ,+                        ,+                         ,+                         ,                          ,                         ,                             ,                     ,benthic foraminifers few. radiolarians few. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N19               ,              ,115, 709,C,  4,H, 5,  60.00,     31.7000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,                         ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,+                         ,                      ,                         ,                           ,                       ,+                                   ,                          ,                       ,+                           ,+                                 ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,+                 ,                    ,                      ,                        ,                   ,+                ,                          ,                         ,                          ,+                             ,                            ,                                 ,                        ,+                           ,+                   ,+                         ,+                        ,                         ,                                 ,+                        ,+              ,+                          ,+                    ,+                           ,                   ,+                         ,+                        ,                       ,                            ,+              ,+                        ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N19               ,              ,115, 709,C,  4,H,CC,  10.00,     34.8400,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,                       ,+                                   ,                          ,                       ,+                           ,+                                 ,+                                 ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,+                 ,                    ,                      ,                        ,                   ,+                ,                          ,                         ,                          ,+                             ,                            ,                                 ,+?                      ,+                           ,+                   ,+                         ,+                        ,                         ,                                 ,+                        ,               ,+                          ,+                    ,+                           ,                   ,+                         ,+                        ,                       ,                            ,               ,+                        ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N19               ,              ,115, 709,C,  5,H, 1,  60.00,     35.3000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,+                      ,+                                   ,                          ,                       ,+                           ,+                                 ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,+                 ,+                   ,                      ,                        ,                   ,+                ,                          ,                         ,                          ,+                             ,                            ,                                 ,+?                      ,+                           ,+                   ,+                         ,+                        ,                         ,                                 ,+                        ,               ,+                          ,+                    ,+                           ,                   ,+                         ,+                        ,                       ,+                           ,               ,+                        ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. sponge spicules rare. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N19               ,              ,115, 709,C,  5,H, 2,  60.00,     36.8000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,+?                     ,+                                   ,                          ,                       ,+                           ,+                                 ,+                                 ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,+                 ,+                   ,                      ,                        ,                   ,+                ,                          ,                         ,                          ,+                             ,                            ,                                 ,+?                      ,+?                          ,+                   ,+                         ,+                        ,                         ,                                 ,+?                       ,+              ,+                          ,+                    ,+                           ,                   ,+                         ,+                        ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers rare. ostracodes rare. radiolarians rare. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N19               ,              ,115, 709,C,  5,H, 5,  60.00,     41.3000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,+?                     ,+                                   ,                          ,                       ,+                           ,+                                 ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,+                 ,+                   ,                      ,                        ,                   ,+                ,                          ,                         ,                          ,+                             ,                            ,                                 ,+?                      ,+                           ,+                   ,+                         ,+                        ,                         ,+                                ,+                        ,               ,+                          ,+                    ,+                           ,                   ,+                         ,+                        ,                       ,+                           ,+              ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. radiolarians few. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N19               ,              ,115, 709,C,  5,H,CC,  10.00,     44.2900,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,+                      ,+                                   ,                          ,                       ,+                           ,+                                 ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,+                ,                          ,                         ,                          ,+                             ,+?                          ,                                 ,                        ,+?                          ,+                   ,+                         ,+                        ,                         ,                                 ,+?                       ,+              ,+                          ,+                    ,+                           ,                   ,+                         ,+                        ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. radiolarians rare. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N19               ,              ,115, 709,C,  6,H, 2,  60.00,     46.4000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,+                      ,+                                   ,                          ,                       ,+                           ,+                                 ,+                                 ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,+                ,                          ,                         ,                          ,+                             ,+?                          ,                                 ,                        ,+?                          ,+                   ,+                         ,+                        ,                         ,+                                ,+?                       ,               ,+                          ,+                    ,+                           ,                   ,+                         ,+?                       ,                       ,+?                          ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. radiolarians rare. sponge spicules few. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N19               ,              ,115, 709,C,  6,H, 6,  60.00,     52.4000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,+                      ,+                                   ,                          ,+                      ,+                           ,+                                 ,+                                 ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,+                 ,                    ,                      ,                        ,                   ,+                ,                          ,                         ,                          ,+                             ,+?                          ,+                                ,+?                      ,+?                          ,+                   ,+                         ,+                        ,                         ,+                                ,+?                       ,+              ,+                          ,+                    ,+                           ,                   ,+                         ,+?                       ,+                      ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers rare. radiolarians rare. calcareous aggregates rare. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N19               ,              ,115, 709,C,  6,H,CC,   0.00,     53.9900,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,+?                     ,+                                   ,                          ,                       ,+                           ,+                                 ,+                                 ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,+                ,                          ,                         ,                          ,+                             ,+?                          ,+?                               ,+?                      ,+                           ,+                   ,+                         ,+?                       ,                         ,+?                               ,+                        ,               ,+                          ,+                    ,+                           ,                   ,+                         ,+                        ,+                      ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. radiolarians rare. sponge spicules rare. calcareous aggregates few. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N19               ,              ,115, 709,C,  7,H, 1,  60.00,     54.5000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,+                      ,+                                   ,                          ,                       ,+                           ,+                                 ,+                                 ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,+                ,                          ,                         ,                          ,+                             ,+?                          ,+?                               ,                        ,+                           ,+                   ,+                         ,+?                       ,                         ,+                                ,                         ,+              ,+                          ,+                    ,+                           ,                   ,+                         ,+?                       ,+?                     ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N19               ,              ,115, 709,C,  7,H, 2,  60.00,     56.0000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,+                      ,+                                   ,                          ,                       ,+                           ,+                                 ,+                                 ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,+                 ,                    ,                      ,                        ,                   ,+                ,                          ,                         ,                          ,+                             ,+?                          ,+                                ,+                       ,+                           ,+                   ,+                         ,+                        ,                         ,+?                               ,                         ,+              ,+                          ,+                    ,+                           ,+                  ,+                         ,+?                       ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers rare. radiolarians rare. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N18               ,              ,115, 709,C,  7,H, 3,  60.00,     57.5000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,                       ,+                                   ,                          ,                       ,+                           ,+                                 ,+                                 ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,+                 ,+                   ,                      ,                        ,                   ,+                ,                          ,                         ,                          ,+                             ,+?                          ,                                 ,+                       ,+                           ,+                   ,+                         ,+?                       ,                         ,+                                ,+                        ,+              ,+                          ,+?                   ,+                           ,                   ,+                         ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers rare. radiolarians few. sponge spicules few. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,N18               ,              ,115, 709,C,  7,H,CC,  10.00,     63.5600,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,                      ,                       ,                             ,+                        ,                        ,                    ,                        ,                      ,                       ,                           ,                           ,                         ,                      ,                          ,                    ,                          ,                      ,                         ,                           ,+                      ,                                    ,                          ,                       ,                            ,+                                 ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,+                 ,                    ,                      ,                        ,                   ,+                ,                          ,                         ,                          ,+                             ,+?                          ,                                 ,+?                      ,+                           ,+                   ,+                         ,                         ,                         ,+                                ,+                        ,               ,+                          ,+                    ,+                           ,                   ,+                         ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. ostracodes rare. sponge spicules rare. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
