Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thyrsocyrtis triacantha,Thyrsocyrtis rhizodon,Theocotylissa ficus,Theocotyle venezuelensis,Theocotyle conica,Sethochytris triconiscus,Podocyrtis trachodes,Podocyrtis sinuosa,Podocyrtis dorus,Phormocyrtis striata striata,Lophocyrtis biaurita,Lithocyclia ocellus,Lithochytris vespertilio,Eusyringium lagena,Eusyringium fistuligerum,Dictyoprora mongolfieri,Calocyclas hispida,Sethochytris bablylonis,Podocyrtis fasciolata,Lychnocanoma bellum,Podocyrtis mitra,Podocyrtis chalara,Thyrsocyrtis  tetracantha,Thyrsocyrtis bromia,Tristylospyris triceros,Podocyrtis goetheana,Lophocyrtis jacchia,Lithocyclia crux,Lithocyclia aristotelis,Dictyoprora pirum,Cryptoprora ornata,Carpocanistrum azyx,Calocyclas turris,Calocyclas bandyca,Lithocyclia angusta,Artophormis gracilis,Theocyrtis tuberosa,Artophormis barbadensis,Theocorys spongoconus,Comment
  SR,                 ,                 ,T. bromia         ,              ,115, 709,C, 31,X, 2,  70.00,    288.0000,Johnson  ,Radiolarians                                 ,C              ,M                 ,                       ,-                    ,                   ,                        ,                 ,                        ,                    ,                  ,                ,                            ,                    ,                   ,                        ,                  ,-                       ,C                      ,-                 ,C                      ,                     ,F                  ,                ,                  ,-                        ,-                  ,C                      ,                    ,F                  ,                ,C                      ,R                ,F                 ,-                  ,VR               ,R                 ,-                  ,-                   ,-                  ,R                      ,                     ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. bromia         ,              ,115, 709,C, 31,X, 4,  70.00,    291.0000,Johnson  ,Radiolarians                                 ,C              ,M                 ,-                      ,R                    ,                   ,                        ,                 ,                        ,                    ,                  ,                ,                            ,                    ,                   ,                        ,                  ,-                       ,C                      ,-                 ,F                      ,                     ,F                  ,                ,                  ,-                        ,-                  ,C                      ,                    ,R                  ,F               ,F                      ,R                ,F                 ,-                  ,R                ,R                 ,-                  ,-                   ,-                  ,R                      ,                     ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. bromia         ,              ,115, 709,C, 31,X,CC,  33.00,    294.2400,Johnson  ,Radiolarians                                 ,C              ,M                 ,-                      ,C                    ,                   ,                        ,                 ,                        ,                    ,                  ,                ,                            ,                    ,                   ,                        ,                  ,-                       ,C                      ,-                 ,F                      ,                     ,F                  ,                ,                  ,F                        ,F                  ,F                      ,                    ,R                  ,R               ,R                      ,R                ,R                 ,R                  ,C                ,F                 ,-                  ,-                   ,-                  ,R                      ,                     ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. bromia         ,              ,115, 709,C, 32,X, 2,  70.00,    297.6000,Johnson  ,Radiolarians                                 ,C              ,M                 ,-                      ,C                    ,                   ,                        ,                 ,                        ,                    ,                  ,                ,                            ,                    ,                   ,                        ,                  ,-                       ,F                      ,-                 ,F                      ,                     ,R                  ,                ,                  ,C                        ,F                  ,F                      ,                    ,R                  ,F               ,R                      ,R                ,R                 ,F                  ,C                ,F                 ,-                  ,-                   ,                   ,                       ,                     ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. bromia         ,              ,115, 709,C, 32,X, 4,  70.00,    300.6000,Johnson  ,Radiolarians                                 ,C              ,M                 ,-                      ,C                    ,                   ,                        ,                 ,                        ,                    ,                  ,                ,-                           ,                    ,                   ,                        ,                  ,F                       ,F                      ,R                 ,R                      ,                     ,F                  ,                ,-                 ,C                        ,F                  ,R                      ,                    ,R                  ,R               ,R                      ,R                ,R                 ,R                  ,F                ,F                 ,-                  ,-                   ,                   ,                       ,                     ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. bromia         ,              ,115, 709,C, 32,X, 6,  70.00,    303.6000,Johnson  ,Radiolarians                                 ,C              ,G                 ,R                      ,C                    ,-                  ,                        ,                 ,-                       ,                    ,                  ,                ,VR                          ,                    ,R                  ,                        ,                  ,C                       ,C                      ,F                 ,R                      ,                     ,F                  ,                ,-                 ,F                        ,F                  ,F                      ,                    ,R                  ,                ,R                      ,R                ,F                 ,R                  ,-                ,-                 ,                   ,                    ,                   ,                       ,                     ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. bromia         ,              ,115, 709,C, 32,X,CC,  33.00,    305.0300,Johnson  ,Radiolarians                                 ,C              ,M                 ,VR                     ,C                    ,-                  ,                        ,                 ,-                       ,                    ,                  ,                ,-                           ,                    ,-                  ,-                       ,                  ,F                       ,F                      ,R                 ,F                      ,                     ,R                  ,-               ,-                 ,C                        ,C                  ,R                      ,-                   ,R                  ,                ,R                      ,F                ,R                 ,F                  ,C                ,C                 ,                   ,                    ,                   ,                       ,                     ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. bromia         ,              ,115, 709,C, 33,X, 2,  70.00,    307.3000,Johnson  ,Radiolarians                                 ,C              ,G                 ,R                      ,C                    ,-                  ,                        ,                 ,-                       ,                    ,                  ,                ,-                           ,                    ,-                  ,-                       ,                  ,R                       ,C                      ,R                 ,R                      ,                     ,R                  ,-               ,-                 ,C                        ,F                  ,R                      ,-                   ,F                  ,F               ,F                      ,R                ,R                 ,F                  ,C                ,C                 ,                   ,                    ,                   ,                       ,                     ,from 115 SR. Chapter 22. Table 4. page 398.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
