Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera rotula,Sphenolithus abies,Reticulofenestra pseudoumbilica (>7microns),Reticulofenestra minuta,Reticulofenestra haqii,Reticulofenestra (pseudobar),Discoaster variabilis,Discoaster surculus,Discoaster spp.,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster pansus,Discoaster kugleri,Discoaster exilis,Discoaster brouweri,Discoaster berggrenii,Coccolithus pelagicus,Umbilicosphaera jafari,Syracosphaera spp.,Reticulofenestra pseudoumbilica(5-7microns),Helicosphaera orientalis,Helicosphaera carteri,Florisphaera profunda,Discoaster bergenii,Coccolithus pelagicus (with bar),Calcidiscus macintyrei,Calcidiscus leptoporus,Amaurolithus primus,Amaurolithus delicatus,Sphenolithus grandis,Sphenolithus belemnos,Sphenolithus moriformis,Discoaster braarudii,Sphenolithus spp.,Discoaster challengeri,Braarudosphaera bigelowii,Triquetrorhabdulus rioi,Rhabdosphaera clavigera,Pontosphaera multipora,Helicosphaera intermedia,Amaurolithus spp.,Umbilicosphaera hulburtiana,Helicosphaera stalis,Calcidiscus tropicus,Triquetrorhabdulus rugosus,Pontosphaera discopora,Pontosphaera japonica,Discoaster triradiatus,Scyphosphaera spp.,Scapholithus fossilis,Gephyrocapsa spp. (small),Discoaster loeblichii,Amaurolithus tricorniculatus,Minylitha convallis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B,  5,R, 3,  12.00,    422.4200,Boeckel  ,Nannofossils                                 ,C              ,P                 ,                      ,                  ,C                                          ,D                      ,A                     ,                            ,R                    ,F                  ,               ,F                      ,C                       ,                 ,                  ,                 ,                   ,R                    ,F                    ,                      ,                  ,A                                          ,                        ,                     ,C                    ,                   ,                                ,                      ,F                     ,                   ,                      ,F                   ,                     ,                       ,                    ,                 ,                      ,                         ,                       ,                       ,                      ,                        ,                 ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,F                 ,R                    ,R                        ,R                    ,R                           ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B,  5,R,CC,  20.00,    424.2000,Boeckel  ,Nannofossils                                 ,F              ,P                 ,                      ,C                 ,F                                          ,                       ,A                     ,C                           ,C                    ,                   ,               ,                       ,F                       ,F                ,                  ,F                ,F                  ,                     ,C                    ,                      ,                  ,                                           ,                        ,                     ,A                    ,                   ,                                ,                      ,                      ,                   ,                      ,                    ,                     ,                       ,                    ,                 ,                      ,                         ,                       ,                       ,F                     ,                        ,                 ,                           ,                    ,F                   ,                          ,                      ,F                    ,F                     ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B,  6,R, 3,  70.00,    432.7000,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                      ,                  ,C                                          ,                       ,                      ,                            ,                     ,                   ,               ,A                      ,                        ,                 ,                  ,                 ,                   ,                     ,                     ,A                     ,                  ,                                           ,                        ,                     ,                     ,                   ,                                ,                      ,                      ,                   ,                      ,                    ,                     ,                       ,                    ,                 ,                      ,                         ,                       ,                       ,                      ,                        ,                 ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B,  6,R,CC,  21.00,    435.2200,Boeckel  ,Nannofossils                                 ,R              ,P                 ,F                     ,C                 ,C                                          ,A                      ,A                     ,C                           ,F                    ,                   ,C              ,C                      ,F                       ,                 ,                  ,                 ,F                  ,                     ,                     ,F                     ,                  ,C                                          ,                        ,                     ,A                    ,                   ,                                ,                      ,C                     ,                   ,                      ,                    ,                     ,                       ,                    ,                 ,                      ,                         ,                       ,                       ,                      ,                        ,                 ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B,  7,R,CC,  38.00,    447.9800,Boeckel  ,Nannofossils                                 ,C              ,P                 ,F                     ,A                 ,F                                          ,D                      ,A                     ,C                           ,F                    ,F                  ,               ,F                      ,F                       ,                 ,                  ,                 ,                   ,                     ,                     ,                      ,                  ,C                                          ,                        ,F                    ,                     ,                   ,                                ,C                     ,C                     ,                   ,                      ,                    ,                     ,                       ,                    ,                 ,                      ,                         ,                       ,                       ,                      ,F                       ,                 ,                           ,                    ,                    ,F                         ,F                     ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B,  8,R, 3,  70.00,    451.9000,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                      ,                  ,F                                          ,D                      ,A                     ,                            ,                     ,                   ,F              ,                       ,                        ,C                ,                  ,                 ,                   ,                     ,F                    ,                      ,                  ,C                                          ,C                       ,                     ,                     ,                   ,                                ,                      ,                      ,                   ,                      ,                    ,                     ,F                      ,                    ,                 ,                      ,                         ,                       ,                       ,                      ,                        ,                 ,                           ,F                   ,F                   ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B,  8,R,CC,  20.00,    457.5900,Boeckel  ,Nannofossils                                 ,F              ,P                 ,F                     ,C                 ,F                                          ,A                      ,A                     ,C                           ,F                    ,R                  ,               ,R                      ,                        ,R                ,                  ,                 ,F                  ,                     ,F                    ,F                     ,                  ,R                                          ,                        ,                     ,A                    ,                   ,                                ,F                     ,C                     ,                   ,R                     ,                    ,                     ,                       ,                    ,                 ,                      ,                         ,                       ,                       ,                      ,                        ,R                ,F                          ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B,  9,R,CC,  26.00,    464.7500,Boeckel  ,Nannofossils                                 ,C              ,P                 ,                      ,C                 ,C                                          ,D                      ,A                     ,C                           ,                     ,                   ,R              ,                       ,                        ,                 ,                  ,                 ,                   ,                     ,                     ,F                     ,C                 ,C                                          ,                        ,                     ,                     ,                   ,R                               ,C                     ,                      ,                   ,                      ,                    ,                     ,                       ,                    ,                 ,                      ,                         ,                       ,                       ,R                     ,                        ,                 ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B, 10,R,CC,  25.00,    472.3100,Boeckel  ,Nannofossils                                 ,F              ,P                 ,F                     ,                  ,C                                          ,A                      ,A                     ,C                           ,                     ,F                  ,F              ,F                      ,                        ,                 ,                  ,                 ,C                  ,                     ,                     ,                      ,                  ,C                                          ,                        ,                     ,A                    ,                   ,                                ,                      ,C                     ,                   ,                      ,                    ,                     ,                       ,                    ,A                ,                      ,                         ,                       ,                       ,                      ,                        ,                 ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B, 11,R,CC,  29.00,    484.0100,Boeckel  ,Nannofossils                                 ,R              ,P                 ,F                     ,                  ,F                                          ,D                      ,A                     ,C                           ,F                    ,                   ,F              ,F                      ,                        ,                 ,                  ,F                ,F                  ,                     ,F                    ,                      ,                  ,F                                          ,                        ,                     ,                     ,                   ,                                ,F                     ,F                     ,                   ,                      ,                    ,                     ,                       ,                    ,F                ,                      ,                         ,                       ,                       ,                      ,                        ,F                ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B, 12,R,CC,  30.00,    493.4100,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                      ,C                 ,                                           ,A                      ,A                     ,F                           ,F                    ,                   ,               ,C                      ,F                       ,                 ,                  ,                 ,                   ,                     ,F                    ,                      ,                  ,C                                          ,                        ,F                    ,A                    ,                   ,                                ,                      ,C                     ,                   ,                      ,                    ,                     ,                       ,                    ,                 ,                      ,                         ,                       ,                       ,                      ,                        ,F                ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B, 13,R,CC,  33.00,    499.0600,Boeckel  ,Nannofossils                                 ,R              ,M                 ,                      ,C                 ,                                           ,A                      ,C                     ,C                           ,F                    ,                   ,               ,F                      ,                        ,                 ,F                 ,F                ,                   ,C                    ,                     ,                      ,                  ,C                                          ,                        ,                     ,D                    ,                   ,                                ,C                     ,C                     ,                   ,                      ,                    ,                     ,C                      ,                    ,                 ,                      ,                         ,                       ,                       ,                      ,F                       ,                 ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B, 14,R,CC,  24.00,    509.1700,Boeckel  ,Nannofossils                                 ,F              ,M                 ,                      ,C                 ,                                           ,A                      ,A                     ,A                           ,F                    ,                   ,               ,F                      ,F                       ,                 ,                  ,                 ,F                  ,                     ,                     ,F                     ,C                 ,                                           ,                        ,                     ,A                    ,                   ,                                ,C                     ,C                     ,                   ,                      ,                    ,                     ,                       ,                    ,                 ,F                     ,                         ,                       ,                       ,                      ,                        ,                 ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B, 15,R,CC,  24.00,    524.1700,Boeckel  ,Nannofossils                                 ,C              ,M                 ,F                     ,C                 ,R                                          ,D                      ,A                     ,C                           ,R                    ,R                  ,R              ,                       ,R                       ,R                ,                  ,R                ,                   ,                     ,R                    ,                      ,                  ,F                                          ,                        ,R                    ,                     ,                   ,                                ,                      ,F                     ,                   ,R                     ,                    ,                     ,C                      ,                    ,                 ,R                     ,                         ,                       ,                       ,                      ,F                       ,                 ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B, 16,R,CC,  33.00,    532.4900,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                      ,                  ,                                           ,A                      ,                      ,                            ,                     ,                   ,               ,                       ,                        ,                 ,                  ,                 ,                   ,                     ,                     ,                      ,                  ,                                           ,                        ,                     ,                     ,                   ,                                ,A                     ,                      ,                   ,                      ,                    ,                     ,                       ,                    ,                 ,                      ,                         ,                       ,                       ,                      ,                        ,                 ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B, 17,R,CC,  31.00,    539.8600,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                      ,                  ,                                           ,D                      ,C                     ,C                           ,R                    ,                   ,F              ,                       ,R                       ,                 ,R                 ,                 ,R                  ,                     ,R                    ,C                     ,                  ,R                                          ,                        ,                     ,A                    ,                   ,                                ,F                     ,C                     ,                   ,                      ,                    ,                     ,                       ,R                   ,F                ,                      ,F                        ,                       ,                       ,R                     ,R                       ,                 ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B, 18,R,CC,  23.00,    551.0700,Boeckel  ,Nannofossils                                 ,F              ,P                 ,C                     ,C                 ,                                           ,D                      ,A                     ,C                           ,R                    ,R                  ,F              ,                       ,R                       ,                 ,                  ,                 ,                   ,                     ,R                    ,                      ,C                 ,R                                          ,                        ,R                    ,C                    ,R                  ,                                ,                      ,C                     ,                   ,                      ,                    ,                     ,F                      ,                    ,                 ,                      ,R                        ,R                      ,R                      ,                      ,                        ,                 ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B, 19,R,CC,  27.00,    559.9100,Boeckel  ,Nannofossils                                 ,C              ,M                 ,F                     ,C                 ,R                                          ,D                      ,A                     ,F                           ,R                    ,                   ,               ,                       ,                        ,                 ,                  ,                 ,R                  ,                     ,R                    ,F                     ,R                 ,                                           ,                        ,                     ,A                    ,                   ,                                ,R                     ,R                     ,                   ,                      ,                    ,                     ,                       ,F                   ,F                ,R                     ,R                        ,                       ,                       ,                      ,                        ,                 ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B, 20,R,CC,  25.00,    569.7700,Boeckel  ,Nannofossils                                 ,F              ,P                 ,                      ,C                 ,F                                          ,D                      ,A                     ,F                           ,R                    ,                   ,F              ,                       ,C                       ,                 ,                  ,                 ,R                  ,                     ,                     ,                      ,                  ,R                                          ,                        ,                     ,A                    ,                   ,                                ,                      ,C                     ,                   ,                      ,                    ,                     ,                       ,                    ,R                ,R                     ,                         ,                       ,                       ,                      ,                        ,                 ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B, 22,R,CC,  25.00,    588.1300,Boeckel  ,Nannofossils                                 ,R              ,P                 ,C                     ,                  ,F                                          ,D                      ,A                     ,C                           ,                     ,F                  ,C              ,                       ,                        ,                 ,                  ,                 ,                   ,                     ,                     ,                      ,                  ,F                                          ,                        ,                     ,A                    ,                   ,                                ,                      ,C                     ,                   ,                      ,                    ,                     ,                       ,                    ,                 ,                      ,                         ,                       ,                       ,                      ,                        ,                 ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B, 23,R,CC,  27.00,    596.4600,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                      ,                  ,C                                          ,D                      ,C                     ,C                           ,                     ,                   ,C              ,                       ,F                       ,                 ,                  ,                 ,F                  ,                     ,                     ,                      ,                  ,                                           ,                        ,                     ,A                    ,F                  ,                                ,                      ,C                     ,                   ,                      ,C                   ,                     ,                       ,                    ,C                ,                      ,                         ,                       ,                       ,                      ,                        ,                 ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B, 24,R,CC,  21.00,    607.8300,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                      ,                  ,C                                          ,D                      ,A                     ,C                           ,                     ,                   ,               ,                       ,F                       ,                 ,                  ,                 ,                   ,                     ,                     ,C                     ,                  ,C                                          ,                        ,                     ,                     ,                   ,                                ,                      ,                      ,                   ,                      ,                    ,                     ,                       ,                    ,                 ,                      ,                         ,                       ,                       ,                      ,                        ,                 ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B, 25,R,CC,  27.00,    615.1100,Boeckel  ,Nannofossils                                 ,R              ,P                 ,F                     ,                  ,F                                          ,D                      ,A                     ,C                           ,                     ,                   ,               ,                       ,                        ,                 ,                  ,F                ,                   ,                     ,C                    ,F                     ,                  ,                                           ,                        ,                     ,C                    ,F                  ,C                               ,                      ,                      ,                   ,                      ,                    ,                     ,C                      ,                    ,                 ,                      ,                         ,                       ,                       ,                      ,                        ,                 ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B, 26,R,CC,  31.00,    624.6100,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                      ,C                 ,F                                          ,D                      ,                      ,                            ,                     ,                   ,               ,                       ,                        ,                 ,                  ,                 ,                   ,                     ,C                    ,                      ,                  ,                                           ,                        ,                     ,                     ,                   ,                                ,                      ,C                     ,                   ,                      ,                    ,                     ,                       ,                    ,C                ,                      ,                         ,                       ,                       ,                      ,                        ,                 ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B, 27,R,CC,  45.00,    635.2300,Boeckel  ,Nannofossils                                 ,F              ,P                 ,C                     ,C                 ,C                                          ,D                      ,A                     ,                            ,                     ,                   ,               ,                       ,                        ,                 ,                  ,                 ,                   ,                     ,                     ,                      ,                  ,C                                          ,                        ,F                    ,                     ,                   ,                                ,                      ,C                     ,                   ,                      ,                    ,                     ,C                      ,F                   ,                 ,                      ,                         ,                       ,                       ,                      ,                        ,                 ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B, 28,R,CC,  29.00,    645.2900,Boeckel  ,Nannofossils                                 ,R              ,P                 ,                      ,F                 ,F                                          ,D                      ,A                     ,F                           ,                     ,                   ,F              ,                       ,                        ,                 ,                  ,                 ,F                  ,                     ,C                    ,                      ,                  ,                                           ,F                       ,                     ,                     ,                   ,                                ,                      ,                      ,                   ,                      ,                    ,                     ,                       ,                    ,                 ,                      ,                         ,                       ,                       ,                      ,                        ,                 ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B, 29,R,CC,  29.00,    654.4200,Boeckel  ,Nannofossils                                 ,F              ,P                 ,                      ,C                 ,F                                          ,D                      ,A                     ,C                           ,                     ,                   ,               ,                       ,                        ,                 ,                  ,                 ,                   ,                     ,F                    ,                      ,                  ,F                                          ,                        ,F                    ,                     ,                   ,                                ,                      ,                      ,                   ,                      ,F                   ,R                    ,                       ,                    ,                 ,                      ,                         ,                       ,                       ,                      ,                        ,                 ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1178,B, 30,R,CC,  36.00,    664.8600,Boeckel  ,Nannofossils                                 ,C              ,M                 ,C                     ,C                 ,F                                          ,A                      ,A                     ,C                           ,R                    ,                   ,               ,C                      ,                        ,                 ,                  ,R                ,R                  ,C                    ,F                    ,F                     ,F                 ,C                                          ,F                       ,R                    ,C                    ,R                  ,R                               ,F                     ,C                     ,F                  ,R                     ,                    ,                     ,                       ,                    ,                 ,                      ,                         ,                       ,                       ,                      ,                        ,                 ,                           ,                    ,                    ,                          ,                      ,                     ,                      ,                  ,                     ,                         ,                     ,                            ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
