Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocorys peregrina	Axoprunum angelinum	Didymocyrtis antepenultima	Cycladophora cornutoides	Stichocorys delmontensis	Phormostichoartus fistula	Lithopera neotera	Lithopera bacca	Lamprocyclas hannai	Eucyrtidium calvertense	Eucyrtidium acuminatum	Didymocyrtis penultima	Phormostichoartus corbula	Eucyrtidium teuscheri teuscheri	Didymocyrtis avita	Pterocanium trilobum	Lamprocyrtis heteroporos	Cycladophora sakaii	Saturnalis circularis	Didymocyrtis tetrathalamus tetrathalamus	Spongurus pylomaticus	Pterocanium praetextum eucolpum	Lamprocyrtis neoheteroporos	Amphirhopalum ypsilon	Theocorythium trachelium trachelium	Cycladophora pliocenica	Cycladophora davisiana	Lamprocyrtis nigriniae	Spongaster tetras tetras	Comment
  IR	                 	                 	                  	              	175	1081	A	  8	H	CC	  22.00	     67.7100	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                  	                          	                        	                        	                         	                 	               	+                  	+                      	                      	                      	                         	                               	                  	+                   	                        	                   	                     	+                                       	                     	+                              	+                          	                     	                                   	                       	+                     	+                     	                        	       

  IR	                 	                 	                  	              	175	1081	A	  9	H	CC	  32.00	     76.7200	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                  	                          	                        	                        	                         	                 	               	+                  	+                      	                      	                      	                         	+                              	                  	+                   	                        	+                  	                     	+                                       	1                    	+                              	                           	                     	                                   	                       	+                     	                      	+                       	       

  IR	                 	                 	                  	              	175	1081	A	 10	H	CC	  41.00	     86.3100	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                  	                          	                        	                        	                         	                 	               	+                  	+                      	                      	                      	                         	+                              	                  	+                   	                        	                   	                     	+                                       	                     	+                              	+                          	                     	                                   	                       	+                     	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 11	H	CC	  23.00	     96.1200	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                  	                          	                        	                        	                         	                 	               	+                  	+                      	                      	                      	                         	+                              	                  	+                   	+                       	                   	                     	+                                       	+                    	+                              	+                          	                     	                                   	                       	+                     	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 12	H	CC	  25.00	    105.1000	Motoyama 	Radiolarians                                 	A              	M                 	                     	+                  	                          	                        	                        	                         	                 	               	+                  	+                      	                      	                      	                         	+                              	                  	+                   	+                       	                   	                     	+                                       	                     	+                              	+                          	1                    	                                   	                       	+                     	1                     	                        	       

  IR	                 	                 	                  	              	175	1081	A	 13	H	CC	  34.00	    114.8700	Motoyama 	Radiolarians                                 	A              	M                 	                     	                   	                          	                        	                        	                         	                 	               	+                  	+                      	                      	                      	1                        	+                              	                  	+                   	1                       	                   	                     	1                                       	+                    	+                              	+                          	1                    	                                   	                       	+                     	1                     	                        	       

  IR	                 	                 	                  	              	175	1081	A	 14	H	CC	  26.00	    124.5000	Motoyama 	Radiolarians                                 	A              	M                 	                     	+                  	                          	                        	                        	                         	                 	               	+                  	+                      	1                     	                      	                         	+                              	                  	+                   	+                       	                   	                     	                                        	+                    	+                              	+                          	                     	                                   	+                      	+                     	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 15	H	CC	  26.00	    134.7700	Motoyama 	Radiolarians                                 	A              	G                 	                     	1                  	                          	                        	                        	                         	                 	               	+                  	+                      	                      	                      	                         	1                              	                  	+                   	+                       	                   	                     	1                                       	1                    	                               	+                          	1                    	                                   	1                      	+                     	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 16	H	CC	  46.00	    142.5100	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                  	                          	                        	                        	                         	                 	               	+                  	+                      	                      	                      	                         	+                              	                  	+                   	1                       	                   	                     	+                                       	1                    	+                              	+                          	+                    	1                                  	1                      	+                     	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 17	X	CC	  32.00	    144.4500	Motoyama 	Radiolarians                                 	C              	G                 	                     	                   	                          	                        	                        	                         	                 	               	+                  	1                      	                      	                      	+                        	+                              	                  	+                   	+                       	                   	                     	1                                       	1                    	+                              	+                          	1                    	                                   	                       	                      	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 18	H	CC	  21.00	    154.4900	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                  	                          	1                       	                        	                         	                 	               	+                  	+                      	                      	                      	                         	+                              	                  	+                   	+                       	+                  	                     	+                                       	+                    	                               	+                          	+                    	1                                  	                       	+                     	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 19	X	CC	 128.00	    164.1700	Motoyama 	Radiolarians                                 	A              	G                 	                     	1                  	                          	1                       	                        	1                        	                 	               	+                  	1                      	+                     	                      	1                        	1                              	                  	+                   	+                       	+                  	                     	+                                       	1                    	                               	+                          	                     	                                   	                       	+                     	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 20	X	CC	  15.00	    172.9000	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                  	                          	                        	                        	                         	                 	               	+                  	1                      	1                     	                      	                         	+                              	1                 	+                   	+                       	+                  	                     	+                                       	+                    	                               	+                          	                     	                                   	                       	                      	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 21	X	CC	  43.00	    182.3800	Motoyama 	Radiolarians                                 	A              	G                 	                     	                   	                          	                        	                        	                         	                 	               	+                  	                       	                      	                      	                         	                               	                  	+                   	+                       	+                  	                     	                                        	                     	                               	1                          	                     	                                   	+                      	                      	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 22	X	CC	  36.00	    193.3600	Motoyama 	Radiolarians                                 	A              	G                 	                     	1                  	                          	+                       	                        	                         	                 	               	+                  	+                      	                      	                      	+                        	1                              	1                 	                    	+                       	+                  	                     	+                                       	1                    	1                              	                           	                     	                                   	+                      	                      	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 23	X	CC	  27.00	    201.8100	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                  	                          	+                       	                        	                         	                 	               	+                  	+                      	1                     	                      	+                        	+                              	                  	+                   	                        	+                  	                     	1                                       	+                    	1                              	+                          	+                    	                                   	+                      	                      	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 24	X	CC	  27.00	    209.2900	Motoyama 	Radiolarians                                 	A              	G                 	+                    	                   	                          	                        	                        	                         	                 	               	+                  	+                      	                      	                      	+                        	+                              	                  	+                   	+                       	+                  	                     	1                                       	1                    	                               	+                          	                     	1                                  	+                      	                      	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 25	X	CC	  32.00	    219.8000	Motoyama 	Radiolarians                                 	A              	M                 	+                    	                   	                          	1                       	                        	                         	                 	               	+                  	+                      	1                     	                      	+                        	+                              	                  	+                   	+                       	                   	                     	1                                       	1                    	                               	+                          	+                    	                                   	                       	                      	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 26	X	CC	  35.00	    228.2800	Motoyama 	Radiolarians                                 	A              	M                 	+                    	1                  	                          	                        	                        	                         	                 	               	+                  	+                      	                      	                      	1                        	1                              	                  	1                   	+                       	                   	                     	                                        	+                    	                               	+                          	                     	                                   	                       	                      	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 27	X	CC	  25.00	    240.3300	Motoyama 	Radiolarians                                 	A              	M                 	+                    	+                  	                          	                        	                        	                         	                 	               	+                  	+                      	                      	                      	+                        	+                              	                  	+                   	+                       	                   	                     	                                        	+                    	                               	                           	                     	                                   	                       	                      	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 28	X	CC	  32.00	    249.8700	Motoyama 	Radiolarians                                 	A              	G                 	+                    	+                  	                          	                        	                        	                         	                 	               	+                  	+                      	                      	                      	+                        	+                              	                  	+                   	+                       	                   	                     	                                        	+                    	                               	+                          	1                    	                                   	                       	                      	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 29	X	CC	  33.00	    258.7200	Motoyama 	Radiolarians                                 	A              	M                 	+                    	+                  	                          	                        	                        	                         	                 	               	+                  	+                      	                      	                      	+                        	+                              	T                 	+                   	+                       	                   	                     	                                        	+                    	1                              	                           	                     	                                   	                       	                      	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 31	X	CC	  22.00	    273.8800	Motoyama 	Radiolarians                                 	A              	G                 	+                    	+                  	                          	                        	                        	                         	                 	               	+                  	+                      	                      	                      	1                        	+                              	T                 	1                   	+                       	                   	                     	                                        	+                    	                               	                           	                     	                                   	                       	                      	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 32	X	CC	  32.00	    289.3200	Motoyama 	Radiolarians                                 	A              	M                 	+                    	+                  	1                         	                        	+                       	                         	                 	               	+                  	+                      	                      	F                     	                         	+                              	                  	+                   	+                       	+                  	                     	+                                       	+                    	                               	                           	                     	                                   	                       	                      	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 33	X	CC	  17.00	    298.0700	Motoyama 	Radiolarians                                 	A              	G                 	+                    	                   	                          	                        	+                       	                         	                 	               	+                  	+                      	                      	                      	1                        	+                              	T                 	                    	1                       	                   	                     	                                        	+                    	                               	                           	                     	                                   	                       	                      	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 34	X	CC	  20.00	    302.1400	Motoyama 	Radiolarians                                 	A              	M                 	+                    	1                  	                          	                        	                        	                         	                 	               	+                  	+                      	                      	                      	                         	1                              	T                 	+                   	+                       	                   	                     	1                                       	                     	                               	                           	                     	                                   	                       	                      	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 35	X	CC	  40.00	    312.0000	Motoyama 	Radiolarians                                 	A              	M                 	+                    	+                  	                          	                        	                        	                         	                 	               	+                  	+                      	                      	T                     	                         	                               	                  	                    	                        	1                  	                     	                                        	                     	                               	                           	                     	                                   	                       	                      	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 36	X	CC	  64.00	    327.1400	Motoyama 	Radiolarians                                 	A              	M                 	+                    	+                  	                          	                        	                        	                         	                 	               	+                  	+                      	                      	                      	1                        	+                              	                  	                    	+                       	                   	                     	+                                       	                     	                               	                           	                     	                                   	                       	                      	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 37	X	CC	  25.00	    336.0500	Motoyama 	Radiolarians                                 	A              	M                 	+                    	+                  	                          	                        	                        	                         	                 	               	+                  	1                      	                      	                      	1                        	                               	                  	+                   	                        	                   	1                    	                                        	                     	                               	                           	                     	                                   	                       	                      	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 41	X	CC	  11.00	    375.2300	Motoyama 	Radiolarians                                 	C              	M                 	+                    	+                  	                          	                        	1                       	                         	                 	               	+                  	+                      	                      	                      	                         	1                              	T                 	1                   	                        	                   	                     	                                        	                     	                               	                           	                     	                                   	                       	                      	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 42	X	CC	  27.00	    385.7700	Motoyama 	Radiolarians                                 	A              	M                 	+                    	+                  	+                         	                        	1                       	                         	                 	               	+                  	+                      	                      	                      	                         	                               	                  	1                   	                        	1                  	                     	                                        	                     	                               	                           	                     	                                   	                       	                      	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 43	X	CC	  41.00	    394.9100	Motoyama 	Radiolarians                                 	A              	M                 	+                    	+                  	                          	                        	                        	                         	                 	               	+                  	+                      	                      	                      	                         	1                              	T                 	                    	1                       	                   	                     	                                        	                     	                               	                           	                     	                                   	                       	                      	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 44	X	CC	  28.00	    397.7900	Motoyama 	Radiolarians                                 	A              	M                 	+                    	+                  	                          	                        	                        	                         	                 	               	+                  	+                      	                      	                      	                         	                               	1                 	                    	                        	                   	                     	                                        	                     	                               	                           	                     	                                   	                       	                      	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 45	X	CC	  29.00	    414.6900	Motoyama 	Radiolarians                                 	A              	M                 	+                    	+                  	                          	                        	+                       	1                        	                 	               	1                  	1                      	                      	                      	                         	                               	                  	+                   	                        	                   	                     	                                        	                     	                               	                           	                     	                                   	                       	                      	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 46	X	CC	  41.00	    424.3100	Motoyama 	Radiolarians                                 	A              	M                 	+                    	+                  	1                         	                        	+                       	+                        	                 	               	+                  	+                      	                      	                      	1                        	+                              	T                 	                    	                        	                   	                     	                                        	                     	                               	                           	                     	                                   	                       	                      	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 47	X	CC	  23.00	    433.7000	Motoyama 	Radiolarians                                 	A              	M                 	+                    	1                  	+                         	                        	+                       	1                        	1                	1              	1                  	+                      	1                     	+                     	                         	                               	                  	                    	                        	                   	                     	                                        	                     	                               	                           	                     	                                   	                       	                      	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 48	X	CC	  33.00	    443.4900	Motoyama 	Radiolarians                                 	T              	M                 	                     	                   	1                         	1                       	                        	                         	                 	               	                   	                       	                      	                      	                         	                               	                  	                    	                        	                   	                     	                                        	                     	                               	                           	                     	                                   	                       	                      	                      	                        	       

  IR	                 	                 	                  	              	175	1081	A	 49	X	CC	  23.00	    448.3800	Motoyama 	Radiolarians                                 	C              	P                 	+                    	+                  	                          	                        	                        	                         	                 	               	                   	                       	                      	                      	                         	                               	                  	                    	                        	                   	                     	                                        	                     	                               	                           	                     	                                   	                       	                      	                      	                        	       

