Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Velicucullus oddgurneri,Trisolenia megalactis megalactis,Tessarastrum thiedei,Stichocorys delmontensis,Spongurus cauleti,Spongotrochus vitabilis,Spongocore puella,Siphocampe arachnea,Pterocanium korotnevi,Pseudodictyophimus horrida,Pseudodictyophimus amundseni,Phorticium clevei,Phormospyris thespios,Lophospyris pentagona quadriforis,Larcospira bulbosa,Hexalonche esmarki,Hexalonche ? nakasekoi,Gondwanaria japonica kiaeri,Eucyrtidium saccoi,Eucyrtidium biconicum,Eucoronis fridtjofnanseni,Cyrtocapsella tetrapera,Cyrtocapsella kladaros,Cyrtocapsella eldholmi,Cycladophora davisiana cornutoides,Corythospyris reuschi,Corythospyris jubata,Corythospyris jjubata sverdrupi,Corythospyris hispida,Corythospyris fiscella,Clathrospyris vogti,Clathrospyris sandellae,Ceratocyrtis manumi,Ceratocyrtis broeggeri,Botryostrobus auritus group,Artostrobus jorgenseni,Actinomma plasticum,Actinomma mirabile,Actinomma livae,Actinomma holtedahli,Acrosphaera spinosa echinoides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,H. esmarki        ,              ,104, 643,A,  8,H,CC,  44.00,     71.7400,Goll     ,Radiolarians                                 ,R              ,P                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,T                 ,-                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,-                    ,-                     ,-                  ,-                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,H. esmarki        ,              ,104, 643,A,  9,H, 1, 105.00,     72.8500,Goll     ,Radiolarians                                 ,F              ,P                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,T                 ,-                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,-                    ,-                     ,-                  ,-                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,H. esmarki        ,              ,104, 643,A,  9,H, 2, 105.00,     74.3500,Goll     ,Radiolarians                                 ,F              ,P                 ,-                      ,-                               ,-                   ,-                       ,A                ,-                      ,-                ,VA                 ,SP                   ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,D                 ,-                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,-                    ,-                     ,-                  ,-                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,H. esmarki        ,              ,104, 643,A,  9,H, 3, 105.00,     75.8500,Goll     ,Radiolarians                                 ,F              ,P                 ,-                      ,-                               ,-                   ,-                       ,C                ,-                      ,-                ,C                  ,SP                   ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,D                 ,-                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,-                    ,-                     ,-                  ,-                      ,-                  ,-                     ,SP                         ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,H. esmarki        ,              ,104, 643,A,  9,H, 4, 105.00,     77.3500,Goll     ,Radiolarians                                 ,C              ,M                 ,-                      ,-                               ,-                   ,-                       ,C                ,-                      ,-                ,VA                 ,SP                   ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,D                 ,-                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,T                    ,-                   ,-                              ,-                    ,-                     ,-                  ,-                      ,-                  ,-                     ,SP                         ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,H. esmarki        ,              ,104, 643,A,  9,H, 5, 105.00,     78.8500,Goll     ,Radiolarians                                 ,A              ,M                 ,-                      ,-                               ,-                   ,-                       ,A                ,-                      ,-                ,A                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,D                 ,-                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,T                    ,-                   ,-                              ,-                    ,-                     ,-                  ,-                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,H. esmarki        ,              ,104, 643,A,  9,H, 6, 105.00,     80.3500,Goll     ,Radiolarians                                 ,A              ,G                 ,-                      ,-                               ,-                   ,-                       ,VA               ,-                      ,-                ,VA                 ,SP                   ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,D                 ,-                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,-                    ,-                     ,-                  ,-                      ,-                  ,-                     ,C                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,H. esmarki        ,              ,104, 643,A,  9,H,CC,  34.00,     81.6800,Goll     ,Radiolarians                                 ,F              ,M                 ,-                      ,-                               ,-                   ,-                       ,C                ,-                      ,-                ,VD                 ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,SP                ,-                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,-                    ,-                     ,-                  ,-                      ,-                  ,-                     ,SP                         ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. cauleti        ,              ,104, 643,A, 10,H, 1, 105.00,     82.3500,Goll     ,Radiolarians                                 ,F              ,M                 ,-                      ,-                               ,-                   ,-                       ,A                ,-                      ,-                ,D                  ,-                    ,T                         ,-                           ,-                ,-                    ,-                                ,-                 ,                  ,T                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,T                    ,-                   ,-                              ,-                    ,-                     ,-                  ,-                      ,-                  ,-                     ,C                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. cauleti        ,              ,104, 643,A, 10,H, 2, 105.00,     83.8500,Goll     ,Radiolarians                                 ,F              ,M                 ,-                      ,-                               ,-                   ,-                       ,SP               ,-                      ,-                ,A                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,                  ,T                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,C                    ,-                   ,-                              ,-                    ,-                     ,-                  ,-                      ,-                  ,-                     ,T                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. cauleti        ,              ,104, 643,A, 10,H, 3, 105.00,     85.3500,Goll     ,Radiolarians                                 ,F              ,G                 ,-                      ,-                               ,-                   ,-                       ,A                ,-                      ,-                ,-                  ,T                    ,R                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,R                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,T                    ,-                   ,-                              ,-                    ,-                     ,-                  ,-                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,T                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. cauleti        ,              ,104, 643,A, 10,H, 4, 105.00,     86.8500,Goll     ,Radiolarians                                 ,A              ,M                 ,-                      ,-                               ,-                   ,-                       ,C                ,-                      ,-                ,A                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,-                    ,-                     ,-                  ,-                      ,-                  ,-                     ,-                          ,T                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. cauleti        ,              ,104, 643,A, 10,H, 5, 105.00,     88.3500,Goll     ,Radiolarians                                 ,A              ,M                 ,-                      ,-                               ,-                   ,-                       ,A                ,-                      ,-                ,SP                 ,SP                   ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,C                    ,-                   ,-                              ,-                    ,-                     ,-                  ,-                      ,-                  ,-                     ,-                          ,                      ,-                  ,-                 ,-              ,C                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. reuschi        ,              ,104, 643,A, 10,H, 6, 105.00,     89.8500,Goll     ,Radiolarians                                 ,A              ,M                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,C                  ,SP                   ,R                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,D                    ,-                   ,-                              ,-                    ,-                     ,-                  ,-                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. reuschi        ,              ,104, 643,A, 10,H,CC,   7.00,     90.7900,Goll     ,Radiolarians                                 ,A              ,M                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,R                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                     ,-                          ,SP                ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,D                    ,-                   ,-                              ,-                    ,-                     ,-                  ,-                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. reuschi        ,              ,104, 643,A, 11,H, 1, 106.00,     91.8600,Goll     ,Radiolarians                                 ,C              ,M                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,C                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,D                    ,-                   ,-                              ,-                    ,-                     ,-                  ,-                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,E.fridtjof-C.reusch.,              ,104, 643,A, 11,H, 2, 106.00,     93.3600,Goll     ,Radiolarians                                 ,C              ,M                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,SP                 ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,SP                    ,-                          ,-                 ,-                    ,T                        ,-                      ,-                     ,-                     ,-                                 ,D                    ,-                   ,-                              ,-                    ,-                     ,-                  ,-                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,E.fridtjof-C.reusch.,              ,104, 643,A, 11,H, 3, 106.00,     94.8600,Goll     ,Radiolarians                                 ,A              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,SP                 ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,SP                    ,-                          ,-                 ,-                    ,T                        ,-                      ,-                     ,-                     ,-                                 ,A                    ,-                   ,-                              ,-                    ,-                     ,-                  ,-                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,E.fridtjof-C.reusch.,              ,104, 643,A, 11,H, 4, 106.00,     96.3600,Goll     ,Radiolarians                                 ,A              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,C                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                     ,-                          ,R                 ,-                    ,D                        ,-                      ,-                     ,-                     ,-                                 ,D                    ,-                   ,-                              ,-                    ,-                     ,-                  ,-                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,E.fridtjof-C.reusch.,              ,104, 643,A, 11,H, 5, 106.00,     97.8600,Goll     ,Radiolarians                                 ,F              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,R                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,R                     ,-                          ,SP                ,-                    ,A                        ,-                      ,-                     ,-                     ,-                                 ,R                    ,-                   ,-                              ,                     ,-                     ,-                  ,C                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,E.fridtjof-C.reusch.,              ,104, 643,A, 11,H, 6, 106.00,     99.3600,Goll     ,Radiolarians                                 ,C              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,C                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,SP                    ,-                          ,SP                ,-                    ,C                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,                     ,-                     ,-                  ,SP                     ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,E.fridtjof-C.reusch.,              ,104, 643,A, 11,H,CC,  46.00,    100.6700,Goll     ,Radiolarians                                 ,C              ,M                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,R                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,VD                    ,-                          ,T                 ,-                    ,C                        ,-                      ,-                     ,-                     ,-                                 ,SP                   ,-                   ,-                              ,                     ,-                     ,-                  ,C                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. voigti         ,              ,104, 643,A, 12,H, 1, 105.00,    101.3500,Goll     ,Radiolarians                                 ,A              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,D                     ,-                          ,T                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,C                    ,-                     ,R                  ,-                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C. voigti         ,              ,104, 643,A, 12,H, 2, 105.00,    102.8500,Goll     ,Radiolarians                                 ,A              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,A                     ,-                          ,T                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,R                    ,-                     ,R                  ,T                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. horrida        ,              ,104, 643,A, 12,H, 3, 105.00,    104.3500,Goll     ,Radiolarians                                 ,C              ,M                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,T                    ,SP                        ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,C                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,C                    ,-                     ,-                  ,-                      ,-                  ,-                     ,-                          ,-                     ,-                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. horrida        ,              ,104, 643,A, 12,H, 4, 105.00,    105.8500,Goll     ,Radiolarians                                 ,A              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,D                  ,-                    ,T                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,SP                    ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,D                    ,-                     ,-                  ,-                      ,-                  ,-                     ,-                          ,-                     ,R                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. horrida        ,              ,104, 643,A, 12,H, 5,  27.00,    106.5700,Goll     ,Radiolarians                                 ,F              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,                   ,-                    ,T                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,-                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,C                    ,-                     ,-                  ,T                      ,-                  ,-                     ,-                          ,-                     ,T                  ,-                 ,-              ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. horrida        ,              ,104, 643,A, 12,H, 6, 105.00,    108.8500,Goll     ,Radiolarians                                 ,C              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,R                  ,T                    ,T                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,D                     ,-                          ,-                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,A                    ,T                     ,                   ,-                      ,-                  ,-                     ,-                          ,-                     ,T                  ,-                 ,-              ,-                   ,T                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. horrida        ,              ,104, 643,A, 12,H, 7,  27.00,    109.5700,Goll     ,Radiolarians                                 ,A              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,R                  ,-                    ,R                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,VD                    ,-                          ,SP                ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,A                    ,-                     ,-                  ,-                      ,-                  ,-                     ,-                          ,-                     ,R                  ,-                 ,-              ,-                   ,T                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. horrida        ,              ,104, 643,A, 13,H, 1, 104.00,    110.8400,Goll     ,Radiolarians                                 ,C              ,G                 ,-                      ,-                               ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,R                         ,-                           ,-                ,-                    ,-                                ,-                 ,-                 ,C                     ,-                          ,R                 ,-                    ,-                        ,-                      ,-                     ,-                     ,-                                 ,-                    ,-                   ,-                              ,SP                   ,-                     ,-                  ,-                      ,-                  ,-                     ,-                          ,-                     ,T                  ,-                 ,-              ,-                   ,T                             ,from ODP 104 SR Chapter 35 Table 5 p 716-718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
