Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globigerina spp.,Globigerina linaperta,Subbotina angiporoides,Globigerina officinalis,Globigerina anguliofficinalis,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina pachyderma (dextral),Neogloboquadrina atlantica (dextral),Globigerina quinqueloba,Globigerina bulloides,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina atlantica (sinistral),Tenuitella clemenciae,Globigerina praebulloides,Comment
  SR,                 ,                 ,                  ,              ,104, 643,A,  2,H, 2, 118.00,      7.9800,Spiegler ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,                                       ,                                      ,-                    ,-                        ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  2,H, 2, 140.00,      8.2000,Spiegler ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,                                       ,                                      ,-                    ,-                        ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 643,A,  2,H, 3,  76.00,      9.0600,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,C                                    ,                                    ,R                      ,                     ,A                                      ,                                      ,                     ,                         ,from ODP 104 IR Ch 5 Table 6 p 475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  2,H, 4, 118.00,     10.9800,Spiegler ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,                                       ,                                      ,-                    ,-                        ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 643,A,  2,H, 5,  76.00,     12.0600,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,A                                      ,                                      ,                     ,                         ,from ODP 104 IR Ch 5 Table 6 p 475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  2,H, 6, 140.00,     14.2000,Spiegler ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,                                       ,                                      ,-                    ,-                        ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 643,A,  2,H,CC,  10.00,     14.9900,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,C                                    ,                                    ,R                      ,                     ,F                                      ,                                      ,                     ,                         ,from ODP 104 IR Ch 5 Table 6 p 475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 643,A,  3,H, 2,  74.00,     17.0400,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,A                                      ,                                      ,                     ,                         ,from ODP 104 IR Ch 5 Table 6 p 475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  3,H, 3,  18.00,     17.9800,Spiegler ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,                                       ,                                      ,-                    ,-                        ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  3,H, 4,  40.00,     19.7000,Spiegler ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,                                       ,                                      ,-                    ,-                        ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 643,A,  3,H, 4,  74.00,     20.0400,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,F                                      ,                                      ,                     ,                         ,from ODP 104 IR Ch 5 Table 6 p 475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 643,A,  3,H, 6,  74.00,     23.0400,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,A                                      ,                                      ,                     ,                         ,from ODP 104 IR Ch 5 Table 6 p 475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  3,H, 6,  80.00,     23.1000,Spiegler ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,                                       ,                                      ,-                    ,-                        ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 643,A,  3,H,CC,   9.00,     24.5200,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,A                                      ,                                      ,                     ,                         ,from ODP 104 IR Ch 5 Table 6 p 475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  4,H, 1,  58.00,     24.8800,Spiegler ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,                                       ,                                      ,-                    ,-                        ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 643,A,  4,H, 2,  70.00,     26.5000,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,R                                      ,                                      ,                     ,                         ,from ODP 104 IR Ch 5 Table 6 p 475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  4,H, 2,  78.00,     26.5800,Spiegler ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,                                       ,                                      ,-                    ,-                        ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  4,H, 3,  98.00,     28.2800,Spiegler ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,                                       ,                                      ,-                    ,-                        ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 643,A,  4,H, 4,  73.00,     29.5300,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,A                                      ,                                      ,                     ,                         ,from ODP 104 IR Ch 5 Table 6 p 475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  4,H, 5,  98.00,     31.2800,Spiegler ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,                                       ,                                      ,-                    ,-                        ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 643,A,  4,H, 6,  71.00,     32.5100,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,F                                      ,                                      ,                     ,                         ,from ODP 104 IR Ch 5 Table 6 p 475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  5,H, 3, 140.00,     38.2000,Spiegler ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,                                       ,                                      ,-                    ,-                        ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  5,H, 4,  40.00,     38.7000,Spiegler ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,                                       ,                                      ,-                    ,-                        ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  5,H, 5,  40.00,     40.2000,Spiegler ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,                                       ,                                      ,VR                   ,VR                       ,Age of ice-rafted fossils = Oligocene to early Miocene; from ODP 104 SR Chapter 37  Table 2  p 743
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  5,H, 6, 140.00,     42.7000,Spiegler ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,                                       ,                                      ,-                    ,-                        ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  6,H, 1,  59.00,     43.8900,Spiegler ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,                                       ,                                      ,-                    ,-                        ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  6,H, 1,  81.00,     44.1100,Spiegler ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,                                       ,                                      ,-                    ,-                        ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A,  6,H, 2,  18.00,     44.9800,Spiegler ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,                                       ,                                      ,-                    ,-                        ,Age of ice-rafted fossils = Cretaceous; from ODP 104 SR Chapter 37  Table 2  p 742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 643,A,  6,H,CC,  14.00,     51.9600,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,R                                    ,                                    ,                       ,                     ,R                                      ,                                      ,                     ,                         ,from ODP 104 IR Ch 5 Table 6 p 475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF4             ,NSPF5         ,104, 643,A,  7,H, 2,  74.00,     55.0400,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,R                                      ,R                                     ,                     ,                         ,from ODP 104 IR Ch 5 Table 6 p 475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF4             ,NSPF5         ,104, 643,A,  7,H, 4,  74.00,     58.0400,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,                           ,R                                    ,                                    ,                       ,                     ,R                                      ,R                                     ,                     ,                         ,from ODP 104 IR Ch 5 Table 6 p 475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF3             ,              ,104, 643,A,  9,H, 1,  73.00,     72.5300,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,R                           ,                           ,C                                    ,                                    ,                       ,                     ,                                       ,                                      ,                     ,                         ,from ODP 104 IR Ch 5 Table 6 p 475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF3             ,              ,104, 643,A,  9,H, 5,  73.00,     78.5300,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,R                           ,                           ,R                                    ,                                    ,                       ,                     ,                                       ,                                      ,                     ,                         ,from ODP 104 IR Ch 5 Table 6 p 475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF3             ,              ,104, 643,A, 10,H, 4,  73.00,     86.5300,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,R                           ,A                          ,R                                    ,R                                   ,R                      ,R                    ,                                       ,                                      ,                     ,                         ,from ODP 104 IR Ch 5 Table 6 p 475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF3             ,              ,104, 643,A, 11,H, 3,  75.00,     94.5500,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,                            ,R                          ,                                     ,                                    ,                       ,                     ,                                       ,                                      ,                     ,                         ,from ODP 104 IR Ch 5 Table 6 p 475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF3             ,              ,104, 643,A, 11,H, 5,  75.00,     97.5500,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,                ,                     ,                      ,                       ,                             ,C                           ,                           ,                                     ,                                    ,                       ,                     ,                                       ,                                      ,                     ,                         ,from ODP 104 IR Ch 5 Table 6 p 475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,104, 643,A, 30,X,CC,  46.00,    274.1600,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,R               ,                     ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,                                       ,                                      ,                     ,                         ,from ODP 104 IR Ch 5 Table 6 p 475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF2             ,              ,104, 643,A, 41,X,CC,  36.00,    382.9000,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,R               ,                     ,                      ,                       ,R                            ,                            ,                           ,                                     ,                                    ,                       ,                     ,                                       ,                                      ,                     ,                         ,from ODP 104 IR Ch 5 Table 6 p 475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF2             ,              ,104, 643,A, 44,X,CC,  10.00,    419.5600,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,R               ,R                    ,R                     ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,                                       ,                                      ,                     ,                         ,from ODP 104 IR Ch 5 Table 6 p 475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF1             ,              ,104, 643,A, 52,X,CC,  18.00,    496.8500,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,R               ,                     ,R                     ,R                      ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,                                       ,                                      ,                     ,                         ,from ODP 104 IR Ch 5 Table 6 p 475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF1             ,              ,104, 643,A, 54,X,CC,  17.00,    516.2500,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,R               ,R                    ,                      ,                       ,                             ,                            ,                           ,                                     ,                                    ,                       ,                     ,                                       ,                                      ,                     ,                         ,from ODP 104 IR Ch 5 Table 6 p 475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
